"year","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1990","AkademikerInnen","7.23","8","1401","7.11","7.35"
"1990","Hauptschulabschluss","7.26","8","4221","7.2","7.32"
"1990","Realschulabschluss","7.2","8","2446","7.11","7.29"
"1991","(Fach-)Abitur","6.99","8","516","6.8","7.18"
"1991","(noch) kein Abschluss","7.01","8","406","6.8","7.22"
"1991","AkademikerInnen","6.95","8","1301","6.82","7.08"
"1991","Hauptschulabschluss","7.07","8","3911","7","7.14"
"1991","Realschulabschluss","6.95","7","2253","6.85","7.05"
"1992","(Fach-)Abitur","7.22","8","522","7.05","7.39"
"1992","(noch) kein Abschluss","6.98","7","362","6.76","7.2"
"1992","AkademikerInnen","7.32","8","1248","7.21","7.43"
"1992","Hauptschulabschluss","7.31","8","3621","7.25","7.37"
"1992","Realschulabschluss","7.25","8","2144","7.16","7.34"
"1993","(Fach-)Abitur","7.27","8","512","7.09","7.45"
"1993","(noch) kein Abschluss","6.98","7","338","6.76","7.2"
"1993","AkademikerInnen","7.11","8","1226","7","7.22"
"1993","Hauptschulabschluss","7.04","7","3398","6.97","7.11"
"1993","Realschulabschluss","7.03","8","2143","6.94","7.12"
"1994","(Fach-)Abitur","6.89","7","540","6.71","7.07"
"1994","(noch) kein Abschluss","6.88","7","311","6.63","7.13"
"1994","AkademikerInnen","6.97","7","1244","6.86","7.08"
"1994","Hauptschulabschluss","6.94","7","3125","6.87","7.01"
"1994","Realschulabschluss","6.99","8","2111","6.9","7.08"
"1995","(Fach-)Abitur","6.91","7","690","6.75","7.07"
"1995","(noch) kein Abschluss","6.49","7","323","6.24","6.74"
"1995","AkademikerInnen","6.9","7","1366","6.79","7.01"
"1995","Hauptschulabschluss","6.74","7","3352","6.66","6.82"
"1995","Realschulabschluss","6.98","7","2306","6.89","7.07"
"1996","(Fach-)Abitur","6.89","7","676","6.73","7.05"
"1996","(noch) kein Abschluss","6.34","7","300","6.08","6.6"
"1996","AkademikerInnen","6.95","8","1363","6.84","7.06"
"1996","Hauptschulabschluss","6.74","7","3226","6.66","6.82"
"1996","Realschulabschluss","6.96","7","2301","6.87","7.05"
"1997","(Fach-)Abitur","6.78","7","679","6.62","6.94"
"1997","(noch) kein Abschluss","6.54","7","271","6.27","6.81"
"1997","AkademikerInnen","7.01","7","1356","6.91","7.11"
"1997","Hauptschulabschluss","6.66","7","3035","6.58","6.74"
"1997","Realschulabschluss","6.97","7","2264","6.88","7.06"
"1998","(Fach-)Abitur","6.89","7","742","6.74","7.04"
"1998","(noch) kein Abschluss","6.55","7","257","6.31","6.79"
"1998","AkademikerInnen","6.96","8","1507","6.86","7.06"
"1998","Hauptschulabschluss","6.8","7","3145","6.72","6.88"
"1998","Realschulabschluss","6.92","7","2470","6.84","7"
"1999","(Fach-)Abitur","6.94","7","762","6.79","7.09"
"1999","(noch) kein Abschluss","6.24","7","259","5.97","6.51"
"1999","AkademikerInnen","7.07","8","1506","6.97","7.17"
"1999","Hauptschulabschluss","6.7","7","3082","6.62","6.78"
"1999","Realschulabschluss","6.91","7","2504","6.83","6.99"
"2000","(Fach-)Abitur","7.02","7","1337","6.91","7.13"
"2000","(noch) kein Abschluss","5.65","6","194","5.23","6.07"
"2000","AkademikerInnen","7.22","8","2599","7.14","7.3"
"2000","Hauptschulabschluss","7","8","4909","6.94","7.06"
"2000","Realschulabschluss","7.11","8","4243","7.04","7.18"
"2001","(Fach-)Abitur","6.97","7","1445","6.86","7.08"
"2001","(noch) kein Abschluss","6.44","7","207","6.1","6.78"
"2001","AkademikerInnen","7.21","8","2624","7.13","7.29"
"2001","Hauptschulabschluss","6.99","7","4531","6.92","7.06"
"2001","Realschulabschluss","7.09","8","4211","7.03","7.15"
"2002","(Fach-)Abitur","6.93","7","1592","6.83","7.03"
"2002","(noch) kein Abschluss","6.55","7","191","6.21","6.89"
"2002","AkademikerInnen","7.1","8","3464","7.04","7.16"
"2002","Hauptschulabschluss","6.75","7","4271","6.68","6.82"
"2002","Realschulabschluss","6.94","7","4330","6.88","7"
"2003","(Fach-)Abitur","6.93","7","1565","6.83","7.03"
"2003","(noch) kein Abschluss","6.22","6","184","5.82","6.62"
"2003","AkademikerInnen","7.07","8","3239","7","7.14"
"2003","Hauptschulabschluss","6.78","7","3942","6.71","6.85"
"2003","Realschulabschluss","6.82","7","4180","6.75","6.89"
"2004","(Fach-)Abitur","6.95","7","1573","6.85","7.05"
"2004","(noch) kein Abschluss","5.46","6","176","5.02","5.9"
"2004","AkademikerInnen","6.83","7","3161","6.76","6.9"
"2004","Hauptschulabschluss","6.71","7","3702","6.63","6.79"
"2004","Realschulabschluss","6.75","7","3981","6.68","6.82"
"2005","(Fach-)Abitur","6.79","7","1502","6.68","6.9"
"2005","(noch) kein Abschluss","5.43","6","169","5.01","5.85"
"2005","AkademikerInnen","6.92","8","2999","6.85","6.99"
"2005","Hauptschulabschluss","6.59","7","3425","6.51","6.67"
"2005","Realschulabschluss","6.73","7","3824","6.66","6.8"
"2006","(Fach-)Abitur","6.81","7","1573","6.71","6.91"
"2006","(noch) kein Abschluss","6.09","6","125","5.66","6.52"
"2006","AkademikerInnen","6.93","7","3218","6.86","7"
"2006","Hauptschulabschluss","6.64","7","3516","6.56","6.72"
"2006","Realschulabschluss","6.75","7","4001","6.68","6.82"
"2007","(Fach-)Abitur","6.89","7","1545","6.79","6.99"
"2007","(noch) kein Abschluss","6.23","7","111","5.74","6.72"
"2007","AkademikerInnen","6.96","7","3094","6.89","7.03"
"2007","Hauptschulabschluss","6.6","7","3254","6.52","6.68"
"2007","Realschulabschluss","6.75","7","3801","6.68","6.82"
"2008","(Fach-)Abitur","6.86","7","1472","6.76","6.96"
"2008","(noch) kein Abschluss","6.13","6","126","5.73","6.53"
"2008","AkademikerInnen","6.97","7","2941","6.9","7.04"
"2008","Hauptschulabschluss","6.7","7","3020","6.62","6.78"
"2008","Realschulabschluss","6.74","7","3623","6.67","6.81"
"2009","(Fach-)Abitur","6.73","7","1387","6.62","6.84"
"2009","(noch) kein Abschluss","6.28","7","113","5.83","6.73"
"2009","AkademikerInnen","6.96","7","2823","6.89","7.03"
"2009","Hauptschulabschluss","6.46","7","2720","6.37","6.55"
"2009","Realschulabschluss","6.71","7","3451","6.64","6.78"
"2010","(Fach-)Abitur","6.88","7","2022","6.78","6.98"
"2010","(noch) kein Abschluss","6.56","7","185","6.14","6.98"
"2010","AkademikerInnen","7.03","7","3730","6.97","7.09"
"2010","Hauptschulabschluss","6.65","7","3530","6.57","6.73"
"2010","Realschulabschluss","6.83","7","4698","6.77","6.89"
"2011","(Fach-)Abitur","7","7","2259","6.91","7.09"
"2011","(noch) kein Abschluss","6.7","7","219","6.35","7.05"
"2011","AkademikerInnen","7.19","8","4212","7.13","7.25"
"2011","Hauptschulabschluss","6.65","7","3872","6.57","6.73"
"2011","Realschulabschluss","6.85","7","5230","6.79","6.91"
"2012","(Fach-)Abitur","7.03","7","2369","6.95","7.11"
"2012","(noch) kein Abschluss","6.69","7","233","6.38","7"
"2012","AkademikerInnen","7.2","8","4239","7.14","7.26"
"2012","Hauptschulabschluss","6.82","7","3940","6.75","6.89"
"2012","Realschulabschluss","7.08","8","5312","7.02","7.14"
"2013","(Fach-)Abitur","7.22","8","3115","7.15","7.29"
"2013","(noch) kein Abschluss","6.79","7","373","6.54","7.04"
"2013","AkademikerInnen","7.22","8","4979","7.17","7.27"
"2013","Hauptschulabschluss","6.87","7","4754","6.81","6.93"
"2013","Realschulabschluss","6.98","8","5580","6.93","7.03"
"2014","(Fach-)Abitur","7.15","8","2837","7.08","7.22"
"2014","(noch) kein Abschluss","6.84","8","306","6.57","7.11"
"2014","AkademikerInnen","7.24","8","4470","7.18","7.3"
"2014","Hauptschulabschluss","6.86","7","4082","6.79","6.93"
"2014","Realschulabschluss","6.98","7","4940","6.92","7.04"
"2015","(Fach-)Abitur","7.14","7","2579","7.07","7.21"
"2015","(noch) kein Abschluss","6.8","8","243","6.52","7.08"
"2015","AkademikerInnen","7.25","8","4155","7.19","7.31"
"2015","Hauptschulabschluss","7.03","8","3547","6.96","7.1"
"2015","Realschulabschluss","7","7","4627","6.94","7.06"
"2016","(Fach-)Abitur","7.17","8","2670","7.1","7.24"
"2016","(noch) kein Abschluss","7.34","8","266","7.09","7.59"
"2016","AkademikerInnen","7.21","8","4136","7.15","7.27"
"2016","Hauptschulabschluss","7.01","8","3411","6.94","7.08"
"2016","Realschulabschluss","7.07","7","4263","7.01","7.13"
"2017","(Fach-)Abitur","7.15","8","2975","7.08","7.22"
"2017","(noch) kein Abschluss","7.22","7","278","6.96","7.48"
"2017","AkademikerInnen","7.29","8","4681","7.24","7.34"
"2017","Hauptschulabschluss","6.95","7","3580","6.88","7.02"
"2017","Realschulabschluss","7.07","7","4934","7.01","7.13"
"2018","(Fach-)Abitur","7.11","7","2923","7.04","7.18"
"2018","(noch) kein Abschluss","6.63","7","280","6.36","6.9"
"2018","AkademikerInnen","7.14","7","4531","7.09","7.19"
"2018","Hauptschulabschluss","7","7","3313","6.93","7.07"
"2018","Realschulabschluss","7.06","7","4716","7","7.12"
"2019","(Fach-)Abitur","7.23","8","3033","7.16","7.3"
"2019","(noch) kein Abschluss","7.19","8","254","6.95","7.43"
"2019","AkademikerInnen","7.35","8","5140","7.3","7.4"
"2019","Hauptschulabschluss","7.16","8","2944","7.09","7.23"
"2019","Realschulabschluss","7.12","8","4745","7.06","7.18"
