"plj0046","year","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Keine Sorgen","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2002","kein Migrationshintergrund","5526","0.306276876583629","0.299775641067368","0.31277811209989"
"Grosse Sorgen","2002","direkter Migrationshintergrund","500","0.190516076763409","0.175851915830362","0.205180237696456"
"Grosse Sorgen","2002","indirekter Migrationshintergrund","122","0.182694602094271","0.155294230458121","0.21009497373042"
"Grosse Sorgen","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2002","kein Migrationshintergrund","9160","0.472980615107797","0.465938863933787","0.480022366281808"
"Einige Sorgen","2002","direkter Migrationshintergrund","1333","0.46933273443773","0.450697328315819","0.487968140559641"
"Einige Sorgen","2002","indirekter Migrationshintergrund","353","0.467820010395773","0.432439012377963","0.503201008413582"
"Einige Sorgen","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2002","kein Migrationshintergrund","4625","0.220742508308573","0.214892867643999","0.226592148973148"
"Keine Sorgen","2002","direkter Migrationshintergrund","922","0.340151188798861","0.322460468940089","0.357841908657633"
"Keine Sorgen","2002","indirekter Migrationshintergrund","289","0.349485387509957","0.315675443544129","0.383295331475785"
"Keine Sorgen","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2003","kein Migrationshintergrund","4954","0.287588557631106","0.281090607388375","0.294086507873837"
"Grosse Sorgen","2003","direkter Migrationshintergrund","432","0.168395069922569","0.153946858247329","0.182843281597808"
"Grosse Sorgen","2003","indirekter Migrationshintergrund","128","0.192065131227418","0.164168860716437","0.2199614017384"
"Grosse Sorgen","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2003","kein Migrationshintergrund","8755","0.469495918831725","0.462331426661803","0.476660411001647"
"Einige Sorgen","2003","direkter Migrationshintergrund","1196","0.456182132702218","0.436951801967889","0.475412463436546"
"Einige Sorgen","2003","indirekter Migrationshintergrund","351","0.436666002429461","0.401543020735303","0.47178898412362"
"Einige Sorgen","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2003","kein Migrationshintergrund","4931","0.242915523537169","0.236759150288886","0.249071896785451"
"Keine Sorgen","2003","direkter Migrationshintergrund","949","0.375422797375214","0.356726988203304","0.394118606547123"
"Keine Sorgen","2003","indirekter Migrationshintergrund","287","0.37126886634312","0.337054346047091","0.40548338663915"
"Keine Sorgen","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2004","kein Migrationshintergrund","5937","0.350820080178211","0.343877664552355","0.357762495804067"
"Grosse Sorgen","2004","direkter Migrationshintergrund","531","0.218367079365191","0.202133364744008","0.234600793986374"
"Grosse Sorgen","2004","indirekter Migrationshintergrund","189","0.279062959883596","0.247844515016583","0.310281404750608"
"Grosse Sorgen","2004","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2004","kein Migrationshintergrund","8153","0.440833745907597","0.433611142929175","0.44805634888602"
"Einige Sorgen","2004","direkter Migrationshintergrund","1220","0.480918092978361","0.461285556778611","0.500550629178112"
"Einige Sorgen","2004","indirekter Migrationshintergrund","346","0.415873529435494","0.381569464944362","0.450177593926626"
"Einige Sorgen","2004","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2004","kein Migrationshintergrund","4062","0.208346173914191","0.202438095213716","0.214254252614667"
"Keine Sorgen","2004","direkter Migrationshintergrund","737","0.300714827656447","0.282695960469619","0.318733694843276"
"Keine Sorgen","2004","indirekter Migrationshintergrund","258","0.305063510680911","0.27301711525235","0.337109906109472"
"Keine Sorgen","2004","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2005","kein Migrationshintergrund","6782","0.410575391495608","0.403262378997853","0.417888403993364"
"Grosse Sorgen","2005","direkter Migrationshintergrund","635","0.284773728141166","0.266460605180914","0.303086851101418"
"Grosse Sorgen","2005","indirekter Migrationshintergrund","232","0.308505568476197","0.27685385056939","0.340157286383004"
"Grosse Sorgen","2005","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2005","kein Migrationshintergrund","7462","0.419410604634985","0.412074931374932","0.426746277895039"
"Einige Sorgen","2005","direkter Migrationshintergrund","1092","0.449699105182071","0.429513032026804","0.469885178337339"
"Einige Sorgen","2005","indirekter Migrationshintergrund","364","0.436598640246025","0.402610956071151","0.470586324420899"
"Einige Sorgen","2005","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2005","kein Migrationshintergrund","3139","0.170014003869406","0.164429771831202","0.17559823590761"
"Keine Sorgen","2005","direkter Migrationshintergrund","606","0.265527166676763","0.247607370291482","0.283446963062044"
"Keine Sorgen","2005","indirekter Migrationshintergrund","222","0.254895791277778","0.225030876500997","0.284760706054559"
"Keine Sorgen","2005","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2006","kein Migrationshintergrund","6376","0.357422418077037","0.350539061461188","0.364305774692885"
"Grosse Sorgen","2006","direkter Migrationshintergrund","594","0.258144729913561","0.240417592592876","0.275871867234246"
"Grosse Sorgen","2006","indirekter Migrationshintergrund","220","0.304201714931197","0.272420341824569","0.335983088037824"
"Grosse Sorgen","2006","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2006","kein Migrationshintergrund","8340","0.440393901890636","0.433263591123735","0.447524212657537"
"Einige Sorgen","2006","direkter Migrationshintergrund","1051","0.440290548573732","0.420181182233682","0.460399914913782"
"Einige Sorgen","2006","indirekter Migrationshintergrund","345","0.409280441755263","0.375313900817265","0.443246982693262"
"Einige Sorgen","2006","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2006","kein Migrationshintergrund","3905","0.202183680032328","0.196415071108681","0.207952288955975"
"Keine Sorgen","2006","direkter Migrationshintergrund","696","0.301564721512707","0.282973807796881","0.320155635228533"
"Keine Sorgen","2006","indirekter Migrationshintergrund","240","0.28651784331354","0.255284566823182","0.317751119803898"
"Keine Sorgen","2006","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2007","kein Migrationshintergrund","5361","0.323645644457164","0.316705430243936","0.330585858670393"
"Grosse Sorgen","2007","direkter Migrationshintergrund","423","0.200596031015587","0.183440356625585","0.21775170540559"
"Grosse Sorgen","2007","indirekter Migrationshintergrund","180","0.221689828867898","0.192482837745307","0.25089681999049"
"Grosse Sorgen","2007","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2007","kein Migrationshintergrund","7819","0.440420944846607","0.433056914765003","0.447784974928211"
"Einige Sorgen","2007","direkter Migrationshintergrund","965","0.462352190732209","0.440992307362833","0.483712074101585"
"Einige Sorgen","2007","indirekter Migrationshintergrund","332","0.44795341967066","0.41298774827625","0.48291909106507"
"Einige Sorgen","2007","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2007","kein Migrationshintergrund","4278","0.235933410696229","0.229635287171359","0.242231534221099"
"Keine Sorgen","2007","direkter Migrationshintergrund","705","0.337051778252204","0.316800539526201","0.357303016978207"
"Keine Sorgen","2007","indirekter Migrationshintergrund","265","0.330356751461442","0.297285477702946","0.363428025219937"
"Keine Sorgen","2007","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2008","kein Migrationshintergrund","4429","0.282346471841842","0.275490746548994","0.289202197134689"
"Grosse Sorgen","2008","direkter Migrationshintergrund","322","0.165913013201577","0.149119625599877","0.182706400803277"
"Grosse Sorgen","2008","indirekter Migrationshintergrund","154","0.20726393245486","0.178540022979988","0.235987841929732"
"Grosse Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2008","kein Migrationshintergrund","7475","0.446757054467499","0.439185266144196","0.454328842790802"
"Einige Sorgen","2008","direkter Migrationshintergrund","812","0.441111781233658","0.418697272757561","0.463526289709755"
"Einige Sorgen","2008","indirekter Migrationshintergrund","341","0.446083936050194","0.410859208264954","0.481308663835435"
"Einige Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2008","kein Migrationshintergrund","4657","0.270896473690659","0.264127838809637","0.277665108571682"
"Keine Sorgen","2008","direkter Migrationshintergrund","751","0.392975205564765","0.370926748465564","0.415023662663965"
"Keine Sorgen","2008","indirekter Migrationshintergrund","270","0.346652131494946","0.312928327987941","0.380375935001951"
"Keine Sorgen","2008","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2009","kein Migrationshintergrund","3483","0.238767520928858","0.232068405090834","0.245466636766882"
"Grosse Sorgen","2009","direkter Migrationshintergrund","231","0.148034447752899","0.130878070511672","0.165190824994125"
"Grosse Sorgen","2009","indirekter Migrationshintergrund","119","0.153968883333418","0.127289236476192","0.180648530190643"
"Grosse Sorgen","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2009","kein Migrationshintergrund","6789","0.433166484706285","0.425380269713681","0.44095269969889"
"Einige Sorgen","2009","direkter Migrationshintergrund","711","0.425948358766083","0.402059954962381","0.449836762569785"
"Einige Sorgen","2009","indirekter Migrationshintergrund","287","0.448576094152086","0.411811372171459","0.485340816132713"
"Einige Sorgen","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2009","kein Migrationshintergrund","5286","0.328065994364856","0.320688394009814","0.335443594719898"
"Keine Sorgen","2009","direkter Migrationshintergrund","704","0.426017193481018","0.402128291923033","0.449906095039003"
"Keine Sorgen","2009","indirekter Migrationshintergrund","297","0.397455022514497","0.361279970971881","0.433630074057112"
"Keine Sorgen","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2010","kein Migrationshintergrund","4448","0.235329929996959","0.229421091879769","0.241238768114149"
"Grosse Sorgen","2010","direkter Migrationshintergrund","436","0.173989555299146","0.160083645973007","0.187895464625284"
"Grosse Sorgen","2010","indirekter Migrationshintergrund","212","0.197442024709232","0.174334486983947","0.220549562434516"
"Grosse Sorgen","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2010","kein Migrationshintergrund","8181","0.423492534529685","0.416609945936096","0.430375123123274"
"Einige Sorgen","2010","direkter Migrationshintergrund","1194","0.408200150834415","0.390171258706589","0.42622904296224"
"Einige Sorgen","2010","indirekter Migrationshintergrund","454","0.406707468790782","0.378192612979095","0.43522232460247"
"Einige Sorgen","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2010","kein Migrationshintergrund","7170","0.341177535473356","0.334573629567217","0.347781441379494"
"Keine Sorgen","2010","direkter Migrationshintergrund","1225","0.41781029386644","0.399719115155719","0.435901472577161"
"Keine Sorgen","2010","indirekter Migrationshintergrund","474","0.395850506499986","0.367462592838969","0.424238420161004"
"Keine Sorgen","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2011","kein Migrationshintergrund","4326","0.255282495030173","0.248859598062189","0.261705391998158"
"Grosse Sorgen","2011","direkter Migrationshintergrund","322","0.16326777533341","0.146942191625611","0.179593359041209"
"Grosse Sorgen","2011","indirekter Migrationshintergrund","133","0.167429878496604","0.141295212668198","0.193564544325011"
"Grosse Sorgen","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2011","kein Migrationshintergrund","7559","0.423575196224595","0.416296371746797","0.430854020702393"
"Einige Sorgen","2011","direkter Migrationshintergrund","885","0.445262024834568","0.423309877446921","0.467214172222215"
"Einige Sorgen","2011","indirekter Migrationshintergrund","335","0.451317834367426","0.416484766214717","0.486150902520134"
"Einige Sorgen","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2011","kein Migrationshintergrund","5818","0.321142308745232","0.314264298943879","0.328020318546585"
"Keine Sorgen","2011","direkter Migrationshintergrund","762","0.391470199832022","0.369911850144237","0.413028549519807"
"Keine Sorgen","2011","indirekter Migrationshintergrund","316","0.38125228713597","0.347254308876701","0.415250265395238"
"Keine Sorgen","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2012","kein Migrationshintergrund","3394","0.20305030662425","0.197115517143681","0.20898509610482"
"Grosse Sorgen","2012","direkter Migrationshintergrund","259","0.136225261168666","0.120893659653118","0.151556862684214"
"Grosse Sorgen","2012","indirekter Migrationshintergrund","108","0.124969269695015","0.101880635083931","0.148057904306099"
"Grosse Sorgen","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2012","kein Migrationshintergrund","7193","0.405705743411311","0.398461477489428","0.412950009333193"
"Einige Sorgen","2012","direkter Migrationshintergrund","806","0.422854702068002","0.400774826992292","0.444934577143712"
"Einige Sorgen","2012","indirekter Migrationshintergrund","284","0.390856918395415","0.356788376847091","0.424925459943739"
"Einige Sorgen","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2012","kein Migrationshintergrund","7062","0.391243949964439","0.384043933291773","0.398443966637104"
"Keine Sorgen","2012","direkter Migrationshintergrund","858","0.440920036763332","0.418729115609201","0.463110957917463"
"Keine Sorgen","2012","indirekter Migrationshintergrund","396","0.48417381190957","0.449280891195338","0.519066732623802"
"Keine Sorgen","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2013","kein Migrationshintergrund","3596","0.22908586540191","0.222648826832106","0.235522903971714"
"Grosse Sorgen","2013","direkter Migrationshintergrund","292","0.17716339499036","0.158862439982166","0.195464349998555"
"Grosse Sorgen","2013","indirekter Migrationshintergrund","131","0.179119264956296","0.150874195755103","0.207364334157489"
"Grosse Sorgen","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2013","kein Migrationshintergrund","6788","0.417035381446179","0.409482867952889","0.424587894939469"
"Einige Sorgen","2013","direkter Migrationshintergrund","676","0.391574817726416","0.368178854927679","0.414970780525154"
"Einige Sorgen","2013","indirekter Migrationshintergrund","263","0.36571522669702","0.330238370593891","0.401192082800149"
"Einige Sorgen","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2013","kein Migrationshintergrund","5989","0.353878753151911","0.346554417886492","0.361203088417329"
"Keine Sorgen","2013","direkter Migrationshintergrund","704","0.431261787283223","0.407523102803269","0.455000471763178"
"Keine Sorgen","2013","indirekter Migrationshintergrund","314","0.455165508346684","0.418483894792367","0.491847121901"
"Keine Sorgen","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2014","kein Migrationshintergrund","5267","0.271923881725235","0.265770046471225","0.278077716979246"
"Grosse Sorgen","2014","direkter Migrationshintergrund","1079","0.204771457478359","0.193640664737434","0.215902250219285"
"Grosse Sorgen","2014","indirekter Migrationshintergrund","433","0.244898911218834","0.224882339423653","0.264915483014016"
"Grosse Sorgen","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2014","kein Migrationshintergrund","8304","0.413066307690741","0.406256447379916","0.419876168001567"
"Einige Sorgen","2014","direkter Migrationshintergrund","2304","0.433964669439365","0.42029385582424","0.44763548305449"
"Einige Sorgen","2014","indirekter Migrationshintergrund","688","0.391260459677687","0.368543905251755","0.413977014103619"
"Einige Sorgen","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2014","kein Migrationshintergrund","6512","0.315009810584023","0.3085853301262","0.321434291041846"
"Keine Sorgen","2014","direkter Migrationshintergrund","1666","0.361263873082276","0.348013795756305","0.374513950408246"
"Keine Sorgen","2014","indirekter Migrationshintergrund","652","0.363840629103479","0.341446597609939","0.386234660597019"
"Keine Sorgen","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2015","kein Migrationshintergrund","6180","0.335213976929043","0.328496164524388","0.341931789333698"
"Grosse Sorgen","2015","direkter Migrationshintergrund","1252","0.292242689716795","0.278580815705034","0.305904563728556"
"Grosse Sorgen","2015","indirekter Migrationshintergrund","440","0.268271831981318","0.246656657273803","0.289887006688833"
"Grosse Sorgen","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2015","kein Migrationshintergrund","7958","0.415824552603434","0.408810765371298","0.42283833983557"
"Einige Sorgen","2015","direkter Migrationshintergrund","1880","0.424246085522177","0.409399600738106","0.439092570306248"
"Einige Sorgen","2015","indirekter Migrationshintergrund","683","0.416312637274112","0.392263679033317","0.440361595514908"
"Einige Sorgen","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2015","kein Migrationshintergrund","4831","0.248961470467523","0.242807958468628","0.255114982466418"
"Keine Sorgen","2015","direkter Migrationshintergrund","1125","0.283511224761028","0.269972240278296","0.297050209243759"
"Keine Sorgen","2015","indirekter Migrationshintergrund","491","0.31541553074457","0.292745537857058","0.338085523632081"
"Keine Sorgen","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2016","kein Migrationshintergrund","8167","0.475281851529904","0.467936886650272","0.482626816409536"
"Grosse Sorgen","2016","direkter Migrationshintergrund","1985","0.420994495767807","0.406940731376781","0.435048260158834"
"Grosse Sorgen","2016","indirekter Migrationshintergrund","565","0.321246194847328","0.297863538705711","0.344628850988945"
"Grosse Sorgen","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2016","kein Migrationshintergrund","6826","0.380840169777404","0.373698104315477","0.387982235239331"
"Einige Sorgen","2016","direkter Migrationshintergrund","1950","0.405563154208632","0.391586757478357","0.419539550938908"
"Einige Sorgen","2016","indirekter Migrationshintergrund","630","0.455231144277437","0.430294338251031","0.480167950303844"
"Einige Sorgen","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2016","kein Migrationshintergrund","2765","0.143877978692692","0.138716001715426","0.149039955669957"
"Keine Sorgen","2016","direkter Migrationshintergrund","806","0.17344235002356","0.162664620935053","0.184220079112067"
"Keine Sorgen","2016","indirekter Migrationshintergrund","337","0.223522660875235","0.202661240209811","0.244384081540659"
"Keine Sorgen","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2017","kein Migrationshintergrund","7587","0.389439096265519","0.382698611625939","0.396179580905099"
"Grosse Sorgen","2017","direkter Migrationshintergrund","1670","0.353997289907258","0.340153884894529","0.367840694919987"
"Grosse Sorgen","2017","indirekter Migrationshintergrund","524","0.291631626202976","0.269981197347474","0.313282055058479"
"Grosse Sorgen","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2017","kein Migrationshintergrund","8549","0.42301048448424","0.416181338762375","0.429839630206104"
"Einige Sorgen","2017","direkter Migrationshintergrund","2042","0.441083625351439","0.426710220083882","0.455457030618995"
"Einige Sorgen","2017","indirekter Migrationshintergrund","723","0.436307390222329","0.412684280501496","0.459930499943162"
"Einige Sorgen","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2017","kein Migrationshintergrund","3968","0.187550419250242","0.182154516891299","0.192946321609185"
"Keine Sorgen","2017","direkter Migrationshintergrund","872","0.204919084741303","0.193234247841628","0.216603921640979"
"Keine Sorgen","2017","indirekter Migrationshintergrund","446","0.272060983574695","0.25086272220322","0.293259244946169"
"Keine Sorgen","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2018","kein Migrationshintergrund","6030","0.324362730212902","0.317781012303533","0.33094444812227"
"Grosse Sorgen","2018","direkter Migrationshintergrund","1299","0.27768017671586","0.264426054137853","0.290934299293867"
"Grosse Sorgen","2018","indirekter Migrationshintergrund","406","0.224827814497472","0.205006273924737","0.244649355070208"
"Grosse Sorgen","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2018","kein Migrationshintergrund","8382","0.426817658722787","0.419863660386191","0.433771657059383"
"Einige Sorgen","2018","direkter Migrationshintergrund","1994","0.463780330231137","0.449021861125175","0.4785387993371"
"Einige Sorgen","2018","indirekter Migrationshintergrund","752","0.45920505620549","0.435544064804387","0.482866047606594"
"Einige Sorgen","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2018","kein Migrationshintergrund","5022","0.248819611064312","0.242741321076344","0.254897901052279"
"Keine Sorgen","2018","direkter Migrationshintergrund","1093","0.258539493053003","0.24558199251064","0.271496993595367"
"Keine Sorgen","2018","indirekter Migrationshintergrund","546","0.315967129297037","0.29389355137434","0.338040707219735"
"Keine Sorgen","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2019","kein Migrationshintergrund","5705","0.30036015356718","0.294015053154872","0.306705253979488"
"Grosse Sorgen","2019","direkter Migrationshintergrund","1042","0.253803237213651","0.239979294943508","0.267627179483794"
"Grosse Sorgen","2019","indirekter Migrationshintergrund","440","0.226562526301575","0.207298986521902","0.245826066081248"
"Grosse Sorgen","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2019","kein Migrationshintergrund","8535","0.430411033350365","0.423557688989234","0.437264377711495"
"Einige Sorgen","2019","direkter Migrationshintergrund","1772","0.476713061446607","0.460847511682473","0.492578611210741"
"Einige Sorgen","2019","indirekter Migrationshintergrund","760","0.409832341716676","0.3872004807498","0.432464202683552"
"Einige Sorgen","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2019","kein Migrationshintergrund","5811","0.269228813082455","0.263089333653146","0.275368292511764"
"Keine Sorgen","2019","direkter Migrationshintergrund","993","0.269483701339742","0.25538958475937","0.283577817920113"
"Keine Sorgen","2019","indirekter Migrationshintergrund","614","0.36360513198175","0.341468691593296","0.385741572370203"
"Keine Sorgen","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
"Grosse Sorgen","2020","kein Migrationshintergrund","4695","0.268938515555536","0.262564518627802","0.27531251248327"
"Grosse Sorgen","2020","direkter Migrationshintergrund","1039","0.215209090655553","0.204163696645049","0.226254484666057"
"Grosse Sorgen","2020","indirekter Migrationshintergrund","332","0.226382186929022","0.206322954503872","0.246441419354172"
"Grosse Sorgen","2020","Migrationshintergrund - n. w. differenzierbar","","","",""
"Einige Sorgen","2020","kein Migrationshintergrund","7334","0.405521917626919","0.398463887857831","0.412579947396008"
"Einige Sorgen","2020","direkter Migrationshintergrund","2286","0.456620028544946","0.443232413489099","0.470007643600794"
"Einige Sorgen","2020","indirekter Migrationshintergrund","649","0.385753500905986","0.362421271517006","0.409085730294966"
"Einige Sorgen","2020","Migrationshintergrund - n. w. differenzierbar","","","",""
"Keine Sorgen","2020","kein Migrationshintergrund","6561","0.325539566817545","0.318803777026793","0.332275356608296"
"Keine Sorgen","2020","direkter Migrationshintergrund","1993","0.328170880799501","0.315551055069764","0.340790706529237"
"Keine Sorgen","2020","indirekter Migrationshintergrund","691","0.387864312164992","0.364508567691987","0.411220056637997"
"Keine Sorgen","2020","Migrationshintergrund - n. w. differenzierbar","","","",""
