"hlc0080_h","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1999","3","3617","0.990961680659833","0.987892270134685","0.994031091184982"
"Nein","1999","4","2420","0.997540741751466","0.995571034321569","0.999510449181364"
"Nein","1999","5 Einkommensstärkstes Quintil","","","",""
"Ja","2000","1 Einkommensschwächstes Quintil","","","",""
"Ja","2000","2","229","0.0220999624377771","0.0190117533086278","0.0251881715669264"
"Ja","2000","3","49","0.00796641242539138","0.0058401362946306","0.0100926885561522"
"Ja","2000","4","17","","",""
"Ja","2000","5 Einkommensstärkstes Quintil","","","",""
"Nein","2000","1 Einkommensschwächstes Quintil","","","",""
"Nein","2000","2","8476","0.977900037562223","0.974811828433074","0.980988246691372"
"Nein","2000","3","6666","0.992033587574609","0.989907311443848","0.994159863705369"
"Nein","2000","4","4725","0.996117895574699","0.994347964745153","0.997887826404245"
"Nein","2000","5 Einkommensstärkstes Quintil","","","",""
"Ja","2001","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","2","298","0.0394296682152659","0.0350623091961083","0.0437970272344235"
"Ja","2001","3","86","0.0140684813690793","0.0111588919622221","0.0169780707759365"
"Ja","2001","4","17","","",""
"Ja","2001","5 Einkommensstärkstes Quintil","","","",""
"Nein","2001","1 Einkommensschwächstes Quintil","","","",""
"Nein","2001","2","7330","0.960570331784734","0.956202972765577","0.964937690803892"
"Nein","2001","3","6208","0.985931518630921","0.983021929224064","0.988841108037778"
"Nein","2001","4","4606","0.996717675478816","0.995068894445519","0.998366456512112"
"Nein","2001","5 Einkommensstärkstes Quintil","","","",""
"Ja","2002","1 Einkommensschwächstes Quintil","","","",""
"Ja","2002","2","291","0.044013671017302","0.0390570263623898","0.0489703156722143"
"Ja","2002","3","97","0.0153449838646429","0.0122253434315436","0.0184646242977422"
"Ja","2002","4","43","0.00562894389715229","0.003712768523877","0.00754511927042758"
"Ja","2002","5 Einkommensstärkstes Quintil","","","",""
"Nein","2002","1 Einkommensschwächstes Quintil","","","",""
"Nein","2002","2","6288","0.955986328982698","0.951029684327786","0.96094297363761"
"Nein","2002","3","5867","0.984655016135357","0.981535375702258","0.987774656568456"
"Nein","2002","4","5813","0.994371056102848","0.992454880729572","0.996287231476123"
"Nein","2002","5 Einkommensstärkstes Quintil","","","",""
"Ja","2003","1 Einkommensschwächstes Quintil","","","",""
"Ja","2003","2","321","0.046027806678519","0.0407714690295971","0.0512841443274409"
"Ja","2003","3","56","0.00674043975837401","0.00469180656369448","0.00878907295305353"
"Ja","2003","4","48","0.00705942867914071","0.0049117838965221","0.00920707346175931"
"Ja","2003","5 Einkommensstärkstes Quintil","","","",""
"Nein","2003","1 Einkommensschwächstes Quintil","","","",""
"Nein","2003","2","5784","0.953972193321481","0.948715855672559","0.959228530970403"
"Nein","2003","3","6072","0.993259560241626","0.991210927046946","0.995308193436305"
"Nein","2003","4","5790","0.992940571320859","0.990792926538241","0.995088216103478"
"Nein","2003","5 Einkommensstärkstes Quintil","","","",""
"Ja","2004","1 Einkommensschwächstes Quintil","","","",""
"Ja","2004","2","310","0.0457102183261984","0.040384994326677","0.0510354423257197"
"Ja","2004","3","107","0.0193387863658437","0.0158194588243545","0.0228581139073328"
"Ja","2004","4","40","0.0067333718863176","0.00460752452047584","0.00885921925215936"
"Ja","2004","5 Einkommensstärkstes Quintil","","","",""
"Nein","2004","1 Einkommensschwächstes Quintil","","","",""
"Nein","2004","2","5599","0.954289781673802","0.94896455767428","0.959615005673323"
"Nein","2004","3","5775","0.980661213634156","0.977141886092667","0.984180541175646"
"Nein","2004","4","5645","0.993266628113682","0.991140780747841","0.995392475479524"
"Nein","2004","5 Einkommensstärkstes Quintil","","","",""
"Ja","2005","1 Einkommensschwächstes Quintil","","","",""
"Ja","2005","2","286","0.0644499528753742","0.0579515805660557","0.0709483251846928"
"Ja","2005","3","93","0.0224694989364675","0.0185647747173921","0.026374223155543"
"Ja","2005","4","30","0.00534503640189778","0.00341011969592838","0.00727995310786719"
"Ja","2005","5 Einkommensstärkstes Quintil","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","","","",""
"Nein","2005","2","5199","0.935550047124626","0.929051674815307","0.942048419433944"
"Nein","2005","3","5441","0.977530501063533","0.973625776844457","0.981435225282608"
"Nein","2005","4","5425","0.994654963598102","0.992720046892133","0.996589880304072"
"Nein","2005","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","2","273","0.0399119672014582","0.0349263264131399","0.0448976079897765"
"Ja","2006","3","60","0.00907177033434429","0.00665370242464845","0.0114898382440401"
"Ja","2006","4","28","","",""
"Ja","2006","5 Einkommensstärkstes Quintil","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","","","",""
"Nein","2006","2","5649","0.960088032798542","0.955102392010224","0.96507367358686"
"Nein","2006","3","5846","0.990928229665656","0.98851016175596","0.993346297575352"
"Nein","2006","4","6030","0.995607041543088","0.993941689767481","0.997272393318695"
"Nein","2006","5 Einkommensstärkstes Quintil","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","","","",""
"Ja","2007","2","269","0.0473930210084516","0.0417295330396194","0.0530565089772839"
"Ja","2007","3","94","0.0152301157432625","0.0120222820950466","0.0184379493914784"
"Ja","2007","4","11","","",""
"Ja","2007","5 Einkommensstärkstes Quintil","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","","","",""
"Nein","2007","2","5138","0.952606978991548","0.946943491022716","0.958270466960381"
"Nein","2007","3","5505","0.984769884256738","0.981562050608522","0.987977717904953"
"Nein","2007","4","5722","0.996801097723164","0.995339385561266","0.998262809885062"
"Nein","2007","5 Einkommensstärkstes Quintil","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","","","",""
"Ja","2008","2","253","0.0505608300868498","0.044280947702306","0.0568407124713936"
"Ja","2008","3","74","0.0126454094540376","0.0096645968504032","0.0156262220576719"
"Ja","2008","4","18","","",""
"Ja","2008","5 Einkommensstärkstes Quintil","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","","","",""
"Nein","2008","2","4423","0.94943916991315","0.943159287528606","0.955719052297694"
"Nein","2008","3","5324","0.987354590545963","0.984373777942328","0.990335403149597"
"Nein","2008","4","5530","0.997697106064742","0.996435812473344","0.99895839965614"
"Nein","2008","5 Einkommensstärkstes Quintil","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","","","",""
"Ja","2009","2","221","0.0424772435929142","0.0364296139846964","0.0485248732011321"
"Ja","2009","3","56","0.00865180056675172","0.00604726435285587","0.0112563367806476"
"Ja","2009","4","20","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","","","",""
"Nein","2009","2","4051","0.957522756407086","0.951475126798868","0.963570386015304"
"Nein","2009","3","4801","0.991348199433248","0.988743663219352","0.993952735647144"
"Nein","2009","4","5330","0.995974922512654","0.994278310551351","0.997671534473957"
"Nein","2009","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","2","898","0.0608898107006162","0.0557623132610821","0.0660173081401503"
"Ja","2010","3","184","0.0144055204985439","0.0116572275280123","0.0171538134690755"
"Ja","2010","4","24","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","2","7457","0.939110189299384","0.93398269185985","0.944237686738918"
"Nein","2010","3","7037","0.985594479501456","0.982846186530924","0.988342772471988"
"Nein","2010","4","7281","0.997104182456655","0.995871946585378","0.998336418327932"
"Nein","2010","5 Einkommensstärkstes Quintil","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","","","",""
"Ja","2011","2","1307","0.0706797466843794","0.0654212470545086","0.0759382463142502"
"Ja","2011","3","285","0.0121092316237376","0.00979777166854984","0.0144206915789253"
"Ja","2011","4","40","0.00195208460471308","0.00104279791784418","0.00286137129158198"
"Ja","2011","5 Einkommensstärkstes Quintil","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","","","",""
"Nein","2011","2","7818","0.929320253315621","0.92406175368575","0.934578752945491"
"Nein","2011","3","8316","0.987890768376262","0.985579308421075","0.99020222833145"
"Nein","2011","4","9012","0.998047915395287","0.997138628708418","0.998957202082156"
"Nein","2011","5 Einkommensstärkstes Quintil","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","","","",""
"Ja","2012","2","1340","0.0759445924502747","0.0702869186143396","0.0816022662862098"
"Ja","2012","3","226","0.0120881393739497","0.00978827488843464","0.0143880038594648"
"Ja","2012","4","72","0.00459723195261752","0.00320628888252587","0.00598817502270917"
"Ja","2012","5 Einkommensstärkstes Quintil","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","","","",""
"Nein","2012","2","7082","0.924055407549725","0.91839773371379","0.92971308138566"
"Nein","2012","3","8447","0.98791186062605","0.985611996140535","0.990211725111565"
"Nein","2012","4","9014","0.995402768047382","0.994011824977291","0.996793711117474"
"Nein","2012","5 Einkommensstärkstes Quintil","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","","","",""
"Ja","2013","2","1282","0.0728177703067097","0.0675883499111584","0.078047190702261"
"Ja","2013","3","230","0.0116144390408715","0.00942042721032298","0.0138084508714201"
"Ja","2013","4","56","0.00156459336748491","0.000801302250976843","0.00232788448399298"
"Ja","2013","5 Einkommensstärkstes Quintil","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","","","",""
"Nein","2013","2","8202","0.92718222969329","0.921952809297739","0.932411650088842"
"Nein","2013","3","8931","0.988385560959128","0.98619154912858","0.990579572789677"
"Nein","2013","4","10244","0.998435406632515","0.997672115516007","0.999198697749023"
"Nein","2013","5 Einkommensstärkstes Quintil","","","",""
"Ja","2014","1 Einkommensschwächstes Quintil","","","",""
"Ja","2014","2","1101","0.0759707303105169","0.0700908727633023","0.0818505878577315"
"Ja","2014","3","289","0.0188864597494697","0.0159351225933199","0.0218377969056195"
"Ja","2014","4","29","","",""
"Ja","2014","5 Einkommensstärkstes Quintil","","","",""
"Nein","2014","1 Einkommensschwächstes Quintil","","","",""
"Nein","2014","2","6699","0.924029269689483","0.918149412142269","0.929909127236698"
"Nein","2014","3","7883","0.98111354025053","0.978162203094381","0.98406487740668"
"Nein","2014","4","9512","0.99845043133315","0.997661171846601","0.9992396908197"
"Nein","2014","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","2","784","0.062924300422374","0.0572463636228552","0.0686022372218928"
"Ja","2015","3","249","0.0161848711253073","0.0133864946366795","0.0189832476139352"
"Ja","2015","4","44","0.00236343272253967","0.00137511686677728","0.00335174857830207"
"Ja","2015","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","2","6242","0.937075699577626","0.931397762778107","0.942753636377145"
"Nein","2015","3","7562","0.983815128874693","0.981016752386065","0.986613505363321"
"Nein","2015","4","9229","0.99763656727746","0.996648251421698","0.998624883133223"
"Nein","2015","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","2","681","0.0699454929497293","0.0635637474024636","0.0763272384969949"
"Ja","2016","3","246","0.0179707378030917","0.0148006587610061","0.0211408168451773"
"Ja","2016","4","25","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","2","5455","0.930054507050271","0.923672761503005","0.936436252597536"
"Nein","2016","3","6500","0.982029262196908","0.978859183154823","0.985199341238994"
"Nein","2016","4","9104","0.996780466584104","0.99561839544479","0.997942537723417"
"Nein","2016","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","2","654","0.0702401773141581","0.0639875828952767","0.0764927717330395"
"Ja","2017","3","303","0.0227858856025763","0.0193618876191272","0.0262098835860254"
"Ja","2017","4","58","0.00554372786382266","0.00409230470999837","0.00699515101764694"
"Ja","2017","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","2","5763","0.929759822685842","0.923507228266961","0.936012417104723"
"Nein","2017","3","6993","0.977214114397424","0.973790116413975","0.980638112380873"
"Nein","2017","4","9995","0.994456272136177","0.993004848982353","0.995907695290002"
"Nein","2017","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","2","906","0.0779090931182802","0.0712853464742987","0.0845328397622617"
"Ja","2018","3","443","0.0383844859933901","0.0338962963036471","0.0428726756831332"
"Ja","2018","4","82","0.00456291517538637","0.00325915797501187","0.00586667237576087"
"Ja","2018","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","2","5384","0.92209090688172","0.915467160237738","0.928714653525701"
"Nein","2018","3","6596","0.96161551400661","0.957127324316867","0.966103703696353"
"Nein","2018","4","10183","0.995437084824614","0.994133327624239","0.996740842024988"
"Nein","2018","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","2","739","0.0931247979378505","0.0857282823077789","0.100521313567922"
"Ja","2019","3","431","0.0348026756966254","0.0302602950530572","0.0393450563401935"
"Ja","2019","4","72","0.00586995581853778","0.00438412785617828","0.00735578378089728"
"Ja","2019","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","2","5191","0.90687520206215","0.899478686432078","0.914271717692221"
"Nein","2019","3","5823","0.965197324303375","0.960654943659807","0.969739704946943"
"Nein","2019","4","10082","0.994130044181462","0.992644216219103","0.995615872143822"
"Nein","2019","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","2","784","0.08114676231756","0.0748794197388897","0.0874141048962302"
"Ja","2020","3","455","0.0386176454427974","0.0338959183237101","0.0433393725618847"
"Ja","2020","4","82","0.00490135677222382","0.00355920457108268","0.00624350897336496"
"Ja","2020","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","2","6508","0.91885323768244","0.91258589510377","0.92512058026111"
"Nein","2020","3","5942","0.961382354557203","0.956660627438115","0.96610408167629"
"Nein","2020","4","10319","0.995098643227776","0.993756491026635","0.996440795428917"
"Nein","2020","5 Einkommensstärkstes Quintil","","","",""
