"pli0097_h","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1986","(Fach-)Abitur","direkter Migrationshintergrund","3","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1986","AkademikerIn","kein Migrationshintergrund","22","","",""
"Min 1x pro Monat","1986","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1986","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","(noch) kein Abschluss","kein Migrationshintergrund","4","0.0172207902200095","-0.000168561012767666","0.0346101414527867"
"Seltener","1986","(noch) kein Abschluss","direkter Migrationshintergrund","11","","",""
"Seltener","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Seltener","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","Hauptschule","kein Migrationshintergrund","167","","",""
"Seltener","1986","Hauptschule","direkter Migrationshintergrund","29","","",""
"Seltener","1986","Hauptschule","indirekter Migrationshintergrund","3","","",""
"Seltener","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","Realschule","kein Migrationshintergrund","106","","",""
"Seltener","1986","Realschule","direkter Migrationshintergrund","7","0.0347931712619229","0.00475750482435438","0.0648288376994915"
"Seltener","1986","Realschule","indirekter Migrationshintergrund","1","","",""
"Seltener","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","(Fach-)Abitur","kein Migrationshintergrund","61","0.1150879920609","0.0888434515320603","0.141332532589739"
"Seltener","1986","(Fach-)Abitur","direkter Migrationshintergrund","12","","",""
"Seltener","1986","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Seltener","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1986","AkademikerIn","kein Migrationshintergrund","86","0.134437324698865","0.107757838586556","0.161116810811174"
"Seltener","1986","AkademikerIn","direkter Migrationshintergrund","7","0.0719625842237","0.02344815117695","0.12047701727045"
"Seltener","1986","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Seltener","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","(noch) kein Abschluss","kein Migrationshintergrund","208","","",""
"Nie","1986","(noch) kein Abschluss","direkter Migrationshintergrund","763","0.974868488542309","0.963883917289627","0.98585305979499"
"Nie","1986","(noch) kein Abschluss","indirekter Migrationshintergrund","19","","",""
"Nie","1986","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","Hauptschule","kein Migrationshintergrund","4162","0.938695656982911","0.931645114206418","0.945746199759405"
"Nie","1986","Hauptschule","direkter Migrationshintergrund","1423","","",""
"Nie","1986","Hauptschule","indirekter Migrationshintergrund","80","0.977009503967598","0.944959210318531","1.00905979761667"
"Nie","1986","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","Realschule","kein Migrationshintergrund","1448","","",""
"Nie","1986","Realschule","direkter Migrationshintergrund","134","","",""
"Nie","1986","Realschule","indirekter Migrationshintergrund","30","0.993719036555149","0.965908319805748","1.02152975330455"
"Nie","1986","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","(Fach-)Abitur","kein Migrationshintergrund","473","0.822390865610177","0.790960769362003","0.853820961858352"
"Nie","1986","(Fach-)Abitur","direkter Migrationshintergrund","210","","",""
"Nie","1986","(Fach-)Abitur","indirekter Migrationshintergrund","8","0.907532994853513","0.718276216088911","1.09678977361811"
"Nie","1986","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1986","AkademikerIn","kein Migrationshintergrund","502","0.805664798802902","0.774717610268237","0.836611987337566"
"Nie","1986","AkademikerIn","direkter Migrationshintergrund","98","0.881136015990221","0.820381095068412","0.941890936912031"
"Nie","1986","AkademikerIn","indirekter Migrationshintergrund","2","","",""
"Nie","1986","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1987","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1987","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1987","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1987","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1987","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1987","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1987","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1987","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","Realschule","kein Migrationshintergrund","","","",""
"Nie","1987","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1987","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1987","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1987","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1987","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1987","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1987","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1987","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1987","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1987","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1988","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1988","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1988","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1988","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1988","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1988","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1988","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1988","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1988","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1988","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1988","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1988","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","direkter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1988","Hauptschule","kein Migrationshintergrund","23","","",""
