"pli0097_h","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1989","kein Migrationshintergrund","","","",""
"Taeglich","1989","direkter Migrationshintergrund","","","",""
"Taeglich","1989","indirekter Migrationshintergrund","","","",""
"Taeglich","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1989","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1989","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1989","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1989","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1989","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1989","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1989","kein Migrationshintergrund","","","",""
"Seltener","1989","direkter Migrationshintergrund","","","",""
"Seltener","1989","indirekter Migrationshintergrund","","","",""
"Seltener","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1989","kein Migrationshintergrund","","","",""
"Nie","1989","direkter Migrationshintergrund","","","",""
"Nie","1989","indirekter Migrationshintergrund","","","",""
"Nie","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","kein Migrationshintergrund","20","","",""
"Taeglich","1990","direkter Migrationshintergrund","4","0.00103464680645347","-0.000189857662388831","0.00225915127529578"
"Taeglich","1990","indirekter Migrationshintergrund","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","kein Migrationshintergrund","155","","",""
"Min 1x pro Woche","1990","direkter Migrationshintergrund","17","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","396","0.0326230271359665","0.0292673443146239","0.035978709957309"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","39","0.0192577509819143","0.0140233218274827","0.024492180136346"
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","3","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","kein Migrationshintergrund","1383","","",""
"Seltener","1990","direkter Migrationshintergrund","149","","",""
"Seltener","1990","indirekter Migrationshintergrund","19","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","kein Migrationshintergrund","8812","0.82220741461048","0.814985232745513","0.829429596475447"
"Nie","1990","direkter Migrationshintergrund","2439","","",""
"Nie","1990","indirekter Migrationshintergrund","271","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","kein Migrationshintergrund","","","",""
"Taeglich","1991","direkter Migrationshintergrund","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","kein Migrationshintergrund","","","",""
"Seltener","1991","direkter Migrationshintergrund","","","",""
"Seltener","1991","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","kein Migrationshintergrund","","","",""
"Nie","1991","direkter Migrationshintergrund","","","",""
"Nie","1991","indirekter Migrationshintergrund","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","kein Migrationshintergrund","","","",""
"Taeglich","1992","direkter Migrationshintergrund","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","kein Migrationshintergrund","103","","",""
"Min 1x pro Woche","1992","direkter Migrationshintergrund","8","0.00237723069577216","0.000468270258887732","0.00428619113265658"
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","kein Migrationshintergrund","218","","",""
"Min 1x pro Monat","1992","direkter Migrationshintergrund","11","","",""
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","3","","",""
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","kein Migrationshintergrund","617","0.0599072034349193","0.0553021961970249","0.0645122106728136"
"Seltener","1992","direkter Migrationshintergrund","94","0.0462429414996392","0.0380106698095063","0.0544752131897721"
"Seltener","1992","indirekter Migrationshintergrund","21","","",""
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","kein Migrationshintergrund","9264","0.909667117577601","0.90410462283276","0.915229612322442"
"Nie","1992","direkter Migrationshintergrund","2387","","",""
"Nie","1992","indirekter Migrationshintergrund","374","0.913954384193408","0.886403649239035","0.941505119147781"
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","kein Migrationshintergrund","","","",""
"Taeglich","1993","direkter Migrationshintergrund","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1993","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1993","kein Migrationshintergrund","","","",""
"Seltener","1993","direkter Migrationshintergrund","","","",""
"Seltener","1993","indirekter Migrationshintergrund","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1993","kein Migrationshintergrund","","","",""
"Nie","1993","direkter Migrationshintergrund","","","",""
"Nie","1993","indirekter Migrationshintergrund","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1994","kein Migrationshintergrund","","","",""
"Taeglich","1994","direkter Migrationshintergrund","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1994","kein Migrationshintergrund","94","0.00864162463213232","0.00681847799922452","0.0104647712650401"
"Min 1x pro Woche","1994","direkter Migrationshintergrund","12","","",""
"Min 1x pro Woche","1994","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1994","kein Migrationshintergrund","188","","",""
"Min 1x pro Monat","1994","direkter Migrationshintergrund","17","","",""
"Min 1x pro Monat","1994","indirekter Migrationshintergrund","5","0.015478576926586","0.00449217907661005","0.0264649747765619"
"Min 1x pro Monat","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1994","kein Migrationshintergrund","653","0.0685933870301722","0.0636146482194246","0.0735721258409199"
"Seltener","1994","direkter Migrationshintergrund","106","","",""
"Seltener","1994","indirekter Migrationshintergrund","22","","",""
"Seltener","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1994","kein Migrationshintergrund","8966","0.905985331593696","0.90023666722816","0.911733995959231"
"Nie","1994","direkter Migrationshintergrund","2195","","",""
"Nie","1994","indirekter Migrationshintergrund","458","0.930322470486493","0.907663490852179","0.952981450120806"
"Nie","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1995","kein Migrationshintergrund","21","","",""
"Taeglich","1995","direkter Migrationshintergrund","4","0.000640588441681318","-0.000303692800504542","0.00158486968386718"
"Taeglich","1995","indirekter Migrationshintergrund","1","","",""
"Taeglich","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1995","kein Migrationshintergrund","105","","",""
"Min 1x pro Woche","1995","direkter Migrationshintergrund","16","","",""
"Min 1x pro Woche","1995","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1995","kein Migrationshintergrund","209","","",""
"Min 1x pro Monat","1995","direkter Migrationshintergrund","24","","",""
"Min 1x pro Monat","1995","indirekter Migrationshintergrund","4","0.0165483588277916","0.00541088254551861","0.0276858351100645"
"Min 1x pro Monat","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1995","kein Migrationshintergrund","875","0.0916427366767548","0.085965359628668","0.0973201137248416"
"Seltener","1995","direkter Migrationshintergrund","120","","",""
"Seltener","1995","indirekter Migrationshintergrund","24","","",""
"Seltener","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1995","kein Migrationshintergrund","8711","0.875534842164041","0.869039067064281","0.882030617263801"
"Nie","1995","direkter Migrationshintergrund","2594","","",""
"Nie","1995","indirekter Migrationshintergrund","473","0.89292340091313","0.865928159875459","0.9199186419508"
"Nie","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1996","kein Migrationshintergrund","","","",""
"Taeglich","1996","direkter Migrationshintergrund","","","",""
"Taeglich","1996","indirekter Migrationshintergrund","","","",""
"Taeglich","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1996","kein Migrationshintergrund","92","0.00816083336345794","0.00638357662066379","0.00993809010625209"
"Min 1x pro Woche","1996","direkter Migrationshintergrund","7","0.00395844527737878","0.0015374001317955","0.00637949042296206"
"Min 1x pro Woche","1996","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1996","kein Migrationshintergrund","172","","",""
"Min 1x pro Monat","1996","direkter Migrationshintergrund","13","","",""
"Min 1x pro Monat","1996","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Monat","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1996","kein Migrationshintergrund","841","0.091311300833188","0.0856210407512397","0.0970015609151362"
"Seltener","1996","direkter Migrationshintergrund","117","","",""
"Seltener","1996","indirekter Migrationshintergrund","32","0.0714568646750572","0.049771263420103","0.0931424659300114"
"Seltener","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1996","kein Migrationshintergrund","8739","0.883676917531316","0.877343443487373","0.890010391575258"
"Nie","1996","direkter Migrationshintergrund","2447","","",""
"Nie","1996","indirekter Migrationshintergrund","506","0.91473080968959","0.891218723188231","0.93824289619095"
"Nie","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1997","kein Migrationshintergrund","","","",""
"Taeglich","1997","direkter Migrationshintergrund","","","",""
"Taeglich","1997","indirekter Migrationshintergrund","","","",""
"Taeglich","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1997","kein Migrationshintergrund","81","0.00895896624679726","0.00708265105677803","0.0108352814368165"
"Min 1x pro Woche","1997","direkter Migrationshintergrund","10","","",""
"Min 1x pro Woche","1997","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1997","kein Migrationshintergrund","186","","",""
"Min 1x pro Monat","1997","direkter Migrationshintergrund","20","","",""
"Min 1x pro Monat","1997","indirekter Migrationshintergrund","8","0.0207629324311816","0.00900550965957607","0.0325203552027872"
"Min 1x pro Monat","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1997","kein Migrationshintergrund","673","0.0738976670107953","0.0686884088719883","0.0791069251496024"
"Seltener","1997","direkter Migrationshintergrund","95","0.0505053700705701","0.0418306110431406","0.0591801290979996"
"Seltener","1997","indirekter Migrationshintergrund","19","","",""
"Seltener","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1997","kein Migrationshintergrund","8748","0.898784116070307","0.892778147483203","0.904790084657411"
"Nie","1997","direkter Migrationshintergrund","2323","","",""
"Nie","1997","indirekter Migrationshintergrund","536","0.929511926045209","0.908405768662856","0.950618083427561"
"Nie","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1998","kein Migrationshintergrund","16","","",""
"Taeglich","1998","direkter Migrationshintergrund","","","",""
"Taeglich","1998","indirekter Migrationshintergrund","","","",""
"Taeglich","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1998","kein Migrationshintergrund","85","0.00766910689904467","0.00605080970789488","0.00928740409019446"
"Min 1x pro Woche","1998","direkter Migrationshintergrund","9","0.00404831968844504","0.0015015629470122","0.00659507642987787"
"Min 1x pro Woche","1998","indirekter Migrationshintergrund","3","","",""
"Min 1x pro Woche","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1998","kein Migrationshintergrund","209","","",""
"Min 1x pro Monat","1998","direkter Migrationshintergrund","31","0.0141161494419877","0.00938461582754063","0.0188476830564348"
"Min 1x pro Monat","1998","indirekter Migrationshintergrund","6","0.010581573785857","0.00236690437432952","0.0187962431973846"
"Min 1x pro Monat","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1998","kein Migrationshintergrund","1114","","",""
"Seltener","1998","direkter Migrationshintergrund","162","","",""
"Seltener","1998","indirekter Migrationshintergrund","46","0.0907721881263941","0.0677080240328076","0.113836352219981"
"Seltener","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1998","kein Migrationshintergrund","9739","0.868165141604849","0.861889271744618","0.87444101146508"
"Nie","1998","direkter Migrationshintergrund","2186","","",""
"Nie","1998","indirekter Migrationshintergrund","541","0.884608506607963","0.858958503987179","0.910258509228746"
"Nie","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1999","kein Migrationshintergrund","","","",""
"Taeglich","1999","direkter Migrationshintergrund","","","",""
"Taeglich","1999","indirekter Migrationshintergrund","","","",""
"Taeglich","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1999","kein Migrationshintergrund","109","","",""
"Min 1x pro Woche","1999","direkter Migrationshintergrund","10","","",""
"Min 1x pro Woche","1999","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Woche","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1999","kein Migrationshintergrund","202","","",""
"Min 1x pro Monat","1999","direkter Migrationshintergrund","13","","",""
"Min 1x pro Monat","1999","indirekter Migrationshintergrund","8","0.0181033032267006","0.0074618424804866","0.0287447639729147"
"Min 1x pro Monat","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1999","kein Migrationshintergrund","846","0.0774830842172578","0.0724333190008737","0.0825328494336418"
"Seltener","1999","direkter Migrationshintergrund","95","0.0503078568146371","0.0411428730282325","0.0594728406010418"
"Seltener","1999","indirekter Migrationshintergrund","33","0.0489476414113033","0.0317266744594872","0.0661686083631194"
"Seltener","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1999","kein Migrationshintergrund","9611","0.895085718250719","0.889297696062426","0.900873740439012"
"Nie","1999","direkter Migrationshintergrund","2067","","",""
"Nie","1999","indirekter Migrationshintergrund","560","0.922155910996092","0.900771148442076","0.943540673550108"
"Nie","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","2000","kein Migrationshintergrund","","","",""
"Taeglich","2000","direkter Migrationshintergrund","","","",""
"Taeglich","2000","indirekter Migrationshintergrund","","","",""
"Taeglich","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","2000","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2000","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","2000","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","2000","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2000","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","2000","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2000","kein Migrationshintergrund","","","",""
"Seltener","2000","direkter Migrationshintergrund","","","",""
"Seltener","2000","indirekter Migrationshintergrund","","","",""
"Seltener","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2000","kein Migrationshintergrund","","","",""
"Nie","2000","direkter Migrationshintergrund","","","",""
"Nie","2000","indirekter Migrationshintergrund","","","",""
"Nie","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","2001","kein Migrationshintergrund","","","",""
"Taeglich","2001","direkter Migrationshintergrund","","","",""
"Taeglich","2001","indirekter Migrationshintergrund","","","",""
"Taeglich","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","2001","kein Migrationshintergrund","177","","",""
"Min 1x pro Woche","2001","direkter Migrationshintergrund","10","","",""
"Min 1x pro Woche","2001","indirekter Migrationshintergrund","5","0.00863477744356872","0.00206125459779256","0.0152083002893449"
"Min 1x pro Woche","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","2001","kein Migrationshintergrund","350","0.0192608266233184","0.0172524427216814","0.0212692105249554"
"Min 1x pro Monat","2001","direkter Migrationshintergrund","24","","",""
"Min 1x pro Monat","2001","indirekter Migrationshintergrund","2","","",""
"Min 1x pro Monat","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2001","kein Migrationshintergrund","1275","","",""
"Seltener","2001","direkter Migrationshintergrund","86","0.0304325602789719","0.0241590573681895","0.0367060631897544"
"Seltener","2001","indirekter Migrationshintergrund","27","","",""
"Seltener","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2001","kein Migrationshintergrund","16188","","",""
"Nie","2001","direkter Migrationshintergrund","2760","","",""
"Nie","2001","indirekter Migrationshintergrund","727","0.948832725641928","0.93317795418358","0.964487497100275"
"Nie","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","2002","kein Migrationshintergrund","","","",""
"Taeglich","2002","direkter Migrationshintergrund","","","",""
"Taeglich","2002","indirekter Migrationshintergrund","","","",""
"Taeglich","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","2002","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2002","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","2002","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","2002","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2002","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","2002","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2002","kein Migrationshintergrund","","","",""
"Seltener","2002","direkter Migrationshintergrund","","","",""
"Seltener","2002","indirekter Migrationshintergrund","","","",""
"Seltener","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2002","kein Migrationshintergrund","","","",""
"Nie","2002","direkter Migrationshintergrund","","","",""
"Nie","2002","indirekter Migrationshintergrund","","","",""
"Nie","2002","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","2003","kein Migrationshintergrund","44","0.00143314456336025","0.000890187441041334","0.00197610168567917"
"Taeglich","2003","direkter Migrationshintergrund","2","","",""
"Taeglich","2003","indirekter Migrationshintergrund","","","",""
"Taeglich","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","2003","kein Migrationshintergrund","186","","",""
"Min 1x pro Woche","2003","direkter Migrationshintergrund","16","","",""
"Min 1x pro Woche","2003","indirekter Migrationshintergrund","6","0.00425021783850215","-0.000321074517915949","0.00882151019492026"
"Min 1x pro Woche","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","2003","kein Migrationshintergrund","423","0.0208714005654114","0.0188196355264108","0.0229231656044119"
"Min 1x pro Monat","2003","direkter Migrationshintergrund","19","","",""
"Min 1x pro Monat","2003","indirekter Migrationshintergrund","6","0.0102651747827618","0.00318244141984495","0.0173479081456786"
"Min 1x pro Monat","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2003","kein Migrationshintergrund","1838","","",""
"Seltener","2003","direkter Migrationshintergrund","111","","",""
"Seltener","2003","indirekter Migrationshintergrund","47","0.0703372794504729","0.0523686983652594","0.0883058605356863"
"Seltener","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2003","kein Migrationshintergrund","16157","","",""
"Nie","2003","direkter Migrationshintergrund","2453","","",""
"Nie","2003","indirekter Migrationshintergrund","719","0.915147327928263","0.895566251521128","0.934728404335399"
"Nie","2003","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","2004","kein Migrationshintergrund","","","",""
"Taeglich","2004","direkter Migrationshintergrund","","","",""
"Taeglich","2004","indirekter Migrationshintergrund","","","",""
"Taeglich","2004","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","2004","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2004","direkter Migrationshintergrund","","","",""
