year,migback,sampreg,ple0009,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2019,Indirect migration background,East,"Yes, strongly limited",0.08695652173913043,42417,0.08427499022095278,0.08963805325730809
2021,No migration background,West,"No, not limited at all",0.6765357502517624,27598,0.671016554651119,0.6820549458524058
2021,No migration background,West,"Yes, somewhat limited",0.2406847935548842,27598,0.23564105413435435,0.24572853297541405
2021,No migration background,West,"Yes, strongly limited",0.08277945619335347,27598,0.07952846766179579,0.08603044472491116
2021,No migration background,East,"No, not limited at all",0.6300825435646591,27598,0.6243865642544223,0.6357785228748959
2021,No migration background,East,"Yes, somewhat limited",0.2830938550901865,27598,0.27777872817710236,0.2884089820032706
2021,No migration background,East,"Yes, strongly limited",0.08682360134515439,27598,0.08350149520878797,0.09014570748152081
2021,Direct migration background,West,"No, not limited at all",0.7666391070690368,27598,0.7616488055169449,0.7716294086211287
2021,Direct migration background,West,"Yes, somewhat limited",0.17424555601488217,27598,0.1697702413004564,0.17872087072930795
2021,Direct migration background,West,"Yes, strongly limited",0.05911533691608103,27598,0.05633283452996302,0.06189783930219903
2021,Direct migration background,East,"No, not limited at all",0.7889908256880734,27598,0.7841768497865595,0.7938048015895873
2021,Direct migration background,East,"Yes, somewhat limited",0.1706422018348624,27598,0.16620375056989262,0.17508065309983217
2021,Direct migration background,East,"Yes, strongly limited",0.04036697247706422,27598,0.03804486162134516,0.04268908333278328
2021,Indirect migration background,West,"No, not limited at all",0.7782963827304551,27598,0.7733954791121731,0.7831972863487371
2021,Indirect migration background,West,"Yes, somewhat limited",0.17736289381563594,27598,0.17285625454557246,0.18186953308569942
2021,Indirect migration background,West,"Yes, strongly limited",0.044340723453908985,27598,0.041912044029805334,0.046769402878012636
2021,Indirect migration background,East,"No, not limited at all",0.8375,27598,0.8331475242840054,0.8418524757159946
2021,Indirect migration background,East,"Yes, somewhat limited",0.1125,27598,0.10877198450915722,0.11622801549084279
2021,Indirect migration background,East,"Yes, strongly limited",0.05,27598,0.04742863297045934,0.05257136702954066
