"year","hhtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1994","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1994","Alleinerziehende","Westdeutschland","0.84","0.5","620","0","0","1","2","5","0.75","0.93","0","5","1","1"
"1994","Paar mit Kind(ern)","Ostdeutschland","1.38","0.5","3146","0","1","2","2","4","1.34","1.42","0","5","1","1"
"1994","Paar mit Kind(ern)","Westdeutschland","1.41","0.5","7020","0","0","2","3","5","1.38","1.44","0","5","1","1"
"1994","Sonstige","Ostdeutschland","0.84","0.5","325","0","0","1","2","4","0.75","0.93","0","4","1","1"
"1994","Sonstige","Westdeutschland","1.09","0.5","865","0","0","2","3","5","1","1.18","0","6","1","1"
"1995","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","0","0","994","0","0","0","0","0","0","0","0","0","0","0"
"1995","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1995","1-Pers.- Haushalt","Ostdeutschland","0","0","325","0","0","0","0","0","0","0","0","0","0","0"
"1995","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1995","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1995","Alleinerziehende","Westdeutschland","0.95","0.5","665","0","0","1","2","5","0.86","1.04","0","5","1","1"
"1995","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1995","Paar mit Kind(ern)","Westdeutschland","1.47","0.5","7540","0","1","2","3","5","1.44","1.5","0","9","1","1"
"1995","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1995","Sonstige","Westdeutschland","1.09","0.5","907","0","0","2","3","4","1.02","1.16","0","5","1","1"
"1996","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1996","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1996","1-Pers.- Haushalt","Ostdeutschland","0","0","344","0","0","0","0","0","0","0","0","0","0","0"
"1996","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1996","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1996","Alleinerziehende","Westdeutschland","0.88","0.5","699","0","0","1","2","5","0.8","0.96","0","5","1","1"
"1996","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1996","Paar mit Kind(ern)","Westdeutschland","1.48","0.5","7329","0","1","2","3","5","1.45","1.51","0","9","1","1"
"1996","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1996","Sonstige","Westdeutschland","1.09","0.5","813","0","0","2","3","5","1.01","1.17","0","5","1","1"
"1997","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1997","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","","","","","","","","","","","",""
"1997","1-Pers.- Haushalt","Ostdeutschland","0","0","349","0","0","0","0","0","0","0","0","0","0","0"
"1997","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1997","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"1997","Alleinerziehende","Westdeutschland","0.97","0.5","681","0","0","1","2","4","0.89","1.05","0","4","1","1"
"1997","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1997","Paar mit Kind(ern)","Westdeutschland","1.49","0.5","7126","0","1","2","3","5","1.46","1.52","0","10","1","1"
"1997","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1997","Sonstige","Westdeutschland","1.04","0.5","802","0","0","2","3","4","0.95","1.13","0","5","1","1"
"1998","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1998","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","3162","0","0","0","0","0","0","0","0","1","0","0"
"1998","1-Pers.- Haushalt","Ostdeutschland","0","0","403","0","0","0","0","0","0","0","0","1","0","0"
"1998","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1998","Alleinerziehende","Ostdeutschland","1.16","0.5","302","0","0","2","3","3","1.05","1.27","0","3","1","1"
"1998","Alleinerziehende","Westdeutschland","1.01","0.5","803","0","0","1","3","4","0.93","1.09","0","5","1","1"
"1998","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1998","Paar mit Kind(ern)","Westdeutschland","1.5","0.5","7816","0","1","2","3","5","1.47","1.53","0","9","1","1"
"1998","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1998","Sonstige","Westdeutschland","1.05","0.5","738","0","0","2","3","4","0.97","1.13","0","4","1","1"
"1999","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","3106","0","0","0","0","0","0","0","0","0","0","0"
"1999","1-Pers.- Haushalt","Ostdeutschland","0","0","417","0","0","0","0","0","0","0","0","1","0","0"
"1999","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"1999","Alleinerziehende","Ostdeutschland","1.19","0.5","339","0","1","2","3","4","1.08","1.3","0","4","1","1"
"1999","Alleinerziehende","Westdeutschland","1.05","0.5","776","0","0","2","2","4","0.97","1.13","0","5","1","1"
"1999","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"1999","Paar mit Kind(ern)","Westdeutschland","1.51","0.5","7602","0","1","2","3","4","1.48","1.54","0","10","1","1"
"1999","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"1999","Sonstige","Westdeutschland","0.91","0","512","0","0","2","3","4","0.81","1.01","0","4","1","1"
"2000","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2000","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","6006","0","0","0","0","0","0","0","0","1","0","0"
"2000","1-Pers.- Haushalt","Ostdeutschland","0","0","763","0","0","0","0","0","0","0","0","0","0","0"
"2000","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2000","Alleinerziehende","Ostdeutschland","1.24","0.5","528","0","1","2","3","4","1.15","1.33","0","4","1","1"
"2000","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2000","Paar mit Kind(ern)","Ostdeutschland","1.26","0.5","3903","0","1","2","2","3","1.23","1.29","0","5","1","1"
"2000","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2000","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2000","Sonstige","Westdeutschland","0.74","0","965","0","0","1","2","4","0.67","0.81","0","4","1","1"
"2001","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2001","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5328","0","0","0","0","0","0","0","0","0","0","0"
"2001","1-Pers.- Haushalt","Ostdeutschland","0","0","706","0","0","0","0","0","0","0","0","0","0","0"
"2001","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2001","Alleinerziehende","Ostdeutschland","1.1","0.5","484","0","0","2","2","3","1.01","1.19","0","4","1","1"
"2001","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2001","Paar mit Kind(ern)","Ostdeutschland","1.2","0.5","3516","0","0","2","2","3","1.17","1.23","0","5","1","1"
"2001","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2001","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2001","Sonstige","Westdeutschland","0.83","0","883","0","0","1","3","4","0.75","0.91","0","5","1","1"
"2002","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2002","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5938","0","0","0","0","0","0","0","0","0","0","0"
"2002","1-Pers.- Haushalt","Ostdeutschland","0","0","716","0","0","0","0","0","0","0","0","0","0","0"
"2002","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2002","Alleinerziehende","Ostdeutschland","1.05","0.5","458","0","0","2","2","3","0.96","1.14","0","3","1","1"
"2002","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2002","Paar mit Kind(ern)","Ostdeutschland","1.25","0.5","3479","0","1","2","3","4","1.22","1.28","0","6","1","1"
"2002","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2002","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2002","Sonstige","Westdeutschland","0.69","0","833","0","0","1","2","4","0.61","0.77","0","5","0","1"
"2003","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5708","0","0","0","0","0","0","0","0","0","0","0"
"2003","1-Pers.- Haushalt","Ostdeutschland","0","0","706","0","0","0","0","0","0","0","0","1","0","0"
"2003","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2003","Alleinerziehende","Ostdeutschland","1.06","0.5","428","0","0","2","2","4","0.97","1.15","0","4","1","1"
"2003","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2003","Paar mit Kind(ern)","Ostdeutschland","1.23","0.5","3300","0","0","2","2","5","1.19","1.27","0","8","1","1"
"2003","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2003","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2003","Sonstige","Westdeutschland","0.78","0","684","0","0","1","2","4","0.68","0.88","0","5","0","1"
"2004","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2004","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5740","0","0","0","0","0","0","0","0","0","0","0"
"2004","1-Pers.- Haushalt","Ostdeutschland","0","0","698","0","0","0","0","0","0","0","0","1","0","0"
"2004","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2004","Alleinerziehende","Ostdeutschland","1.01","0.5","441","0","0","2","2","4","0.92","1.1","0","4","1","1"
"2004","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2004","Paar mit Kind(ern)","Ostdeutschland","1.16","0.5","3154","0","0","2","2","5","1.12","1.2","0","9","1","1"
"2004","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2004","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2004","Sonstige","Westdeutschland","0.68","0","612","0","0","1","2","4","0.58","0.78","0","6","0","1"
"2005","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5556","0","0","0","0","0","0","0","0","0","0","0"
"2005","1-Pers.- Haushalt","Ostdeutschland","0","0","715","0","0","0","0","0","0","0","0","0","0","0"
"2005","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2005","Alleinerziehende","Ostdeutschland","1.02","0.5","454","0","0","1","3","4","0.92","1.12","0","5","1","1"
"2005","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2005","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"2005","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2005","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2005","Sonstige","Westdeutschland","0.79","0","580","0","0","1","2","5","0.67","0.91","0","6","0","1"
"2006","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2006","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","6264","0","0","0","0","0","0","0","0","1","0","0"
"2006","1-Pers.- Haushalt","Ostdeutschland","0","0","817","0","0","0","0","0","0","0","0","0","0","0"
"2006","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2006","Alleinerziehende","Ostdeutschland","1.04","0.5","466","0","0","2","2","3","0.96","1.12","0","3","1","1"
"2006","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2006","Paar mit Kind(ern)","Ostdeutschland","1.19","0.5","3048","0","0","2","2","4","1.15","1.23","0","7","1","1"
"2006","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2006","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Sonstige","Westdeutschland","0.89","0","583","0","0","2","2","5","0.78","1","0","6","0","0"
"2007","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2007","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5772","0","0","0","0","0","0","0","0","1","0","0"
"2007","1-Pers.- Haushalt","Ostdeutschland","0","0","764","0","0","0","0","0","0","0","0","1","0","0"
"2007","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2007","Alleinerziehende","Ostdeutschland","0.97","0.5","454","0","0","2","2","3","0.88","1.06","0","3","1","1"
"2007","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2007","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2007","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Sonstige","Westdeutschland","0.75","0","484","0","0","1","2","5","0.63","0.87","0","6","0","0"
"2008","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2008","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5512","0","0","0","0","0","0","0","0","0","0","0"
"2008","1-Pers.- Haushalt","Ostdeutschland","0","0","748","0","0","0","0","0","0","0","0","0","0","0"
"2008","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2008","Alleinerziehende","Ostdeutschland","1.01","0.5","429","0","0","2","2","5","0.91","1.11","0","5","1","1"
"2008","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2008","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Paar mit Kind(ern)","Westdeutschland","1.36","0.5","9604","0","1","2","3","4","1.34","1.38","0","6","1","1"
"2008","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Sonstige","Westdeutschland","0.92","0.5","406","0","0","2","2","5","0.82","1.02","0","5","0","0"
"2009","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2009","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","5198","0","0","0","0","0","0","0","0","0","0","0"
"2009","1-Pers.- Haushalt","Ostdeutschland","0","0","728","0","0","0","0","0","0","0","0","0","0","0"
"2009","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2009","Alleinerziehende","Ostdeutschland","1.1","0.5","427","0","0","2","3","5","1","1.2","0","5","1","1"
"2009","Alleinerziehende","Westdeutschland","","","","","","","","","","","","","",""
"2009","Paar mit Kind(ern)","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Paar mit Kind(ern)","Westdeutschland","1.33","0.5","8805","0","0","2","3","4","1.31","1.35","0","6","1","1"
"2009","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Sonstige","Westdeutschland","0.61","0","342","0","0","1","2","3","0.53","0.69","0","3","0","0"
"2010","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2010","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","4948","0","0","0","0","0","0","0","0","0","0","0"
"2010","1-Pers.- Haushalt","Ostdeutschland","0","0","683","0","0","0","0","0","0","0","0","0","0","0"
"2010","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2010","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"2010","Alleinerziehende","Westdeutschland","1.01","0.5","3723","0","0","2","2","4","0.98","1.04","0","6","1","1"
"2010","Paar mit Kind(ern)","Ostdeutschland","1.13","0.5","4304","0","0","2","2","4","1.09","1.17","0","7","2","2"
"2010","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2010","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2010","Sonstige","Westdeutschland","0.74","0","476","0","0","2","2","3","0.63","0.85","0","6","1","1"
"2011","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
"2011","(Ehe-)Paar ohne Kind(er)","Westdeutschland","0","0","6568","0","0","0","0","0","0","0","0","0","0","0"
"2011","1-Pers.- Haushalt","Ostdeutschland","0","0","894","0","0","0","0","0","0","0","0","0","0","0"
"2011","1-Pers.- Haushalt","Westdeutschland","","","","","","","","","","","","","",""
"2011","Alleinerziehende","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Alleinerziehende","Westdeutschland","1.02","0.5","4561","0","0","2","2","4","0.99","1.05","0","6","1","1"
"2011","Paar mit Kind(ern)","Ostdeutschland","1.19","0.5","4599","0","0","2","2","4","1.15","1.23","0","7","2","2"
"2011","Paar mit Kind(ern)","Westdeutschland","","","","","","","","","","","","","",""
"2011","Sonstige","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Sonstige","Westdeutschland","0.72","0","614","0","0","1","2","3","0.61","0.83","0","7","1","1"
"2012","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","","","","","","","","","","","",""
