"hlc0180","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2017","3","Staedtischer Raum","131","0.0243714493436394","0.0198250349372238","0.0289178637500549"
"ja","2017","3","Laendlicher Raum","61","0.0132553881839922","0.00906467663242333","0.017446099735561"
"ja","2017","4","Staedtischer Raum","210","0.0203874504111685","0.0169186240115609","0.0238562768107761"
"ja","2017","4","Laendlicher Raum","86","0.0185863127736699","0.0142641886503843","0.0229084368969555"
"ja","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"ja","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"nein","2017","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"nein","2017","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"nein","2017","2","Staedtischer Raum","3519","0.988988078858703","0.985560486398239","0.992415671319167"
"nein","2017","2","Laendlicher Raum","2106","0.993128209148568","0.989624026161678","0.996632392135459"
"nein","2017","3","Staedtischer Raum","4288","0.975628550656361","0.971082136249945","0.980174965062776"
"nein","2017","3","Laendlicher Raum","2800","0.986744611816008","0.982553900264439","0.990935323367577"
"nein","2017","4","Staedtischer Raum","6166","0.979612549588831","0.976143723189224","0.983081375988439"
"nein","2017","4","Laendlicher Raum","3665","0.98141368722633","0.977091563103045","0.985735811349616"
"nein","2017","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"nein","2017","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"ja","2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2018","2","Staedtischer Raum","59","0.0127348250779613","0.00884133917846062","0.016628310977462"
"ja","2018","2","Laendlicher Raum","8","","",""
"ja","2018","3","Staedtischer Raum","64","0.00988856020630421","0.00688532992833155","0.0128917904842769"
"ja","2018","3","Laendlicher Raum","62","0.0178575625117377","0.0128314186955254","0.02288370632795"
"ja","2018","4","Staedtischer Raum","214","0.0216344675696459","0.0181133051124652","0.0251556300268266"
"ja","2018","4","Laendlicher Raum","82","0.0145962673316222","0.0107521346914034","0.0184403999718409"
"ja","2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"ja","2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"nein","2018","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"nein","2018","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"nein","2018","2","Staedtischer Raum","3127","0.987265174922039","0.983371689022538","0.991158660821539"
"nein","2018","2","Laendlicher Raum","1773","0.998659705926063","0.996960582437434","1.00035882941469"
"nein","2018","3","Staedtischer Raum","4106","0.990111439793696","0.987108209515723","0.993114670071669"
"nein","2018","3","Laendlicher Raum","2605","0.982142437488262","0.97711629367205","0.987168581304475"
"nein","2018","4","Staedtischer Raum","6344","0.978365532430354","0.974844369973173","0.981886694887535"
"nein","2018","4","Laendlicher Raum","3657","0.985403732668378","0.981559600028159","0.989247865308597"
"nein","2018","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"nein","2018","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"ja","2019","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2019","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2019","2","Staedtischer Raum","63","0.0159488249109109","0.0112128799547619","0.02068476986706"
"ja","2019","2","Laendlicher Raum","27","","",""
"ja","2019","3","Staedtischer Raum","116","0.0253471989488998","0.0200389411800886","0.030655456717711"
"ja","2019","3","Laendlicher Raum","23","","",""
"ja","2019","4","Staedtischer Raum","214","0.0257639596475909","0.0217842703232164","0.0297436489719653"
"ja","2019","4","Laendlicher Raum","99","0.0129611065988913","0.00935205689951513","0.0165701562982675"
"ja","2019","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"ja","2019","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"nein","2019","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"nein","2019","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"nein","2019","2","Staedtischer Raum","2625","0.984051175089089","0.97931523013294","0.988787120045238"
"nein","2019","2","Laendlicher Raum","1462","0.988244309338431","0.982769651541519","0.993718967135343"
"nein","2019","3","Staedtischer Raum","3252","0.9746528010511","0.969344543282289","0.979961058819911"
"nein","2019","3","Laendlicher Raum","2289","0.992208749874098","0.988624821876923","0.995792677871273"
"nein","2019","4","Staedtischer Raum","5874","0.974236040352409","0.970256351028035","0.978215729676783"
"nein","2019","4","Laendlicher Raum","3674","0.987038893401109","0.983429843701733","0.990647943100485"
"nein","2019","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"nein","2019","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"ja","2020","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"ja","2020","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"ja","2020","2","Staedtischer Raum","44","0.0157262011347893","0.0109973156466625","0.020455086622916"
"ja","2020","2","Laendlicher Raum","33","0.01739321425956","0.0108167569061943","0.0239696716129258"
"ja","2020","3","Staedtischer Raum","69","0.0274623975870245","0.0219075174476872","0.0330172777263617"
"ja","2020","3","Laendlicher Raum","44","0.0194435343171281","0.0135686501180306","0.0253184185162256"
"ja","2020","4","Staedtischer Raum","256","0.0299901952172429","0.0258348554034062","0.0341455350310796"
"ja","2020","4","Laendlicher Raum","92","0.0201183135274889","0.0156082342137508","0.024628392841227"
"ja","2020","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"ja","2020","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"nein","2020","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"nein","2020","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"nein","2020","2","Staedtischer Raum","2615","0.984273798865211","0.979544913377084","0.989002684353337"
"nein","2020","2","Laendlicher Raum","1485","0.98260678574044","0.976030328387074","0.989183243093806"
"nein","2020","3","Staedtischer Raum","3256","0.972537602412975","0.966982722273638","0.978092482552313"
"nein","2020","3","Laendlicher Raum","2078","0.980556465682872","0.974681581483774","0.986431349881969"
"nein","2020","4","Staedtischer Raum","6216","0.970009804782757","0.96585446496892","0.974165144596594"
"nein","2020","4","Laendlicher Raum","3631","0.979881686472511","0.975371607158773","0.984391765786249"
"nein","2020","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"nein","2020","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
