"plb0050","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Ja","2002","Realschule","kein Migrationshintergrund","","","",""
"Ja","2002","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2002","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2002","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2002","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2002","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2002","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2002","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2002","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2002","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2002","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2002","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2002","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2002","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2002","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2002","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2002","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2002","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2002","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2002","Realschule","kein Migrationshintergrund","","","",""
"Nein","2002","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2002","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2002","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2002","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2002","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2002","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2002","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2002","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2002","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2002","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2002","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2003","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2003","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2003","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","Realschule","kein Migrationshintergrund","","","",""
"Ja","2003","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2003","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2003","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2003","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2003","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2003","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2003","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2003","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2003","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2003","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2003","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2003","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2003","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2003","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2003","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2003","Realschule","kein Migrationshintergrund","","","",""
"Nein","2003","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2003","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2003","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2003","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2003","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2003","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2003","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2003","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2003","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2003","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2003","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","Realschule","kein Migrationshintergrund","","","",""
"Ja","2004","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2004","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2004","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2004","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2004","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2004","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2004","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2004","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2004","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2004","Realschule","kein Migrationshintergrund","","","",""
"Nein","2004","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2004","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2004","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2004","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2004","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2004","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2004","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2004","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2004","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2004","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2004","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","Realschule","kein Migrationshintergrund","","","",""
"Ja","2005","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2005","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2005","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2005","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2005","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2005","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2005","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2005","Realschule","kein Migrationshintergrund","","","",""
"Nein","2005","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2005","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2005","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2005","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2005","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2005","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2005","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2005","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","(noch) kein Abschluss","kein Migrationshintergrund","15","","",""
"Ja","2006","(noch) kein Abschluss","direkter Migrationshintergrund","22","","",""
"Ja","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","Hauptschule","kein Migrationshintergrund","1159","0.467169050166268","0.447804395614311","0.486533704718225"
"Ja","2006","Hauptschule","direkter Migrationshintergrund","299","0.481858724248835","0.441123685845194","0.522593762652477"
"Ja","2006","Hauptschule","indirekter Migrationshintergrund","61","0.379157651779078","0.302027022264938","0.456288281293217"
"Ja","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","Realschule","kein Migrationshintergrund","1732","0.495726968439062","0.479374077783574","0.51207985909455"
"Ja","2006","Realschule","direkter Migrationshintergrund","59","0.521951201229603","0.431823529162248","0.612078873296958"
"Ja","2006","Realschule","indirekter Migrationshintergrund","77","0.577745302413607","0.496507273934133","0.65898333089308"
"Ja","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","(Fach-)Abitur","kein Migrationshintergrund","584","0.497814822796616","0.468942102194396","0.526687543398837"
"Ja","2006","(Fach-)Abitur","direkter Migrationshintergrund","123","0.493143174788793","0.430022921548884","0.556263428028703"
"Ja","2006","(Fach-)Abitur","indirekter Migrationshintergrund","48","0.6369784417638","0.533526744513253","0.740430139014348"
"Ja","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2006","AkademikerIn","kein Migrationshintergrund","1749","0.602044015355819","0.584148823822189","0.619939206889448"
"Ja","2006","AkademikerIn","direkter Migrationshintergrund","122","0.501531645253376","0.436913849435854","0.566149441070899"
"Ja","2006","AkademikerIn","indirekter Migrationshintergrund","40","0.666205203527454","0.551565460459577","0.780844946595331"
"Ja","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2006","(noch) kein Abschluss","kein Migrationshintergrund","50","0.735387251418386","0.628147735965698","0.842626766871075"
"Nein","2006","(noch) kein Abschluss","direkter Migrationshintergrund","17","","",""
"Nein","2006","(noch) kein Abschluss","indirekter Migrationshintergrund","5","","",""
"Nein","2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2006","Hauptschule","kein Migrationshintergrund","1391","0.532830949833732","0.513466295281775","0.552195604385689"
"Nein","2006","Hauptschule","direkter Migrationshintergrund","279","0.518141275751165","0.477406237347523","0.558876314154806"
"Nein","2006","Hauptschule","indirekter Migrationshintergrund","91","0.620842348220922","0.543711718706783","0.697972977735062"
"Nein","2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2006","Realschule","kein Migrationshintergrund","1859","0.504273031560938","0.48792014090545","0.520625922216426"
"Nein","2006","Realschule","direkter Migrationshintergrund","59","0.478048798770397","0.387921126703042","0.568176470837752"
"Nein","2006","Realschule","indirekter Migrationshintergrund","65","0.422254697586393","0.34101666910692","0.503492726065867"
"Nein","2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2006","(Fach-)Abitur","kein Migrationshintergrund","568","0.502185177203384","0.473312456601163","0.531057897805604"
"Nein","2006","(Fach-)Abitur","direkter Migrationshintergrund","118","0.506856825211206","0.443736571971297","0.569977078451116"
"Nein","2006","(Fach-)Abitur","indirekter Migrationshintergrund","35","0.3630215582362","0.259569860985652","0.466473255486747"
"Nein","2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2006","AkademikerIn","kein Migrationshintergrund","1125","0.397955984644181","0.380060793110552","0.415851176177811"
"Nein","2006","AkademikerIn","direkter Migrationshintergrund","108","0.498468354746624","0.433850558929101","0.563086150564146"
"Nein","2006","AkademikerIn","indirekter Migrationshintergrund","25","","",""
"Nein","2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2007","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2007","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","Realschule","kein Migrationshintergrund","","","",""
"Ja","2007","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2007","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2007","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2007","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2007","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2007","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2007","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2007","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2007","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2007","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2007","Realschule","kein Migrationshintergrund","","","",""
"Nein","2007","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2007","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2007","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2007","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2007","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2007","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2007","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2008","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2008","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2008","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2008","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","Realschule","kein Migrationshintergrund","","","",""
"Ja","2008","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2008","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2008","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2008","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2008","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2008","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2008","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2008","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2008","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2008","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2008","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2008","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2008","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2008","Realschule","kein Migrationshintergrund","","","",""
"Nein","2008","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2008","Realschule","indirekter Migrationshintergrund","","","",""
"Nein","2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2008","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nein","2008","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nein","2008","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nein","2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2008","AkademikerIn","kein Migrationshintergrund","","","",""
"Nein","2008","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nein","2008","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nein","2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Ja","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Ja","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Hauptschule","kein Migrationshintergrund","","","",""
"Ja","2009","Hauptschule","direkter Migrationshintergrund","","","",""
"Ja","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Ja","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Realschule","kein Migrationshintergrund","","","",""
"Ja","2009","Realschule","direkter Migrationshintergrund","","","",""
"Ja","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Ja","2009","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Ja","2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","AkademikerIn","kein Migrationshintergrund","","","",""
"Ja","2009","AkademikerIn","direkter Migrationshintergrund","","","",""
"Ja","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nein","2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nein","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nein","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","Hauptschule","kein Migrationshintergrund","","","",""
"Nein","2009","Hauptschule","direkter Migrationshintergrund","","","",""
"Nein","2009","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nein","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","Realschule","kein Migrationshintergrund","","","",""
"Nein","2009","Realschule","direkter Migrationshintergrund","","","",""
"Nein","2009","Realschule","indirekter Migrationshintergrund","","","",""
