"pli0091_h","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Woche","1986","Hauptschule","Westdeutschland","421","0.059677257349173","0.0537006826545608","0.0656538320437851"
"Min 1x pro Woche","1986","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","Realschule","Westdeutschland","247","0.130816131683008","0.115080460182383","0.146551803183634"
"Min 1x pro Woche","1986","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","Westdeutschland","126","0.155228954643271","0.130213636693685","0.180244272592856"
"Min 1x pro Woche","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","AkademikerIn","Westdeutschland","61","0.0806576144649191","0.0610643199478865","0.100250908981952"
"Min 1x pro Woche","1986","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","Westdeutschland","127","0.192183076064005","0.167979014664549","0.216387137463461"
"Min 1x pro Monat","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","Hauptschule","Westdeutschland","636","0.0923889723647","0.085083145027622","0.099694799701778"
"Min 1x pro Monat","1986","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","Realschule","Westdeutschland","371","0.197193801621443","0.178626414645507","0.215761188597379"
"Min 1x pro Monat","1986","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","(Fach-)Abitur","Westdeutschland","221","0.291651889313328","0.260253604990022","0.323050173636634"
"Min 1x pro Monat","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1986","AkademikerIn","Westdeutschland","139","0.16721478273854","0.140364431171096","0.194065134305984"
"Min 1x pro Monat","1986","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1986","(noch) kein Abschluss","Westdeutschland","198","0.2209640229023","0.195477314898344","0.246450730906257"
"Seltener","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1986","Hauptschule","Westdeutschland","1858","0.290912474947037","0.279453637759268","0.302371312134806"
"Seltener","1986","Hauptschule","Ostdeutschland","","","",""
"Seltener","1986","Realschule","Westdeutschland","645","0.341236919904335","0.31911150451763","0.363362335291039"
"Seltener","1986","Realschule","Ostdeutschland","","","",""
"Seltener","1986","(Fach-)Abitur","Westdeutschland","256","0.310721254207837","0.278751958041979","0.342690550373695"
"Seltener","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1986","AkademikerIn","Westdeutschland","311","0.399219725871005","0.363981830088456","0.434457621653555"
"Seltener","1986","AkademikerIn","Ostdeutschland","","","",""
"Nie","1986","(noch) kein Abschluss","Westdeutschland","599","0.414696617156174","0.384432363697853","0.444960870614495"
"Nie","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1986","Hauptschule","Westdeutschland","3120","0.55702129533909","0.544488822337919","0.569553768340261"
"Nie","1986","Hauptschule","Ostdeutschland","","","",""
"Nie","1986","Realschule","Westdeutschland","501","0.330753146791214","0.308797614940658","0.35270867864177"
"Nie","1986","Realschule","Ostdeutschland","","","",""
"Nie","1986","(Fach-)Abitur","Westdeutschland","202","0.242397901835564","0.212794940128674","0.272000863542454"
"Nie","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1986","AkademikerIn","Westdeutschland","231","0.352907876925536","0.318523601972172","0.387292151878901"
"Nie","1986","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1987","Hauptschule","Westdeutschland","","","",""
"Taeglich","1987","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1987","Realschule","Westdeutschland","","","",""
"Taeglich","1987","Realschule","Ostdeutschland","","","",""
"Taeglich","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1987","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1987","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1987","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1987","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1987","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1987","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1987","Hauptschule","Westdeutschland","","","",""
"Seltener","1987","Hauptschule","Ostdeutschland","","","",""
"Seltener","1987","Realschule","Westdeutschland","","","",""
"Seltener","1987","Realschule","Ostdeutschland","","","",""
"Seltener","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1987","AkademikerIn","Westdeutschland","","","",""
"Seltener","1987","AkademikerIn","Ostdeutschland","","","",""
"Nie","1987","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1987","Hauptschule","Westdeutschland","","","",""
"Nie","1987","Hauptschule","Ostdeutschland","","","",""
"Nie","1987","Realschule","Westdeutschland","","","",""
"Nie","1987","Realschule","Ostdeutschland","","","",""
"Nie","1987","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1987","AkademikerIn","Westdeutschland","","","",""
"Nie","1987","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1988","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1988","Hauptschule","Westdeutschland","","","",""
"Taeglich","1988","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1988","Realschule","Westdeutschland","","","",""
"Taeglich","1988","Realschule","Ostdeutschland","","","",""
"Taeglich","1988","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1988","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1988","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","Westdeutschland","83","0.181292285595368","0.156192043816563","0.206392527374173"
"Min 1x pro Woche","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","Hauptschule","Westdeutschland","363","0.053319530548201","0.0474752169555182","0.0591638441408838"
"Min 1x pro Woche","1988","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","Realschule","Westdeutschland","224","0.111491977786235","0.0964995454163166","0.126484410156154"
"Min 1x pro Woche","1988","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","(Fach-)Abitur","Westdeutschland","121","0.177781249055609","0.150084473258868","0.205478024852351"
"Min 1x pro Woche","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1988","AkademikerIn","Westdeutschland","50","0.0685838175805031","0.0498471556633739","0.0873204794976323"
"Min 1x pro Woche","1988","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","(noch) kein Abschluss","Westdeutschland","108","0.205019486837269","0.178716830290244","0.231322143384293"
"Min 1x pro Monat","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","Hauptschule","Westdeutschland","668","0.10249860229096","0.0946088170428369","0.110388387539083"
"Min 1x pro Monat","1988","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","Realschule","Westdeutschland","359","0.194405126285065","0.17555423819083","0.213256014379301"
"Min 1x pro Monat","1988","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","(Fach-)Abitur","Westdeutschland","204","0.290527469373403","0.257638221371503","0.323416717375302"
"Min 1x pro Monat","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1988","AkademikerIn","Westdeutschland","141","0.198823174354479","0.169235747713501","0.228410600995457"
"Min 1x pro Monat","1988","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1988","(noch) kein Abschluss","Westdeutschland","158","0.199096364540768","0.173080060526116","0.225112668555421"
"Seltener","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1988","Hauptschule","Westdeutschland","1726","0.296270186325203","0.284392397644577","0.30814797500583"
"Seltener","1988","Hauptschule","Ostdeutschland","","","",""
"Seltener","1988","Realschule","Westdeutschland","653","0.374028562245996","0.350979712616653","0.397077411875339"
"Seltener","1988","Realschule","Ostdeutschland","","","",""
"Seltener","1988","(Fach-)Abitur","Westdeutschland","208","0.298824320757828","0.26566436496231","0.331984276553346"
"Seltener","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1988","AkademikerIn","Westdeutschland","295","0.409998362798221","0.37353748057819","0.446459245018253"
"Seltener","1988","AkademikerIn","Ostdeutschland","","","",""
"Nie","1988","(noch) kein Abschluss","Westdeutschland","556","0.414591863026595","0.382494927797159","0.446688798256031"
"Nie","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1988","Hauptschule","Westdeutschland","2920","0.547911680835635","0.534965085713836","0.560858275957435"
"Nie","1988","Hauptschule","Ostdeutschland","","","",""
"Nie","1988","Realschule","Westdeutschland","457","0.320074333682703","0.297852711734005","0.342295955631402"
"Nie","1988","Realschule","Ostdeutschland","","","",""
"Nie","1988","(Fach-)Abitur","Westdeutschland","199","0.23286696081316","0.202248607383873","0.263485314242448"
"Nie","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1988","AkademikerIn","Westdeutschland","213","0.322594645266797","0.287939925368775","0.357249365164818"
"Nie","1988","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1989","Hauptschule","Westdeutschland","","","",""
"Taeglich","1989","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1989","Realschule","Westdeutschland","","","",""
"Taeglich","1989","Realschule","Ostdeutschland","","","",""
"Taeglich","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1989","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1989","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1989","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1989","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1989","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1989","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1989","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1989","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1989","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1989","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1989","Hauptschule","Westdeutschland","","","",""
"Seltener","1989","Hauptschule","Ostdeutschland","","","",""
"Seltener","1989","Realschule","Westdeutschland","","","",""
"Seltener","1989","Realschule","Ostdeutschland","","","",""
"Seltener","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1989","AkademikerIn","Westdeutschland","","","",""
"Seltener","1989","AkademikerIn","Ostdeutschland","","","",""
"Nie","1989","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1989","Hauptschule","Westdeutschland","","","",""
"Nie","1989","Hauptschule","Ostdeutschland","","","",""
"Nie","1989","Realschule","Westdeutschland","","","",""
"Nie","1989","Realschule","Ostdeutschland","","","",""
"Nie","1989","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1989","AkademikerIn","Westdeutschland","","","",""
"Nie","1989","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1990","(noch) kein Abschluss","Westdeutschland","2","","",""
"Taeglich","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1990","Hauptschule","Westdeutschland","10","","",""
"Taeglich","1990","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1990","Realschule","Westdeutschland","","","",""
"Taeglich","1990","Realschule","Ostdeutschland","","","",""
"Taeglich","1990","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1990","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1990","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Westdeutschland","55","0.132395618200498","0.109503302866083","0.155287933534912"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Ostdeutschland","19","","",""
"Min 1x pro Woche","1990","Hauptschule","Westdeutschland","198","0.0299547362237047","0.0253780200486821","0.0345314523987273"
"Min 1x pro Woche","1990","Hauptschule","Ostdeutschland","40","0.022047797055313","0.0149389359291655","0.0291566581814604"
"Min 1x pro Woche","1990","Realschule","Westdeutschland","151","0.0727559142039107","0.0601001020695391","0.0854117263382824"
"Min 1x pro Woche","1990","Realschule","Ostdeutschland","238","0.162197668799371","0.143887309309195","0.180508028289546"
"Min 1x pro Woche","1990","(Fach-)Abitur","Westdeutschland","92","0.121449521985136","0.0980250907473381","0.144873953222934"
"Min 1x pro Woche","1990","(Fach-)Abitur","Ostdeutschland","40","0.348147825534054","0.26562016976186","0.430675481306248"
"Min 1x pro Woche","1990","AkademikerIn","Westdeutschland","25","","",""
"Min 1x pro Woche","1990","AkademikerIn","Ostdeutschland","32","0.0341491388321491","0.022795992230371","0.0455022854339272"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Westdeutschland","107","0.241837252354586","0.212914816535936","0.270759688173236"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Ostdeutschland","10","","",""
"Min 1x pro Monat","1990","Hauptschule","Westdeutschland","554","0.0873748616664467","0.0797931948482856","0.0949565284846077"
"Min 1x pro Monat","1990","Hauptschule","Ostdeutschland","99","0.0555634852505464","0.0444732760436026","0.0666536944574902"
"Min 1x pro Monat","1990","Realschule","Westdeutschland","313","0.171552733920347","0.153183540434458","0.189921927406236"
"Min 1x pro Monat","1990","Realschule","Ostdeutschland","295","0.203168699707084","0.183183183143346","0.223154216270823"
"Min 1x pro Monat","1990","(Fach-)Abitur","Westdeutschland","212","0.314329282502163","0.281037426149446","0.34762113885488"
"Min 1x pro Monat","1990","(Fach-)Abitur","Ostdeutschland","29","","",""
"Min 1x pro Monat","1990","AkademikerIn","Westdeutschland","122","0.178864330450206","0.15039266966508","0.207335991235332"
"Min 1x pro Monat","1990","AkademikerIn","Ostdeutschland","148","0.151582922078626","0.12916469982491","0.174001144332343"
"Seltener","1990","(noch) kein Abschluss","Westdeutschland","118","0.145206812508783","0.12141014911606","0.169003475901506"
"Seltener","1990","(noch) kein Abschluss","Ostdeutschland","5","","",""
"Seltener","1990","Hauptschule","Westdeutschland","1468","0.274325192802279","0.262345957364158","0.2863044282404"
"Seltener","1990","Hauptschule","Ostdeutschland","641","0.342876793335342","0.319896738393554","0.36585684827713"
"Seltener","1990","Realschule","Westdeutschland","646","0.400913495029894","0.37703379107726","0.424793198982529"
"Seltener","1990","Realschule","Ostdeutschland","790","0.477801722608647","0.45299066039388","0.502612784823415"
"Seltener","1990","(Fach-)Abitur","Westdeutschland","238","0.337965892841587","0.304045223825174","0.371886561858001"
"Seltener","1990","(Fach-)Abitur","Ostdeutschland","54","0.391905844690807","0.307335248737583","0.47647644064403"
"Seltener","1990","AkademikerIn","Westdeutschland","312","0.445070953462105","0.408149666906719","0.481992240017491"
"Seltener","1990","AkademikerIn","Ostdeutschland","644","0.626512946933471","0.596273479868134","0.656752413998808"
"Nie","1990","(noch) kein Abschluss","Westdeutschland","560","0.477517573658213","0.44377932236732","0.511255824949106"
"Nie","1990","(noch) kein Abschluss","Ostdeutschland","11","","",""
"Nie","1990","Hauptschule","Westdeutschland","3099","0.606750995291664","0.593636116062483","0.619865874520844"
"Nie","1990","Hauptschule","Ostdeutschland","859","0.579511924358799","0.555613644379368","0.603410204338229"
"Nie","1990","Realschule","Westdeutschland","508","0.354777856845848","0.331465202901383","0.378090510790313"
"Nie","1990","Realschule","Ostdeutschland","234","0.156831908884898","0.138769399724331","0.174894418045464"
"Nie","1990","(Fach-)Abitur","Westdeutschland","205","0.226255302671114","0.196250828774871","0.256259776567356"
"Nie","1990","(Fach-)Abitur","Ostdeutschland","5","","",""
"Nie","1990","AkademikerIn","Westdeutschland","237","0.344927482360606","0.309613063782638","0.380241900938574"
"Nie","1990","AkademikerIn","Ostdeutschland","159","0.187754992155754","0.163342585029985","0.212167399281523"
"Taeglich","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1991","Hauptschule","Westdeutschland","","","",""
"Taeglich","1991","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1991","Realschule","Westdeutschland","","","",""
"Taeglich","1991","Realschule","Ostdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Woche","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Westdeutschland","","","",""
"Min 1x pro Monat","1991","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Westdeutschland","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Seltener","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1991","Hauptschule","Westdeutschland","","","",""
"Seltener","1991","Hauptschule","Ostdeutschland","","","",""
"Seltener","1991","Realschule","Westdeutschland","","","",""
"Seltener","1991","Realschule","Ostdeutschland","","","",""
"Seltener","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Seltener","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1991","AkademikerIn","Westdeutschland","","","",""
"Seltener","1991","AkademikerIn","Ostdeutschland","","","",""
"Nie","1991","(noch) kein Abschluss","Westdeutschland","","","",""
"Nie","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1991","Hauptschule","Westdeutschland","","","",""
"Nie","1991","Hauptschule","Ostdeutschland","","","",""
"Nie","1991","Realschule","Westdeutschland","","","",""
"Nie","1991","Realschule","Ostdeutschland","","","",""
"Nie","1991","(Fach-)Abitur","Westdeutschland","","","",""
"Nie","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1991","AkademikerIn","Westdeutschland","","","",""
"Nie","1991","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1992","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1992","(noch) kein Abschluss","Ostdeutschland","","","",""
