year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1998,Staedtischer Raum,maennlich,,,,,,,,,,,,
1998,Staedtischer Raum,weiblich,,,,,,,,,,,,
1998,Laendlicher Raum,maennlich,,,,,,,,,,,,
1998,Laendlicher Raum,weiblich,,,,,,,,,,,,
1999,Staedtischer Raum,maennlich,,,,,,,,,,,,
1999,Staedtischer Raum,weiblich,,,,,,,,,,,,
1999,Laendlicher Raum,maennlich,,,,,,,,,,,,
1999,Laendlicher Raum,weiblich,,,,,,,,,,,,
2000,Staedtischer Raum,maennlich,,,,,,,,,,,,
2000,Staedtischer Raum,weiblich,,,,,,,,,,,,
2000,Laendlicher Raum,maennlich,,,,,,,,,,,,
2000,Laendlicher Raum,weiblich,,,,,,,,,,,,
2001,Staedtischer Raum,maennlich,0.07900994122075666,0.07193432633890375,0.08608555610260958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6744.0
2001,Staedtischer Raum,weiblich,0.17501479158891972,0.1635327355739834,0.18649684760385604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7372.0
2001,Laendlicher Raum,maennlich,0.09522744279073664,0.08449198297586685,0.10596290260560642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.0
2001,Laendlicher Raum,weiblich,0.16900601559854392,0.15370761498349556,0.18430441621359228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3859.0
2002,Staedtischer Raum,maennlich,0.09714079191103733,0.08798333129077475,0.10629825253129992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7243.0
2002,Staedtischer Raum,weiblich,0.1812412727085745,0.16886350217374044,0.1936190432434086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7793.0
2002,Laendlicher Raum,maennlich,0.09000386682350897,0.08178269077978098,0.09822504286723696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3705.0
2002,Laendlicher Raum,weiblich,0.19745302486620414,0.17927626932375598,0.2156297804086523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3911.0
2003,Staedtischer Raum,maennlich,0.10256023633040016,0.09242535313374499,0.11269511952705534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6956.0
2003,Staedtischer Raum,weiblich,0.17618077944405658,0.16447831095661128,0.18788324793150188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7553.0
2003,Laendlicher Raum,maennlich,0.10341796016256671,0.09155302507204402,0.1152828952530894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3542.0
2003,Laendlicher Raum,weiblich,0.18064999842805798,0.16609763075275116,0.1952023661033648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3760.0
2004,Staedtischer Raum,maennlich,0.09684480495860144,0.08787491357393697,0.10581469634326592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6766.0
2004,Staedtischer Raum,weiblich,0.17255104113531797,0.16015652684036596,0.18494555543026997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7364.0
2004,Laendlicher Raum,maennlich,0.10150126475528728,0.0911403790679472,0.11186215044262737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.0
2004,Laendlicher Raum,weiblich,0.1906444963283869,0.17427851088918409,0.2070104817675897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3682.0
2005,Staedtischer Raum,maennlich,0.09236673385214687,0.08313201757145669,0.10160145013283706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440.0
2005,Staedtischer Raum,weiblich,0.17177599076784109,0.1588129351367706,0.18473904639891156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7091.0
2005,Laendlicher Raum,maennlich,0.09403439039313057,0.08333474472854212,0.10473403605771901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3287.0
2005,Laendlicher Raum,weiblich,0.17488489778362515,0.1588197637423861,0.1909500318248642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3530.0
2006,Staedtischer Raum,maennlich,0.10734592827162323,0.09643199984464591,0.11825985669860055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6861.0
2006,Staedtischer Raum,weiblich,0.19525813375314308,0.18094536991904445,0.2095708975872417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7563.0
2006,Laendlicher Raum,maennlich,0.10373147981469578,0.0924938509438437,0.11496910868554787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3589.0
2006,Laendlicher Raum,weiblich,0.20038452404876514,0.1818109126189195,0.2189581354786108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3921.0
2007,Staedtischer Raum,maennlich,0.10567747841385285,0.09655735807383937,0.11479759875386632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6363.0
2007,Staedtischer Raum,weiblich,0.20576957906303384,0.1915150902958991,0.22002406783016856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7077.0
2007,Laendlicher Raum,maennlich,0.08780080044435415,0.07795857634723019,0.09764302454147811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3410.0
2007,Laendlicher Raum,weiblich,0.18747173939103398,0.17068546056721987,0.2042580182148481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3659.0
2008,Staedtischer Raum,maennlich,0.0975809529918017,0.0888223215403851,0.1063395844432183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5998.0
2008,Staedtischer Raum,weiblich,0.21778466262585297,0.20187095764733662,0.23369836760436932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6664.0
2008,Laendlicher Raum,maennlich,0.09888514661529367,0.08751660086657978,0.11025369236400756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3207.0
2008,Laendlicher Raum,weiblich,0.21485137600248502,0.19333458283774319,0.23636816916722686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3446.0
2009,Staedtischer Raum,maennlich,0.09011276544664631,0.07984132792914167,0.10038420296415096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5534.0
2009,Staedtischer Raum,weiblich,0.20440762129203613,0.1890411296454128,0.21977411293865945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6148.0
2009,Laendlicher Raum,maennlich,0.061209390677544856,0.05406731643213757,0.06835146492295213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3063.0
2009,Laendlicher Raum,weiblich,0.2203518421586944,0.1972877801410494,0.24341590417633943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3272.0
2010,Staedtischer Raum,maennlich,0.10208485848201551,0.09259054393168423,0.1115791730323468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7071.0
2010,Staedtischer Raum,weiblich,0.20220887277867486,0.18918609973673245,0.21523164582061727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8549.0
2010,Laendlicher Raum,maennlich,0.08906265896646684,0.0802388210015342,0.09788649693139947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3838.0
2010,Laendlicher Raum,weiblich,0.20831134195058862,0.189663701950021,0.22695898195115624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4508.0
2011,Staedtischer Raum,-3,,,,,,,,,,,,
2011,Staedtischer Raum,-1,,,,,,,,,,,,
2011,Staedtischer Raum,maennlich,0.08206783529016452,0.07471345837995101,0.08942221220037803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8161.0
2011,Staedtischer Raum,weiblich,0.14369575750121377,0.13472174323779249,0.15266977176463506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10003.0
2011,Laendlicher Raum,maennlich,0.10837325842266984,0.09580998445133511,0.12093653239400458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4686.0
2011,Laendlicher Raum,weiblich,0.17086689849473258,0.15580932267227685,0.1859244743171883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5520.0
2012,Staedtischer Raum,-3,,,,,,,,,,,,
2012,Staedtischer Raum,maennlich,0.09548997955628837,0.08870109567608302,0.10227886343649371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7891.0
2012,Staedtischer Raum,weiblich,0.20219927025634274,0.18948419730341096,0.21491434320927452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9604.0
2012,Laendlicher Raum,maennlich,0.11055890778263741,0.09905076677639958,0.12206704878887524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4661.0
2012,Laendlicher Raum,weiblich,0.19352402310979086,0.17892307581922104,0.20812497040036068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5478.0
2013,Staedtischer Raum,-3,,,,,,,,,,,,
2013,Staedtischer Raum,maennlich,0.09243264261283739,0.08372602625298124,0.10113925897269353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7321.0
2013,Staedtischer Raum,weiblich,0.17930467089334362,0.1678644468952725,0.19074489489141475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8970.0
2013,Laendlicher Raum,maennlich,0.13088006925245319,0.11838401475017805,0.1433761237547283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4298.0
2013,Laendlicher Raum,weiblich,0.1921710629710907,0.17786753176011608,0.20647459418206535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5082.0
2014,Staedtischer Raum,-3,,,,,,,,,,,,
2014,Staedtischer Raum,maennlich,0.11614733054326877,0.10762851901930456,0.12466614206723298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8050.0
2014,Staedtischer Raum,weiblich,0.22616374398296346,0.2133991654614073,0.23892832250451962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9576.0
2014,Laendlicher Raum,-1,,,,,,,,,,,,
2014,Laendlicher Raum,maennlich,0.13589840119271934,0.12138707940405313,0.15040972298138555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4381.0
2014,Laendlicher Raum,weiblich,0.20646519074404185,0.19256943434570495,0.22036094714237875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5073.0
2015,Staedtischer Raum,-3,,,,,,,,,,,,
2015,Staedtischer Raum,-1,,,,,,,,,,,,
2015,Staedtischer Raum,maennlich,0.12261795774151897,0.11285605565571302,0.13237985982732492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7991.0
2015,Staedtischer Raum,weiblich,0.21735281173461238,0.205003546591854,0.22970207687737076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9476.0
2015,Laendlicher Raum,maennlich,0.1150381558375298,0.1039850819712957,0.1260912297037639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4320.0
2015,Laendlicher Raum,weiblich,0.20609444595227613,0.19254956641411713,0.21963932549043513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4994.0
2016,Staedtischer Raum,-3,,,,,,,,,,,,
2016,Staedtischer Raum,-1,,,,,,,,,,,,
2016,Staedtischer Raum,maennlich,0.0953163529204342,0.08938101205647106,0.10125169378439733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8381.0
2016,Staedtischer Raum,weiblich,0.17265582114119443,0.16082115267100305,0.1844904896113858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9444.0
2016,Laendlicher Raum,-1,,,,,,,,,,,,
2016,Laendlicher Raum,maennlich,0.09499552180239879,0.08638365995792946,0.10360738364686811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4461.0
2016,Laendlicher Raum,weiblich,0.2069607976749432,0.19204295098632546,0.22187864436356092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4922.0
2017,Staedtischer Raum,-3,,,,,,,,,,,,
2017,Staedtischer Raum,-1,,,,,,,,,,,,
2017,Staedtischer Raum,maennlich,0.11243898540123118,0.10462611602547313,0.12025185477698923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9411.0
2017,Staedtischer Raum,weiblich,0.15374339611394935,0.1441661600664259,0.1633206321614728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10473.0
2017,Laendlicher Raum,maennlich,0.11218166545982508,0.1016495943188232,0.12271373660082696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5094.0
2017,Laendlicher Raum,weiblich,0.20953751240598034,0.19507733853654183,0.22399768627541886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5507.0
2018,Staedtischer Raum,-3,,,,,,,,,,,,
2018,Staedtischer Raum,-1,,,,,,,,,,,,
2018,Staedtischer Raum,maennlich,0.10659022473165733,0.09795405929606833,0.11522639016724633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9108.0
2018,Staedtischer Raum,weiblich,0.1846235569451739,0.17424853275068786,0.19499858113965995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10077.0
2018,Laendlicher Raum,maennlich,0.11032057818614421,0.10053719104841886,0.12010396532386956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4745.0
2018,Laendlicher Raum,weiblich,0.21528616255866845,0.19813445161398455,0.23243787350335235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5234.0
2019,-1,-3,,,,,,,,,,,,
2019,-1,maennlich,0.20287890797049327,0.1388826340515032,0.26687518188948334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0
2019,-1,weiblich,0.3481793991745775,0.23508570617366192,0.4612730921754931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0
2019,Staedtischer Raum,-3,,,,,,,,,,,,
2019,Staedtischer Raum,-1,,,,,,,,,,,,
2019,Staedtischer Raum,maennlich,0.09904610101214681,0.09134234823291353,0.10674985379138009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9178.0
2019,Staedtischer Raum,weiblich,0.19100189835089204,0.1798554559097918,0.2021483407919923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9595.0
2019,Laendlicher Raum,-1,,,,,,,,,,,,
2019,Laendlicher Raum,maennlich,0.14283739076323668,0.13086957301429664,0.15480520851217672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4758.0
2019,Laendlicher Raum,weiblich,0.19452049396902243,0.18126043190636,0.20778055603168488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4970.0
2020,Staedtischer Raum,-3,,,,,,,,,,,,
2020,Staedtischer Raum,-1,,,,,,,,,,,,
2020,Staedtischer Raum,maennlich,0.10349417852980371,0.09747043425301141,0.109517922806596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9936.0
2020,Staedtischer Raum,weiblich,0.2310898827961336,0.21914091163931618,0.24303885395295102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9970.0
2020,Laendlicher Raum,-3,,,,,,,,,,,,
2020,Laendlicher Raum,-1,,,,,,,,,,,,
2020,Laendlicher Raum,maennlich,0.12609051701661753,0.11347028424032253,0.13871074979291254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4665.0
2020,Laendlicher Raum,weiblich,0.28586910560214,0.26647016840666526,0.30526804279761477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4815.0
2021,-1,weiblich,,,,,,,,,,,,
2021,Staedtischer Raum,-3,,,,,,,,,,,,
2021,Staedtischer Raum,-1,,,,,,,,,,,,
2021,Staedtischer Raum,maennlich,0.14895425995466197,0.13841443440488652,0.15949408550443742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6162.0
2021,Staedtischer Raum,weiblich,0.3194928628774012,0.29974965228061085,0.33923607347419155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6518.0
2021,Laendlicher Raum,-1,,,,,,,,,,,,
2021,Laendlicher Raum,maennlich,0.2199069596961022,0.19483332285340893,0.24498059653879545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2859.0
2021,Laendlicher Raum,weiblich,0.36019797047471713,0.3302533515355991,0.3901425894138352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3083.0
