"plh0107","year","migback","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"4 Ganz unwichtig","1990","kein Migrationshintergrund","Westdeutschland","748","0.144040116515432","0.135396969512519","0.152683263518346"
"4 Ganz unwichtig","1990","kein Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","direkter Migrationshintergrund","Westdeutschland","68","0.192412778260473","0.154623236587407","0.23020231993354"
"4 Ganz unwichtig","1990","direkter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","indirekter Migrationshintergrund","Westdeutschland","5","","",""
"4 Ganz unwichtig","1990","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1990","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1990","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","kein Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","kein Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","direkter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","direkter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","indirekter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1991","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1991","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1992","kein Migrationshintergrund","Westdeutschland","1409","0.209497294026881","0.199466682998872","0.21952790505489"
"1 Sehr wichtig","1992","kein Migrationshintergrund","Ostdeutschland","1376","0.352380715042177","0.336906302200235","0.36785512788412"
"1 Sehr wichtig","1992","direkter Migrationshintergrund","Westdeutschland","102","0.228166653322796","0.188127976125118","0.268205330520473"
"1 Sehr wichtig","1992","direkter Migrationshintergrund","Ostdeutschland","34","0.232791444100825","0.16096861690419","0.30461427129746"
"1 Sehr wichtig","1992","indirekter Migrationshintergrund","Westdeutschland","17","","",""
"1 Sehr wichtig","1992","indirekter Migrationshintergrund","Ostdeutschland","3","","",""
"1 Sehr wichtig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1992","kein Migrationshintergrund","Westdeutschland","3084","0.471138668158543","0.458835080090335","0.483442256226751"
"2 Wichtig","1992","kein Migrationshintergrund","Ostdeutschland","1592","0.406380355676889","0.390470409449521","0.422290301904257"
"2 Wichtig","1992","direkter Migrationshintergrund","Westdeutschland","189","0.448422653492932","0.400972365979322","0.495872941006542"
"2 Wichtig","1992","direkter Migrationshintergrund","Ostdeutschland","44","0.307751812845788","0.229308939388267","0.38619468630331"
"2 Wichtig","1992","indirekter Migrationshintergrund","Westdeutschland","36","0.510445029681883","0.390747300478547","0.630142758885219"
"2 Wichtig","1992","indirekter Migrationshintergrund","Ostdeutschland","7","","",""
"2 Wichtig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1992","kein Migrationshintergrund","Westdeutschland","1011","0.157626329485638","0.148644738507494","0.166607920463783"
"3 Weniger wichtig","1992","kein Migrationshintergrund","Ostdeutschland","279","0.078501922078241","0.0697895665684575","0.0872142775880244"
"3 Weniger wichtig","1992","direkter Migrationshintergrund","Westdeutschland","63","0.152685616833213","0.118368308338392","0.187002925328033"
"3 Weniger wichtig","1992","direkter Migrationshintergrund","Ostdeutschland","9","","",""
"3 Weniger wichtig","1992","indirekter Migrationshintergrund","Westdeutschland","8","","",""
"3 Weniger wichtig","1992","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1992","kein Migrationshintergrund","Westdeutschland","819","0.161737708328938","0.152661967031081","0.170813449626795"
"4 Ganz unwichtig","1992","kein Migrationshintergrund","Ostdeutschland","414","0.162737007202693","0.150780004239134","0.174694010166252"
"4 Ganz unwichtig","1992","direkter Migrationshintergrund","Westdeutschland","68","0.170725076351059","0.134825461452889","0.20662469124923"
"4 Ganz unwichtig","1992","direkter Migrationshintergrund","Ostdeutschland","46","0.388573848445049","0.305735570918926","0.471412125971171"
"4 Ganz unwichtig","1992","indirekter Migrationshintergrund","Westdeutschland","6","","",""
"4 Ganz unwichtig","1992","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1992","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1992","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1993","kein Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1993","kein Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1993","direkter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1993","direkter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1993","indirekter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1993","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1993","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1993","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1994","kein Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1994","kein Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1994","direkter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1994","direkter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1994","indirekter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1994","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1994","kein Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1994","kein Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1994","direkter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1994","direkter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1994","indirekter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1994","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1994","kein Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1994","kein Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1994","direkter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1994","direkter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1994","indirekter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1994","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1994","kein Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1994","kein Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1994","direkter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1994","direkter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1994","indirekter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1994","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1994","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1994","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1995","kein Migrationshintergrund","Westdeutschland","1429","0.214045161454441","0.203821652747258","0.224268670161624"
"1 Sehr wichtig","1995","kein Migrationshintergrund","Ostdeutschland","1089","0.298035231493785","0.282525605897534","0.313544857090037"
"1 Sehr wichtig","1995","direkter Migrationshintergrund","Westdeutschland","276","0.290642067530147","0.261874438208111","0.319409696852182"
"1 Sehr wichtig","1995","direkter Migrationshintergrund","Ostdeutschland","27","","",""
"1 Sehr wichtig","1995","indirekter Migrationshintergrund","Westdeutschland","46","0.428394567261135","0.340223609757712","0.516565524764557"
"1 Sehr wichtig","1995","indirekter Migrationshintergrund","Ostdeutschland","7","","",""
"1 Sehr wichtig","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1995","kein Migrationshintergrund","Westdeutschland","3121","0.486760340017572","0.474301828301002","0.499218851734141"
"2 Wichtig","1995","kein Migrationshintergrund","Ostdeutschland","1664","0.474296265996681","0.457364383852204","0.491228148141159"
"2 Wichtig","1995","direkter Migrationshintergrund","Westdeutschland","433","0.431400962959828","0.400022205875136","0.462779720044519"
"2 Wichtig","1995","direkter Migrationshintergrund","Ostdeutschland","53","0.405265821461118","0.319881591007374","0.490650051914861"
"2 Wichtig","1995","indirekter Migrationshintergrund","Westdeutschland","54","0.41595061521006","0.328129069483647","0.503772160936472"
"2 Wichtig","1995","indirekter Migrationshintergrund","Ostdeutschland","8","","",""
"2 Wichtig","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1995","kein Migrationshintergrund","Westdeutschland","993","0.163820988198677","0.154595637818824","0.173046338578529"
"3 Weniger wichtig","1995","kein Migrationshintergrund","Ostdeutschland","250","0.0768085687341295","0.067779133820145","0.085838003648114"
"3 Weniger wichtig","1995","direkter Migrationshintergrund","Westdeutschland","145","0.143061690127727","0.120878266277322","0.165245113978132"
"3 Weniger wichtig","1995","direkter Migrationshintergrund","Ostdeutschland","8","","",""
"3 Weniger wichtig","1995","indirekter Migrationshintergrund","Westdeutschland","17","","",""
"3 Weniger wichtig","1995","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1995","kein Migrationshintergrund","Westdeutschland","640","0.13537351032931","0.126845856122761","0.14390116453586"
"4 Ganz unwichtig","1995","kein Migrationshintergrund","Ostdeutschland","338","0.150859933775404","0.138723628944001","0.162996238606807"
"4 Ganz unwichtig","1995","direkter Migrationshintergrund","Westdeutschland","103","0.134895279382298","0.113251911619109","0.156538647145487"
"4 Ganz unwichtig","1995","direkter Migrationshintergrund","Ostdeutschland","39","0.363687703656495","0.280022341113112","0.447353066199878"
"4 Ganz unwichtig","1995","indirekter Migrationshintergrund","Westdeutschland","4","","",""
"4 Ganz unwichtig","1995","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1995","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1995","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1996","kein Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1996","kein Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1996","direkter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1996","direkter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1996","indirekter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1996","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1996","kein Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1996","kein Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1996","direkter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1996","direkter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1996","indirekter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1996","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1996","kein Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1996","kein Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1996","direkter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1996","direkter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1996","indirekter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1996","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1996","kein Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1996","kein Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1996","direkter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1996","direkter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1996","indirekter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1996","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1996","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1996","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1997","kein Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1997","kein Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1997","direkter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1997","direkter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1997","indirekter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1997","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1997","kein Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1997","kein Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1997","direkter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1997","direkter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1997","indirekter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1997","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1997","kein Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1997","kein Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1997","direkter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1997","direkter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1997","indirekter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1997","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1997","kein Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1997","kein Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1997","direkter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1997","direkter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1997","indirekter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1997","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1997","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1997","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1998","kein Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1998","kein Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1998","direkter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1998","direkter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1998","indirekter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1998","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1998","kein Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1998","kein Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1998","direkter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1998","direkter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1998","indirekter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1998","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"2 Wichtig","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"3 Weniger wichtig","1998","kein Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1998","kein Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1998","direkter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1998","direkter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1998","indirekter Migrationshintergrund","Westdeutschland","","","",""
"3 Weniger wichtig","1998","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"3 Weniger wichtig","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"3 Weniger wichtig","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"4 Ganz unwichtig","1998","kein Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1998","kein Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1998","direkter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1998","direkter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1998","indirekter Migrationshintergrund","Westdeutschland","","","",""
"4 Ganz unwichtig","1998","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"4 Ganz unwichtig","1998","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"4 Ganz unwichtig","1998","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"1 Sehr wichtig","1999","kein Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1999","kein Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1999","direkter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1999","direkter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1999","indirekter Migrationshintergrund","Westdeutschland","","","",""
"1 Sehr wichtig","1999","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"1 Sehr wichtig","1999","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"1 Sehr wichtig","1999","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"2 Wichtig","1999","kein Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1999","kein Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1999","direkter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1999","direkter Migrationshintergrund","Ostdeutschland","","","",""
"2 Wichtig","1999","indirekter Migrationshintergrund","Westdeutschland","","","",""
"2 Wichtig","1999","indirekter Migrationshintergrund","Ostdeutschland","","","",""
