year,hhtyp,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1988,Single-person household,Rural regions,,,,,,,,,,,,
1988,Couple without children,Urban regions,,,,,,,,,,,,
1988,Couple without children,Rural regions,,,,,,,,,,,,
1988,Single parent,Urban regions,,,,,,,,,,,,
1988,Single parent,Rural regions,,,,,,,,,,,,
1988,Couple with children,Urban regions,,,,,,,,,,,,
1988,Couple with children,Rural regions,,,,,,,,,,,,
1988,Multi-generational household,Urban regions,,,,,,,,,,,,
1988,Multi-generational household,Rural regions,,,,,,,,,,,,
1988,Other Combinations,Urban regions,,,,,,,,,,,,
1988,Other Combinations,Rural regions,,,,,,,,,,,,
1989,Single-person household,Urban regions,,,,,,,,,,,,
1989,Single-person household,Rural regions,,,,,,,,,,,,
1989,Couple without children,Urban regions,,,,,,,,,,,,
1989,Couple without children,Rural regions,,,,,,,,,,,,
1989,Single parent,Urban regions,,,,,,,,,,,,
1989,Single parent,Rural regions,,,,,,,,,,,,
1989,Couple with children,Urban regions,,,,,,,,,,,,
1989,Couple with children,Rural regions,,,,,,,,,,,,
1989,Multi-generational household,Urban regions,,,,,,,,,,,,
1989,Multi-generational household,Rural regions,,,,,,,,,,,,
1989,Other Combinations,Urban regions,,,,,,,,,,,,
1989,Other Combinations,Rural regions,,,,,,,,,,,,
1990,Single-person household,Urban regions,,,,,,,,,,,,
1990,Single-person household,Rural regions,,,,,,,,,,,,
1990,Couple without children,Urban regions,,,,,,,,,,,,
1990,Couple without children,Rural regions,,,,,,,,,,,,
1990,Single parent,Urban regions,,,,,,,,,,,,
1990,Single parent,Rural regions,,,,,,,,,,,,
1990,Couple with children,Urban regions,,,,,,,,,,,,
1990,Couple with children,Rural regions,,,,,,,,,,,,
1990,Multi-generational household,Urban regions,,,,,,,,,,,,
1990,Multi-generational household,Rural regions,,,,,,,,,,,,
1990,Other Combinations,Urban regions,,,,,,,,,,,,
1990,Other Combinations,Rural regions,,,,,,,,,,,,
1991,Single-person household,Urban regions,,,,,,,,,,,,
1991,Single-person household,Rural regions,,,,,,,,,,,,
1991,Couple without children,Urban regions,,,,,,,,,,,,
1991,Couple without children,Rural regions,,,,,,,,,,,,
1991,Single parent,Urban regions,,,,,,,,,,,,
1991,Single parent,Rural regions,,,,,,,,,,,,
1991,Couple with children,Urban regions,,,,,,,,,,,,
1991,Couple with children,Rural regions,,,,,,,,,,,,
1991,Multi-generational household,Urban regions,,,,,,,,,,,,
1991,Multi-generational household,Rural regions,,,,,,,,,,,,
1991,Other Combinations,Urban regions,,,,,,,,,,,,
1991,Other Combinations,Rural regions,,,,,,,,,,,,
1992,Single-person household,Urban regions,,,,,,,,,,,,
1992,Single-person household,Rural regions,,,,,,,,,,,,
1992,Couple without children,Urban regions,,,,,,,,,,,,
1992,Couple without children,Rural regions,,,,,,,,,,,,
1992,Single parent,Urban regions,,,,,,,,,,,,
1992,Single parent,Rural regions,,,,,,,,,,,,
1992,Couple with children,Urban regions,,,,,,,,,,,,
1992,Couple with children,Rural regions,,,,,,,,,,,,
1992,Multi-generational household,Urban regions,,,,,,,,,,,,
1992,Multi-generational household,Rural regions,,,,,,,,,,,,
1992,Other Combinations,Urban regions,,,,,,,,,,,,
1992,Other Combinations,Rural regions,,,,,,,,,,,,
1993,Single-person household,Urban regions,,,,,,,,,,,,
1993,Single-person household,Rural regions,,,,,,,,,,,,
1993,Couple without children,Urban regions,,,,,,,,,,,,
1993,Couple without children,Rural regions,,,,,,,,,,,,
1993,Single parent,Urban regions,,,,,,,,,,,,
1993,Single parent,Rural regions,,,,,,,,,,,,
1993,Couple with children,Urban regions,,,,,,,,,,,,
1993,Couple with children,Rural regions,,,,,,,,,,,,
1993,Multi-generational household,Urban regions,,,,,,,,,,,,
1993,Multi-generational household,Rural regions,,,,,,,,,,,,
1993,Other Combinations,Urban regions,,,,,,,,,,,,
1993,Other Combinations,Rural regions,,,,,,,,,,,,
1994,Single-person household,Urban regions,,,,,,,,,,,,
1994,Single-person household,Rural regions,,,,,,,,,,,,
1994,Couple without children,Urban regions,,,,,,,,,,,,
1994,Couple without children,Rural regions,,,,,,,,,,,,
1994,Single parent,Urban regions,,,,,,,,,,,,
1994,Single parent,Rural regions,,,,,,,,,,,,
1994,Couple with children,Urban regions,,,,,,,,,,,,
1994,Couple with children,Rural regions,,,,,,,,,,,,
1994,Multi-generational household,Urban regions,,,,,,,,,,,,
1994,Multi-generational household,Rural regions,,,,,,,,,,,,
1994,Other Combinations,Urban regions,,,,,,,,,,,,
1994,Other Combinations,Rural regions,,,,,,,,,,,,
1995,Single-person household,Urban regions,,,,,,,,,,,,
1995,Single-person household,Rural regions,,,,,,,,,,,,
1995,Couple without children,Urban regions,,,,,,,,,,,,
1995,Couple without children,Rural regions,,,,,,,,,,,,
1995,Single parent,Urban regions,,,,,,,,,,,,
1995,Single parent,Rural regions,,,,,,,,,,,,
1995,Couple with children,Urban regions,,,,,,,,,,,,
1995,Couple with children,Rural regions,,,,,,,,,,,,
1995,Multi-generational household,Urban regions,,,,,,,,,,,,
1995,Multi-generational household,Rural regions,,,,,,,,,,,,
1995,Other Combinations,Urban regions,,,,,,,,,,,,
1995,Other Combinations,Rural regions,,,,,,,,,,,,
1996,Single-person household,Urban regions,,,,,,,,,,,,
1996,Single-person household,Rural regions,,,,,,,,,,,,
1996,Couple without children,Urban regions,,,,,,,,,,,,
1996,Couple without children,Rural regions,,,,,,,,,,,,
1996,Single parent,Urban regions,,,,,,,,,,,,
1996,Single parent,Rural regions,,,,,,,,,,,,
1996,Couple with children,Urban regions,,,,,,,,,,,,
1996,Couple with children,Rural regions,,,,,,,,,,,,
1996,Multi-generational household,Urban regions,,,,,,,,,,,,
1996,Multi-generational household,Rural regions,,,,,,,,,,,,
1996,Other Combinations,Urban regions,,,,,,,,,,,,
1996,Other Combinations,Rural regions,,,,,,,,,,,,
1997,Single-person household,Urban regions,,,,,,,,,,,,
1997,Single-person household,Rural regions,,,,,,,,,,,,
1997,Couple without children,Urban regions,,,,,,,,,,,,
1997,Couple without children,Rural regions,,,,,,,,,,,,
1997,Single parent,Urban regions,,,,,,,,,,,,
1997,Single parent,Rural regions,,,,,,,,,,,,
1997,Couple with children,Urban regions,,,,,,,,,,,,
1997,Couple with children,Rural regions,,,,,,,,,,,,
1997,Multi-generational household,Urban regions,,,,,,,,,,,,
1997,Multi-generational household,Rural regions,,,,,,,,,,,,
1997,Other Combinations,Urban regions,,,,,,,,,,,,
1997,Other Combinations,Rural regions,,,,,,,,,,,,
1998,Single-person household,Urban regions,,,,,,,,,,,,
1998,Single-person household,Rural regions,,,,,,,,,,,,
1998,Couple without children,Urban regions,,,,,,,,,,,,
1998,Couple without children,Rural regions,,,,,,,,,,,,
1998,Single parent,Urban regions,,,,,,,,,,,,
1998,Single parent,Rural regions,,,,,,,,,,,,
1998,Couple with children,Urban regions,,,,,,,,,,,,
1998,Couple with children,Rural regions,,,,,,,,,,,,
1998,Multi-generational household,Urban regions,,,,,,,,,,,,
1998,Multi-generational household,Rural regions,,,,,,,,,,,,
1998,Other Combinations,Urban regions,,,,,,,,,,,,
1998,Other Combinations,Rural regions,,,,,,,,,,,,
1999,Single-person household,Urban regions,,,,,,,,,,,,
1999,Single-person household,Rural regions,,,,,,,,,,,,
1999,Couple without children,Urban regions,,,,,,,,,,,,
1999,Couple without children,Rural regions,,,,,,,,,,,,
1999,Single parent,Urban regions,,,,,,,,,,,,
1999,Single parent,Rural regions,,,,,,,,,,,,
1999,Couple with children,Urban regions,,,,,,,,,,,,
1999,Couple with children,Rural regions,,,,,,,,,,,,
1999,Multi-generational household,Urban regions,,,,,,,,,,,,
1999,Multi-generational household,Rural regions,,,,,,,,,,,,
1999,Other Combinations,Urban regions,,,,,,,,,,,,
1999,Other Combinations,Rural regions,,,,,,,,,,,,
2000,Single-person household,Urban regions,,,,,,,,,,,,
2000,Single-person household,Rural regions,,,,,,,,,,,,
2000,Couple without children,Urban regions,,,,,,,,,,,,
2000,Couple without children,Rural regions,,,,,,,,,,,,
2000,Single parent,Urban regions,,,,,,,,,,,,
2000,Single parent,Rural regions,,,,,,,,,,,,
2000,Couple with children,Urban regions,,,,,,,,,,,,
2000,Couple with children,Rural regions,,,,,,,,,,,,
2000,Multi-generational household,Urban regions,,,,,,,,,,,,
2000,Multi-generational household,Rural regions,,,,,,,,,,,,
2000,Other Combinations,Urban regions,,,,,,,,,,,,
2000,Other Combinations,Rural regions,,,,,,,,,,,,
2001,Single-person household,Urban regions,,,,,,,,,,,,
2001,Single-person household,Rural regions,,,,,,,,,,,,
2001,Couple without children,Urban regions,,,,,,,,,,,,
2001,Couple without children,Rural regions,,,,,,,,,,,,
2001,Single parent,Urban regions,,,,,,,,,,,,
2001,Single parent,Rural regions,,,,,,,,,,,,
2001,Couple with children,Urban regions,,,,,,,,,,,,
2001,Couple with children,Rural regions,,,,,,,,,,,,
2001,Multi-generational household,Urban regions,,,,,,,,,,,,
2001,Multi-generational household,Rural regions,,,,,,,,,,,,
2001,Other Combinations,Urban regions,,,,,,,,,,,,
2001,Other Combinations,Rural regions,,,,,,,,,,,,
2002,Single-person household,Urban regions,,,,,,,,,,,,
2002,Single-person household,Rural regions,,,,,,,,,,,,
2002,Couple without children,Urban regions,,,,,,,,,,,,
2002,Couple without children,Rural regions,,,,,,,,,,,,
2002,Single parent,Urban regions,,,,,,,,,,,,
2002,Single parent,Rural regions,,,,,,,,,,,,
2002,Couple with children,Urban regions,,,,,,,,,,,,
2002,Couple with children,Rural regions,,,,,,,,,,,,
2002,Multi-generational household,Urban regions,,,,,,,,,,,,
2002,Multi-generational household,Rural regions,,,,,,,,,,,,
2002,Other Combinations,Urban regions,,,,,,,,,,,,
2002,Other Combinations,Rural regions,,,,,,,,,,,,
2003,Single-person household,Urban regions,,,,,,,,,,,,
2003,Single-person household,Rural regions,,,,,,,,,,,,
2003,Couple without children,Urban regions,,,,,,,,,,,,
2003,Couple without children,Rural regions,,,,,,,,,,,,
2003,Single parent,Urban regions,,,,,,,,,,,,
2003,Single parent,Rural regions,,,,,,,,,,,,
2003,Couple with children,Urban regions,,,,,,,,,,,,
2003,Couple with children,Rural regions,,,,,,,,,,,,
2003,Multi-generational household,Urban regions,,,,,,,,,,,,
2003,Multi-generational household,Rural regions,,,,,,,,,,,,
2003,Other Combinations,Urban regions,,,,,,,,,,,,
2003,Other Combinations,Rural regions,,,,,,,,,,,,
2004,Single-person household,Urban regions,,,,,,,,,,,,
2004,Single-person household,Rural regions,,,,,,,,,,,,
2004,Couple without children,Urban regions,,,,,,,,,,,,
2004,Couple without children,Rural regions,,,,,,,,,,,,
2004,Single parent,Urban regions,,,,,,,,,,,,
2004,Single parent,Rural regions,,,,,,,,,,,,
2004,Couple with children,Urban regions,,,,,,,,,,,,
2004,Couple with children,Rural regions,,,,,,,,,,,,
2004,Multi-generational household,Urban regions,,,,,,,,,,,,
2004,Multi-generational household,Rural regions,,,,,,,,,,,,
2004,Other Combinations,Urban regions,,,,,,,,,,,,
2004,Other Combinations,Rural regions,,,,,,,,,,,,
2005,Single-person household,Urban regions,,,,,,,,,,,,
2005,Single-person household,Rural regions,,,,,,,,,,,,
2005,Couple without children,Urban regions,,,,,,,,,,,,
2005,Couple without children,Rural regions,,,,,,,,,,,,
2005,Single parent,Urban regions,,,,,,,,,,,,
2005,Single parent,Rural regions,,,,,,,,,,,,
2005,Couple with children,Urban regions,,,,,,,,,,,,
2005,Couple with children,Rural regions,,,,,,,,,,,,
2005,Multi-generational household,Urban regions,,,,,,,,,,,,
2005,Multi-generational household,Rural regions,,,,,,,,,,,,
2005,Other Combinations,Urban regions,,,,,,,,,,,,
2005,Other Combinations,Rural regions,,,,,,,,,,,,
2006,Single-person household,Urban regions,,,,,,,,,,,,
2006,Single-person household,Rural regions,,,,,,,,,,,,
2006,Couple without children,Urban regions,,,,,,,,,,,,
2006,Couple without children,Rural regions,,,,,,,,,,,,
2006,Single parent,Urban regions,,,,,,,,,,,,
2006,Single parent,Rural regions,,,,,,,,,,,,
2006,Couple with children,Urban regions,,,,,,,,,,,,
2006,Couple with children,Rural regions,,,,,,,,,,,,
2006,Multi-generational household,Urban regions,,,,,,,,,,,,
2006,Multi-generational household,Rural regions,,,,,,,,,,,,
2006,Other Combinations,Urban regions,,,,,,,,,,,,
2006,Other Combinations,Rural regions,,,,,,,,,,,,
2007,Single-person household,Urban regions,,,,,,,,,,,,
2007,Single-person household,Rural regions,,,,,,,,,,,,
2007,Couple without children,Urban regions,,,,,,,,,,,,
2007,Couple without children,Rural regions,,,,,,,,,,,,
2007,Single parent,Urban regions,,,,,,,,,,,,
2007,Single parent,Rural regions,,,,,,,,,,,,
2007,Couple with children,Urban regions,,,,,,,,,,,,
2007,Couple with children,Rural regions,,,,,,,,,,,,
2007,Multi-generational household,Urban regions,,,,,,,,,,,,
2007,Multi-generational household,Rural regions,,,,,,,,,,,,
2007,Other Combinations,Urban regions,,,,,,,,,,,,
2007,Other Combinations,Rural regions,,,,,,,,,,,,
2008,Single-person household,Urban regions,,,,,,,,,,,,
2008,Single-person household,Rural regions,,,,,,,,,,,,
2008,Couple without children,Urban regions,,,,,,,,,,,,
2008,Couple without children,Rural regions,,,,,,,,,,,,
2008,Single parent,Urban regions,,,,,,,,,,,,
2008,Single parent,Rural regions,,,,,,,,,,,,
2008,Couple with children,Urban regions,,,,,,,,,,,,
2008,Couple with children,Rural regions,,,,,,,,,,,,
2008,Multi-generational household,Urban regions,,,,,,,,,,,,
2008,Multi-generational household,Rural regions,,,,,,,,,,,,
2008,Other Combinations,Urban regions,,,,,,,,,,,,
2008,Other Combinations,Rural regions,,,,,,,,,,,,
2009,Single-person household,Urban regions,,,,,,,,,,,,
2009,Single-person household,Rural regions,,,,,,,,,,,,
2009,Couple without children,Urban regions,,,,,,,,,,,,
2009,Couple without children,Rural regions,,,,,,,,,,,,
2009,Single parent,Urban regions,,,,,,,,,,,,
2009,Single parent,Rural regions,,,,,,,,,,,,
2009,Couple with children,Urban regions,,,,,,,,,,,,
2009,Couple with children,Rural regions,,,,,,,,,,,,
2009,Multi-generational household,Urban regions,,,,,,,,,,,,
2009,Multi-generational household,Rural regions,,,,,,,,,,,,
2009,Other Combinations,Urban regions,,,,,,,,,,,,
2009,Other Combinations,Rural regions,,,,,,,,,,,,
2010,Single-person household,Urban regions,,,,,,,,,,,,
2010,Single-person household,Rural regions,,,,,,,,,,,,
2010,Couple without children,Urban regions,,,,,,,,,,,,
2010,Couple without children,Rural regions,,,,,,,,,,,,
2010,Single parent,Urban regions,,,,,,,,,,,,
2010,Single parent,Rural regions,,,,,,,,,,,,
2010,Couple with children,Urban regions,,,,,,,,,,,,
2010,Couple with children,Rural regions,,,,,,,,,,,,
2010,Multi-generational household,Urban regions,,,,,,,,,,,,
2010,Multi-generational household,Rural regions,,,,,,,,,,,,
2010,Other Combinations,Urban regions,,,,,,,,,,,,
2010,Other Combinations,Rural regions,,,,,,,,,,,,
2011,Single-person household,Urban regions,,,,,,,,,,,,
2011,Single-person household,Rural regions,,,,,,,,,,,,
2011,Couple without children,Urban regions,,,,,,,,,,,,
2011,Couple without children,Rural regions,,,,,,,,,,,,
2011,Single parent,Urban regions,,,,,,,,,,,,
2011,Single parent,Rural regions,,,,,,,,,,,,
2011,Couple with children,Urban regions,,,,,,,,,,,,
2011,Couple with children,Rural regions,,,,,,,,,,,,
2011,Multi-generational household,Urban regions,,,,,,,,,,,,
2011,Multi-generational household,Rural regions,,,,,,,,,,,,
2011,Other Combinations,Urban regions,,,,,,,,,,,,
2011,Other Combinations,Rural regions,,,,,,,,,,,,
2012,Single-person household,Urban regions,,,,,,,,,,,,
2012,Single-person household,Rural regions,,,,,,,,,,,,
2012,Couple without children,Urban regions,,,,,,,,,,,,
2012,Couple without children,Rural regions,,,,,,,,,,,,
2012,Single parent,Urban regions,,,,,,,,,,,,
2012,Single parent,Rural regions,,,,,,,,,,,,
2012,Couple with children,Urban regions,,,,,,,,,,,,
2012,Couple with children,Rural regions,,,,,,,,,,,,
2012,Multi-generational household,Urban regions,,,,,,,,,,,,
2012,Multi-generational household,Rural regions,,,,,,,,,,,,
2012,Other Combinations,Urban regions,,,,,,,,,,,,
2012,Other Combinations,Rural regions,,,,,,,,,,,,
2013,Single-person household,Urban regions,,,,,,,,,,,,
2013,Single-person household,Rural regions,,,,,,,,,,,,
2013,Couple without children,Urban regions,,,,,,,,,,,,
2013,Couple without children,Rural regions,,,,,,,,,,,,
2013,Single parent,Urban regions,,,,,,,,,,,,
2013,Single parent,Rural regions,,,,,,,,,,,,
2013,Couple with children,Urban regions,,,,,,,,,,,,
2013,Couple with children,Rural regions,,,,,,,,,,,,
2013,Multi-generational household,Urban regions,,,,,,,,,,,,
2013,Multi-generational household,Rural regions,,,,,,,,,,,,
2013,Other Combinations,Urban regions,,,,,,,,,,,,
2013,Other Combinations,Rural regions,,,,,,,,,,,,
2014,Single-person household,Urban regions,,,,,,,,,,,,
2014,Single-person household,Rural regions,,,,,,,,,,,,
2014,Couple without children,Urban regions,,,,,,,,,,,,
2014,Couple without children,Rural regions,,,,,,,,,,,,
2014,Single parent,Urban regions,,,,,,,,,,,,
2014,Single parent,Rural regions,,,,,,,,,,,,
2014,Couple with children,Urban regions,,,,,,,,,,,,
2014,Couple with children,Rural regions,,,,,,,,,,,,
2014,Multi-generational household,Urban regions,,,,,,,,,,,,
2014,Multi-generational household,Rural regions,,,,,,,,,,,,
2014,Other Combinations,Urban regions,,,,,,,,,,,,
2014,Other Combinations,Rural regions,,,,,,,,,,,,
2015,Single-person household,Urban regions,,,,,,,,,,,,
2015,Single-person household,Rural regions,,,,,,,,,,,,
2015,Couple without children,Urban regions,,,,,,,,,,,,
2015,Couple without children,Rural regions,,,,,,,,,,,,
2015,Single parent,Urban regions,,,,,,,,,,,,
2015,Single parent,Rural regions,,,,,,,,,,,,
2015,Couple with children,Urban regions,,,,,,,,,,,,
2015,Couple with children,Rural regions,,,,,,,,,,,,
2015,Multi-generational household,Urban regions,,,,,,,,,,,,
2015,Multi-generational household,Rural regions,,,,,,,,,,,,
2015,Other Combinations,Urban regions,,,,,,,,,,,,
2015,Other Combinations,Rural regions,,,,,,,,,,,,
2016,Single-person household,Urban regions,65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,Single-person household,Rural regions,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,Couple without children,Urban regions,111,1.0609800377914431,1.0394029229574442,1.082557152625442,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,Couple without children,Rural regions,87,1.0571987158766327,1.0335467523223225,1.080850679430943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,Single parent,Urban regions,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,Single parent,Rural regions,,,,,,,,,,,,
2016,Couple with children,Urban regions,81,1.1621448107224255,1.1232387639284258,1.2010508575164252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,Couple with children,Rural regions,69,1.1326538078296633,1.092659148605123,1.1726484670542037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,Multi-generational household,Urban regions,,,,,,,,,,,,
2016,Multi-generational household,Rural regions,,,,,,,,,,,,
2016,Other Combinations,Urban regions,,,,,,,,,,,,
2016,Other Combinations,Rural regions,,,,,,,,,,,,
2017,Single-person household,Urban regions,73,1.0100550457748085,0.9989617721736258,1.0211483193759912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,Single-person household,Rural regions,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,Couple without children,Urban regions,122,1.0672860075173294,1.045739329796069,1.0888326852385897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,Couple without children,Rural regions,98,1.0552660248431052,1.0333382557941775,1.0771937938920328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,Single parent,Urban regions,47,1.000808060688028,0.9968705556115787,1.0047455657644775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,Single parent,Rural regions,,,,,,,,,,,,
2017,Couple with children,Urban regions,138,1.0634239848366493,1.04368463554131,1.0831633341319886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,Couple with children,Rural regions,90,1.1085934716749297,1.0566949394931706,1.1604920038566888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,Multi-generational household,Urban regions,,,,,,,,,,,,
2017,Multi-generational household,Rural regions,,,,,,,,,,,,
2017,Other Combinations,Urban regions,,,,,,,,,,,,
2017,Other Combinations,Rural regions,,,,,,,,,,,,
2018,Single-person household,Urban regions,93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Single-person household,Rural regions,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Couple without children,Urban regions,147,1.0713288304283481,1.0511624260710486,1.0914952347856477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Couple without children,Rural regions,95,1.077588966999424,1.051513984115553,1.1036639498832952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Single parent,Urban regions,63,1.0428197780162625,1.0185887190492438,1.0670508369832812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Single parent,Rural regions,,,,,,,,,,,,
2018,Couple with children,Urban regions,178,1.0808966324243878,1.06142035946416,1.1003729053846156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Couple with children,Rural regions,94,1.1247531186961035,1.0700441509303678,1.1794620864618393,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Multi-generational household,Urban regions,34,1.0175547083264902,0.996158582482,1.0389508341709803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Multi-generational household,Rural regions,,,,,,,,,,,,
2018,Other Combinations,Urban regions,44,1.0288494564389261,0.9994711707178987,1.0582277421599535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Other Combinations,Rural regions,,,,,,,,,,,,
2019,Single-person household,Urban regions,83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Single-person household,Rural regions,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Couple without children,Urban regions,164,1.0690898998229021,1.049611258288739,1.0885685413570654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Couple without children,Rural regions,107,1.1123095980074784,1.0833114064165712,1.1413077895983856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Single parent,Urban regions,62,1.080863894113989,1.047971536785121,1.113756251442857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Single parent,Rural regions,,,,,,,,,,,,
2019,Couple with children,Urban regions,166,1.068936336715,1.049359562678571,1.088513110751429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Couple with children,Rural regions,79,1.1134641270976782,1.0553560411864231,1.1715722130089332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Multi-generational household,Urban regions,,,,,,,,,,,,
2019,Multi-generational household,Rural regions,,,,,,,,,,,,
2019,Other Combinations,Urban regions,34,1.0291673616902977,0.9910270113685827,1.0673077120120127,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019,Other Combinations,Rural regions,,,,,,,,,,,,
2020,Single-person household,Urban regions,97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Single-person household,Rural regions,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Couple without children,Urban regions,153,1.0591027452118045,1.0409913120562593,1.0772141783673497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Couple without children,Rural regions,100,1.1154591322746896,1.085099486402779,1.1458187781466003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Single parent,Urban regions,65,1.038713336038267,1.0159820668868984,1.0614446051896356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Single parent,Rural regions,,,,,,,,,,,,
2020,Couple with children,Urban regions,163,1.0880665937370246,1.0669147004749924,1.109218486999057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Couple with children,Rural regions,84,1.0619733458627303,1.03234881948553,1.0915978722399307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Multi-generational household,Urban regions,,,,,,,,,,,,
2020,Multi-generational household,Rural regions,,,,,,,,,,,,
2020,Other Combinations,Urban regions,34,1.025229531758094,0.9996795894633287,1.050779474052859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,Other Combinations,Rural regions,,,,,,,,,,,,
2021,Single-person household,Urban regions,61,1.0026148082188473,0.9942772215089649,1.0109523949287296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,Single-person household,Rural regions,40,1.0107771882731924,0.985072524668648,1.0364818518777368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,Couple without children,Urban regions,132,1.094891942565266,1.070659258295091,1.119124626835441,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
