year,regtyp,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2000,Urban regions,West,,,,,,,,,,,,
2000,Urban regions,East,,,,,,,,,,,,
2000,Rural regions,West,,,,,,,,,,,,
2000,Rural regions,East,,,,,,,,,,,,
2001,Urban regions,West,,,,,,,,,,,,
2001,Urban regions,East,,,,,,,,,,,,
2001,Rural regions,West,,,,,,,,,,,,
2001,Rural regions,East,,,,,,,,,,,,
2002,Urban regions,West,,,,,,,,,,,,
2002,Urban regions,East,,,,,,,,,,,,
2002,Rural regions,West,,,,,,,,,,,,
2002,Rural regions,East,,,,,,,,,,,,
2003,Urban regions,West,,,,,,,,,,,,
2003,Urban regions,East,,,,,,,,,,,,
2003,Rural regions,West,,,,,,,,,,,,
2003,Rural regions,East,,,,,,,,,,,,
2004,Urban regions,West,,,,,,,,,,,,
2004,Urban regions,East,,,,,,,,,,,,
2004,Rural regions,West,,,,,,,,,,,,
2004,Rural regions,East,,,,,,,,,,,,
2005,Urban regions,West,,,,,,,,,,,,
2005,Urban regions,East,,,,,,,,,,,,
2005,Rural regions,West,,,,,,,,,,,,
2005,Rural regions,East,,,,,,,,,,,,
2006,Urban regions,West,,,,,,,,,,,,
2006,Urban regions,East,,,,,,,,,,,,
2006,Rural regions,West,,,,,,,,,,,,
2006,Rural regions,East,,,,,,,,,,,,
2007,Urban regions,West,,,,,,,,,,,,
2007,Urban regions,East,,,,,,,,,,,,
2007,Rural regions,West,,,,,,,,,,,,
2007,Rural regions,East,,,,,,,,,,,,
2008,Urban regions,West,,,,,,,,,,,,
2008,Urban regions,East,,,,,,,,,,,,
2008,Rural regions,West,,,,,,,,,,,,
2008,Rural regions,East,,,,,,,,,,,,
2009,Urban regions,West,,,,,,,,,,,,
2009,Urban regions,East,,,,,,,,,,,,
2009,Rural regions,West,,,,,,,,,,,,
2009,Rural regions,East,,,,,,,,,,,,
2010,Urban regions,West,,,,,,,,,,,,
2010,Urban regions,East,,,,,,,,,,,,
2010,Rural regions,West,,,,,,,,,,,,
2010,Rural regions,East,,,,,,,,,,,,
2011,Urban regions,West,,,,,,,,,,,,
2011,Urban regions,East,,,,,,,,,,,,
2011,Rural regions,West,,,,,,,,,,,,
2011,Rural regions,East,,,,,,,,,,,,
2012,Urban regions,West,,,,,,,,,,,,
2012,Urban regions,East,,,,,,,,,,,,
2012,Rural regions,West,,,,,,,,,,,,
2012,Rural regions,East,,,,,,,,,,,,
2013,Urban regions,West,,,,,,,,,,,,
2013,Urban regions,East,,,,,,,,,,,,
2013,Rural regions,West,,,,,,,,,,,,
2013,Rural regions,East,,,,,,,,,,,,
2014,Urban regions,West,,,,,,,,,,,,
2014,Urban regions,East,,,,,,,,,,,,
2014,Rural regions,West,,,,,,,,,,,,
2014,Rural regions,East,,,,,,,,,,,,
2015,Urban regions,West,,,,,,,,,,,,
2015,Urban regions,East,,,,,,,,,,,,
2015,Rural regions,West,,,,,,,,,,,,
2015,Rural regions,East,,,,,,,,,,,,
2016,Urban regions,West,1.045592764800941,1.0338951455040999,1.0572903840977823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,287.0
2016,Urban regions,East,1.0346252241628326,1.0090164400006967,1.0602340083249686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0
2016,Rural regions,West,1.0601749585561921,1.0407621077255163,1.079587809386868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,139.0
2016,Rural regions,East,1.0404949024370216,1.022132446895483,1.05885735797856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0
2017,Urban regions,West,1.0348129793637229,1.0257514367420828,1.043874521985363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,377.0
2017,Urban regions,East,1.0807825482332616,1.0458757379727155,1.1156893584938077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0
2017,Rural regions,West,1.036727927099909,1.0227774723841658,1.0506783818156522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.0
2017,Rural regions,East,1.0671457042525971,1.037217496634578,1.0970739118706163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,126.0
2018,Urban regions,West,1.0385791301758271,1.030245203142346,1.0469130572093084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,492.0
2018,Urban regions,East,1.0832966043144066,1.05122547354727,1.1153677350815432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0
2018,Rural regions,West,1.0336086659547392,1.0203967277293038,1.0468206041801746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,174.0
2018,Rural regions,East,1.1083604784609873,1.0746627484143207,1.1420582085076538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129.0
2019,Urban regions,West,1.0359248592421308,1.027539504217333,1.0443102142669287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,468.0
2019,Urban regions,East,1.150392802247035,1.1054340701195091,1.195351534374561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0
2019,Rural regions,West,1.0775238509146217,1.0568474238112135,1.0982002780180298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,157.0
2019,Rural regions,East,1.0800995652765064,1.0480506167109462,1.1121485138420666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120.0
2020,Urban regions,West,1.035514115250363,1.0272723663681995,1.0437558641325266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,456.0
2020,Urban regions,East,1.0701161268027364,1.0426498608623236,1.0975823927431492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.0
2020,Rural regions,West,1.083374299394539,1.0623493421531671,1.1043992566359109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,165.0
2020,Rural regions,East,1.079815101285147,1.0455272048743076,1.1141029976959862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,127.0
2021,Urban regions,West,1.0466181918731,1.0361496901391543,1.0570866936070455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,390.0
2021,Urban regions,East,1.1531046861732233,1.1036370958346595,1.202572276511787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0
2021,Rural regions,West,1.0236687770459836,1.0095287370236792,1.037808817068288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,131.0
2021,Rural regions,East,1.1029860399416174,1.0732268621039023,1.1327452177793325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109.0
