"year","bildungsniveau","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lowerconfidence_mean","upperconfidence_mean","minimum","maximum","lowerconfidence_median","upperconfidence_median"
"2008","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2008","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2008","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2009","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2009","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","Laendlicher Raum","2.85","2.5","486","1","2","4","5","7","2.72","2.98","1","7","2","3"
"2010","(Fach-)Abitur","Staedtischer Raum","2.79","1.5","1405","1","2","4","5","7","2.71","2.87","1","7","2","3"
"2010","(noch) kein Abschluss","Laendlicher Raum","2.65","1.5","105","1","1","3","5","7","2.32","2.98","1","7","2","3"
"2010","(noch) kein Abschluss","Staedtischer Raum","3.1","2.5","303","1","2","4","5","7","2.91","3.29","1","7","3","3"
"2010","AkademikerIn","Laendlicher Raum","2.73","1.5","1127","1","2","4","5","7","2.65","2.81","1","7","2","3"
"2010","AkademikerIn","Staedtischer Raum","2.67","1.5","2690","1","2","4","5","7","2.62","2.72","1","7","2","2"
"2010","Hauptschule","Laendlicher Raum","3.14","2.5","2018","1","2","4","6","7","3.06","3.22","1","7","3","3"
"2010","Hauptschule","Staedtischer Raum","2.9","2.5","3533","1","1","4","5","7","2.84","2.96","1","7","3","3"
"2010","Realschule","Laendlicher Raum","3.03","2.5","1868","1","2","4","5","7","2.96","3.1","1","7","3","3"
"2010","Realschule","Staedtischer Raum","2.89","2.5","2582","1","2","4","5","7","2.83","2.95","1","7","2","3"
"2011","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2011","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2011","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2012","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2012","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2013","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2013","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2014","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2014","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2015","(Fach-)Abitur","Laendlicher Raum","2.45","1.5","1094","1","1","3","5","7","2.36","2.54","1","7","2","2"
"2015","(Fach-)Abitur","Staedtischer Raum","2.37","1.5","3021","1","1","3","4","7","2.32","2.42","1","7","2","2"
"2015","(noch) kein Abschluss","Laendlicher Raum","2.73","1.5","291","1","1","4","5","7","2.53","2.93","1","7","2","3"
"2015","(noch) kein Abschluss","Staedtischer Raum","2.72","1.5","649","1","1","4","5","7","2.59","2.85","1","7","2","2"
"2015","AkademikerIn","Laendlicher Raum","2.36","1.5","1758","1","1","3","4","6","2.3","2.42","1","7","2","2"
"2015","AkademikerIn","Staedtischer Raum","2.33","1.5","4621","1","1","3","4","6","2.29","2.37","1","7","2","2"
"2015","Hauptschule","Laendlicher Raum","2.69","1.5","2974","1","1","4","5","7","2.63","2.75","1","7","2","2"
"2015","Hauptschule","Staedtischer Raum","2.63","1.5","4752","1","1","4","5","7","2.58","2.68","1","7","2","2"
"2015","Realschule","Laendlicher Raum","2.67","1.5","2855","1","1","4","5","7","2.61","2.73","1","7","2","2"
"2015","Realschule","Staedtischer Raum","2.52","1.5","3691","1","1","3","5","7","2.47","2.57","1","7","2","2"
"2016","(Fach-)Abitur","Laendlicher Raum","1.57","1","133","1","1","2","3","5","1.37","1.77","1","7","1","1"
"2016","(Fach-)Abitur","Staedtischer Raum","2.06","1.5","378","1","1","3","4","7","1.92","2.2","1","7","1","1"
"2016","(noch) kein Abschluss","Laendlicher Raum","2.03","1","312","1","1","3","5","7","1.87","2.19","1","7","1","1"
"2016","(noch) kein Abschluss","Staedtischer Raum","2.26","1","687","1","1","4","5","7","2.15","2.37","1","7","1","1"
"2016","AkademikerIn","Laendlicher Raum","1.86","1","169","1","1","2","5","7","1.64","2.08","1","7","1","1"
"2016","AkademikerIn","Staedtischer Raum","1.82","1","428","1","1","2","4","7","1.72","1.92","1","7","1","1"
"2016","Hauptschule","Laendlicher Raum","1.94","1","177","1","1","2","4","6","1.75","2.13","1","7","1","1"
"2016","Hauptschule","Staedtischer Raum","2.69","1","458","1","1","4","7","7","2.57","2.81","1","7","1","1"
"2016","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2016","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2017","(Fach-)Abitur","Laendlicher Raum","1.34","1","104","1","1","1","2","4","1.18","1.5","1","7","1","1"
"2017","(Fach-)Abitur","Staedtischer Raum","1.63","1","196","1","1","2","3","7","1.44","1.82","1","7","1","1"
"2017","(noch) kein Abschluss","Laendlicher Raum","1.51","1","232","1","1","1","3","7","1.31","1.71","1","7","1","1"
"2017","(noch) kein Abschluss","Staedtischer Raum","1.75","1","485","1","1","2","4","7","1.61","1.89","1","7","1","1"
"2017","AkademikerIn","Laendlicher Raum","1.69","1","85","1","1","2","3","7","1.48","1.9","1","7","1","1"
"2017","AkademikerIn","Staedtischer Raum","1.6","1","229","1","1","1","3","7","1.43","1.77","1","7","1","1"
"2017","Hauptschule","Laendlicher Raum","1.37","1","148","1","1","1","2","7","1.16","1.58","1","7","1","1"
"2017","Hauptschule","Staedtischer Raum","1.69","1","253","1","1","2","4","7","1.53","1.85","1","7","1","1"
"2017","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2017","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","(Fach-)Abitur","Staedtischer Raum","2.17","1","33","1","1","2","6","7","1.55","2.79","1","7","1","1"
"2018","(noch) kein Abschluss","Laendlicher Raum","1.9","1","56","1","1","2","6","7","1.37","2.43","1","7","1","1"
"2018","(noch) kein Abschluss","Staedtischer Raum","1.46","1","88","1","1","1","3","7","1.19","1.73","1","7","1","1"
"2018","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2018","Hauptschule","Laendlicher Raum","1.29","1","34","1","1","1","2","6.83","0.78","1.8","1","7","1","1"
"2018","Hauptschule","Staedtischer Raum","1.5","1","52","1","1","1","4","4","1.23","1.77","1","5","1","1"
"2018","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2018","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","(noch) kein Abschluss","Laendlicher Raum","2.28","1","58","1","1","3","7","7","1.95","2.61","1","7","1","1"
"2019","(noch) kein Abschluss","Staedtischer Raum","2.03","1","69","1","1","3","5","6","1.63","2.43","1","7","1","3"
"2019","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2019","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","Hauptschule","Staedtischer Raum","1.63","1","33","1","1","2","2","7","1.03","2.23","1","7","1","1"
"2019","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2019","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2020","(Fach-)Abitur","Laendlicher Raum","2.28","1.5","1301","1","1","3","4","6","2.21","2.35","1","7","2","2"
"2020","(Fach-)Abitur","Staedtischer Raum","2.24","1.5","3747","1","1","3","4","6","2.2","2.28","1","7","2","2"
"2020","(noch) kein Abschluss","Laendlicher Raum","2.53","1.5","603","1","1","3","5","7","2.41","2.65","1","7","1","1"
"2020","(noch) kein Abschluss","Staedtischer Raum","2.58","1.5","1644","1","1","4","5","7","2.5","2.66","1","7","1","1"
"2020","AkademikerIn","Laendlicher Raum","2.33","1.5","2037","1","1","3","4","6","2.27","2.39","1","7","2","2"
"2020","AkademikerIn","Staedtischer Raum","2.28","1.5","5723","1","1","3","4","6","2.25","2.31","1","7","2","2"
"2020","Hauptschule","Laendlicher Raum","2.71","1.5","2486","1","1","4","5","7","2.64","2.78","1","7","2","2"
"2020","Hauptschule","Staedtischer Raum","2.57","1.5","4227","1","1","4","5","7","2.52","2.62","1","7","2","2"
"2020","Realschule","Laendlicher Raum","2.53","1.5","2761","1","1","3","4","7","2.47","2.59","1","7","2","2"
"2020","Realschule","Staedtischer Raum","2.41","1.5","3487","1","1","3","4","7","2.36","2.46","1","7","2","2"
