"ple0044_h","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2003","weiblich","8292","0.7739755361596","0.766208651848676","0.781742420470524"
"keinen Tag","2004","maennlich","3534","0.326074742014366","0.316927988954331","0.335221495074401"
"keinen Tag","2004","weiblich","2884","","",""
"Ja","2004","maennlich","6556","0.673925257985634","0.664778504925599","0.683072011045669"
"Ja","2004","weiblich","8031","0.762641674386418","0.754659913328448","0.770623435444389"
"keinen Tag","2005","maennlich","3304","0.327372139510916","0.318016404451675","0.336727874570158"
"keinen Tag","2005","weiblich","2798","","",""
"Ja","2005","maennlich","6360","0.672627860489083","0.663272125429842","0.681983595548325"
"Ja","2005","weiblich","7719","0.75833991245514","0.750158343870598","0.766521481039683"
"keinen Tag","2006","maennlich","3462","0.329585854693302","0.320473832323742","0.338697877062861"
"keinen Tag","2006","weiblich","3041","0.247803299197452","0.239808992694657","0.255797605700247"
"Ja","2006","maennlich","6761","0.670414145306698","0.661302122937139","0.679526167676258"
"Ja","2006","weiblich","8163","0.752196700802548","0.744202394299753","0.760191007305343"
"keinen Tag","2007","maennlich","3202","0.334430454628438","0.32495227639424","0.343908632862636"
"keinen Tag","2007","weiblich","2769","","",""
"Ja","2007","maennlich","6316","0.665569545371562","0.656091367137364","0.67504772360576"
"Ja","2007","weiblich","7664","0.760210258367008","0.752017584816782","0.768402931917234"
"keinen Tag","2008","maennlich","2900","","",""
"keinen Tag","2008","weiblich","2559","","",""
"Ja","2008","maennlich","6110","0.677297953971825","0.667644639886676","0.686951268056975"
"Ja","2008","weiblich","7358","0.763433114394162","0.755068991456712","0.771797237331613"
"keinen Tag","2009","maennlich","2606","","",""
"keinen Tag","2009","weiblich","2314","","",""
"Ja","2009","maennlich","5809","0.693360035534774","0.683508253114774","0.703211817954774"
"Ja","2009","weiblich","6901","0.762301717815215","0.753610574887772","0.770992860742658"
"keinen Tag","2010","maennlich","3534","0.311508326571345","0.302753486125496","0.320263167017195"
"keinen Tag","2010","weiblich","3392","0.236843411952665","0.22951568094624","0.24417114295909"
"Ja","2010","maennlich","7215","0.688491673428655","0.679736832982805","0.697246513874504"
"Ja","2010","weiblich","9539","0.763156588047335","0.75582885704091","0.77048431905376"
"keinen Tag","2011","maennlich","2354","","",""
"keinen Tag","2011","weiblich","2542","","",""
"Ja","2011","maennlich","6712","0.773876005825594","0.765265091892437","0.782486919758751"
"Ja","2011","weiblich","9337","0.832578797922205","0.825864879634357","0.839292716210052"
"keinen Tag","2012","maennlich","3701","0.293541002316092","0.285510229942059","0.301571774690124"
"keinen Tag","2012","weiblich","3810","0.229833138341144","0.223087649948798","0.236578626733489"
"Ja","2012","maennlich","8651","0.706458997683909","0.698428225309876","0.714489770057941"
"Ja","2012","weiblich","11134","","",""
"keinen Tag","2013","maennlich","4053","0.275786621411761","0.268327802201132","0.28324544062239"
"keinen Tag","2013","weiblich","4198","0.222053773249408","0.2157083560805","0.228399190418315"
"Ja","2013","maennlich","9738","0.724213378588239","0.71675455937761","0.731672197798868"
"Ja","2013","weiblich","12283","","",""
"keinen Tag","2014","maennlich","3936","0.305488063452567","0.297335640430012","0.313640486475123"
"keinen Tag","2014","weiblich","4199","0.245478284716855","0.23845780052132","0.25249876891239"
"Ja","2014","maennlich","8327","0.694511936547433","0.686359513524877","0.702664359569988"
"Ja","2014","weiblich","10237","","",""
"keinen Tag","2015","maennlich","3587","0.283190401381756","0.275168896190195","0.291211906573317"
"keinen Tag","2015","weiblich","3564","0.224517793621359","0.217685260242044","0.231350327000674"
"Ja","2015","maennlich","8532","0.716809598618244","0.708788093426683","0.724831103809805"
"Ja","2015","weiblich","10763","","",""
"keinen Tag","2016","maennlich","3156","0.28528465269322","0.276823968315895","0.293745337070545"
"keinen Tag","2016","weiblich","3211","0.225921921124125","0.218739611201451","0.233104231046799"
"Ja","2016","maennlich","7786","0.71471534730678","0.706254662929455","0.723176031684105"
"Ja","2016","weiblich","9812","0.774078078875875","0.766895768953202","0.781260388798549"
"keinen Tag","2017","maennlich","3342","0.272043548776889","0.264113403088123","0.279973694465655"
"keinen Tag","2017","weiblich","3271","0.213061863972964","0.20631299203886","0.219810735907069"
"Ja","2017","maennlich","8755","0.727956451223111","0.720026305534345","0.735886596911877"
"Ja","2017","weiblich","10870","","",""
"keinen Tag","2018","maennlich","3106","0.261311967427095","0.253342148985215","0.269281785868975"
"keinen Tag","2018","weiblich","3152","0.205618242019597","0.198845718928149","0.212390765111045"
"Ja","2018","maennlich","8568","0.738688032572905","0.730718214131024","0.746657851014785"
"Ja","2018","weiblich","10528","","",""
"keinen Tag","2019","maennlich","3566","0.265494096731847","0.257638454158811","0.273349739304883"
"keinen Tag","2019","weiblich","3111","0.196771805984054","0.190025421567668","0.20351819040044"
"Ja","2019","maennlich","8573","0.734505903268153","0.726650260695117","0.742361545841189"
"Ja","2019","weiblich","10229","","",""
"keinen Tag","2020","maennlich","4614","0.265073406080899","0.257670684806025","0.272476127355773"
"keinen Tag","2020","weiblich","3668","0.208061186280292","0.201375790152102","0.214746582408483"
"Ja","2020","maennlich","9042","0.734926593919101","0.727523872644227","0.742329315193975"
"Ja","2020","weiblich","10494","","",""
