"ple0044_h","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","1991","Staedtischer Raum","2115","0.240975572207326","0.231996555452846","0.249954588961805"
"keinen Tag","1991","Laendlicher Raum","581","0.16078300878678","0.150310314109257","0.171255703464303"
"Ja","1991","Staedtischer Raum","6600","0.759024427792674","0.750045411038195","0.768003444547154"
"Ja","1991","Laendlicher Raum","4145","0.83921699121322","0.828744296535697","0.849689685890743"
"keinen Tag","1992","Staedtischer Raum","2565","0.280101843959718","0.270574643871537","0.289629044047899"
"keinen Tag","1992","Laendlicher Raum","1724","0.338119647522204","0.324323812434225","0.351915482610182"
"Ja","1992","Staedtischer Raum","5969","0.719898156040282","0.710370955952102","0.729425356128463"
"Ja","1992","Laendlicher Raum","2793","0.661880352477796","0.648084517389818","0.675676187565775"
"keinen Tag","1993","Staedtischer Raum","","","",""
"keinen Tag","1993","Laendlicher Raum","","","",""
"Ja","1993","Staedtischer Raum","","","",""
"Ja","1993","Laendlicher Raum","","","",""
"keinen Tag","1994","Staedtischer Raum","2448","0.266663167905079","0.25719175262637","0.276134583183788"
"keinen Tag","1994","Laendlicher Raum","1394","0.289210945874379","0.275794360383124","0.302627531365634"
"Ja","1994","Staedtischer Raum","5926","0.733336832094921","0.723865416816212","0.74280824737363"
"Ja","1994","Laendlicher Raum","2993","0.710789054125621","0.697372468634367","0.724205639616876"
"keinen Tag","1995","Staedtischer Raum","2435","0.264198393040136","0.254778055099977","0.273618730980294"
"keinen Tag","1995","Laendlicher Raum","1451","0.294391967859107","0.281014494613502","0.307769441104711"
"Ja","1995","Staedtischer Raum","5980","0.735801606959865","0.726381269019706","0.745221944900023"
"Ja","1995","Laendlicher Raum","3008","0.705608032140893","0.692230558895289","0.718985505386498"
"keinen Tag","1996","Staedtischer Raum","2354","0.269701184150234","0.260100080858473","0.279302287441996"
"keinen Tag","1996","Laendlicher Raum","1301","0.269663544828373","0.256465008092117","0.282862081564629"
"Ja","1996","Staedtischer Raum","5854","0.730298815849766","0.720697712558004","0.739899919141527"
"Ja","1996","Laendlicher Raum","3042","0.730336455171627","0.717137918435371","0.743534991907883"
"keinen Tag","1997","Staedtischer Raum","2275","0.25767090388506","0.248106295932412","0.267235511837708"
"keinen Tag","1997","Laendlicher Raum","1345","0.287279006072258","0.273730718744403","0.300827293400113"
"Ja","1997","Staedtischer Raum","5757","0.74232909611494","0.732764488162292","0.751893704067588"
"Ja","1997","Laendlicher Raum","2940","0.712720993927742","0.699172706599887","0.726269281255597"
"keinen Tag","1998","Staedtischer Raum","2575","0.270513976626224","0.261250527183266","0.279777426069182"
"keinen Tag","1998","Laendlicher Raum","1472","0.274016942746731","0.261378183053092","0.28665570244037"
"Ja","1998","Staedtischer Raum","6259","0.729486023373776","0.720222573930818","0.738749472816734"
"Ja","1998","Laendlicher Raum","3312","0.725983057253269","0.71334429755963","0.738621816946908"
"keinen Tag","1999","Staedtischer Raum","2613","0.287388307812491","0.277776805293059","0.296999810331923"
"keinen Tag","1999","Laendlicher Raum","1449","0.284251037974022","0.271193623809431","0.297308452138612"
"Ja","1999","Staedtischer Raum","5903","0.712611692187509","0.703000189668077","0.722223194706941"
"Ja","1999","Laendlicher Raum","3135","0.715748962025978","0.702691547861388","0.728806376190569"
"keinen Tag","2000","Staedtischer Raum","4449","0.281615950251167","0.274456547242867","0.288775353259466"
"keinen Tag","2000","Laendlicher Raum","2465","0.287841862052718","0.27798625901014","0.297697465095296"
"Ja","2000","Staedtischer Raum","10713","0.718384049748833","0.711224646740534","0.725543452757133"
"Ja","2000","Laendlicher Raum","5642","0.712158137947282","0.702302534904704","0.72201374098986"
"keinen Tag","2001","Staedtischer Raum","4142","0.289905577045673","0.282348452479654","0.297462701611692"
"keinen Tag","2001","Laendlicher Raum","2218","0.283287565093769","0.273027395978565","0.293547734208974"
"Ja","2001","Staedtischer Raum","9705","0.710094422954327","0.702537298388308","0.717651547520346"
"Ja","2001","Laendlicher Raum","5191","0.716712434906231","0.706452265791026","0.726972604021436"
"keinen Tag","2002","Staedtischer Raum","4606","0.283446123067171","0.276173153564158","0.290719092570184"
"keinen Tag","2002","Laendlicher Raum","2306","0.283289217352295","0.273100291821911","0.293478142882679"
"Ja","2002","Staedtischer Raum","10144","0.716553876932829","0.709280907429816","0.723826846435842"
"Ja","2002","Laendlicher Raum","5207","0.716710782647705","0.706521857117321","0.726899708178089"
"keinen Tag","2003","Staedtischer Raum","4320","0.276522690300502","0.269175577752123","0.283869802848881"
"keinen Tag","2003","Laendlicher Raum","2203","0.288444632787493","0.278017743220697","0.298871522354289"
"Ja","2003","Staedtischer Raum","9917","0.723477309699498","0.716130197151119","0.730824422247877"
"Ja","2003","Laendlicher Raum","5049","0.711555367212507","0.701128477645711","0.721982256779303"
"keinen Tag","2004","Staedtischer Raum","4200","0.273403197908299","0.26600061241706","0.280805783399538"
"keinen Tag","2004","Laendlicher Raum","2218","0.29588243736413","0.285249718839699","0.306515155888561"
"Ja","2004","Staedtischer Raum","9726","0.726596802091701","0.719194216600462","0.73399938758294"
"Ja","2004","Laendlicher Raum","4861","0.70411756263587","0.693484844111439","0.714750281160301"
"keinen Tag","2005","Staedtischer Raum","3990","0.277057166720627","0.269479837443689","0.284634495997565"
"keinen Tag","2005","Laendlicher Raum","2112","0.296772259338395","0.285898170099731","0.30764634857706"
"Ja","2005","Staedtischer Raum","9411","0.722942833279373","0.715365504002435","0.730520162556311"
"Ja","2005","Laendlicher Raum","4668","0.703227740661605","0.69235365142294","0.714101829900269"
"keinen Tag","2006","Staedtischer Raum","4157","0.278857097219259","0.271445256765359","0.286268937673159"
"keinen Tag","2006","Laendlicher Raum","2346","0.305832725397079","0.295309817705109","0.316355633089049"
"Ja","2006","Staedtischer Raum","9905","0.721142902780741","0.713731062326841","0.728554743234641"
"Ja","2006","Laendlicher Raum","5019","0.694167274602921","0.683644366910951","0.704690182294891"
"keinen Tag","2007","Staedtischer Raum","3837","0.279075181695242","0.271382128659059","0.286768234731424"
"keinen Tag","2007","Laendlicher Raum","2134","0.29973187566282","0.288915690798844","0.310548060526797"
"Ja","2007","Staedtischer Raum","9222","0.720924818304758","0.713231765268576","0.728617871340941"
"Ja","2007","Laendlicher Raum","4758","0.70026812433718","0.689451939473203","0.711084309201156"
"keinen Tag","2008","Staedtischer Raum","3487","0.272406751957729","0.264568293649604","0.280245210265854"
"keinen Tag","2008","Laendlicher Raum","1972","0.291037659893604","0.280024511956639","0.302050807830569"
"Ja","2008","Staedtischer Raum","8905","0.727593248042271","0.719754789734146","0.735431706350396"
"Ja","2008","Laendlicher Raum","4563","0.708962340106396","0.697949192169431","0.719975488043362"
"keinen Tag","2009","Staedtischer Raum","3157","0.267410132108671","0.259292050034438","0.275528214182903"
"keinen Tag","2009","Laendlicher Raum","1763","0.279460719558449","0.268300916162767","0.290620522954131"
"Ja","2009","Staedtischer Raum","8262","0.732589867891329","0.724471785817096","0.740707949965562"
"Ja","2009","Laendlicher Raum","4448","0.720539280441551","0.709379477045869","0.731699083837233"
"keinen Tag","2010","Staedtischer Raum","4345","0.260944538734892","0.254011153965938","0.267877923503847"
"keinen Tag","2010","Laendlicher Raum","2581","0.299164275096721","0.289295015416368","0.309033534777074"
"Ja","2010","Staedtischer Raum","11066","0.739055461265107","0.732122076496153","0.745988846034062"
"Ja","2010","Laendlicher Raum","5688","0.700835724903279","0.690966465222926","0.710704984583632"
"keinen Tag","2011","Staedtischer Raum","3086","0.191615950676883","0.184953169067198","0.198278732286568"
"keinen Tag","2011","Laendlicher Raum","1810","0.20002997057408","0.191001420429345","0.209058520718814"
"Ja","2011","Staedtischer Raum","10318","0.808384049323117","0.801721267713432","0.815046830932802"
"Ja","2011","Laendlicher Raum","5731","0.79997002942592","0.790941479281186","0.808998579570655"
"keinen Tag","2012","Staedtischer Raum","4667","0.25509817316255","0.248600373042568","0.261595973282532"
"keinen Tag","2012","Laendlicher Raum","2844","0.272215288531926","0.263494538028612","0.28093603903524"
"Ja","2012","Staedtischer Raum","12622","0.74490182683745","0.738404026717468","0.751399626957432"
"Ja","2012","Laendlicher Raum","7163","0.727784711468074","0.719063960964761","0.736505461971388"
"keinen Tag","2013","Staedtischer Raum","5336","0.241146769427555","0.235200445057688","0.247093093797422"
"keinen Tag","2013","Laendlicher Raum","2915","0.262388913528958","0.25393016961419","0.270847657443726"
"Ja","2013","Staedtischer Raum","14545","0.758853230572445","0.752906906202578","0.764799554942312"
"Ja","2013","Laendlicher Raum","7476","0.737611086471042","0.729152342556274","0.74606983038581"
"keinen Tag","2014","Staedtischer Raum","5351","0.275511069400332","0.268863372043524","0.28215876675714"
"keinen Tag","2014","Laendlicher Raum","2784","0.273161164609915","0.264128471005313","0.282193858214517"
"Ja","2014","Staedtischer Raum","12000","0.724488930599668","0.71784123324286","0.731136627956476"
"Ja","2014","Laendlicher Raum","6564","0.726838835390085","0.717806141785483","0.735871528994687"
"keinen Tag","2015","Staedtischer Raum","4585","0.247531229370033","0.241087280447665","0.2539751782924"
"keinen Tag","2015","Laendlicher Raum","2566","0.264773852533959","0.255765436385038","0.273782268682881"
"Ja","2015","Staedtischer Raum","12646","0.752468770629967","0.7460248217076","0.758912719552335"
"Ja","2015","Laendlicher Raum","6649","0.735226147466041","0.726217731317119","0.744234563614962"
"keinen Tag","2016","Staedtischer Raum","4070","0.252356890600302","0.245529110224009","0.259184670976595"
"keinen Tag","2016","Laendlicher Raum","2297","0.260230668730626","0.250857832461232","0.26960350500002"
"Ja","2016","Staedtischer Raum","11477","0.747643109399698","0.740815329023405","0.754470889775991"
"Ja","2016","Laendlicher Raum","6121","0.739769331269374","0.73039649499998","0.749142167538768"
"keinen Tag","2017","Staedtischer Raum","4244","0.245602094638765","0.239118775397367","0.252085413880164"
"keinen Tag","2017","Laendlicher Raum","2369","0.233883687559033","0.225282919749949","0.242484455368118"
"Ja","2017","Staedtischer Raum","12689","0.754397905361235","0.747914586119837","0.760881224602633"
"Ja","2017","Laendlicher Raum","6936","0.766116312440967","0.757515544631882","0.774717080250051"
"keinen Tag","2018","Staedtischer Raum","3987","0.227817719555258","0.221407908788977","0.234227530321538"
"keinen Tag","2018","Laendlicher Raum","2271","0.244088147857817","0.235167104111869","0.253009191603766"
"Ja","2018","Staedtischer Raum","12461","0.772182280444742","0.765772469678462","0.778592091211023"
"Ja","2018","Laendlicher Raum","6635","0.755911852142183","0.746990808396234","0.764832895888131"
"keinen Tag","2019","Staedtischer Raum","4266","0.231475658265924","0.224981365652693","0.237969950879155"
"keinen Tag","2019","Laendlicher Raum","2307","0.229227104302368","0.220413305662196","0.238040902942539"
"Ja","2019","Staedtischer Raum","11937","0.768524341734076","0.762030049120844","0.775018634347307"
"Ja","2019","Laendlicher Raum","6430","0.770772895697632","0.761959097057461","0.779586694337804"
"keinen Tag","2020","Staedtischer Raum","5516","0.227951189317352","0.221924762582056","0.233977616052647"
"keinen Tag","2020","Laendlicher Raum","2766","0.253238445827854","0.244357196321672","0.262119695334035"
"Ja","2020","Staedtischer Raum","13099","0.772048810682648","0.766022383947353","0.778075237417944"
"Ja","2020","Laendlicher Raum","6444","0.746761554172146","0.737880304665964","0.755642803678328"
