year,bula_h,pld0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Bavaria,Seldom,0.16259,613,3113,0.14963,0.17555
2003,Bavaria,Never,0.44204,1585,3113,0.42459,0.45949
2003,Berlin,Often,0.04070,42,796,0.02696,0.05443
2003,Berlin,Sometimes,0.07185,71,796,0.05390,0.08980
2003,Berlin,Seldom,0.13125,149,796,0.10778,0.15473
2003,Berlin,Never,0.55958,534,796,0.52507,0.59409
2003,Brandenburg,Often,0.06065,58,902,0.04507,0.07624
2003,Brandenburg,Sometimes,0.09014,96,902,0.07144,0.10884
2003,Brandenburg,Seldom,0.16601,196,902,0.14171,0.19030
2003,Brandenburg,Never,0.51686,552,902,0.48423,0.54949
2003,Mecklenburg-Western Pomerania,Sometimes,0.07569,55,478,0.05195,0.09942
2003,Mecklenburg-Western Pomerania,Seldom,0.14677,92,478,0.11501,0.17852
2003,Mecklenburg-Western Pomerania,Never,0.57335,331,478,0.52897,0.61774
2003,Saxony,Very often,0.02543,54,1605,0.01773,0.03314
2003,Saxony,Often,0.05911,115,1605,0.04757,0.07065
2003,Saxony,Sometimes,0.08251,168,1605,0.06904,0.09597
2003,Saxony,Seldom,0.14641,265,1605,0.12911,0.16371
2003,Saxony,Never,0.54352,1003,1605,0.51915,0.56790
2003,Saxony-Anhalt,Very often,0.03032,40,928,0.01928,0.04135
2003,Saxony-Anhalt,Often,0.09068,96,928,0.07219,0.10916
2003,Saxony-Anhalt,Sometimes,0.09653,115,928,0.07752,0.11554
2003,Saxony-Anhalt,Seldom,0.14071,179,928,0.11833,0.16310
2003,Saxony-Anhalt,Never,0.51262,498,928,0.48045,0.54480
2003,Thuringa,Often,0.04237,61,927,0.02939,0.05534
2003,Thuringa,Sometimes,0.10166,107,927,0.08219,0.12112
2003,Thuringa,Seldom,0.16228,190,927,0.13853,0.18603
2003,Thuringa,Never,0.53071,569,927,0.49857,0.56286
2008,Schleswig-Holstein,Often,0.07264,51,528,0.05048,0.09480
2008,Schleswig-Holstein,Sometimes,0.09166,59,528,0.06703,0.11630
2008,Schleswig-Holstein,Seldom,0.17281,98,528,0.14053,0.20509
2008,Schleswig-Holstein,Never,0.44841,320,528,0.40594,0.49087
2008,Hamburg,Seldom,0.15877,50,224,0.11080,0.20674
2008,Hamburg,Never,0.53964,174,224,0.47422,0.60506
2008,Lower Saxony,Very often,0.04433,99,1726,0.03462,0.05404
2008,Lower Saxony,Often,0.08168,170,1726,0.06875,0.09460
2008,Lower Saxony,Sometimes,0.10534,242,1726,0.09085,0.11982
2008,Lower Saxony,Seldom,0.15362,324,1726,0.13661,0.17064
2008,Lower Saxony,Never,0.44364,891,1726,0.42020,0.46709
2008,Bremen,Never,0.66541,100,100,0.57246,0.75836
2008,North Rhine-Westphalia,Very often,0.03003,145,3916,0.02468,0.03537
2008,North Rhine-Westphalia,Often,0.06716,302,3916,0.05932,0.07500
2008,North Rhine-Westphalia,Sometimes,0.06826,321,3916,0.06036,0.07616
2008,North Rhine-Westphalia,Seldom,0.11901,542,3916,0.10887,0.12916
2008,North Rhine-Westphalia,Never,0.54598,2606,3916,0.53039,0.56158
2008,Hesse,Very often,0.03999,78,1298,0.02933,0.05065
2008,Hesse,Often,0.07890,133,1298,0.06423,0.09358
2008,Hesse,Sometimes,0.08209,145,1298,0.06715,0.09703
2008,Hesse,Seldom,0.12685,195,1298,0.10874,0.14496
2008,Hesse,Never,0.47958,747,1298,0.45239,0.50677
2008,"Rhineland-Palatinate, Saarland",Very often,0.04487,63,1089,0.03257,0.05717
2008,"Rhineland-Palatinate, Saarland",Often,0.05307,81,1089,0.03975,0.06639
2008,"Rhineland-Palatinate, Saarland",Sometimes,0.06481,91,1089,0.05018,0.07944
2008,"Rhineland-Palatinate, Saarland",Seldom,0.12688,154,1089,0.10710,0.14665
2008,"Rhineland-Palatinate, Saarland",Never,0.52668,700,1089,0.49701,0.55634
2008,Baden-Wuerttemberg,Very often,0.05390,144,2343,0.04475,0.06305
2008,Baden-Wuerttemberg,Often,0.07865,217,2343,0.06775,0.08955
2008,Baden-Wuerttemberg,Sometimes,0.08952,244,2343,0.07796,0.10108
2008,Baden-Wuerttemberg,Seldom,0.16482,497,2343,0.14980,0.17985
2008,Baden-Wuerttemberg,Never,0.42973,1241,2343,0.40968,0.44978
2008,Bavaria,Very often,0.06256,214,2731,0.05348,0.07165
2008,Bavaria,Often,0.09269,321,2731,0.08181,0.10357
2008,Bavaria,Sometimes,0.10280,355,2731,0.09141,0.11420
2008,Bavaria,Seldom,0.16222,561,2731,0.14839,0.17605
2008,Bavaria,Never,0.40877,1280,2731,0.39033,0.42721
2008,Berlin,Often,0.06331,57,695,0.04519,0.08143
2008,Berlin,Sometimes,0.05490,51,695,0.03795,0.07184
2008,Berlin,Seldom,0.15025,121,695,0.12367,0.17684
2008,Berlin,Never,0.57048,466,695,0.53365,0.60731
2008,Brandenburg,Very often,0.04530,48,816,0.03102,0.05958
2008,Brandenburg,Often,0.05933,65,816,0.04311,0.07555
2008,Brandenburg,Sometimes,0.11406,107,816,0.09223,0.13588
2008,Brandenburg,Seldom,0.14993,152,816,0.12542,0.17445
2008,Brandenburg,Never,0.48713,444,816,0.45281,0.52144
2008,Mecklenburg-Western Pomerania,Often,0.04832,35,463,0.02877,0.06788
2008,Mecklenburg-Western Pomerania,Sometimes,0.05868,43,463,0.03725,0.08012
2008,Mecklenburg-Western Pomerania,Seldom,0.09240,60,463,0.06599,0.11880
2008,Mecklenburg-Western Pomerania,Never,0.64442,325,463,0.60077,0.68807
2008,Saxony,Very often,0.03102,57,1427,0.02202,0.04002
2008,Saxony,Often,0.05738,108,1427,0.04531,0.06945
2008,Saxony,Sometimes,0.07133,126,1427,0.05797,0.08469
2008,Saxony,Seldom,0.18095,299,1427,0.16097,0.20093
2008,Saxony,Never,0.52330,837,1427,0.49738,0.54923
2008,Saxony-Anhalt,Very often,0.04045,37,809,0.02687,0.05404
2008,Saxony-Anhalt,Often,0.07805,72,809,0.05955,0.09655
2008,Saxony-Anhalt,Sometimes,0.09667,88,809,0.07630,0.11705
2008,Saxony-Anhalt,Seldom,0.13404,133,809,0.11055,0.15753
2008,Saxony-Anhalt,Never,0.52291,479,809,0.48847,0.55735
2008,Thuringa,Very often,0.03345,44,871,0.02150,0.04540
2008,Thuringa,Often,0.08196,74,871,0.06373,0.10019
2008,Thuringa,Sometimes,0.09309,82,871,0.07378,0.11239
2008,Thuringa,Seldom,0.13766,151,871,0.11477,0.16056
2008,Thuringa,Never,0.52729,520,871,0.49412,0.56047
2013,Schleswig-Holstein,Very often,0.04333,62,902,0.03004,0.05663
2013,Schleswig-Holstein,Often,0.07011,109,902,0.05344,0.08679
2013,Schleswig-Holstein,Sometimes,0.09279,115,902,0.07385,0.11174
2013,Schleswig-Holstein,Seldom,0.16633,177,902,0.14201,0.19064
2013,Schleswig-Holstein,Never,0.40558,439,902,0.37352,0.43764
2013,Hamburg,Often,0.05174,33,389,0.02970,0.07378
2013,Hamburg,Sometimes,0.10526,58,389,0.07472,0.13580
2013,Hamburg,Seldom,0.08627,56,389,0.05833,0.11421
2013,Hamburg,Never,0.48532,242,389,0.43559,0.53505
2013,Lower Saxony,Very often,0.03418,153,2443,0.02698,0.04139
2013,Lower Saxony,Often,0.09133,362,2443,0.07991,0.10276
2013,Lower Saxony,Sometimes,0.09488,302,2443,0.08326,0.10651
2013,Lower Saxony,Seldom,0.14536,473,2443,0.13138,0.15934
2013,Lower Saxony,Never,0.40429,1153,2443,0.38483,0.42376
2013,Bremen,Never,0.48009,115,115,0.38837,0.57180
2013,North Rhine-Westphalia,Very often,0.03065,255,5088,0.02591,0.03538
2013,North Rhine-Westphalia,Often,0.05329,447,5088,0.04712,0.05946
2013,North Rhine-Westphalia,Sometimes,0.05896,432,5088,0.05249,0.06544
2013,North Rhine-Westphalia,Seldom,0.12826,864,5088,0.11907,0.13745
2013,North Rhine-Westphalia,Never,0.46449,3090,5088,0.45078,0.47819
2013,Hesse,Very often,0.04082,136,1747,0.03154,0.05010
2013,Hesse,Often,0.07554,206,1747,0.06314,0.08794
2013,Hesse,Sometimes,0.07736,196,1747,0.06483,0.08989
2013,Hesse,Seldom,0.12170,294,1747,0.10636,0.13703
2013,Hesse,Never,0.41961,915,1747,0.39646,0.44276
2013,"Rhineland-Palatinate, Saarland",Very often,0.03890,84,1372,0.02867,0.04914
2013,"Rhineland-Palatinate, Saarland",Often,0.06940,145,1372,0.05595,0.08285
2013,"Rhineland-Palatinate, Saarland",Sometimes,0.07047,149,1372,0.05692,0.08402
2013,"Rhineland-Palatinate, Saarland",Seldom,0.12038,211,1372,0.10315,0.13760
2013,"Rhineland-Palatinate, Saarland",Never,0.44238,783,1372,0.41609,0.46867
2013,Baden-Wuerttemberg,Very often,0.06170,301,3001,0.05309,0.07031
2013,Baden-Wuerttemberg,Often,0.08092,420,3001,0.07117,0.09068
2013,Baden-Wuerttemberg,Sometimes,0.08440,401,3001,0.07445,0.09434
2013,Baden-Wuerttemberg,Seldom,0.14455,538,3001,0.13197,0.15714
2013,Baden-Wuerttemberg,Never,0.35470,1341,3001,0.33758,0.37183
2013,Bavaria,Very often,0.06048,396,3993,0.05308,0.06787
2013,Bavaria,Often,0.09310,529,3993,0.08409,0.10211
2013,Bavaria,Sometimes,0.08814,531,3993,0.07935,0.09693
2013,Bavaria,Seldom,0.14770,760,3993,0.13669,0.15870
2013,Bavaria,Never,0.36382,1777,3993,0.34889,0.37874
2013,Berlin,Very often,0.02756,39,976,0.01729,0.03784
2013,Berlin,Often,0.04791,82,976,0.03451,0.06132
2013,Berlin,Sometimes,0.04842,69,976,0.03494,0.06189
2013,Berlin,Seldom,0.11947,165,976,0.09911,0.13982
2013,Berlin,Never,0.52576,621,976,0.49442,0.55711
2013,Brandenburg,Very often,0.03647,49,1015,0.02494,0.04801
2013,Brandenburg,Often,0.07132,98,1015,0.05548,0.08716
2013,Brandenburg,Sometimes,0.09984,113,1015,0.08139,0.11829
2013,Brandenburg,Seldom,0.17257,208,1015,0.14932,0.19583
2013,Brandenburg,Never,0.43651,547,1015,0.40598,0.46703
2013,Mecklenburg-Western Pomerania,Often,0.07175,55,561,0.05038,0.09313
2013,Mecklenburg-Western Pomerania,Sometimes,0.08253,66,561,0.05974,0.10532
2013,Mecklenburg-Western Pomerania,Seldom,0.16374,110,561,0.13309,0.19438
2013,Mecklenburg-Western Pomerania,Never,0.49157,330,561,0.45017,0.53298
2013,Saxony,Very often,0.03232,77,1704,0.02392,0.04072
2013,Saxony,Often,0.07175,168,1704,0.05949,0.08400
2013,Saxony,Sometimes,0.09017,177,1704,0.07657,0.10377
2013,Saxony,Seldom,0.15372,300,1704,0.13659,0.17085
2013,Saxony,Never,0.50066,982,1704,0.47692,0.52441
2013,Saxony-Anhalt,Very often,0.05016,51,959,0.03633,0.06398
2013,Saxony-Anhalt,Often,0.08246,86,959,0.06504,0.09988
2013,Saxony-Anhalt,Sometimes,0.07952,84,959,0.06239,0.09665
2013,Saxony-Anhalt,Seldom,0.14436,174,959,0.12210,0.16661
2013,Saxony-Anhalt,Never,0.47694,564,959,0.44531,0.50857
2013,Thuringa,Very often,0.03145,53,991,0.02058,0.04233
2013,Thuringa,Often,0.08029,87,991,0.06337,0.09722
2013,Thuringa,Sometimes,0.10231,136,991,0.08343,0.12119
2013,Thuringa,Seldom,0.15067,196,991,0.12838,0.17295
2013,Thuringa,Never,0.48169,519,991,0.45057,0.51282
2018,Schleswig-Holstein,Very often,0.04872,61,920,0.03480,0.06264
2018,Schleswig-Holstein,Often,0.07665,103,920,0.05945,0.09385
2018,Schleswig-Holstein,Sometimes,0.09147,99,920,0.07283,0.11011
2018,Schleswig-Holstein,Seldom,0.14293,156,920,0.12030,0.16556
2018,Schleswig-Holstein,Never,0.45333,501,920,0.42115,0.48552
2018,Hamburg,Sometimes,0.12252,57,447,0.09209,0.15295
2018,Hamburg,Seldom,0.11956,76,447,0.08945,0.14967
2018,Hamburg,Never,0.50111,314,447,0.45470,0.54751
2018,Lower Saxony,Very often,0.04700,195,2526,0.03875,0.05526
2018,Lower Saxony,Often,0.08934,293,2526,0.07821,0.10046
2018,Lower Saxony,Sometimes,0.10605,301,2526,0.09404,0.11806
2018,Lower Saxony,Seldom,0.15774,496,2526,0.14353,0.17196
2018,Lower Saxony,Never,0.43593,1241,2526,0.41659,0.45527
2018,Bremen,Seldom,0.11038,34,169,0.06300,0.15777
2018,Bremen,Never,0.54376,135,169,0.46845,0.61908
2018,North Rhine-Westphalia,Very often,0.04616,337,5386,0.04055,0.05176
2018,North Rhine-Westphalia,Often,0.06175,470,5386,0.05532,0.06818
2018,North Rhine-Westphalia,Sometimes,0.08462,512,5386,0.07719,0.09206
2018,North Rhine-Westphalia,Seldom,0.14849,877,5386,0.13899,0.15799
2018,North Rhine-Westphalia,Never,0.49897,3190,5386,0.48561,0.51232
2018,Hesse,Very often,0.07945,169,1692,0.06656,0.09234
2018,Hesse,Often,0.10354,195,1692,0.08901,0.11806
2018,Hesse,Sometimes,0.09339,188,1692,0.07953,0.10726
2018,Hesse,Seldom,0.14361,291,1692,0.12690,0.16033
2018,Hesse,Never,0.41441,849,1692,0.39093,0.43789
2018,"Rhineland-Palatinate, Saarland",Very often,0.05429,99,1471,0.04270,0.06587
2018,"Rhineland-Palatinate, Saarland",Often,0.08883,148,1471,0.07428,0.10337
2018,"Rhineland-Palatinate, Saarland",Sometimes,0.08054,144,1471,0.06663,0.09445
2018,"Rhineland-Palatinate, Saarland",Seldom,0.14784,235,1471,0.12969,0.16598
2018,"Rhineland-Palatinate, Saarland",Never,0.44878,845,1471,0.42336,0.47421
2018,Baden-Wuerttemberg,Very often,0.06534,234,2774,0.05614,0.07454
2018,Baden-Wuerttemberg,Often,0.09356,336,2774,0.08272,0.10440
2018,Baden-Wuerttemberg,Sometimes,0.09714,352,2774,0.08612,0.10816
2018,Baden-Wuerttemberg,Seldom,0.14943,462,2774,0.13616,0.16269
2018,Baden-Wuerttemberg,Never,0.42146,1390,2774,0.40308,0.43984
2018,Bavaria,Very often,0.06787,352,3966,0.06004,0.07570
2018,Bavaria,Often,0.09427,484,3966,0.08517,0.10336
2018,Bavaria,Sometimes,0.10626,514,3966,0.09667,0.11585
2018,Bavaria,Seldom,0.16331,714,3966,0.15180,0.17481
2018,Bavaria,Never,0.40550,1902,3966,0.39022,0.42078
2018,Berlin,Very often,0.02926,36,992,0.01877,0.03975
2018,Berlin,Often,0.05027,71,992,0.03667,0.06388
2018,Berlin,Sometimes,0.07563,78,992,0.05917,0.09209
2018,Berlin,Seldom,0.12238,159,992,0.10198,0.14278
2018,Berlin,Never,0.56613,648,992,0.53528,0.59699
2018,Brandenburg,Very often,0.02793,34,1026,0.01785,0.03802
2018,Brandenburg,Often,0.07451,89,1026,0.05844,0.09059
2018,Brandenburg,Sometimes,0.09879,128,1026,0.08053,0.11706
2018,Brandenburg,Seldom,0.13364,159,1026,0.11281,0.15447
2018,Brandenburg,Never,0.47904,616,1026,0.44846,0.50962
2018,Mecklenburg-Western Pomerania,Often,0.05948,53,572,0.04008,0.07888
2018,Mecklenburg-Western Pomerania,Sometimes,0.09152,80,572,0.06787,0.11517
2018,Mecklenburg-Western Pomerania,Seldom,0.13391,94,572,0.10598,0.16184
2018,Mecklenburg-Western Pomerania,Never,0.51793,345,572,0.47695,0.55892
2018,Saxony,Very often,0.03844,75,1614,0.02906,0.04783
2018,Saxony,Often,0.07925,144,1614,0.06606,0.09243
2018,Saxony,Sometimes,0.07024,149,1614,0.05777,0.08271
2018,Saxony,Seldom,0.13371,257,1614,0.11710,0.15032
2018,Saxony,Never,0.52569,989,1614,0.50132,0.55006
2018,Saxony-Anhalt,Very often,0.07257,80,907,0.05567,0.08946
2018,Saxony-Anhalt,Often,0.08463,101,907,0.06650,0.10275
2018,Saxony-Anhalt,Sometimes,0.07994,80,907,0.06228,0.09760
2018,Saxony-Anhalt,Seldom,0.13675,142,907,0.11438,0.15912
2018,Saxony-Anhalt,Never,0.45730,504,907,0.42486,0.48974
2018,Thuringa,Very often,0.04553,53,934,0.03215,0.05890
2018,Thuringa,Often,0.08813,91,934,0.06994,0.10632
2018,Thuringa,Sometimes,0.10195,104,934,0.08253,0.12136
2018,Thuringa,Seldom,0.08482,134,934,0.06694,0.10270
2018,Thuringa,Never,0.51391,552,934,0.48184,0.54598
