"germborn","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht in Deutschland geboren","1984","Hauptschule","Brandenburg","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Sachsen","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Sachsen-Anhalt","","","",""
"nicht in Deutschland geboren","1984","Hauptschule","Thueringen","","","",""
"nicht in Deutschland geboren","1984","Realschule","Schleswig-Holstein","5","","",""
"nicht in Deutschland geboren","1984","Realschule","Hamburg","1","","",""
"nicht in Deutschland geboren","1984","Realschule","Niedersachsen","6","","",""
"nicht in Deutschland geboren","1984","Realschule","Bremen","4","","",""
"nicht in Deutschland geboren","1984","Realschule","Nordrhein-Westfalen","35","0.0531711696715277","0.0327113902598753","0.0736309490831801"
"nicht in Deutschland geboren","1984","Realschule","Hessen","15","","",""
"nicht in Deutschland geboren","1984","Realschule","Rheinland-Pfalz,Saarland","5","","",""
"nicht in Deutschland geboren","1984","Realschule","Baden-Wuerttemberg","31","0.0681726993445303","0.0387558269063919","0.0975895717826686"
"nicht in Deutschland geboren","1984","Realschule","Bayern","32","0.066949727879948","0.041482940701439","0.092416515058457"
"nicht in Deutschland geboren","1984","Realschule","Saarland","","","",""
"nicht in Deutschland geboren","1984","Realschule","Berlin","5","","",""
"nicht in Deutschland geboren","1984","Realschule","Brandenburg","","","",""
"nicht in Deutschland geboren","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"nicht in Deutschland geboren","1984","Realschule","Sachsen","","","",""
"nicht in Deutschland geboren","1984","Realschule","Sachsen-Anhalt","","","",""
"nicht in Deutschland geboren","1984","Realschule","Thueringen","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Schleswig-Holstein","4","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Hamburg","23","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Niedersachsen","23","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Bremen","2","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Nordrhein-Westfalen","79","0.124782682357332","0.0846901999731954","0.164875164741468"
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Hessen","40","0.114554935748685","0.0539255913498848","0.175184280147486"
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","4","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Baden-Wuerttemberg","49","0.127754701356687","0.0714442548596066","0.184065147853767"
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Bayern","35","0.137030444869881","0.0796564858512421","0.194404403888521"
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Saarland","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Berlin","13","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Brandenburg","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Sachsen","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"nicht in Deutschland geboren","1984","(Fach-)Abitur","Thueringen","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Schleswig-Holstein","2","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Hamburg","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Niedersachsen","7","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Bremen","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Nordrhein-Westfalen","32","0.0815743824226916","0.0458095887680053","0.117339176077378"
"nicht in Deutschland geboren","1984","AkademikerIn","Hessen","22","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Rheinland-Pfalz,Saarland","1","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Baden-Wuerttemberg","25","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Bayern","27","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Saarland","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Berlin","5","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Brandenburg","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Sachsen","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"nicht in Deutschland geboren","1984","AkademikerIn","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Schleswig-Holstein","8","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Hamburg","6","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Niedersachsen","36","0.802333566271576","0.713955451356515","0.890711681186638"
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Bremen","2","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Nordrhein-Westfalen","75","0.596696659355446","0.544553019278786","0.648840299432107"
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Hessen","17","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","16","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Baden-Wuerttemberg","46","0.535221875407333","0.47830686096813","0.592136889846536"
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Bayern","27","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Berlin","10","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(noch) kein Abschluss","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Schleswig-Holstein","193","0.970338110051774","0.947607967558414","0.993068252545133"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Hamburg","113","0.937316019597252","0.897997879482456","0.976634159712049"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Niedersachsen","573","0.94875548668593","0.931817630800318","0.965693342571542"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Bremen","63","0.908641837793547","0.846281105418156","0.971002570168939"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Nordrhein-Westfalen","1276","0.915198764058253","0.901752656942521","0.928644871173985"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Hessen","405","0.873451794849776","0.847633601991907","0.899269987707644"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Rheinland-Pfalz,Saarland","460","0.951146768266173","0.932742726891931","0.969550809640415"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Baden-Wuerttemberg","787","0.865035586934782","0.84575141213303","0.884319761736533"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Bayern","938","0.929701992218714","0.914958495806855","0.944445488630573"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Berlin","129","0.917653291360066","0.876808573275712","0.95849800944442"
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Hauptschule","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Schleswig-Holstein","77","0.98312127333746","0.954893508905608","1.01134903776931"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Hamburg","56","0.990550836358805","0.965435110572425","1.01566656214518"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Niedersachsen","213","0.971348281588725","0.949303815954082","0.993392747223368"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Bremen","19","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Nordrhein-Westfalen","416","0.943910399750978","0.922721639453719","0.965099160048236"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Hessen","162","0.932968237856707","0.896333311479164","0.96960316423425"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Rheinland-Pfalz,Saarland","100","0.970367864437575","0.937778109098775","1.00295761977638"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Baden-Wuerttemberg","243","0.932126497902833","0.902289554971775","0.961963440833891"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Bayern","323","0.932653355198294","0.906545898248963","0.958760812147624"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Berlin","68","0.942091690778258","0.888511569779057","0.995671811777458"
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1985","Realschule","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Schleswig-Holstein","21","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Hamburg","19","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Niedersachsen","54","0.879660960971436","0.804508575290541","0.95481334665233"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Bremen","4","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Nordrhein-Westfalen","182","0.884982891272501","0.845747327868228","0.924218454676773"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Hessen","57","0.873691389148006","0.804675578291756","0.942707200004255"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Rheinland-Pfalz,Saarland","26","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Baden-Wuerttemberg","81","0.884925946061363","0.828759179952231","0.941092712170496"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Bayern","92","0.872896361815725","0.813300267248201","0.932492456383248"
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Berlin","21","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1985","(Fach-)Abitur","Thueringen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Schleswig-Holstein","15","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Hamburg","15","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Niedersachsen","69","0.957039045135291","0.910839891206182","1.0032381990644"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Bremen","2","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Nordrhein-Westfalen","194","0.921047652541918","0.885654501202418","0.956440803881419"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Hessen","69","0.845746608358075","0.771536188583216","0.919957028132934"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Rheinland-Pfalz,Saarland","35","0.972768387852224","0.919601867007581","1.02593490869687"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Baden-Wuerttemberg","91","0.889152821109015","0.83101086922715","0.947294772990879"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Bayern","123","0.921029050421947","0.877431732956159","0.964626367887736"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Saarland","","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Berlin","32","0.897520613677235","0.799799658579477","0.995241568774994"
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Brandenburg","","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Sachsen","","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Sachsen-Anhalt","","","",""
"in Deutschland geboren oder immigr.<1950","1985","AkademikerIn","Thueringen","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Schleswig-Holstein","6","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Hamburg","18","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Niedersachsen","42","0.197666433728424","0.109288318813362","0.286044548643485"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Bremen","2","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Nordrhein-Westfalen","265","0.403303340644554","0.351159700567894","0.455446980721214"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Hessen","104","0.481090650279832","0.392065111197066","0.570116189362598"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","53","0.445690851459449","0.328412884532892","0.562968818386005"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Baden-Wuerttemberg","249","0.464778124592667","0.407863110153464","0.52169313903187"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Bayern","76","0.373221957350011","0.279816993075277","0.466626921624744"
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Saarland","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Berlin","29","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Brandenburg","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Sachsen","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"nicht in Deutschland geboren","1985","(noch) kein Abschluss","Thueringen","","","",""
"nicht in Deutschland geboren","1985","Hauptschule","Schleswig-Holstein","21","","",""
"nicht in Deutschland geboren","1985","Hauptschule","Hamburg","33","0.0626839804027478","0.0233658402879514","0.102002120517544"
"nicht in Deutschland geboren","1985","Hauptschule","Niedersachsen","78","0.05124451331407","0.0343066574284582","0.0681823691996818"
"nicht in Deutschland geboren","1985","Hauptschule","Bremen","19","","",""
"nicht in Deutschland geboren","1985","Hauptschule","Nordrhein-Westfalen","373","0.084801235941747","0.0713551288260151","0.0982473430574789"
"nicht in Deutschland geboren","1985","Hauptschule","Hessen","232","0.126548205150224","0.100730012292356","0.152366398008093"
"nicht in Deutschland geboren","1985","Hauptschule","Rheinland-Pfalz,Saarland","67","0.048853231733827","0.0304491903595852","0.0672572731080689"
"nicht in Deutschland geboren","1985","Hauptschule","Baden-Wuerttemberg","419","0.134964413065218","0.115680238263467","0.15424858786697"
"nicht in Deutschland geboren","1985","Hauptschule","Bayern","217","0.0702980077812858","0.0555545113694267","0.0850415041931449"
"nicht in Deutschland geboren","1985","Hauptschule","Saarland","","","",""
