"plj0588","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2015","17-34","maennlich","","","",""
"Sehr oft","2015","17-34","weiblich","","","",""
"Sehr oft","2015","35-65","maennlich","","","",""
"Sehr oft","2015","35-65","weiblich","","","",""
"Sehr oft","2015","66 +","maennlich","","","",""
"Sehr oft","2015","66 +","weiblich","","","",""
"Oft","2015","17-34","maennlich","","","",""
"Oft","2015","17-34","weiblich","","","",""
"Oft","2015","35-65","maennlich","","","",""
"Oft","2015","35-65","weiblich","","","",""
"Oft","2015","66 +","maennlich","","","",""
"Oft","2015","66 +","weiblich","","","",""
"Manchmal","2015","17-34","maennlich","","","",""
"Manchmal","2015","17-34","weiblich","","","",""
"Manchmal","2015","35-65","maennlich","","","",""
"Manchmal","2015","35-65","weiblich","","","",""
"Manchmal","2015","66 +","maennlich","","","",""
"Manchmal","2015","66 +","weiblich","","","",""
"Selten","2015","17-34","maennlich","","","",""
"Selten","2015","17-34","weiblich","","","",""
"Selten","2015","35-65","maennlich","","","",""
"Selten","2015","35-65","weiblich","","","",""
"Selten","2015","66 +","maennlich","","","",""
"Selten","2015","66 +","weiblich","","","",""
"Nie","2015","17-34","maennlich","","","",""
"Nie","2015","17-34","weiblich","","","",""
"Nie","2015","35-65","maennlich","","","",""
"Nie","2015","35-65","weiblich","","","",""
"Nie","2015","66 +","maennlich","","","",""
"Nie","2015","66 +","weiblich","","","",""
"Sehr oft","2016","17-34","maennlich","50","0.0828159623243461","0.0642224199446303","0.101409504704062"
"Sehr oft","2016","17-34","weiblich","28","","",""
"Sehr oft","2016","35-65","maennlich","57","0.0926859819557288","0.072776721655229","0.112595242256229"
"Sehr oft","2016","35-65","weiblich","29","","",""
"Sehr oft","2016","66 +","maennlich","","","",""
"Sehr oft","2016","66 +","weiblich","2","","",""
"Oft","2016","17-34","maennlich","102","0.136485989565965","0.113325080667375","0.159646898464554"
"Oft","2016","17-34","weiblich","84","0.1312645030414","0.105264223272042","0.157264782810758"
"Oft","2016","35-65","maennlich","85","0.136490370681813","0.112920679856383","0.160060061507243"
"Oft","2016","35-65","weiblich","66","0.128316004465319","0.0992045394572068","0.157427469473432"
"Oft","2016","66 +","maennlich","2","","",""
"Oft","2016","66 +","weiblich","3","","",""
"Manchmal","2016","17-34","maennlich","202","0.233522930205606","0.204980482312815","0.262065378098396"
"Manchmal","2016","17-34","weiblich","187","0.309736166273039","0.274135009709815","0.345337322836263"
"Manchmal","2016","35-65","maennlich","208","0.272666576459357","0.242092594006843","0.303240558911871"
"Manchmal","2016","35-65","weiblich","130","0.257806358895854","0.219730514921994","0.295882202869715"
"Manchmal","2016","66 +","maennlich","2","","",""
"Manchmal","2016","66 +","weiblich","2","","",""
"Selten","2016","17-34","maennlich","190","0.22320633182492","0.195114312318344","0.251298351331497"
"Selten","2016","17-34","weiblich","128","0.183448325681919","0.153648803458131","0.213247847905708"
"Selten","2016","35-65","maennlich","162","0.191111052845721","0.164117711926649","0.218104393764793"
"Selten","2016","35-65","weiblich","121","0.246930650868824","0.209394555164736","0.284466746572911"
"Selten","2016","66 +","maennlich","1","","",""
"Selten","2016","66 +","weiblich","5","","",""
"Nie","2016","17-34","maennlich","300","0.323968786079163","0.292396078563313","0.355541493595013"
"Nie","2016","17-34","weiblich","221","0.318059253493261","0.282201099657529","0.353917407328994"
"Nie","2016","35-65","maennlich","303","0.307046018057381","0.275377829743268","0.338714206371493"
"Nie","2016","35-65","weiblich","161","0.297150151103415","0.257370280421073","0.336930021785756"
"Nie","2016","66 +","maennlich","2","","",""
"Nie","2016","66 +","weiblich","1","","",""
"Sehr oft","2017","17-34","maennlich","58","0.00635037976702437","0.00371040493511424","0.0089903545989345"
"Sehr oft","2017","17-34","weiblich","82","0.0122729446174425","0.00876443410153316","0.0157814551333519"
"Sehr oft","2017","35-65","maennlich","89","0.0128585049798076","0.010262271287934","0.0154547386716812"
"Sehr oft","2017","35-65","weiblich","141","0.0123488744761564","0.0100417401623035","0.0146560087900094"
"Sehr oft","2017","66 +","maennlich","15","","",""
"Sehr oft","2017","66 +","weiblich","34","0.0166885285413569","0.0116720518151196","0.0217050052675942"
"Oft","2017","17-34","maennlich","209","0.0516002105967039","0.044248223034057","0.0589521981593508"
"Oft","2017","17-34","weiblich","287","0.0688531227634644","0.0607844735103952","0.0769217720165336"
"Oft","2017","35-65","maennlich","350","0.0442591255206286","0.0395196494680735","0.0489986015731838"
"Oft","2017","35-65","weiblich","542","0.0571008558112328","0.0522534281321005","0.0619482834903651"
"Oft","2017","66 +","maennlich","90","0.0464499680352747","0.0381147272378192","0.0547852088327302"
"Oft","2017","66 +","weiblich","138","0.0598722225995212","0.0505814814883303","0.0691629637107121"
"Manchmal","2017","17-34","maennlich","702","0.195340046953076","0.182163999815867","0.208516094090285"
"Manchmal","2017","17-34","weiblich","890","0.225256521880073","0.211944391212122","0.238568652548023"
"Manchmal","2017","35-65","maennlich","1371","0.192154575036259","0.183075359247162","0.201233790825356"
"Manchmal","2017","35-65","weiblich","1878","0.21254660708839","0.203999937265129","0.221093276911652"
"Manchmal","2017","66 +","maennlich","419","0.183327243684877","0.168002569955413","0.19865191741434"
"Manchmal","2017","66 +","weiblich","470","0.202180211681651","0.186452485072476","0.217907938290827"
"Selten","2017","17-34","maennlich","1424","0.468051707864683","0.451468638063472","0.484634777665894"
"Selten","2017","17-34","weiblich","1506","0.437154892278922","0.421348162110723","0.452961622447121"
"Selten","2017","35-65","maennlich","3153","0.461741345297093","0.450253099166102","0.473229591428084"
"Selten","2017","35-65","weiblich","3711","0.428728693169438","0.418389898989825","0.439067487349052"
"Selten","2017","66 +","maennlich","1021","0.401889631106176","0.382471932096877","0.421307330115476"
"Selten","2017","66 +","weiblich","940","0.360177446315654","0.341378554195462","0.378976338435845"
"Nie","2017","17-34","maennlich","1085","0.278657654818512","0.263757543782355","0.29355776585467"
"Nie","2017","17-34","weiblich","1018","0.256462518460099","0.24254719503637","0.270377841883828"
"Nie","2017","35-65","maennlich","2271","0.288986449166212","0.278540773979991","0.299432124352433"
"Nie","2017","35-65","weiblich","2530","0.289274969454782","0.279802490642686","0.298747448266878"
"Nie","2017","66 +","maennlich","904","0.360110767900926","0.341098927786526","0.379122608015326"
"Nie","2017","66 +","weiblich","923","0.361081590861817","0.342272422219189","0.379890759504445"
"Sehr oft","2018","17-34","maennlich","6","","",""
"Sehr oft","2018","17-34","weiblich","7","","",""
"Sehr oft","2018","35-65","maennlich","9","","",""
"Sehr oft","2018","35-65","weiblich","7","","",""
"Sehr oft","2018","66 +","maennlich","1","","",""
"Sehr oft","2018","66 +","weiblich","","","",""
"Oft","2018","17-34","maennlich","8","","",""
"Oft","2018","17-34","weiblich","19","","",""
"Oft","2018","35-65","maennlich","7","","",""
"Oft","2018","35-65","weiblich","4","","",""
"Oft","2018","66 +","maennlich","","","",""
"Oft","2018","66 +","weiblich","","","",""
"Manchmal","2018","17-34","maennlich","27","","",""
"Manchmal","2018","17-34","weiblich","36","0.262124836885602","0.186232352735687","0.338017321035518"
"Manchmal","2018","35-65","maennlich","20","","",""
"Manchmal","2018","35-65","weiblich","20","","",""
"Manchmal","2018","66 +","maennlich","1","","",""
"Manchmal","2018","66 +","weiblich","","","",""
"Selten","2018","17-34","maennlich","14","","",""
"Selten","2018","17-34","weiblich","19","","",""
"Selten","2018","35-65","maennlich","15","","",""
"Selten","2018","35-65","weiblich","14","","",""
"Selten","2018","66 +","maennlich","","","",""
"Selten","2018","66 +","weiblich","","","",""
"Nie","2018","17-34","maennlich","39","0.373609085864577","0.275814321700216","0.471403850028937"
"Nie","2018","17-34","weiblich","48","0.368912287005692","0.285647829221474","0.452176744789911"
"Nie","2018","35-65","maennlich","26","","",""
"Nie","2018","35-65","weiblich","25","","",""
"Nie","2018","66 +","maennlich","1","","",""
"Nie","2018","66 +","weiblich","","","",""
"Sehr oft","2019","17-34","maennlich","1","","",""
"Sehr oft","2019","17-34","weiblich","2","","",""
"Sehr oft","2019","35-65","maennlich","2","","",""
"Sehr oft","2019","35-65","weiblich","1","","",""
"Sehr oft","2019","66 +","maennlich","","","",""
"Sehr oft","2019","66 +","weiblich","1","","",""
"Oft","2019","17-34","maennlich","5","","",""
"Oft","2019","17-34","weiblich","4","","",""
"Oft","2019","35-65","maennlich","7","","",""
"Oft","2019","35-65","weiblich","5","","",""
"Oft","2019","66 +","maennlich","","","",""
"Oft","2019","66 +","weiblich","","","",""
"Manchmal","2019","17-34","maennlich","10","","",""
"Manchmal","2019","17-34","weiblich","10","","",""
"Manchmal","2019","35-65","maennlich","13","","",""
"Manchmal","2019","35-65","weiblich","15","","",""
"Manchmal","2019","66 +","maennlich","1","","",""
"Manchmal","2019","66 +","weiblich","","","",""
"Selten","2019","17-34","maennlich","11","","",""
"Selten","2019","17-34","weiblich","16","","",""
"Selten","2019","35-65","maennlich","15","","",""
"Selten","2019","35-65","weiblich","14","","",""
"Selten","2019","66 +","maennlich","1","","",""
"Selten","2019","66 +","weiblich","","","",""
"Nie","2019","17-34","maennlich","36","0.605004717989355","0.484291965966551","0.725717470012158"
"Nie","2019","17-34","weiblich","35","0.512009372854028","0.392320056716184","0.631698688991871"
"Nie","2019","35-65","maennlich","19","","",""
"Nie","2019","35-65","weiblich","27","","",""
"Nie","2019","66 +","maennlich","2","","",""
"Nie","2019","66 +","weiblich","1","","",""
