"hgeqpsol","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2008","3","Westdeutschland","3685","0.94269903513591","0.935469334137442","0.949928736134379"
"Nein","2008","3","Ostdeutschland","1324","0.963340677166658","0.953378689439245","0.973302664894071"
"Nein","2008","4","Westdeutschland","3990","0.918811830053612","0.910759962517707","0.926863697589516"
"Nein","2008","4","Ostdeutschland","1029","0.982652793003675","0.974807808250569","0.990497777756781"
"Nein","2008","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2008","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2009","2","Westdeutschland","203","0.0580807446573045","0.0496432630344339","0.066518226280175"
"Ja","2009","2","Ostdeutschland","60","0.0423471602371886","0.0315080776459037","0.0531862428284734"
"Ja","2009","3","Westdeutschland","312","0.0786461304667821","0.0697459436183676","0.0875463173151965"
"Ja","2009","3","Ostdeutschland","63","0.0459862806061197","0.0348379536053431","0.0571346076068963"
"Ja","2009","4","Westdeutschland","432","0.086834651796091","0.0783356575430534","0.0953336460491285"
"Ja","2009","4","Ostdeutschland","50","0.0374083345664188","0.0261275695093255","0.048689099623512"
"Ja","2009","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2009","2","Westdeutschland","2749","0.941919255342695","0.933481773719825","0.950356736965566"
"Nein","2009","2","Ostdeutschland","1266","0.957652839762811","0.946813757171527","0.968491922354096"
"Nein","2009","3","Westdeutschland","3202","0.921353869533218","0.912453682684803","0.930254056381632"
"Nein","2009","3","Ostdeutschland","1293","0.95401371939388","0.942865392393104","0.965162046394657"
"Nein","2009","4","Westdeutschland","3785","0.913165348203909","0.904666353950871","0.921664342456947"
"Nein","2009","4","Ostdeutschland","1037","0.962591665433581","0.951310900376488","0.973872430490675"
"Nein","2009","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2009","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2010","2","Westdeutschland","496","0.0684341956789598","0.0622117490707938","0.0746566422871258"
"Ja","2010","2","Ostdeutschland","81","0.0547911551800305","0.0448547410741731","0.064727569285888"
"Ja","2010","3","Westdeutschland","668","0.0837036552985803","0.0764398269108148","0.0909674836863458"
"Ja","2010","3","Ostdeutschland","47","0.0260886835296872","0.0183528538572527","0.0338245132021217"
"Ja","2010","4","Westdeutschland","780","0.0979907011836322","0.0904205970493083","0.105560805317956"
"Ja","2010","4","Ostdeutschland","85","0.0539120381345422","0.0418378735858604","0.065986202683224"
"Ja","2010","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2010","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2010","2","Westdeutschland","5829","0.93156580432104","0.925343357712874","0.937788250929206"
"Nein","2010","2","Ostdeutschland","1934","0.945208844819969","0.935272430714112","0.955145258925827"
"Nein","2010","3","Westdeutschland","4916","0.91629634470142","0.909032516313654","0.923560173089185"
"Nein","2010","3","Ostdeutschland","1584","0.973911316470313","0.966175486797878","0.981647146142747"
"Nein","2010","4","Westdeutschland","5145","0.902009298816368","0.894439194682044","0.909579402950692"
"Nein","2010","4","Ostdeutschland","1259","0.946087961865458","0.934013797316776","0.95816212641414"
"Nein","2010","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2010","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2011","2","Westdeutschland","699","0.0717479313725423","0.0657615131398392","0.0777343496052454"
"Ja","2011","2","Ostdeutschland","91","0.0487644701890376","0.0395572713584203","0.0579716690196549"
"Ja","2011","3","Westdeutschland","889","0.0990486089673018","0.0919243051246635","0.10617291280994"
"Ja","2011","3","Ostdeutschland","102","0.0587421788374291","0.0484109762619349","0.0690733814129233"
"Ja","2011","4","Westdeutschland","1157","0.121097997778103","0.11376719480548","0.128428800750726"
"Ja","2011","4","Ostdeutschland","109","0.0596896576602709","0.0483441003006178","0.0710352150199239"
"Ja","2011","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2011","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2011","2","Westdeutschland","6440","0.928252068627458","0.922265650394755","0.934238486860161"
"Nein","2011","2","Ostdeutschland","2011","0.951235529810962","0.942028330980345","0.96044272864158"
"Nein","2011","3","Westdeutschland","5865","0.900951391032698","0.89382708719006","0.908075694875336"
"Nein","2011","3","Ostdeutschland","1888","0.941257821162571","0.930926618587077","0.951589023738065"
"Nein","2011","4","Westdeutschland","6451","0.878902002221897","0.871571199249274","0.88623280519452"
"Nein","2011","4","Ostdeutschland","1566","0.940310342339729","0.928964784980076","0.951655899699382"
"Nein","2011","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2011","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2012","2","Westdeutschland","664","0.0902869512035689","0.0833294126892732","0.0972444897178646"
"Ja","2012","2","Ostdeutschland","92","0.0536148491240668","0.0438662600633244","0.0633634381848092"
"Ja","2012","3","Westdeutschland","902","0.0940087156675958","0.0870813890906616","0.10093604224453"
"Ja","2012","3","Ostdeutschland","144","0.0750809308689928","0.0635891033976396","0.0865727583403459"
"Ja","2012","4","Westdeutschland","1234","0.127040103667574","0.119582466117669","0.134497741217479"
"Ja","2012","4","Ostdeutschland","139","0.0692722256561184","0.057046412774314","0.0814980385379228"
"Ja","2012","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2012","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2012","2","Westdeutschland","5854","0.909713048796431","0.902755510282135","0.916670587310727"
"Nein","2012","2","Ostdeutschland","1959","0.946385150875933","0.936636561815191","0.956133739936675"
"Nein","2012","3","Westdeutschland","5916","0.905991284332404","0.89906395775547","0.912918610909338"
"Nein","2012","3","Ostdeutschland","1876","0.924919069131007","0.913427241659654","0.93641089660236"
"Nein","2012","4","Westdeutschland","6426","0.872959896332426","0.865502258782521","0.880417533882331"
"Nein","2012","4","Ostdeutschland","1518","0.930727774343882","0.918501961462077","0.942953587225686"
"Nein","2012","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2012","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2013","2","Westdeutschland","641","0.0826943824602552","0.0764937331707623","0.0888950317497482"
"Ja","2013","2","Ostdeutschland","112","0.0543707160209014","0.0445190684570183","0.0642223635847844"
"Ja","2013","3","Westdeutschland","942","0.116830989378528","0.10958872594421","0.124073252812846"
"Ja","2013","3","Ostdeutschland","109","0.0714897430103249","0.0595242292087551","0.0834552568118947"
"Ja","2013","4","Westdeutschland","1220","0.130958293080055","0.123874335199387","0.138042250960723"
"Ja","2013","4","Ostdeutschland","143","0.0815885967121326","0.0691013811700484","0.0940758122542167"
"Ja","2013","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2013","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2013","2","Westdeutschland","6938","0.917305617539745","0.911104968250252","0.923506266829238"
"Nein","2013","2","Ostdeutschland","1923","0.945629283979099","0.935777636415216","0.955480931542982"
"Nein","2013","3","Westdeutschland","6615","0.883169010621472","0.875926747187154","0.89041127405579"
"Nein","2013","3","Ostdeutschland","1672","0.928510256989675","0.916544743188105","0.940475770791245"
"Nein","2013","4","Westdeutschland","7492","0.869041706919945","0.861957749039277","0.876125664800613"
"Nein","2013","4","Ostdeutschland","1703","0.918411403287867","0.905924187745783","0.930898618829952"
"Nein","2013","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2013","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2014","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2014","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2014","2","Westdeutschland","465","0.070584333748013","0.0641115748652072","0.0770570926308188"
"Ja","2014","2","Ostdeutschland","76","0.0537855180282218","0.0434269105155856","0.0641441255408579"
"Ja","2014","3","Westdeutschland","894","0.121820827548971","0.113867589221387","0.129774065876556"
"Ja","2014","3","Ostdeutschland","127","0.0617482655870208","0.0504484471045232","0.0730480840695183"
"Ja","2014","4","Westdeutschland","1204","0.135800125049897","0.128189299625556","0.143410950474239"
"Ja","2014","4","Ostdeutschland","192","0.106184718550254","0.0921614863911467","0.120207950709362"
"Ja","2014","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2014","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2014","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2014","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2014","2","Westdeutschland","5550","0.929415666251987","0.922942907369181","0.935888425134793"
"Nein","2014","2","Ostdeutschland","1746","0.946214481971778","0.935855874459142","0.956573089484414"
"Nein","2014","3","Westdeutschland","5603","0.878179172451029","0.870225934123444","0.886132410778613"
"Nein","2014","3","Ostdeutschland","1616","0.938251734412979","0.926951915930482","0.949551552895477"
"Nein","2014","4","Westdeutschland","6579","0.864199874950103","0.856589049525761","0.871810700374444"
"Nein","2014","4","Ostdeutschland","1662","0.893815281449746","0.879792049290638","0.907838513608853"
"Nein","2014","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2014","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2015","2","Westdeutschland","428","0.0649348202145789","0.0585294738307705","0.0713401665983874"
"Ja","2015","2","Ostdeutschland","88","0.0888842769040223","0.0746248648793791","0.103143688928665"
"Ja","2015","3","Westdeutschland","770","0.120390066652415","0.112281419116828","0.128498714188002"
"Ja","2015","3","Ostdeutschland","129","0.0771442484193912","0.0647697942507617","0.0895187025880207"
"Ja","2015","4","Westdeutschland","1287","0.142366864488576","0.134572754127488","0.150160974849664"
"Ja","2015","4","Ostdeutschland","202","0.118425126029085","0.103572519321137","0.133277732737032"
"Ja","2015","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2015","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2015","2","Westdeutschland","5257","0.935065179785421","0.928659833401612","0.941470526169229"
"Nein","2015","2","Ostdeutschland","1442","0.911115723095978","0.896856311071334","0.925375135120621"
"Nein","2015","3","Westdeutschland","5417","0.879609933347585","0.871501285811998","0.887718580883172"
"Nein","2015","3","Ostdeutschland","1657","0.922855751580609","0.910481297411979","0.935230205749238"
"Nein","2015","4","Westdeutschland","6434","0.857633135511424","0.849839025150336","0.865427245872512"
"Nein","2015","4","Ostdeutschland","1616","0.881574873970915","0.866722267262968","0.896427480678863"
"Nein","2015","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2015","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2016","2","Westdeutschland","355","0.0575796094051205","0.0510284112834431","0.0641308075267978"
"Ja","2016","2","Ostdeutschland","67","0.0710933881967674","0.0572407338827118","0.0849460425108229"
"Ja","2016","3","Westdeutschland","609","0.11554110355339","0.106888957689133","0.124193249417646"
"Ja","2016","3","Ostdeutschland","89","0.0856534515554259","0.0717707339825722","0.0995361691282795"
"Ja","2016","4","Westdeutschland","1191","0.129636144456188","0.121987031383642","0.137285257528734"
"Ja","2016","4","Ostdeutschland","186","0.109872804775504","0.0956183445695292","0.124127264981478"
"Ja","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2016","2","Westdeutschland","4502","0.94242039059488","0.935869192473202","0.948971588716557"
"Nein","2016","2","Ostdeutschland","1255","0.928906611803233","0.915053957489177","0.942759266117288"
"Nein","2016","3","Westdeutschland","4635","0.88445889644661","0.875806750582354","0.893111042310867"
"Nein","2016","3","Ostdeutschland","1472","0.914346548444574","0.90046383087172","0.928229266017428"
"Nein","2016","4","Westdeutschland","6217","0.870363855543812","0.862714742471266","0.878012968616358"
"Nein","2016","4","Ostdeutschland","1663","0.890127195224496","0.875872735018522","0.904381655430471"
"Nein","2016","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2016","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2017","2","Westdeutschland","301","0.0630571148150431","0.0558331271813984","0.0702811024486877"
"Ja","2017","2","Ostdeutschland","73","0.0740666456352209","0.0600659485545316","0.0880673427159103"
"Ja","2017","3","Westdeutschland","607","0.0955185326653174","0.0878604173517037","0.103176647978931"
"Ja","2017","3","Ostdeutschland","133","0.121109795653707","0.105222589483744","0.136997001823669"
"Ja","2017","4","Westdeutschland","1408","0.14741415298058","0.139658164354175","0.155170141606985"
"Ja","2017","4","Ostdeutschland","210","0.0872092560536118","0.0751564284268863","0.0992620836803373"
"Ja","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2017","2","Westdeutschland","4048","0.936942885184957","0.929718897551312","0.944166872818602"
"Nein","2017","2","Ostdeutschland","1271","0.925933354364779","0.91193265728409","0.939934051445468"
"Nein","2017","3","Westdeutschland","5052","0.904481467334683","0.896823352021069","0.912139582648296"
"Nein","2017","3","Ostdeutschland","1487","0.878890204346293","0.863002998176331","0.894777410516256"
"Nein","2017","4","Westdeutschland","6618","0.85258584701942","0.844829858393015","0.860341835645825"
"Nein","2017","4","Ostdeutschland","1895","0.912790743946388","0.900737916319663","0.924843571573114"
"Nein","2017","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2017","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2018","2","Westdeutschland","264","0.0585097904748219","0.0510326192727859","0.0659869616768579"
"Ja","2018","2","Ostdeutschland","61","0.0529498527151146","0.0401620975700232","0.0657376078602061"
"Ja","2018","3","Westdeutschland","625","0.0995171152561967","0.091431849782465","0.107602380729928"
"Ja","2018","3","Ostdeutschland","112","0.0825852417230752","0.0689741148628283","0.0961963685833221"
"Ja","2018","4","Westdeutschland","1234","0.139155385008207","0.131591856429389","0.146718913587024"
"Ja","2018","4","Ostdeutschland","231","0.107039617718637","0.09427641975526","0.119802815682015"
"Ja","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2018","2","Westdeutschland","3521","0.941490209525178","0.934013038323142","0.948967380727214"
"Nein","2018","2","Ostdeutschland","1117","0.947050147284885","0.934262392139794","0.959837902429977"
"Nein","2018","3","Westdeutschland","4641","0.900482884743803","0.892397619270072","0.908568150217535"
"Nein","2018","3","Ostdeutschland","1459","0.917414758276925","0.903803631416678","0.931025885137172"
"Nein","2018","4","Westdeutschland","6810","0.860844614991793","0.853281086412976","0.868408143570611"
"Nein","2018","4","Ostdeutschland","2023","0.892960382281363","0.880197184317985","0.90572358024474"
"Nein","2018","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2018","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2019","2","Westdeutschland","171","0.0668929769296446","0.0576175139239366","0.0761684399353526"
"Ja","2019","2","Ostdeutschland","37","0.0451183009850536","0.0314432923527613","0.058793309617346"
"Ja","2019","3","Westdeutschland","460","0.0906303626182704","0.0816007009229753","0.0996600243135655"
"Ja","2019","3","Ostdeutschland","91","0.0802368323553944","0.0648408503186478","0.095632814392141"
"Ja","2019","4","Westdeutschland","989","0.130784418530238","0.122584043714202","0.138984793346274"
"Ja","2019","4","Ostdeutschland","211","0.101842609343449","0.0886600875389196","0.115025131147978"
"Ja","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2019","2","Westdeutschland","2616","0.933107023070355","0.923831560064647","0.942382486076063"
"Nein","2019","2","Ostdeutschland","848","0.954881699014946","0.941206690382654","0.968556707647239"
"Nein","2019","3","Westdeutschland","3423","0.90936963738173","0.900339975686435","0.918399299077025"
"Nein","2019","3","Ostdeutschland","1105","0.919763167644606","0.904367185607859","0.935159149681352"
"Nein","2019","4","Westdeutschland","5505","0.869215581469762","0.861015206653726","0.877415956285798"
"Nein","2019","4","Ostdeutschland","1811","0.898157390656551","0.884974868852022","0.91133991246108"
"Nein","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Ja","2020","2","Westdeutschland","185","0.06323518685157","0.054931216137772","0.0715391575653679"
"Ja","2020","2","Ostdeutschland","48","0.0756308253411483","0.058191090145289","0.0930705605370076"
"Ja","2020","3","Westdeutschland","455","0.0900324408138515","0.0814058000065482","0.0986590816211548"
"Ja","2020","3","Ostdeutschland","108","0.0762207491955591","0.0613003425291877","0.0911411558619304"
"Ja","2020","4","Westdeutschland","1137","0.144788337717616","0.137071619156106","0.152505056279125"
"Ja","2020","4","Ostdeutschland","260","0.121093206528815","0.107501040074038","0.134685372983592"
"Ja","2020","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Ja","2020","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"Nein","2020","2","Westdeutschland","3115","0.93676481314843","0.928460842434632","0.945068783862228"
"Nein","2020","2","Ostdeutschland","835","0.924369174658852","0.906929439462992","0.941808909854711"
"Nein","2020","3","Westdeutschland","3774","0.909967559186148","0.901340918378845","0.918594199993452"
"Nein","2020","3","Ostdeutschland","1107","0.923779250804441","0.90885884413807","0.938699657470812"
"Nein","2020","4","Westdeutschland","6851","0.855211662282384","0.847494943720875","0.862928380843894"
"Nein","2020","4","Ostdeutschland","1953","0.878906793471185","0.865314627016408","0.892498959925962"
"Nein","2020","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"Nein","2020","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
