"pli0092_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","1985","(noch) kein Abschluss","Laendlicher Raum","9","0.0898097522373864","0.0431121390875278","0.136507365387245"
"Seltener","1985","Hauptschule","Staedtischer Raum","552","0.106757002248767","0.098025592077649","0.115488412419884"
"Seltener","1985","Hauptschule","Laendlicher Raum","161","","",""
"Seltener","1985","Realschule","Staedtischer Raum","256","","",""
"Seltener","1985","Realschule","Laendlicher Raum","78","0.186609886649388","0.148666390158655","0.224553383140122"
"Seltener","1985","(Fach-)Abitur","Staedtischer Raum","125","","",""
"Seltener","1985","(Fach-)Abitur","Laendlicher Raum","24","","",""
"Seltener","1985","AkademikerIn","Staedtischer Raum","119","","",""
"Seltener","1985","AkademikerIn","Laendlicher Raum","21","","",""
"Nie","1985","(noch) kein Abschluss","Staedtischer Raum","708","0.550183885734918","0.518228454075424","0.582139317394412"
"Nie","1985","(noch) kein Abschluss","Laendlicher Raum","94","0.47924858443862","0.397653782240724","0.560843386636516"
"Nie","1985","Hauptschule","Staedtischer Raum","3286","0.698785496780073","0.685813367272231","0.711757626287916"
"Nie","1985","Hauptschule","Laendlicher Raum","1059","","",""
"Nie","1985","Realschule","Staedtischer Raum","537","0.407950714880433","0.38213338920977","0.433768040551097"
"Nie","1985","Realschule","Laendlicher Raum","137","","",""
"Nie","1985","(Fach-)Abitur","Staedtischer Raum","250","","",""
"Nie","1985","(Fach-)Abitur","Laendlicher Raum","37","0.350684346765377","0.261102302487618","0.440266391043136"
"Nie","1985","AkademikerIn","Staedtischer Raum","209","","",""
"Nie","1985","AkademikerIn","Laendlicher Raum","46","0.418463457102198","0.330201258296032","0.506725655908365"
"Taeglich","1986","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1986","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1986","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1986","Realschule","Staedtischer Raum","","","",""
"Taeglich","1986","Realschule","Laendlicher Raum","","","",""
"Taeglich","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1986","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1986","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Staedtischer Raum","154","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Laendlicher Raum","30","0.400171511272497","0.314625562667497","0.485717459877498"
"Min 1x pro Woche","1986","Hauptschule","Staedtischer Raum","824","0.173889842762149","0.162887899947005","0.184891785577293"
"Min 1x pro Woche","1986","Hauptschule","Laendlicher Raum","269","","",""
"Min 1x pro Woche","1986","Realschule","Staedtischer Raum","490","0.336215418621673","0.311245384542878","0.361185452700468"
"Min 1x pro Woche","1986","Realschule","Laendlicher Raum","132","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","Staedtischer Raum","260","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","Laendlicher Raum","48","0.40810235521876","0.320530759714072","0.495673950723448"
"Min 1x pro Woche","1986","AkademikerIn","Staedtischer Raum","246","","",""
"Min 1x pro Woche","1986","AkademikerIn","Laendlicher Raum","52","0.398597242378828","0.312766486544363","0.484427998213294"
"Min 1x pro Monat","1986","(noch) kein Abschluss","Staedtischer Raum","21","","",""
"Min 1x pro Monat","1986","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Min 1x pro Monat","1986","Hauptschule","Staedtischer Raum","209","","",""
"Min 1x pro Monat","1986","Hauptschule","Laendlicher Raum","66","0.0425643139280219","0.0321772690275444","0.0529513588284995"
"Min 1x pro Monat","1986","Realschule","Staedtischer Raum","102","","",""
"Min 1x pro Monat","1986","Realschule","Laendlicher Raum","33","0.0717357771466301","0.046059270407968","0.0974122838852922"
"Min 1x pro Monat","1986","(Fach-)Abitur","Staedtischer Raum","50","0.0852536839569304","0.0642642587050913","0.106243109208769"
"Min 1x pro Monat","1986","(Fach-)Abitur","Laendlicher Raum","6","0.0463585443456231","0.00889465498553599","0.0838224337057101"
"Min 1x pro Monat","1986","AkademikerIn","Staedtischer Raum","55","0.0900152018005989","0.0674687728723189","0.112561630728879"
"Min 1x pro Monat","1986","AkademikerIn","Laendlicher Raum","12","","",""
"Seltener","1986","(noch) kein Abschluss","Staedtischer Raum","78","0.113817172264006","0.0929286763770685","0.134705668150943"
"Seltener","1986","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Seltener","1986","Hauptschule","Staedtischer Raum","462","0.0947158902121062","0.0862159246465621","0.10321585577765"
"Seltener","1986","Hauptschule","Laendlicher Raum","161","","",""
"Seltener","1986","Realschule","Staedtischer Raum","219","","",""
"Seltener","1986","Realschule","Laendlicher Raum","74","0.179727767993362","0.141522889422198","0.217932646564525"
"Seltener","1986","(Fach-)Abitur","Staedtischer Raum","121","","",""
"Seltener","1986","(Fach-)Abitur","Laendlicher Raum","25","","",""
"Seltener","1986","AkademikerIn","Staedtischer Raum","94","0.153427841210886","0.125036438847528","0.181819243574244"
"Seltener","1986","AkademikerIn","Laendlicher Raum","16","","",""
"Nie","1986","(noch) kein Abschluss","Staedtischer Raum","635","0.538123211587801","0.505332900302662","0.570913522872941"
"Nie","1986","(noch) kein Abschluss","Laendlicher Raum","83","0.553447884244103","0.466644379601999","0.640251388886208"
"Nie","1986","Hauptschule","Staedtischer Raum","3064","0.690992836552341","0.677579576606807","0.704406096497875"
"Nie","1986","Hauptschule","Laendlicher Raum","955","0.684451944136592","0.660539794492309","0.708364093780875"
"Nie","1986","Realschule","Staedtischer Raum","564","0.447690549219517","0.421407427729898","0.473973670709136"
"Nie","1986","Realschule","Laendlicher Raum","149","","",""
"Nie","1986","(Fach-)Abitur","Staedtischer Raum","249","","",""
"Nie","1986","(Fach-)Abitur","Laendlicher Raum","42","0.336666227605127","0.252464454521393","0.420868000688861"
"Nie","1986","AkademikerIn","Staedtischer Raum","224","","",""
"Nie","1986","AkademikerIn","Laendlicher Raum","45","0.411485037596445","0.325217209759864","0.497752865433025"
"Taeglich","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1987","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1987","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1987","Realschule","Staedtischer Raum","","","",""
"Taeglich","1987","Realschule","Laendlicher Raum","","","",""
"Taeglich","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1987","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1987","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Woche","1987","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Monat","1987","AkademikerIn","Laendlicher Raum","","","",""
"Seltener","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Seltener","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Seltener","1987","Hauptschule","Staedtischer Raum","","","",""
"Seltener","1987","Hauptschule","Laendlicher Raum","","","",""
"Seltener","1987","Realschule","Staedtischer Raum","","","",""
"Seltener","1987","Realschule","Laendlicher Raum","","","",""
"Seltener","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Seltener","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Seltener","1987","AkademikerIn","Staedtischer Raum","","","",""
"Seltener","1987","AkademikerIn","Laendlicher Raum","","","",""
"Nie","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","1987","Hauptschule","Staedtischer Raum","","","",""
"Nie","1987","Hauptschule","Laendlicher Raum","","","",""
"Nie","1987","Realschule","Staedtischer Raum","","","",""
"Nie","1987","Realschule","Laendlicher Raum","","","",""
"Nie","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","1987","AkademikerIn","Staedtischer Raum","","","",""
"Nie","1987","AkademikerIn","Laendlicher Raum","","","",""
"Taeglich","1988","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1988","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1988","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1988","Realschule","Staedtischer Raum","","","",""
"Taeglich","1988","Realschule","Laendlicher Raum","","","",""
"Taeglich","1988","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1988","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1988","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1988","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","Staedtischer Raum","133","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","Laendlicher Raum","33","0.420859339689067","0.33325438105518","0.508464298322955"
"Min 1x pro Woche","1988","Hauptschule","Staedtischer Raum","806","0.185608500008211","0.174030876740911","0.197186123275511"
"Min 1x pro Woche","1988","Hauptschule","Laendlicher Raum","241","","",""
"Min 1x pro Woche","1988","Realschule","Staedtischer Raum","479","0.328753067440417","0.303353491125152","0.354152643755682"
"Min 1x pro Woche","1988","Realschule","Laendlicher Raum","137","","",""
"Min 1x pro Woche","1988","(Fach-)Abitur","Staedtischer Raum","218","","",""
"Min 1x pro Woche","1988","(Fach-)Abitur","Laendlicher Raum","37","0.380957931766984","0.283815031313916","0.478100832220052"
"Min 1x pro Woche","1988","AkademikerIn","Staedtischer Raum","234","","",""
"Min 1x pro Woche","1988","AkademikerIn","Laendlicher Raum","49","0.433175038859648","0.34261108686784","0.523738990851456"
"Min 1x pro Monat","1988","(noch) kein Abschluss","Staedtischer Raum","20","","",""
"Min 1x pro Monat","1988","(noch) kein Abschluss","Laendlicher Raum","5","0.0407517634499846","0.00566794267394435","0.0758355842260248"
"Min 1x pro Monat","1988","Hauptschule","Staedtischer Raum","189","","",""
"Min 1x pro Monat","1988","Hauptschule","Laendlicher Raum","71","0.0475869887523919","0.0361713127588632","0.0590026647459205"
"Min 1x pro Monat","1988","Realschule","Staedtischer Raum","95","0.0667045705854004","0.053213768401528","0.0801953727692728"
"Min 1x pro Monat","1988","Realschule","Laendlicher Raum","31","0.0885922789671151","0.0598324204172631","0.117352137516967"
"Min 1x pro Monat","1988","(Fach-)Abitur","Staedtischer Raum","52","0.0880684085919641","0.0660263357548038","0.110110481429124"
"Min 1x pro Monat","1988","(Fach-)Abitur","Laendlicher Raum","6","0.0502361292299309","0.00654146750929845","0.0939307909505633"
"Min 1x pro Monat","1988","AkademikerIn","Staedtischer Raum","41","0.0722438779786904","0.0512467881077221","0.0932409678496588"
"Min 1x pro Monat","1988","AkademikerIn","Laendlicher Raum","4","0.0420553732155219","0.0053710830951487","0.0787396633358952"
"Seltener","1988","(noch) kein Abschluss","Staedtischer Raum","42","0.0705107001377105","0.0525447371560183","0.0884766631194028"
"Seltener","1988","(noch) kein Abschluss","Laendlicher Raum","6","0.0851347069735037","0.0356124904617843","0.134656923485223"
"Seltener","1988","Hauptschule","Staedtischer Raum","469","0.0990830050792906","0.0901859589621029","0.107980051196478"
"Seltener","1988","Hauptschule","Laendlicher Raum","188","","",""
"Seltener","1988","Realschule","Staedtischer Raum","239","","",""
"Seltener","1988","Realschule","Laendlicher Raum","79","0.188081950628594","0.148530527448091","0.227633373809097"
"Seltener","1988","(Fach-)Abitur","Staedtischer Raum","126","","",""
"Seltener","1988","(Fach-)Abitur","Laendlicher Raum","24","","",""
"Seltener","1988","AkademikerIn","Staedtischer Raum","106","","",""
"Seltener","1988","AkademikerIn","Laendlicher Raum","24","","",""
"Nie","1988","(noch) kein Abschluss","Staedtischer Raum","585","0.566344021125491","0.531565299141083","0.601122743109898"
"Nie","1988","(noch) kein Abschluss","Laendlicher Raum","78","0.453254189887444","0.364919391698545","0.541588988076344"
"Nie","1988","Hauptschule","Staedtischer Raum","2868","","",""
"Nie","1988","Hauptschule","Laendlicher Raum","836","0.646135121527579","0.620494693760664","0.671775549294493"
"Nie","1988","Realschule","Staedtischer Raum","501","0.426790195021528","0.400046929858798","0.453533460184258"
"Nie","1988","Realschule","Laendlicher Raum","128","","",""
"Nie","1988","(Fach-)Abitur","Staedtischer Raum","239","","",""
"Nie","1988","(Fach-)Abitur","Laendlicher Raum","29","","",""
"Nie","1988","AkademikerIn","Staedtischer Raum","203","","",""
"Nie","1988","AkademikerIn","Laendlicher Raum","38","0.329545401846537","0.243635843611694","0.41545496008138"
"Taeglich","1989","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1989","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1989","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1989","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1989","Realschule","Staedtischer Raum","","","",""
"Taeglich","1989","Realschule","Laendlicher Raum","","","",""
"Taeglich","1989","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1989","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1989","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1989","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Woche","1989","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Woche","1989","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Monat","1989","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Monat","1989","AkademikerIn","Laendlicher Raum","","","",""
"Seltener","1989","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Seltener","1989","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Seltener","1989","Hauptschule","Staedtischer Raum","","","",""
"Seltener","1989","Hauptschule","Laendlicher Raum","","","",""
"Seltener","1989","Realschule","Staedtischer Raum","","","",""
"Seltener","1989","Realschule","Laendlicher Raum","","","",""
"Seltener","1989","(Fach-)Abitur","Staedtischer Raum","","","",""
"Seltener","1989","(Fach-)Abitur","Laendlicher Raum","","","",""
"Seltener","1989","AkademikerIn","Staedtischer Raum","","","",""
"Seltener","1989","AkademikerIn","Laendlicher Raum","","","",""
"Nie","1989","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nie","1989","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nie","1989","Hauptschule","Staedtischer Raum","","","",""
"Nie","1989","Hauptschule","Laendlicher Raum","","","",""
"Nie","1989","Realschule","Staedtischer Raum","","","",""
"Nie","1989","Realschule","Laendlicher Raum","","","",""
"Nie","1989","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nie","1989","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nie","1989","AkademikerIn","Staedtischer Raum","","","",""
"Nie","1989","AkademikerIn","Laendlicher Raum","","","",""
"Taeglich","1990","(noch) kein Abschluss","Staedtischer Raum","20","","",""
"Taeglich","1990","(noch) kein Abschluss","Laendlicher Raum","9","0.10336924983108","0.0538166338518548","0.152921865810304"
"Taeglich","1990","Hauptschule","Staedtischer Raum","120","","",""
"Taeglich","1990","Hauptschule","Laendlicher Raum","38","0.020714003550917","0.0149543895608878","0.0264736175409462"
"Taeglich","1990","Realschule","Staedtischer Raum","78","0.0435538210404953","0.0339666140314505","0.0531410280495402"
"Taeglich","1990","Realschule","Laendlicher Raum","19","","",""
"Taeglich","1990","(Fach-)Abitur","Staedtischer Raum","43","0.0729474733101859","0.0536554544617489","0.0922394921586229"
"Taeglich","1990","(Fach-)Abitur","Laendlicher Raum","6","0.0387826584187237","0.0101765583872165","0.0673887584502308"
"Taeglich","1990","AkademikerIn","Staedtischer Raum","40","0.0545741004921885","0.0402648313224992","0.0688833696618778"
"Taeglich","1990","AkademikerIn","Laendlicher Raum","5","0.0223571667227779","0.0112205762420886","0.0334937572034673"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Staedtischer Raum","115","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Laendlicher Raum","34","0.320960849062648","0.244974158976409","0.396947539148888"
"Min 1x pro Woche","1990","Hauptschule","Staedtischer Raum","780","0.175771798793779","0.164698772448124","0.186844825139434"
"Min 1x pro Woche","1990","Hauptschule","Laendlicher Raum","271","","",""
"Min 1x pro Woche","1990","Realschule","Staedtischer Raum","492","0.301460109480374","0.279904553074409","0.323015665886339"
"Min 1x pro Woche","1990","Realschule","Laendlicher Raum","281","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Staedtischer Raum","244","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","Laendlicher Raum","65","0.374885385989456","0.303162435313682","0.44660833666523"
"Min 1x pro Woche","1990","AkademikerIn","Staedtischer Raum","310","0.341321050322544","0.311451489220026","0.371190611425061"
"Min 1x pro Woche","1990","AkademikerIn","Laendlicher Raum","126","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Staedtischer Raum","39","0.0552488523832085","0.0387657007110876","0.0717320040553293"
"Min 1x pro Monat","1990","(noch) kein Abschluss","Laendlicher Raum","5","0.0492322559015272","0.0140173787453718","0.0844471330576825"
"Min 1x pro Monat","1990","Hauptschule","Staedtischer Raum","309","0.0699256442956711","0.0625066493878119","0.0773446392035303"
"Min 1x pro Monat","1990","Hauptschule","Laendlicher Raum","126","","",""
"Min 1x pro Monat","1990","Realschule","Staedtischer Raum","167","","",""
"Min 1x pro Monat","1990","Realschule","Laendlicher Raum","72","0.0655846806081811","0.0524616236849046","0.0787077375314577"
"Min 1x pro Monat","1990","(Fach-)Abitur","Staedtischer Raum","72","0.115482854666866","0.0917728159616546","0.139192893372077"
"Min 1x pro Monat","1990","(Fach-)Abitur","Laendlicher Raum","19","","",""
"Min 1x pro Monat","1990","AkademikerIn","Staedtischer Raum","72","0.0876150392559129","0.0698040188463647","0.105426059665461"
"Min 1x pro Monat","1990","AkademikerIn","Laendlicher Raum","47","0.0809943022314698","0.0604429646648853","0.101545639798054"
"Seltener","1990","(noch) kein Abschluss","Staedtischer Raum","64","0.0748197766960539","0.0558378066252715","0.0938017467668363"
"Seltener","1990","(noch) kein Abschluss","Laendlicher Raum","25","","",""
"Seltener","1990","Hauptschule","Staedtischer Raum","762","0.171842914230865","0.160868276954339","0.18281755150739"
"Seltener","1990","Hauptschule","Laendlicher Raum","343","0.167229015262212","0.152137766034708","0.182320264489717"
"Seltener","1990","Realschule","Staedtischer Raum","376","0.21669767425955","0.197345019969282","0.236050328549819"
"Seltener","1990","Realschule","Laendlicher Raum","276","","",""
"Seltener","1990","(Fach-)Abitur","Staedtischer Raum","135","","",""
"Seltener","1990","(Fach-)Abitur","Laendlicher Raum","35","0.191773547866736","0.133443820273954","0.250103275459518"
"Seltener","1990","AkademikerIn","Staedtischer Raum","213","","",""
"Seltener","1990","AkademikerIn","Laendlicher Raum","136","","",""
"Nie","1990","(noch) kein Abschluss","Staedtischer Raum","500","0.542874121259436","0.50693335070964","0.578814891809232"
"Nie","1990","(noch) kein Abschluss","Laendlicher Raum","72","0.358237443045168","0.280193938060343","0.436280948029993"
"Nie","1990","Hauptschule","Staedtischer Raum","2568","","",""
"Nie","1990","Hauptschule","Laendlicher Raum","1571","","",""
"Nie","1990","Realschule","Staedtischer Raum","628","0.341615651215885","0.319338618920065","0.363892683511705"
"Nie","1990","Realschule","Laendlicher Raum","719","0.456907351653722","0.430500606834854","0.48331409647259"
"Nie","1990","(Fach-)Abitur","Staedtischer Raum","204","","",""
"Nie","1990","(Fach-)Abitur","Laendlicher Raum","50","0.28788804034722","0.220804647712001","0.354971432982439"
"Nie","1990","AkademikerIn","Staedtischer Raum","333","0.301362593161867","0.272457058820346","0.330268127503387"
"Nie","1990","AkademikerIn","Laendlicher Raum","363","0.473798000861096","0.436185984573639","0.511410017148552"
"Taeglich","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1991","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1991","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1991","Realschule","Staedtischer Raum","","","",""
"Taeglich","1991","Realschule","Laendlicher Raum","","","",""
"Taeglich","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1991","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1991","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Hauptschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Hauptschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Realschule","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Realschule","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Laendlicher Raum","","","",""
