"pli0092_h","year","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Seltener","1988","direkter Migrationshintergrund","252","0.109111640912277","0.0972140815306947","0.12100920029386"
"Seltener","1988","indirekter Migrationshintergrund","39","0.150452301847055","0.103102372461424","0.197802231232687"
"Seltener","1988","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1988","kein Migrationshintergrund","3609","0.546431727743935","0.534775974835872","0.558087480651999"
"Nie","1988","direkter Migrationshintergrund","1913","0.687758607234318","0.670074874183907","0.705442340284729"
"Nie","1988","indirekter Migrationshintergrund","77","0.496730633888343","0.430511003310997","0.562950264465688"
"Nie","1988","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1989","kein Migrationshintergrund","","","",""
"Taeglich","1989","direkter Migrationshintergrund","","","",""
"Taeglich","1989","indirekter Migrationshintergrund","","","",""
"Taeglich","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1989","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1989","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1989","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1989","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1989","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1989","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1989","kein Migrationshintergrund","","","",""
"Seltener","1989","direkter Migrationshintergrund","","","",""
"Seltener","1989","indirekter Migrationshintergrund","","","",""
"Seltener","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1989","kein Migrationshintergrund","","","",""
"Nie","1989","direkter Migrationshintergrund","","","",""
"Nie","1989","indirekter Migrationshintergrund","","","",""
"Nie","1989","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1990","kein Migrationshintergrund","296","0.0344454702308487","0.0309991393745471","0.0378918010871502"
"Taeglich","1990","direkter Migrationshintergrund","76","0.0363546007714119","0.0292094120489096","0.0434997894939143"
"Taeglich","1990","indirekter Migrationshintergrund","20","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1990","kein Migrationshintergrund","2324","0.229685389921425","0.221736558992434","0.237634220850416"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","357","0.162206887110536","0.148134154822734","0.176279619398337"
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","93","0.276986774208411","0.225833072937812","0.328140475479011"
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","756","0.0779648655309656","0.0728981594814348","0.0830315715804965"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","151","0.0587862666191778","0.0498066570150556","0.0677658762233"
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","42","0.129060905453749","0.0907373607111024","0.167384450196395"
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","kein Migrationshintergrund","2013","0.188600837025839","0.181208332615336","0.195993341436342"
"Seltener","1990","direkter Migrationshintergrund","354","0.154651916896189","0.140849001441436","0.168454832350943"
"Seltener","1990","indirekter Migrationshintergrund","50","0.215921968509671","0.168888989833774","0.262954947185567"
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","kein Migrationshintergrund","5368","0.469303437290921","0.459872550933305","0.478734323648537"
"Nie","1990","direkter Migrationshintergrund","1698","0.588000328602685","0.56921094178816","0.606789715417211"
"Nie","1990","indirekter Migrationshintergrund","89","0.316109645450126","0.262961692859063","0.369257598041188"
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","kein Migrationshintergrund","","","",""
"Taeglich","1991","direkter Migrationshintergrund","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","kein Migrationshintergrund","","","",""
"Seltener","1991","direkter Migrationshintergrund","","","",""
"Seltener","1991","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","kein Migrationshintergrund","","","",""
"Nie","1991","direkter Migrationshintergrund","","","",""
"Nie","1991","indirekter Migrationshintergrund","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","kein Migrationshintergrund","","","",""
"Taeglich","1992","direkter Migrationshintergrund","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","kein Migrationshintergrund","2266","0.234534996135298","0.226307050082581","0.242762942188014"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","358","0.166612106125478","0.151970127319932","0.181254084931024"
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","162","0.381343181276232","0.333443520492139","0.429242842060326"
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","kein Migrationshintergrund","611","0.063055319108511","0.0583353106501608","0.0677753275668612"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","104","0.0426261458284412","0.0346883172186073","0.050563974438275"
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","47","0.0928561360360109","0.0642346004413919","0.12147767163063"
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","kein Migrationshintergrund","1791","0.161655775438738","0.154506998618441","0.168804552259034"
"Seltener","1992","direkter Migrationshintergrund","309","0.133832664020384","0.120454242803747","0.147211085237022"
"Seltener","1992","indirekter Migrationshintergrund","82","0.207293245590806","0.167317331950878","0.247269159230735"
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","kein Migrationshintergrund","5519","0.540753909317453","0.531076758581536","0.550431060053371"
"Nie","1992","direkter Migrationshintergrund","1717","0.656929084025697","0.638274992688984","0.67558317536241"
"Nie","1992","indirekter Migrationshintergrund","104","0.318507437096951","0.272562263970449","0.364452610223452"
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","kein Migrationshintergrund","","","",""
"Taeglich","1993","direkter Migrationshintergrund","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1993","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1993","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1993","kein Migrationshintergrund","","","",""
"Seltener","1993","direkter Migrationshintergrund","","","",""
"Seltener","1993","indirekter Migrationshintergrund","","","",""
"Seltener","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1993","kein Migrationshintergrund","","","",""
"Nie","1993","direkter Migrationshintergrund","","","",""
"Nie","1993","indirekter Migrationshintergrund","","","",""
"Nie","1993","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1994","kein Migrationshintergrund","","","",""
"Taeglich","1994","direkter Migrationshintergrund","","","",""
"Taeglich","1994","indirekter Migrationshintergrund","","","",""
"Taeglich","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1994","kein Migrationshintergrund","2172","0.232485306323223","0.224144135921221","0.240826476725224"
"Min 1x pro Woche","1994","direkter Migrationshintergrund","302","0.167741444538354","0.152560484995027","0.182922404081681"
"Min 1x pro Woche","1994","indirekter Migrationshintergrund","177","0.348956315380669","0.306448858579057","0.39146377218228"
"Min 1x pro Woche","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1994","kein Migrationshintergrund","604","0.0606461926081863","0.0559331402996134","0.0653592449167592"
"Min 1x pro Monat","1994","direkter Migrationshintergrund","107","0.0450671862392129","0.0366383710846556","0.0534960013937703"
"Min 1x pro Monat","1994","indirekter Migrationshintergrund","63","0.108866660723952","0.0810891500866621","0.136644171361242"
"Min 1x pro Monat","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1994","kein Migrationshintergrund","1805","0.173631670442877","0.166151918531036","0.181111422354719"
"Seltener","1994","direkter Migrationshintergrund","351","0.148452081721568","0.134006082364893","0.162898081078243"
"Seltener","1994","indirekter Migrationshintergrund","118","0.293309362433163","0.252706920172172","0.333911804694154"
"Seltener","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1994","kein Migrationshintergrund","5271","0.533236830625714","0.523385514657829","0.543088146593599"
"Nie","1994","direkter Migrationshintergrund","1567","0.638739287500865","0.619221882183382","0.658256692818347"
"Nie","1994","indirekter Migrationshintergrund","125","0.248867661462216","0.210309440380676","0.287425882543756"
"Nie","1994","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1995","kein Migrationshintergrund","468","0.047675915076165","0.043483670456653","0.051868159695677"
"Taeglich","1995","direkter Migrationshintergrund","96","0.0546368339069554","0.046153397494594","0.0631202703193168"
"Taeglich","1995","indirekter Migrationshintergrund","51","0.113806833571736","0.0860260429718935","0.141587624171579"
"Taeglich","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1995","kein Migrationshintergrund","2338","0.239702697501008","0.231303594663459","0.248101800338557"
"Min 1x pro Woche","1995","direkter Migrationshintergrund","353","0.162615936576525","0.14884150753709","0.17639036561596"
"Min 1x pro Woche","1995","indirekter Migrationshintergrund","163","0.317372777865865","0.276656049878712","0.358089505853018"
"Min 1x pro Woche","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1995","kein Migrationshintergrund","759","0.0753277431606753","0.0701352479451832","0.0805202383761674"
"Min 1x pro Monat","1995","direkter Migrationshintergrund","136","0.0495875461050964","0.0414840565650764","0.0576910356451164"
"Min 1x pro Monat","1995","indirekter Migrationshintergrund","60","0.105940660886706","0.0790184486628597","0.132862873110552"
"Min 1x pro Monat","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1995","kein Migrationshintergrund","2376","0.217384026818682","0.209268945395623","0.225499108241741"
"Seltener","1995","direkter Migrationshintergrund","445","0.171552237840948","0.157480087497653","0.185624388184243"
"Seltener","1995","indirekter Migrationshintergrund","107","0.221606150344842","0.185274357018232","0.257937943671453"
"Seltener","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1995","kein Migrationshintergrund","3983","0.419909617443469","0.410199366430852","0.429619868456087"
"Nie","1995","direkter Migrationshintergrund","1727","0.561607445570475","0.543085878817732","0.580129012323218"
"Nie","1995","indirekter Migrationshintergrund","121","0.24127357733085","0.203845827452913","0.278701327208787"
"Nie","1995","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1996","kein Migrationshintergrund","","","",""
"Taeglich","1996","direkter Migrationshintergrund","","","",""
"Taeglich","1996","indirekter Migrationshintergrund","","","",""
"Taeglich","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1996","kein Migrationshintergrund","2381","0.253577928105236","0.2449740135813","0.262181842629171"
"Min 1x pro Woche","1996","direkter Migrationshintergrund","321","0.160725058906559","0.146558515489283","0.174891602323836"
"Min 1x pro Woche","1996","indirekter Migrationshintergrund","175","0.364828745865506","0.32422733233046","0.405430159400552"
"Min 1x pro Woche","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1996","kein Migrationshintergrund","701","0.0690087035833154","0.0639959902268795","0.0740214169397514"
"Min 1x pro Monat","1996","direkter Migrationshintergrund","144","0.0647394090124886","0.0552482192893151","0.0742305987356621"
"Min 1x pro Monat","1996","indirekter Migrationshintergrund","72","0.126621645620666","0.0985733549170943","0.154669936324238"
"Min 1x pro Monat","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1996","kein Migrationshintergrund","2124","0.201035157955911","0.193109269276358","0.208961046635464"
"Seltener","1996","direkter Migrationshintergrund","424","0.169601124352799","0.155125819733721","0.184076428971877"
"Seltener","1996","indirekter Migrationshintergrund","145","0.246958316358597","0.210585867050212","0.283330765666982"
"Seltener","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1996","kein Migrationshintergrund","4616","0.476378210355538","0.466501031324592","0.486255389386483"
"Nie","1996","direkter Migrationshintergrund","1693","0.604934407728153","0.586078010468793","0.623790804987513"
"Nie","1996","indirekter Migrationshintergrund","148","0.261591292155231","0.224522259114869","0.298660325195593"
"Nie","1996","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1997","kein Migrationshintergrund","","","",""
"Taeglich","1997","direkter Migrationshintergrund","","","",""
"Taeglich","1997","indirekter Migrationshintergrund","","","",""
"Taeglich","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1997","kein Migrationshintergrund","2414","0.260582937902076","0.251838575780714","0.269327300023438"
"Min 1x pro Woche","1997","direkter Migrationshintergrund","320","0.168369796556482","0.153546677228329","0.183192915884636"
"Min 1x pro Woche","1997","indirekter Migrationshintergrund","224","0.402463225656299","0.36188322204172","0.443043229270879"
"Min 1x pro Woche","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1997","kein Migrationshintergrund","591","0.0574988693823665","0.0528614005389565","0.0621363382257764"
"Min 1x pro Monat","1997","direkter Migrationshintergrund","102","0.0473433071451586","0.0389305201748325","0.0557560941154848"
"Min 1x pro Monat","1997","indirekter Migrationshintergrund","64","0.106054253650027","0.0805750243353685","0.131533482964686"
"Min 1x pro Monat","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1997","kein Migrationshintergrund","1969","0.188923214105949","0.181125199202528","0.196721229009371"
"Seltener","1997","direkter Migrationshintergrund","359","0.14705161440026","0.133022228594006","0.161081000206515"
"Seltener","1997","indirekter Migrationshintergrund","145","0.258032320171893","0.221825014535679","0.294239625808107"
"Seltener","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1997","kein Migrationshintergrund","4706","0.492994978609609","0.483035472770248","0.502954484448969"
"Nie","1997","direkter Migrationshintergrund","1667","0.637235281898099","0.618189236646318","0.656281327149879"
"Nie","1997","indirekter Migrationshintergrund","128","0.23345020052178","0.198444886878559","0.268455514165001"
"Nie","1997","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1998","kein Migrationshintergrund","557","0.0516475519213671","0.047537803371692","0.0557573004710423"
"Taeglich","1998","direkter Migrationshintergrund","70","0.0327370480666418","0.0255849378119021","0.0398891583213815"
"Taeglich","1998","indirekter Migrationshintergrund","50","0.0919472398600464","0.0686906714098805","0.115203808310212"
"Taeglich","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1998","kein Migrationshintergrund","2806","0.25855059553392","0.250420062340888","0.266681128726952"
"Min 1x pro Woche","1998","direkter Migrationshintergrund","279","0.154676061144499","0.14014272555551","0.169209396733488"
"Min 1x pro Woche","1998","indirekter Migrationshintergrund","172","0.32521272830644","0.287508682638696","0.362916773974184"
"Min 1x pro Woche","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1998","kein Migrationshintergrund","903","0.0787580182170562","0.0737560636143131","0.0837599728197993"
"Min 1x pro Monat","1998","direkter Migrationshintergrund","123","0.0550707909545612","0.0459022029093943","0.064239378999728"
"Min 1x pro Monat","1998","indirekter Migrationshintergrund","76","0.134986020446654","0.10748323350633","0.162488807386978"
"Min 1x pro Monat","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1998","kein Migrationshintergrund","2632","0.215402961097095","0.207768917030106","0.223037005164083"
"Seltener","1998","direkter Migrationshintergrund","408","0.176319430993694","0.161002503230976","0.191636358756412"
"Seltener","1998","indirekter Migrationshintergrund","151","0.227751116425894","0.193996774440824","0.261505458410963"
"Seltener","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1998","kein Migrationshintergrund","4242","0.395640873230562","0.386560501792129","0.404721244668995"
"Nie","1998","direkter Migrationshintergrund","1498","0.581196668840604","0.561367304713605","0.601026032967603"
"Nie","1998","indirekter Migrationshintergrund","144","0.220102894960965","0.186756240003252","0.253449549918679"
"Nie","1998","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1999","kein Migrationshintergrund","","","",""
"Taeglich","1999","direkter Migrationshintergrund","","","",""
"Taeglich","1999","indirekter Migrationshintergrund","","","",""
"Taeglich","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1999","kein Migrationshintergrund","2762","0.265196116232958","0.25685330946098","0.273538923004936"
"Min 1x pro Woche","1999","direkter Migrationshintergrund","299","0.177400698537752","0.16135749902921","0.193443898046294"
"Min 1x pro Woche","1999","indirekter Migrationshintergrund","209","0.374584627422953","0.335952494552255","0.413216760293652"
"Min 1x pro Woche","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1999","kein Migrationshintergrund","733","0.063669116870949","0.0590546453430736","0.0682835883988244"
"Min 1x pro Monat","1999","direkter Migrationshintergrund","111","0.0589717376611139","0.0490784087161239","0.0688650666061038"
"Min 1x pro Monat","1999","indirekter Migrationshintergrund","75","0.121040466294937","0.0950065700581399","0.147074362531735"
"Min 1x pro Monat","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1999","kein Migrationshintergrund","2283","0.19539562653083","0.187902009443693","0.202889243617968"
"Seltener","1999","direkter Migrationshintergrund","322","0.142224777399068","0.127556012999491","0.156893541798645"
"Seltener","1999","indirekter Migrationshintergrund","170","0.265881675900639","0.230618885886764","0.301144465914514"
"Seltener","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1999","kein Migrationshintergrund","4977","0.475739140365263","0.466300682464326","0.485177598266199"
"Nie","1999","direkter Migrationshintergrund","1446","0.621402786402066","0.60103262556272","0.641772947241412"
"Nie","1999","indirekter Migrationshintergrund","149","0.23849323038147","0.204478710341976","0.272507750420964"
"Nie","1999","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","2000","kein Migrationshintergrund","","","",""
"Taeglich","2000","direkter Migrationshintergrund","","","",""
"Taeglich","2000","indirekter Migrationshintergrund","","","",""
"Taeglich","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","2000","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","2000","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","2000","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","2000","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","2000","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","2000","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2000","kein Migrationshintergrund","","","",""
"Seltener","2000","direkter Migrationshintergrund","","","",""
"Seltener","2000","indirekter Migrationshintergrund","","","",""
"Seltener","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2000","kein Migrationshintergrund","","","",""
"Nie","2000","direkter Migrationshintergrund","","","",""
"Nie","2000","indirekter Migrationshintergrund","","","",""
"Nie","2000","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","2001","kein Migrationshintergrund","","","",""
"Taeglich","2001","direkter Migrationshintergrund","","","",""
"Taeglich","2001","indirekter Migrationshintergrund","","","",""
"Taeglich","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","2001","kein Migrationshintergrund","5105","0.281649874327632","0.275091202256897","0.288208546398367"
"Min 1x pro Woche","2001","direkter Migrationshintergrund","470","0.178870072258916","0.164907237147376","0.192832907370456"
"Min 1x pro Woche","2001","indirekter Migrationshintergrund","278","0.392497253095456","0.357780929429621","0.42721357676129"
"Min 1x pro Woche","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","2001","kein Migrationshintergrund","1155","0.0618435907178923","0.0583314005426127","0.0653557808931718"
"Min 1x pro Monat","2001","direkter Migrationshintergrund","142","0.059473256183589","0.0508564711076219","0.0680900412595562"
"Min 1x pro Monat","2001","indirekter Migrationshintergrund","65","0.073506930985125","0.054953401975246","0.092060459995004"
"Min 1x pro Monat","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","2001","kein Migrationshintergrund","3140","0.162911110309617","0.157526501086456","0.168295719532779"
"Seltener","2001","direkter Migrationshintergrund","369","0.126916338437812","0.114788440730262","0.139044236145362"
"Seltener","2001","indirekter Migrationshintergrund","166","0.225191846039333","0.195494699861605","0.254888992217061"
"Seltener","2001","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","2001","kein Migrationshintergrund","8668","0.493595424644858","0.486305426409391","0.500885422880325"
