"pli0092_h","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","Realschule","97","0.0371280634490376","0.0305200155934847","0.0437361113045904"
"Taeglich","1990","(Fach-)Abitur","49","0.0666954775695485","0.0501548397161918","0.0832361154229052"
"Taeglich","1990","AkademikerIn","45","0.044284215836631","0.0343995887664001","0.0541688429068619"
"Min 1x pro Woche","1990","(noch) kein Abschluss","149","","",""
"Min 1x pro Woche","1990","Hauptschule","1055","","",""
"Min 1x pro Woche","1990","Realschule","778","0.278623247971883","0.262954744705586","0.294291751238181"
"Min 1x pro Woche","1990","(Fach-)Abitur","309","0.379921567953582","0.347743300131781","0.412099835775383"
"Min 1x pro Woche","1990","AkademikerIn","437","0.299818155559478","0.277803808099729","0.321832503019226"
"Min 1x pro Monat","1990","(noch) kein Abschluss","44","0.053891444002184","0.038997897200671","0.068784990803697"
"Min 1x pro Monat","1990","Hauptschule","436","0.0677335435605199","0.0618116427242024","0.0736554443968373"
"Min 1x pro Monat","1990","Realschule","242","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","91","0.113740898751911","0.0926919186985474","0.134789878805274"
"Min 1x pro Monat","1990","AkademikerIn","119","","",""
"Seltener","1990","(noch) kein Abschluss","89","0.0958873973240532","0.0764669259856716","0.115307868662435"
"Seltener","1990","Hauptschule","1108","","",""
"Seltener","1990","Realschule","658","0.215662664577686","0.20128869591393","0.230036633241443"
"Seltener","1990","(Fach-)Abitur","171","","",""
"Seltener","1990","AkademikerIn","360","0.216159593309803","0.196382042402629","0.235937144216978"
"Nie","1990","(noch) kein Abschluss","572","0.501218116038602","0.468239194097424","0.534197037979781"
"Nie","1990","Hauptschule","4160","0.575024959348192","0.563375272182647","0.586674646513736"
"Nie","1990","Realschule","1370","","",""
"Nie","1990","(Fach-)Abitur","254","","",""
"Nie","1990","AkademikerIn","703","0.354746571437297","0.331758862275081","0.377734280599514"
"Taeglich","1991","(noch) kein Abschluss","","","",""
"Taeglich","1991","Hauptschule","","","",""
"Taeglich","1991","Realschule","","","",""
"Taeglich","1991","(Fach-)Abitur","","","",""
"Taeglich","1991","AkademikerIn","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","Hauptschule","","","",""
"Min 1x pro Woche","1991","Realschule","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","AkademikerIn","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","Hauptschule","","","",""
"Min 1x pro Monat","1991","Realschule","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","AkademikerIn","","","",""
"Seltener","1991","(noch) kein Abschluss","","","",""
"Seltener","1991","Hauptschule","","","",""
"Seltener","1991","Realschule","","","",""
"Seltener","1991","(Fach-)Abitur","","","",""
"Seltener","1991","AkademikerIn","","","",""
"Nie","1991","(noch) kein Abschluss","","","",""
"Nie","1991","Hauptschule","","","",""
"Nie","1991","Realschule","","","",""
"Nie","1991","(Fach-)Abitur","","","",""
"Nie","1991","AkademikerIn","","","",""
"Taeglich","1992","(noch) kein Abschluss","","","",""
"Taeglich","1992","Hauptschule","","","",""
"Taeglich","1992","Realschule","","","",""
"Taeglich","1992","(Fach-)Abitur","","","",""
"Taeglich","1992","AkademikerIn","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","177","","",""
"Min 1x pro Woche","1992","Hauptschule","1007","","",""
"Min 1x pro Woche","1992","Realschule","769","0.277993112716703","0.262122119186627","0.293864106246779"
"Min 1x pro Woche","1992","(Fach-)Abitur","336","0.404818886057064","0.372497782272401","0.437139989841728"
"Min 1x pro Woche","1992","AkademikerIn","444","0.313338397779316","0.290875316281482","0.33580147927715"
"Min 1x pro Monat","1992","(noch) kein Abschluss","31","0.0427556153119108","0.0292031219623467","0.0563081086614749"
"Min 1x pro Monat","1992","Hauptschule","310","0.0455630270168099","0.040448004473568","0.0506780495600518"
"Min 1x pro Monat","1992","Realschule","204","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","87","0.113832201610624","0.0929189395223637","0.134745463698885"
"Min 1x pro Monat","1992","AkademikerIn","104","","",""
"Seltener","1992","(noch) kein Abschluss","79","0.0846303583562309","0.0659849220211016","0.10327579469136"
"Seltener","1992","Hauptschule","822","0.125455786426269","0.11733115115032","0.133580421702218"
"Seltener","1992","Realschule","688","0.209075476102376","0.194669738686244","0.223481213518509"
"Seltener","1992","(Fach-)Abitur","185","","",""
"Seltener","1992","AkademikerIn","362","0.194998250647037","0.175811346231434","0.21418515506264"
"Nie","1992","(noch) kein Abschluss","569","0.567460588454701","0.534271761459182","0.60064941545022"
"Nie","1992","Hauptschule","4246","0.669305804236384","0.657766138685613","0.680845469787156"
"Nie","1992","Realschule","1400","","",""
"Nie","1992","(Fach-)Abitur","278","","",""
"Nie","1992","AkademikerIn","728","0.412599568796437","0.388758668160592","0.436440469432282"
"Taeglich","1993","(noch) kein Abschluss","","","",""
"Taeglich","1993","Hauptschule","","","",""
"Taeglich","1993","Realschule","","","",""
"Taeglich","1993","(Fach-)Abitur","","","",""
"Taeglich","1993","AkademikerIn","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","Hauptschule","","","",""
"Min 1x pro Woche","1993","Realschule","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","AkademikerIn","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","Hauptschule","","","",""
"Min 1x pro Monat","1993","Realschule","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","AkademikerIn","","","",""
"Seltener","1993","(noch) kein Abschluss","","","",""
"Seltener","1993","Hauptschule","","","",""
"Seltener","1993","Realschule","","","",""
"Seltener","1993","(Fach-)Abitur","","","",""
"Seltener","1993","AkademikerIn","","","",""
"Nie","1993","(noch) kein Abschluss","","","",""
"Nie","1993","Hauptschule","","","",""
"Nie","1993","Realschule","","","",""
"Nie","1993","(Fach-)Abitur","","","",""
"Nie","1993","AkademikerIn","","","",""
"Taeglich","1994","(noch) kein Abschluss","","","",""
"Taeglich","1994","Hauptschule","","","",""
"Taeglich","1994","Realschule","","","",""
"Taeglich","1994","(Fach-)Abitur","","","",""
"Taeglich","1994","AkademikerIn","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","178","","",""
"Min 1x pro Woche","1994","Hauptschule","828","0.143091499966953","0.134213463182088","0.151969536751818"
"Min 1x pro Woche","1994","Realschule","776","0.282902941709055","0.266806981964432","0.298998901453679"
"Min 1x pro Woche","1994","(Fach-)Abitur","351","0.399291489007577","0.367558245583896","0.431024732431259"
"Min 1x pro Woche","1994","AkademikerIn","446","0.330197372871104","0.307352901075942","0.353041844666265"
"Min 1x pro Monat","1994","(noch) kein Abschluss","33","0.0461141241833302","0.0319393782095445","0.0602888701571159"
"Min 1x pro Monat","1994","Hauptschule","298","","",""
"Min 1x pro Monat","1994","Realschule","200","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","88","0.0929276743064846","0.074115844687847","0.111739503925122"
"Min 1x pro Monat","1994","AkademikerIn","129","","",""
"Seltener","1994","(noch) kein Abschluss","110","","",""
"Seltener","1994","Hauptschule","909","0.147809803055547","0.138811457172077","0.156808148939017"
"Seltener","1994","Realschule","655","0.207043388005419","0.192563521088523","0.221523254922316"
"Seltener","1994","(Fach-)Abitur","190","","",""
"Seltener","1994","AkademikerIn","341","0.196680403282391","0.177372033099507","0.215988773465274"
"Nie","1994","(noch) kein Abschluss","520","0.527512123764633","0.493770836258126","0.561253411271141"
"Nie","1994","Hauptschule","3941","0.663095364370126","0.651111847658329","0.675078881081924"
"Nie","1994","Realschule","1377","","",""
"Nie","1994","(Fach-)Abitur","286","","",""
"Nie","1994","AkademikerIn","712","0.385895963139512","0.362248912326243","0.409543013952782"
"Taeglich","1995","(noch) kein Abschluss","66","0.112190707516254","0.0912554042804711","0.133126010752037"
"Taeglich","1995","Hauptschule","192","","",""
"Taeglich","1995","Realschule","160","","",""
"Taeglich","1995","(Fach-)Abitur","78","0.0801224439882563","0.0637405554517883","0.0965043325247243"
"Taeglich","1995","AkademikerIn","102","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","174","","",""
"Min 1x pro Woche","1995","Hauptschule","920","0.158678458347606","0.149489829958966","0.167867086736245"
"Min 1x pro Woche","1995","Realschule","825","0.280724092283256","0.264885523010813","0.2965626615557"
"Min 1x pro Woche","1995","(Fach-)Abitur","346","0.357330225903513","0.328413396321155","0.386247055485871"
"Min 1x pro Woche","1995","AkademikerIn","507","0.314628655341255","0.292834654709865","0.336422655972645"
"Min 1x pro Monat","1995","(noch) kein Abschluss","35","0.0502347848969932","0.0357453525157131","0.0647242172782733"
"Min 1x pro Monat","1995","Hauptschule","358","0.0576747614574034","0.0518119758604255","0.0635375470543813"
"Min 1x pro Monat","1995","Realschule","265","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","103","","",""
"Min 1x pro Monat","1995","AkademikerIn","162","","",""
"Seltener","1995","(noch) kein Abschluss","101","","",""
"Seltener","1995","Hauptschule","1105","","",""
"Seltener","1995","Realschule","914","0.27363125242047","0.257917143011157","0.289345361829782"
"Seltener","1995","(Fach-)Abitur","248","","",""
"Seltener","1995","AkademikerIn","484","0.244018999673277","0.223861246998935","0.264176752347619"
"Nie","1995","(noch) kein Abschluss","497","0.447209945797008","0.414227959550643","0.480191932043374"
"Nie","1995","Hauptschule","3499","0.571976165092089","0.559532920443844","0.584419409740335"
"Nie","1995","Realschule","928","0.307720912926852","0.291452414837452","0.323989411016252"
"Nie","1995","(Fach-)Abitur","280","","",""
"Nie","1995","AkademikerIn","489","0.273551620112007","0.252629924653138","0.294473315570876"
"Taeglich","1996","(noch) kein Abschluss","","","",""
"Taeglich","1996","Hauptschule","","","",""
"Taeglich","1996","Realschule","","","",""
"Taeglich","1996","(Fach-)Abitur","","","",""
"Taeglich","1996","AkademikerIn","","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","195","","",""
"Min 1x pro Woche","1996","Hauptschule","905","0.166723163583395","0.157200301747016","0.176246025419774"
"Min 1x pro Woche","1996","Realschule","815","0.28785643800763","0.271923387089369","0.303789488925892"
"Min 1x pro Woche","1996","(Fach-)Abitur","349","0.362192091861951","0.332753804226075","0.391630379497827"
"Min 1x pro Woche","1996","AkademikerIn","533","0.340079713736444","0.317871507618067","0.362287919854821"
"Min 1x pro Monat","1996","(noch) kein Abschluss","46","0.0720235430195326","0.0544778395383907","0.0895692465006745"
"Min 1x pro Monat","1996","Hauptschule","333","0.054542373953674","0.0487405718607657","0.0603441760465822"
"Min 1x pro Monat","1996","Realschule","260","","",""
"Min 1x pro Monat","1996","(Fach-)Abitur","101","","",""
"Min 1x pro Monat","1996","AkademikerIn","144","","",""
"Seltener","1996","(noch) kein Abschluss","116","","",""
"Seltener","1996","Hauptschule","1011","","",""
"Seltener","1996","Realschule","810","0.247732917788041","0.232541263024046","0.262924572552035"
"Seltener","1996","(Fach-)Abitur","244","","",""
"Seltener","1996","AkademikerIn","423","0.231362704953383","0.211593701377423","0.251131708529343"
"Nie","1996","(noch) kein Abschluss","477","0.454630576976924","0.420836563031504","0.488424590922343"
"Nie","1996","Hauptschule","3636","0.616633381427998","0.604211267147737","0.62905549570826"
"Nie","1996","Realschule","1217","","",""
"Nie","1996","(Fach-)Abitur","330","0.309472376591219","0.281158483624499","0.33778626955794"
"Nie","1996","AkademikerIn","648","0.342321579190907","0.320078172032346","0.364564986349468"
"Taeglich","1997","(noch) kein Abschluss","","","",""
"Taeglich","1997","Hauptschule","","","",""
"Taeglich","1997","Realschule","","","",""
"Taeglich","1997","(Fach-)Abitur","","","",""
"Taeglich","1997","AkademikerIn","","","",""
"Min 1x pro Woche","1997","(noch) kein Abschluss","198","","",""
"Min 1x pro Woche","1997","Hauptschule","894","0.168334798137875","0.158612852814651","0.1780567434611"
"Min 1x pro Woche","1997","Realschule","828","0.294795440618108","0.278616692110861","0.310974189125356"
"Min 1x pro Woche","1997","(Fach-)Abitur","369","0.391694002123667","0.361605052775224","0.42178295147211"
"Min 1x pro Woche","1997","AkademikerIn","582","0.369855615797878","0.347307795921291","0.392403435674465"
"Min 1x pro Monat","1997","(noch) kein Abschluss","38","0.0565871328614588","0.0408112298466544","0.0723630358762632"
"Min 1x pro Monat","1997","Hauptschule","280","","",""
"Min 1x pro Monat","1997","Realschule","210","","",""
"Min 1x pro Monat","1997","(Fach-)Abitur","95","0.095850257572387","0.0777039053292675","0.113996609815506"
"Min 1x pro Monat","1997","AkademikerIn","113","","",""
"Seltener","1997","(noch) kein Abschluss","129","","",""
"Seltener","1997","Hauptschule","869","0.148772883384503","0.139526400439883","0.158019366329122"
"Seltener","1997","Realschule","755","0.236022674019915","0.22095507392869","0.25109027411114"
"Seltener","1997","(Fach-)Abitur","232","","",""
"Seltener","1997","AkademikerIn","408","0.203335813574078","0.184537754979725","0.222133872168431"
"Nie","1997","(noch) kein Abschluss","459","0.4714507989767","0.437367204965099","0.505534392988301"
"Nie","1997","Hauptschule","3647","0.637523203419275","0.62503269658361","0.65001371025494"
"Nie","1997","Realschule","1258","","",""
"Nie","1997","(Fach-)Abitur","315","0.282578110857647","0.25482388721308","0.310332334502214"
"Nie","1997","AkademikerIn","658","0.364819443635031","0.342336353630348","0.387302533639715"
"Taeglich","1998","(noch) kein Abschluss","50","0.083127767790464","0.064220289537397","0.102035246043531"
"Taeglich","1998","Hauptschule","199","","",""
"Taeglich","1998","Realschule","176","","",""
"Taeglich","1998","(Fach-)Abitur","88","0.080752484695278","0.0649297914541898","0.0965751779363662"
"Taeglich","1998","AkademikerIn","130","","",""
"Min 1x pro Woche","1998","(noch) kein Abschluss","199","","",""
"Min 1x pro Woche","1998","Hauptschule","980","0.173961401684218","0.164478062833857","0.18344474053458"
"Min 1x pro Woche","1998","Realschule","946","0.300279400901575","0.284785016133682","0.315773785669468"
"Min 1x pro Woche","1998","(Fach-)Abitur","359","0.334297739604623","0.306901373269677","0.361694105939569"
"Min 1x pro Woche","1998","AkademikerIn","603","0.330168893360402","0.309317429752154","0.351020356968649"
"Min 1x pro Monat","1998","(noch) kein Abschluss","40","0.0518321028503827","0.0366494319630542","0.0670147737377111"
"Min 1x pro Monat","1998","Hauptschule","367","0.0574335695363015","0.051612892035474","0.063254247037129"
"Min 1x pro Monat","1998","Realschule","313","0.0874882146046037","0.0779373375512658","0.0970390916579416"
"Min 1x pro Monat","1998","(Fach-)Abitur","131","","",""
"Min 1x pro Monat","1998","AkademikerIn","195","","",""
"Seltener","1998","(noch) kein Abschluss","107","","",""
"Seltener","1998","Hauptschule","1182","","",""
"Seltener","1998","Realschule","951","0.267257562151431","0.252298997931395","0.282216126371467"
"Seltener","1998","(Fach-)Abitur","287","","",""
"Seltener","1998","AkademikerIn","511","0.227741089803494","0.209146441332231","0.246335738274756"
"Nie","1998","(noch) kein Abschluss","423","0.441455360128181","0.407447564540358","0.475463155716003"
"Nie","1998","Hauptschule","3410","0.554858706637383","0.542425739285154","0.567291673989611"
"Nie","1998","Realschule","976","0.291061799313357","0.275706933315834","0.30641666531088"
"Nie","1998","(Fach-)Abitur","274","","",""
"Nie","1998","AkademikerIn","515","0.258879402972815","0.239458071432719","0.278300734512911"
"Taeglich","1999","(noch) kein Abschluss","","","",""
"Taeglich","1999","Hauptschule","","","",""
"Taeglich","1999","Realschule","","","",""
"Taeglich","1999","(Fach-)Abitur","","","",""
"Taeglich","1999","AkademikerIn","","","",""
"Min 1x pro Woche","1999","(noch) kein Abschluss","204","","",""
"Min 1x pro Woche","1999","Hauptschule","942","0.167485263421565","0.157998078165555","0.176972448677574"
"Min 1x pro Woche","1999","Realschule","973","0.312105824870355","0.296443328279095","0.327768321461615"
"Min 1x pro Woche","1999","(Fach-)Abitur","397","0.376920685630479","0.348577095067186","0.405264276193771"
"Min 1x pro Woche","1999","AkademikerIn","659","0.374829264094087","0.353282837609273","0.396375690578902"
"Min 1x pro Monat","1999","(noch) kein Abschluss","42","0.0547400356844469","0.0388375509207431","0.0706425204481506"
"Min 1x pro Monat","1999","Hauptschule","317","0.0488322726587571","0.0433566295047063","0.0543079158128079"
"Min 1x pro Monat","1999","Realschule","252","","",""
"Min 1x pro Monat","1999","(Fach-)Abitur","114","","",""
"Min 1x pro Monat","1999","AkademikerIn","158","","",""
"Seltener","1999","(noch) kein Abschluss","126","","",""
"Seltener","1999","Hauptschule","981","0.153743086313511","0.144578728693142","0.16290744393388"
"Seltener","1999","Realschule","847","0.236391120641292","0.222029604155088","0.250752637127495"
"Seltener","1999","(Fach-)Abitur","293","","",""
"Seltener","1999","AkademikerIn","437","0.203770889602187","0.185842169675254","0.22169960952912"
"Nie","1999","(noch) kein Abschluss","414","0.462565821575862","0.427709124743031","0.497422518408693"
"Nie","1999","Hauptschule","3711","0.629939377606168","0.617672361602689","0.642206393609647"
"Nie","1999","Realschule","1290","","",""
"Nie","1999","(Fach-)Abitur","319","0.289819466504825","0.263285243724068","0.316353689285582"
"Nie","1999","AkademikerIn","685","0.344423295853009","0.323272963222581","0.365573628483437"
"Taeglich","2000","(noch) kein Abschluss","","","",""
"Taeglich","2000","Hauptschule","","","",""
"Taeglich","2000","Realschule","","","",""
"Taeglich","2000","(Fach-)Abitur","","","",""
"Taeglich","2000","AkademikerIn","","","",""
"Min 1x pro Woche","2000","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2000","Hauptschule","","","",""
"Min 1x pro Woche","2000","Realschule","","","",""
"Min 1x pro Woche","2000","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2000","AkademikerIn","","","",""
"Min 1x pro Monat","2000","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2000","Hauptschule","","","",""
"Min 1x pro Monat","2000","Realschule","","","",""
"Min 1x pro Monat","2000","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2000","AkademikerIn","","","",""
"Seltener","2000","(noch) kein Abschluss","","","",""
"Seltener","2000","Hauptschule","","","",""
"Seltener","2000","Realschule","","","",""
"Seltener","2000","(Fach-)Abitur","","","",""
"Seltener","2000","AkademikerIn","","","",""
"Nie","2000","(noch) kein Abschluss","","","",""
"Nie","2000","Hauptschule","","","",""
"Nie","2000","Realschule","","","",""
"Nie","2000","(Fach-)Abitur","","","",""
"Nie","2000","AkademikerIn","","","",""
"Taeglich","2001","(noch) kein Abschluss","","","",""
"Taeglich","2001","Hauptschule","","","",""
"Taeglich","2001","Realschule","","","",""
"Taeglich","2001","(Fach-)Abitur","","","",""
"Taeglich","2001","AkademikerIn","","","",""
"Min 1x pro Woche","2001","(noch) kein Abschluss","337","0.390402386563086","0.357835794127249","0.422968978998922"
"Min 1x pro Woche","2001","Hauptschule","1611","","",""
"Min 1x pro Woche","2001","Realschule","1700","","",""
"Min 1x pro Woche","2001","(Fach-)Abitur","824","0.373644395662305","0.353470491506498","0.393818299818111"
"Min 1x pro Woche","2001","AkademikerIn","1357","","",""
"Min 1x pro Monat","2001","(noch) kein Abschluss","50","0.0586960597881103","0.0430045811241255","0.0743875384520951"
"Min 1x pro Monat","2001","Hauptschule","406","0.0421642593491924","0.0380774783390201","0.0462510403593647"
"Min 1x pro Monat","2001","Realschule","412","0.0758119754329078","0.068960151492825","0.0826637993729907"
"Min 1x pro Monat","2001","(Fach-)Abitur","214","","",""
"Min 1x pro Monat","2001","AkademikerIn","277","","",""
"Seltener","2001","(noch) kein Abschluss","110","","",""
"Seltener","2001","Hauptschule","1171","","",""
"Seltener","2001","Realschule","1248","","",""
"Seltener","2001","(Fach-)Abitur","445","0.196593576998931","0.180020523008825","0.213166630989038"
"Seltener","2001","AkademikerIn","673","0.182335250458202","0.169588734708278","0.195081766208127"
