"m11124","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Nicht beeinträchtigt","1986","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","Realschule","Westdeutschland","1770","0.999592792044907","0.998653423708948","1.00053216038087"
"Nicht beeinträchtigt","1986","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","(Fach-)Abitur","Westdeutschland","808","1","1","1"
"Nicht beeinträchtigt","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1986","AkademikerIn","Westdeutschland","749","1","1","1"
"Nicht beeinträchtigt","1986","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1986","(noch) kein Abschluss","Westdeutschland","3","","",""
"Beeinträchtigt","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1986","Hauptschule","Westdeutschland","3","","",""
"Beeinträchtigt","1986","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1986","Realschule","Westdeutschland","2","","",""
"Beeinträchtigt","1986","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","Westdeutschland","","","",""
"Beeinträchtigt","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1986","AkademikerIn","Westdeutschland","","","",""
"Beeinträchtigt","1986","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","Westdeutschland","934","0.915742032175289","0.898491182676104","0.932992881674475"
"Nicht beeinträchtigt","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1987","Hauptschule","Westdeutschland","5389","0.873166914226708","0.864737990767639","0.881595837685777"
"Nicht beeinträchtigt","1987","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1987","Realschule","Westdeutschland","1639","0.916509451444152","0.903552818689765","0.929466084198539"
"Nicht beeinträchtigt","1987","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1987","(Fach-)Abitur","Westdeutschland","727","0.919866583550096","0.900788816425036","0.938944350675156"
"Nicht beeinträchtigt","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1987","AkademikerIn","Westdeutschland","685","0.913566565330454","0.893306685927748","0.93382644473316"
"Nicht beeinträchtigt","1987","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1987","(noch) kein Abschluss","Westdeutschland","62","0.0842579678247108","0.0670071183255253","0.101508817323896"
"Beeinträchtigt","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1987","Hauptschule","Westdeutschland","599","0.126833085773292","0.118404162314223","0.135262009232361"
"Beeinträchtigt","1987","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1987","Realschule","Westdeutschland","112","0.083490548555848","0.0705339158014614","0.0964471813102346"
"Beeinträchtigt","1987","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1987","(Fach-)Abitur","Westdeutschland","51","0.0801334164499041","0.0610556493248442","0.099211183574964"
"Beeinträchtigt","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1987","AkademikerIn","Westdeutschland","54","0.0864334346695458","0.0661735552668398","0.106693314072252"
"Beeinträchtigt","1987","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1988","(noch) kein Abschluss","Westdeutschland","839","0.915780765113646","0.897687155909128","0.933874374318164"
"Nicht beeinträchtigt","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1988","Hauptschule","Westdeutschland","5065","0.855249945006197","0.846130216456426","0.864369673555968"
"Nicht beeinträchtigt","1988","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1988","Realschule","Westdeutschland","1582","0.916159846945735","0.902954203417488","0.929365490473982"
"Nicht beeinträchtigt","1988","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1988","(Fach-)Abitur","Westdeutschland","684","0.912233003372429","0.891804673795998","0.93266133294886"
"Nicht beeinträchtigt","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1988","AkademikerIn","Westdeutschland","647","0.909578284801574","0.888333346059034","0.930823223544114"
"Nicht beeinträchtigt","1988","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1988","(noch) kein Abschluss","Westdeutschland","66","0.084219234886354","0.066125625681836","0.102312844090872"
"Beeinträchtigt","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1988","Hauptschule","Westdeutschland","653","0.144750054993803","0.135630326444032","0.153869783543574"
"Beeinträchtigt","1988","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1988","Realschule","Westdeutschland","110","0.0838401530542648","0.0706345095260177","0.0970457965825118"
"Beeinträchtigt","1988","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1988","(Fach-)Abitur","Westdeutschland","53","0.0877669966275711","0.0673386670511404","0.108195326204002"
"Beeinträchtigt","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1988","AkademikerIn","Westdeutschland","53","0.0904217151984258","0.0691767764558859","0.111666653940966"
"Beeinträchtigt","1988","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1989","(noch) kein Abschluss","Westdeutschland","814","0.910518288701968","0.891712656715562","0.929323920688373"
"Nicht beeinträchtigt","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1989","Hauptschule","Westdeutschland","4826","0.84759428566035","0.838068764089906","0.857119807230794"
"Nicht beeinträchtigt","1989","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1989","Realschule","Westdeutschland","1537","0.914055111307468","0.900506543103945","0.92760367951099"
"Nicht beeinträchtigt","1989","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1989","(Fach-)Abitur","Westdeutschland","706","0.922709713807757","0.903635545654135","0.941783881961379"
"Nicht beeinträchtigt","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1989","AkademikerIn","Westdeutschland","638","0.907223300638335","0.885623087794376","0.928823513482294"
"Nicht beeinträchtigt","1989","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1989","(noch) kein Abschluss","Westdeutschland","71","0.0894817112980324","0.070676079311627","0.108287343284438"
"Beeinträchtigt","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1989","Hauptschule","Westdeutschland","643","0.15240571433965","0.142880192769206","0.161931235910094"
"Beeinträchtigt","1989","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1989","Realschule","Westdeutschland","107","0.0859448886925321","0.0723963204890097","0.0994934568960546"
"Beeinträchtigt","1989","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1989","(Fach-)Abitur","Westdeutschland","47","0.077290286192243","0.0582161180386209","0.096364454345865"
"Beeinträchtigt","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1989","AkademikerIn","Westdeutschland","55","0.0927766993616645","0.0711764865177056","0.114376912205623"
"Beeinträchtigt","1989","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1990","(noch) kein Abschluss","Westdeutschland","","","",""
"Nicht beeinträchtigt","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1990","Hauptschule","Westdeutschland","","","",""
"Nicht beeinträchtigt","1990","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1990","Realschule","Westdeutschland","","","",""
"Nicht beeinträchtigt","1990","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1990","(Fach-)Abitur","Westdeutschland","","","",""
"Nicht beeinträchtigt","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1990","AkademikerIn","Westdeutschland","","","",""
"Nicht beeinträchtigt","1990","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1990","(noch) kein Abschluss","Westdeutschland","","","",""
"Beeinträchtigt","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1990","Hauptschule","Westdeutschland","","","",""
"Beeinträchtigt","1990","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1990","Realschule","Westdeutschland","","","",""
"Beeinträchtigt","1990","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1990","(Fach-)Abitur","Westdeutschland","","","",""
"Beeinträchtigt","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1990","AkademikerIn","Westdeutschland","","","",""
"Beeinträchtigt","1990","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1991","(noch) kein Abschluss","Westdeutschland","742","0.892535514665143","0.871324991791036","0.91374603753925"
"Nicht beeinträchtigt","1991","(noch) kein Abschluss","Ostdeutschland","54","1","1","1"
"Nicht beeinträchtigt","1991","Hauptschule","Westdeutschland","4592","0.839041048816668","0.829088003645338","0.848994093987997"
"Nicht beeinträchtigt","1991","Hauptschule","Ostdeutschland","1496","1","1","1"
"Nicht beeinträchtigt","1991","Realschule","Westdeutschland","1539","0.916992457235701","0.903660104341811","0.930324810129592"
"Nicht beeinträchtigt","1991","Realschule","Ostdeutschland","1496","1","1","1"
"Nicht beeinträchtigt","1991","(Fach-)Abitur","Westdeutschland","716","0.916778313492034","0.897268498527127","0.936288128456941"
"Nicht beeinträchtigt","1991","(Fach-)Abitur","Ostdeutschland","116","1","1","1"
"Nicht beeinträchtigt","1991","AkademikerIn","Westdeutschland","666","0.91125836928114","0.890530082436531","0.93198665612575"
"Nicht beeinträchtigt","1991","AkademikerIn","Ostdeutschland","954","1","1","1"
"Beeinträchtigt","1991","(noch) kein Abschluss","Westdeutschland","77","0.107464485334857","0.08625396246075","0.128675008208964"
"Beeinträchtigt","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1991","Hauptschule","Westdeutschland","645","0.160958951183332","0.151005906012003","0.170911996354662"
"Beeinträchtigt","1991","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1991","Realschule","Westdeutschland","106","0.0830075427642986","0.0696751898704084","0.0963398956581888"
"Beeinträchtigt","1991","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1991","(Fach-)Abitur","Westdeutschland","54","0.083221686507966","0.0637118715430589","0.102731501472873"
"Beeinträchtigt","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1991","AkademikerIn","Westdeutschland","57","0.0887416307188599","0.0680133438742505","0.109469917563469"
"Beeinträchtigt","1991","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1992","(noch) kein Abschluss","Westdeutschland","720","0.89306040170881","0.871551353738801","0.91456944967882"
"Nicht beeinträchtigt","1992","(noch) kein Abschluss","Ostdeutschland","66","0.895916901860651","0.824381167239933","0.967452636481368"
"Nicht beeinträchtigt","1992","Hauptschule","Westdeutschland","4438","0.834728967996899","0.824537212975333","0.844920723018465"
"Nicht beeinträchtigt","1992","Hauptschule","Ostdeutschland","1262","0.907271490908833","0.89196268811127","0.922580293706395"
"Nicht beeinträchtigt","1992","Realschule","Westdeutschland","1548","0.908594903113101","0.894756660281506","0.922433145944697"
"Nicht beeinträchtigt","1992","Realschule","Ostdeutschland","1380","0.962940264188328","0.953118219972381","0.972762308404274"
"Nicht beeinträchtigt","1992","(Fach-)Abitur","Westdeutschland","730","0.91453346904585","0.894913485903843","0.934153452187857"
"Nicht beeinträchtigt","1992","(Fach-)Abitur","Ostdeutschland","113","0.977990055834843","0.951175175653236","1.00480493601645"
"Nicht beeinträchtigt","1992","AkademikerIn","Westdeutschland","679","0.908464749249203","0.887631480717491","0.929298017780914"
"Nicht beeinträchtigt","1992","AkademikerIn","Ostdeutschland","859","0.940855496532405","0.925503562138968","0.956207430925841"
"Beeinträchtigt","1992","(noch) kein Abschluss","Westdeutschland","73","0.10693959829119","0.0854305503211803","0.128448646261199"
"Beeinträchtigt","1992","(noch) kein Abschluss","Ostdeutschland","4","","",""
"Beeinträchtigt","1992","Hauptschule","Westdeutschland","664","0.165271032003101","0.155079276981535","0.175462787024667"
"Beeinträchtigt","1992","Hauptschule","Ostdeutschland","117","0.0927285090911672","0.0774197062936047","0.10803731188873"
"Beeinträchtigt","1992","Realschule","Westdeutschland","118","0.0914050968868985","0.0775668540553028","0.105243339718494"
"Beeinträchtigt","1992","Realschule","Ostdeutschland","41","0.0370597358116722","0.0272376915957259","0.0468817800276186"
"Beeinträchtigt","1992","(Fach-)Abitur","Westdeutschland","50","0.08546653095415","0.0658465478121432","0.105086514096157"
"Beeinträchtigt","1992","(Fach-)Abitur","Ostdeutschland","2","","",""
"Beeinträchtigt","1992","AkademikerIn","Westdeutschland","57","0.0915352507507971","0.0707019822190856","0.112368519282509"
"Beeinträchtigt","1992","AkademikerIn","Ostdeutschland","48","0.0591445034675954","0.0437925690741591","0.0744964378610316"
"Nicht beeinträchtigt","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Nicht beeinträchtigt","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1993","Hauptschule","Westdeutschland","","","",""
"Nicht beeinträchtigt","1993","Hauptschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1993","Realschule","Westdeutschland","","","",""
"Nicht beeinträchtigt","1993","Realschule","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Nicht beeinträchtigt","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1993","AkademikerIn","Westdeutschland","","","",""
"Nicht beeinträchtigt","1993","AkademikerIn","Ostdeutschland","","","",""
"Beeinträchtigt","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Beeinträchtigt","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1993","Hauptschule","Westdeutschland","","","",""
"Beeinträchtigt","1993","Hauptschule","Ostdeutschland","","","",""
"Beeinträchtigt","1993","Realschule","Westdeutschland","","","",""
"Beeinträchtigt","1993","Realschule","Ostdeutschland","","","",""
"Beeinträchtigt","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Beeinträchtigt","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Beeinträchtigt","1993","AkademikerIn","Westdeutschland","","","",""
"Beeinträchtigt","1993","AkademikerIn","Ostdeutschland","","","",""
"Nicht beeinträchtigt","1994","(noch) kein Abschluss","Westdeutschland","682","0.907456539710318","0.886661274581762","0.928251804838873"
"Nicht beeinträchtigt","1994","(noch) kein Abschluss","Ostdeutschland","99","1","1","1"
"Nicht beeinträchtigt","1994","Hauptschule","Westdeutschland","4164","0.83830805539625","0.827901383235657","0.848714727556843"
"Nicht beeinträchtigt","1994","Hauptschule","Ostdeutschland","1146","0.898056812386181","0.881349991025841","0.914763633746522"
"Nicht beeinträchtigt","1994","Realschule","Westdeutschland","1554","0.906082699951592","0.892079186601527","0.920086213301657"
"Nicht beeinträchtigt","1994","Realschule","Ostdeutschland","1325","0.958830089397041","0.948309293470961","0.969350885323122"
"Nicht beeinträchtigt","1994","(Fach-)Abitur","Westdeutschland","735","0.925085860883238","0.906611317726751","0.943560404039725"
"Nicht beeinträchtigt","1994","(Fach-)Abitur","Ostdeutschland","136","0.986971618419768","0.968052272632552","1.00589096420698"
"Nicht beeinträchtigt","1994","AkademikerIn","Westdeutschland","738","0.920492610501044","0.90165180784795","0.939333413154139"
"Nicht beeinträchtigt","1994","AkademikerIn","Ostdeutschland","801","0.931094465309322","0.914086505546819","0.948102425071824"
"Beeinträchtigt","1994","(noch) kein Abschluss","Westdeutschland","64","0.0925434602896823","0.0717481951611266","0.113338725418238"
"Beeinträchtigt","1994","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1994","Hauptschule","Westdeutschland","644","0.16169194460375","0.151285272443157","0.172098616764343"
"Beeinträchtigt","1994","Hauptschule","Ostdeutschland","114","0.101943187613819","0.0852363662534781","0.118650008974159"
"Beeinträchtigt","1994","Realschule","Westdeutschland","113","0.0939173000484081","0.0799137866983432","0.107920813398473"
"Beeinträchtigt","1994","Realschule","Ostdeutschland","45","0.0411699106029587","0.0306491146768781","0.0516907065290393"
"Beeinträchtigt","1994","(Fach-)Abitur","Westdeutschland","45","0.0749141391167618","0.0564395959602752","0.0933886822732485"
"Beeinträchtigt","1994","(Fach-)Abitur","Ostdeutschland","2","","",""
"Beeinträchtigt","1994","AkademikerIn","Westdeutschland","54","0.0795073894989557","0.0606665868458613","0.0983481921520502"
"Beeinträchtigt","1994","AkademikerIn","Ostdeutschland","51","0.0689055346906781","0.0518975749281756","0.0859134944531805"
"Nicht beeinträchtigt","1995","(noch) kein Abschluss","Westdeutschland","690","0.907271514134136","0.886650191516044","0.927892836752228"
"Nicht beeinträchtigt","1995","(noch) kein Abschluss","Ostdeutschland","114","1","1","1"
"Nicht beeinträchtigt","1995","Hauptschule","Westdeutschland","4176","0.824459897836407","0.813747809588492","0.835171986084321"
"Nicht beeinträchtigt","1995","Hauptschule","Ostdeutschland","1086","0.887857986728145","0.87007147152972","0.90564450192657"
"Nicht beeinträchtigt","1995","Realschule","Westdeutschland","1645","0.899565428271814","0.885546631637769","0.913584224905859"
"Nicht beeinträchtigt","1995","Realschule","Ostdeutschland","1279","0.950583194654493","0.938952582452534","0.962213806856453"
"Nicht beeinträchtigt","1995","(Fach-)Abitur","Westdeutschland","852","0.936513392349775","0.920556440799297","0.952470343900253"
"Nicht beeinträchtigt","1995","(Fach-)Abitur","Ostdeutschland","148","0.986360168198776","0.967859735425088","1.00486060097246"
"Nicht beeinträchtigt","1995","AkademikerIn","Westdeutschland","851","0.911966223706883","0.893607115280367","0.9303253321334"
"Nicht beeinträchtigt","1995","AkademikerIn","Ostdeutschland","773","0.915932554992159","0.897043227435894","0.934821882548425"
"Beeinträchtigt","1995","(noch) kein Abschluss","Westdeutschland","70","0.0927284858658641","0.0721071632477717","0.113349808483956"
"Beeinträchtigt","1995","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1995","Hauptschule","Westdeutschland","669","0.175540102163593","0.164828013915679","0.186252190411508"
"Beeinträchtigt","1995","Hauptschule","Ostdeutschland","123","0.112142013271855","0.0943554980734297","0.12992852847028"
"Beeinträchtigt","1995","Realschule","Westdeutschland","121","0.100434571728186","0.0864157750941412","0.114453368362231"
"Beeinträchtigt","1995","Realschule","Ostdeutschland","55","0.0494168053455068","0.0377861931435471","0.0610474175474665"
"Beeinträchtigt","1995","(Fach-)Abitur","Westdeutschland","45","0.0634866076502254","0.0475296560997474","0.0794435592007033"
"Beeinträchtigt","1995","(Fach-)Abitur","Ostdeutschland","3","","",""
"Beeinträchtigt","1995","AkademikerIn","Westdeutschland","64","0.0880337762931166","0.0696746678665999","0.106392884719633"
"Beeinträchtigt","1995","AkademikerIn","Ostdeutschland","56","0.0840674450078407","0.0651781174515752","0.102956772564106"
"Nicht beeinträchtigt","1996","(noch) kein Abschluss","Westdeutschland","655","0.909557559007751","0.888651114803706","0.930464003211796"
"Nicht beeinträchtigt","1996","(noch) kein Abschluss","Ostdeutschland","116","1","1","1"
"Nicht beeinträchtigt","1996","Hauptschule","Westdeutschland","4059","0.816275628283766","0.805253407232409","0.827297849335123"
"Nicht beeinträchtigt","1996","Hauptschule","Ostdeutschland","1039","0.87192749971592","0.852844634740053","0.891010364691787"
"Nicht beeinträchtigt","1996","Realschule","Westdeutschland","1664","0.908539410408248","0.895132907892024","0.921945912924472"
"Nicht beeinträchtigt","1996","Realschule","Ostdeutschland","1274","0.947363301972103","0.935357582314064","0.959369021630142"
"Nicht beeinträchtigt","1996","(Fach-)Abitur","Westdeutschland","820","0.938093413337366","0.922015334050442","0.954171492624289"
"Nicht beeinträchtigt","1996","(Fach-)Abitur","Ostdeutschland","161","0.993532968947162","0.981227507516611","1.00583843037771"
"Nicht beeinträchtigt","1996","AkademikerIn","Westdeutschland","865","0.921169530660723","0.903775530535917","0.938563530785529"
"Nicht beeinträchtigt","1996","AkademikerIn","Ostdeutschland","782","0.918775538925593","0.900257581399231","0.937293496451956"
"Beeinträchtigt","1996","(noch) kein Abschluss","Westdeutschland","68","0.090442440992249","0.0695359967882043","0.111348885196294"
"Beeinträchtigt","1996","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1996","Hauptschule","Westdeutschland","683","0.183724371716234","0.172702150664877","0.194746592767591"
"Beeinträchtigt","1996","Hauptschule","Ostdeutschland","139","0.12807250028408","0.108989635308213","0.147155365259947"
"Beeinträchtigt","1996","Realschule","Westdeutschland","112","0.091460589591752","0.0780540870755276","0.104867092107976"
"Beeinträchtigt","1996","Realschule","Ostdeutschland","55","0.0526366980278973","0.0406309783698584","0.0646424176859362"
"Beeinträchtigt","1996","(Fach-)Abitur","Westdeutschland","43","0.0619065866626345","0.0458285073757113","0.0779846659495578"
"Beeinträchtigt","1996","(Fach-)Abitur","Ostdeutschland","2","","",""
"Beeinträchtigt","1996","AkademikerIn","Westdeutschland","57","0.078830469339277","0.0614364692144713","0.0962244694640828"
"Beeinträchtigt","1996","AkademikerIn","Ostdeutschland","54","0.081224461074407","0.0627065035480445","0.0997424186007694"
"Nicht beeinträchtigt","1997","(noch) kein Abschluss","Westdeutschland","634","0.901690614401222","0.879650423716138","0.923730805086306"
"Nicht beeinträchtigt","1997","(noch) kein Abschluss","Ostdeutschland","130","1","1","1"
"Nicht beeinträchtigt","1997","Hauptschule","Westdeutschland","3929","0.814621551383974","0.803394069751413","0.825849033016535"
"Nicht beeinträchtigt","1997","Hauptschule","Ostdeutschland","1000","0.874444977649081","0.85515974632887","0.893730208969292"
"Nicht beeinträchtigt","1997","Realschule","Westdeutschland","1668","0.915784579466843","0.902857923301303","0.928711235632382"
"Nicht beeinträchtigt","1997","Realschule","Ostdeutschland","1233","0.945491212731469","0.933107610942682","0.957874814520256"
"Nicht beeinträchtigt","1997","(Fach-)Abitur","Westdeutschland","803","0.936551049758196","0.920144089997866","0.952958009518525"
"Nicht beeinträchtigt","1997","(Fach-)Abitur","Ostdeutschland","164","0.970217723384442","0.944513351339587","0.995922095429297"
"Nicht beeinträchtigt","1997","AkademikerIn","Westdeutschland","873","0.925975777990517","0.909131172580873","0.942820383400161"
"Nicht beeinträchtigt","1997","AkademikerIn","Ostdeutschland","780","0.921487529411611","0.903232643684183","0.93974241513904"
"Beeinträchtigt","1997","(noch) kein Abschluss","Westdeutschland","67","0.0983093855987778","0.0762691949136937","0.120349576283862"
"Beeinträchtigt","1997","(noch) kein Abschluss","Ostdeutschland","","","",""
"Beeinträchtigt","1997","Hauptschule","Westdeutschland","673","0.185378448616026","0.174150966983465","0.196605930248587"
"Beeinträchtigt","1997","Hauptschule","Ostdeutschland","134","0.125555022350919","0.106269791030708","0.14484025367113"
"Beeinträchtigt","1997","Realschule","Westdeutschland","105","0.0842154205331574","0.0712887643676175","0.0971420766986972"
"Beeinträchtigt","1997","Realschule","Ostdeutschland","58","0.0545087872685313","0.0421251854797442","0.0668923890573185"
"Beeinträchtigt","1997","(Fach-)Abitur","Westdeutschland","45","0.0634489502418044","0.0470419904814749","0.0798559100021338"
"Beeinträchtigt","1997","(Fach-)Abitur","Ostdeutschland","4","","",""
