"pli0083","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","1990","Saarland","Laendlicher Raum","","","",""
"Nie","1990","Berlin","Staedtischer Raum","2","","",""
"Nie","1990","Berlin","Laendlicher Raum","","","",""
"Nie","1990","Brandenburg","Staedtischer Raum","","","",""
"Nie","1990","Brandenburg","Laendlicher Raum","","","",""
"Nie","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Nie","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Nie","1990","Sachsen","Staedtischer Raum","","","",""
"Nie","1990","Sachsen","Laendlicher Raum","","","",""
"Nie","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Nie","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Nie","1990","Thueringen","Staedtischer Raum","","","",""
"Nie","1990","Thueringen","Laendlicher Raum","","","",""
"Taeglich","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"Taeglich","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"Taeglich","1991","Hamburg","Staedtischer Raum","","","",""
"Taeglich","1991","Hamburg","Laendlicher Raum","","","",""
"Taeglich","1991","Niedersachsen","Staedtischer Raum","","","",""
"Taeglich","1991","Niedersachsen","Laendlicher Raum","","","",""
"Taeglich","1991","Bremen","Staedtischer Raum","","","",""
"Taeglich","1991","Bremen","Laendlicher Raum","","","",""
"Taeglich","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Taeglich","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Taeglich","1991","Hessen","Staedtischer Raum","","","",""
"Taeglich","1991","Hessen","Laendlicher Raum","","","",""
"Taeglich","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Taeglich","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Taeglich","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Taeglich","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Taeglich","1991","Bayern","Staedtischer Raum","","","",""
"Taeglich","1991","Bayern","Laendlicher Raum","","","",""
"Taeglich","1991","Saarland","Staedtischer Raum","","","",""
"Taeglich","1991","Saarland","Laendlicher Raum","","","",""
"Taeglich","1991","Berlin","Staedtischer Raum","","","",""
"Taeglich","1991","Berlin","Laendlicher Raum","","","",""
"Taeglich","1991","Brandenburg","Staedtischer Raum","","","",""
"Taeglich","1991","Brandenburg","Laendlicher Raum","","","",""
"Taeglich","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Taeglich","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Taeglich","1991","Sachsen","Staedtischer Raum","","","",""
"Taeglich","1991","Sachsen","Laendlicher Raum","","","",""
"Taeglich","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Taeglich","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Taeglich","1991","Thueringen","Staedtischer Raum","","","",""
"Taeglich","1991","Thueringen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Hamburg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Niedersachsen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Niedersachsen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Bremen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Hessen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Hessen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Bayern","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Bayern","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Berlin","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Brandenburg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Sachsen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Sachsen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Min 1x pro Woche","1991","Thueringen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1991","Thueringen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Hamburg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Niedersachsen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Niedersachsen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Bremen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Hessen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Hessen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Bayern","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Bayern","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Berlin","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Brandenburg","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Sachsen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Sachsen","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Min 1x pro Monat","1991","Thueringen","Staedtischer Raum","","","",""
"Min 1x pro Monat","1991","Thueringen","Laendlicher Raum","","","",""
"Seltener","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"Seltener","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"Seltener","1991","Hamburg","Staedtischer Raum","","","",""
"Seltener","1991","Hamburg","Laendlicher Raum","","","",""
"Seltener","1991","Niedersachsen","Staedtischer Raum","","","",""
"Seltener","1991","Niedersachsen","Laendlicher Raum","","","",""
"Seltener","1991","Bremen","Staedtischer Raum","","","",""
"Seltener","1991","Bremen","Laendlicher Raum","","","",""
"Seltener","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Seltener","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Seltener","1991","Hessen","Staedtischer Raum","","","",""
"Seltener","1991","Hessen","Laendlicher Raum","","","",""
"Seltener","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Seltener","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Seltener","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Seltener","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Seltener","1991","Bayern","Staedtischer Raum","","","",""
"Seltener","1991","Bayern","Laendlicher Raum","","","",""
"Seltener","1991","Saarland","Staedtischer Raum","","","",""
"Seltener","1991","Saarland","Laendlicher Raum","","","",""
"Seltener","1991","Berlin","Staedtischer Raum","","","",""
"Seltener","1991","Berlin","Laendlicher Raum","","","",""
"Seltener","1991","Brandenburg","Staedtischer Raum","","","",""
"Seltener","1991","Brandenburg","Laendlicher Raum","","","",""
"Seltener","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Seltener","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Seltener","1991","Sachsen","Staedtischer Raum","","","",""
"Seltener","1991","Sachsen","Laendlicher Raum","","","",""
"Seltener","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Seltener","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Seltener","1991","Thueringen","Staedtischer Raum","","","",""
"Seltener","1991","Thueringen","Laendlicher Raum","","","",""
"Nie","1991","Schleswig-Holstein","Staedtischer Raum","","","",""
"Nie","1991","Schleswig-Holstein","Laendlicher Raum","","","",""
"Nie","1991","Hamburg","Staedtischer Raum","","","",""
"Nie","1991","Hamburg","Laendlicher Raum","","","",""
"Nie","1991","Niedersachsen","Staedtischer Raum","","","",""
"Nie","1991","Niedersachsen","Laendlicher Raum","","","",""
"Nie","1991","Bremen","Staedtischer Raum","","","",""
"Nie","1991","Bremen","Laendlicher Raum","","","",""
"Nie","1991","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Nie","1991","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Nie","1991","Hessen","Staedtischer Raum","","","",""
"Nie","1991","Hessen","Laendlicher Raum","","","",""
"Nie","1991","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Nie","1991","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Nie","1991","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Nie","1991","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Nie","1991","Bayern","Staedtischer Raum","","","",""
"Nie","1991","Bayern","Laendlicher Raum","","","",""
"Nie","1991","Saarland","Staedtischer Raum","","","",""
"Nie","1991","Saarland","Laendlicher Raum","","","",""
"Nie","1991","Berlin","Staedtischer Raum","","","",""
"Nie","1991","Berlin","Laendlicher Raum","","","",""
"Nie","1991","Brandenburg","Staedtischer Raum","","","",""
"Nie","1991","Brandenburg","Laendlicher Raum","","","",""
"Nie","1991","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Nie","1991","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Nie","1991","Sachsen","Staedtischer Raum","","","",""
"Nie","1991","Sachsen","Laendlicher Raum","","","",""
"Nie","1991","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Nie","1991","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Nie","1991","Thueringen","Staedtischer Raum","","","",""
"Nie","1991","Thueringen","Laendlicher Raum","","","",""
"Taeglich","1992","Schleswig-Holstein","Staedtischer Raum","","","",""
"Taeglich","1992","Schleswig-Holstein","Laendlicher Raum","","","",""
"Taeglich","1992","Hamburg","Staedtischer Raum","","","",""
"Taeglich","1992","Hamburg","Laendlicher Raum","","","",""
"Taeglich","1992","Niedersachsen","Staedtischer Raum","","","",""
"Taeglich","1992","Niedersachsen","Laendlicher Raum","","","",""
"Taeglich","1992","Bremen","Staedtischer Raum","","","",""
"Taeglich","1992","Bremen","Laendlicher Raum","","","",""
"Taeglich","1992","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Taeglich","1992","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Taeglich","1992","Hessen","Staedtischer Raum","","","",""
"Taeglich","1992","Hessen","Laendlicher Raum","","","",""
"Taeglich","1992","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Taeglich","1992","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Taeglich","1992","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Taeglich","1992","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Taeglich","1992","Bayern","Staedtischer Raum","","","",""
"Taeglich","1992","Bayern","Laendlicher Raum","","","",""
"Taeglich","1992","Saarland","Staedtischer Raum","","","",""
"Taeglich","1992","Saarland","Laendlicher Raum","","","",""
"Taeglich","1992","Berlin","Staedtischer Raum","","","",""
"Taeglich","1992","Berlin","Laendlicher Raum","","","",""
"Taeglich","1992","Brandenburg","Staedtischer Raum","","","",""
"Taeglich","1992","Brandenburg","Laendlicher Raum","","","",""
"Taeglich","1992","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Taeglich","1992","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Taeglich","1992","Sachsen","Staedtischer Raum","","","",""
"Taeglich","1992","Sachsen","Laendlicher Raum","","","",""
"Taeglich","1992","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Taeglich","1992","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Taeglich","1992","Thueringen","Staedtischer Raum","","","",""
"Taeglich","1992","Thueringen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Schleswig-Holstein","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Schleswig-Holstein","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Hamburg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Niedersachsen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Niedersachsen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Bremen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Nordrhein-Westfalen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Hessen","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Hessen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1992","Bayern","Staedtischer Raum","","","",""
"Min 1x pro Woche","1992","Bayern","Laendlicher Raum","","","",""
