"m11104","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal im Monat","1997","weiblich","307","0.0461324678991545","0.0410472891212456","0.0512176466770634"
"Mindestens einmal die Woche","1997","maennlich","1587","","",""
"Mindestens einmal die Woche","1997","weiblich","1371","","",""
"Fast nie oder nie","1998","maennlich","2560","","",""
"Fast nie oder nie","1998","weiblich","3324","0.459916901858867","0.448463581173259","0.471370222544476"
"Mehrmals im Jahr","1998","maennlich","1639","","",""
"Mehrmals im Jahr","1998","weiblich","1552","","",""
"Mindestens einmal im Monat","1998","maennlich","586","0.0843603213601173","0.0777724256424492","0.0909482170777854"
"Mindestens einmal im Monat","1998","weiblich","516","0.0701920212356192","0.0643211581653854","0.0760628843058529"
"Mindestens einmal die Woche","1998","maennlich","2052","","",""
"Mindestens einmal die Woche","1998","weiblich","1882","","",""
"Fast nie oder nie","1999","maennlich","2890","","",""
"Fast nie oder nie","1999","weiblich","3682","0.529634280840212","0.517933485639967","0.541335076040457"
"Mehrmals im Jahr","1999","maennlich","1419","","",""
"Mehrmals im Jahr","1999","weiblich","1356","","",""
"Mindestens einmal im Monat","1999","maennlich","503","0.0720288577187462","0.0657658839934824","0.07829183144401"
"Mindestens einmal im Monat","1999","weiblich","416","0.0577817767524679","0.0523118602248631","0.0632516932800727"
"Mindestens einmal die Woche","1999","maennlich","1734","","",""
"Mindestens einmal die Woche","1999","weiblich","1536","","",""
"Fast nie oder nie","2000","maennlich","","","",""
"Fast nie oder nie","2000","weiblich","","","",""
"Mehrmals im Jahr","2000","maennlich","","","",""
"Mehrmals im Jahr","2000","weiblich","","","",""
"Mindestens einmal im Monat","2000","maennlich","","","",""
"Mindestens einmal im Monat","2000","weiblich","","","",""
"Mindestens einmal die Woche","2000","maennlich","","","",""
"Mindestens einmal die Woche","2000","weiblich","","","",""
"Fast nie oder nie","2001","maennlich","4910","0.471248035330554","0.461670065865223","0.480826004795885"
"Fast nie oder nie","2001","weiblich","5922","0.539459859338349","0.530264834585517","0.54865488409118"
"Mehrmals im Jahr","2001","maennlich","1893","","",""
"Mehrmals im Jahr","2001","weiblich","1782","","",""
"Mindestens einmal im Monat","2001","maennlich","740","0.0709342812904193","0.0660085129963191","0.0758600495845194"
"Mindestens einmal im Monat","2001","weiblich","622","0.0533115671868314","0.0491672417563446","0.0574558926173183"
"Mindestens einmal die Woche","2001","maennlich","2891","","",""
"Mindestens einmal die Woche","2001","weiblich","2962","","",""
"Fast nie oder nie","2002","maennlich","","","",""
"Fast nie oder nie","2002","weiblich","","","",""
"Mehrmals im Jahr","2002","maennlich","","","",""
"Mehrmals im Jahr","2002","weiblich","","","",""
"Mindestens einmal im Monat","2002","maennlich","","","",""
"Mindestens einmal im Monat","2002","weiblich","","","",""
"Mindestens einmal die Woche","2002","maennlich","","","",""
"Mindestens einmal die Woche","2002","weiblich","","","",""
"Fast nie oder nie","2003","maennlich","3717","0.372016640244948","0.362821384757389","0.381211895732506"
"Fast nie oder nie","2003","weiblich","4492","0.43311241381592","0.4240225176494","0.442202309982441"
"Mehrmals im Jahr","2003","maennlich","2198","","",""
"Mehrmals im Jahr","2003","weiblich","2069","","",""
"Mindestens einmal im Monat","2003","maennlich","930","0.0880245178295705","0.0826343540898011","0.09341468156934"
"Mindestens einmal im Monat","2003","weiblich","795","0.0630247521935067","0.0585668579060606","0.0674826464809528"
"Mindestens einmal die Woche","2003","maennlich","3769","0.334195918897817","0.325221995730828","0.343169842064807"
"Mindestens einmal die Woche","2003","weiblich","4059","0.330641743318301","0.322011594463332","0.339271892173271"
"Fast nie oder nie","2004","maennlich","","","",""
"Fast nie oder nie","2004","weiblich","","","",""
"Mehrmals im Jahr","2004","maennlich","","","",""
"Mehrmals im Jahr","2004","weiblich","","","",""
"Mindestens einmal im Monat","2004","maennlich","","","",""
"Mindestens einmal im Monat","2004","weiblich","","","",""
"Mindestens einmal die Woche","2004","maennlich","","","",""
"Mindestens einmal die Woche","2004","weiblich","","","",""
"Fast nie oder nie","2005","maennlich","3832","0.408264477886411","0.398550535425232","0.41797842034759"
"Fast nie oder nie","2005","weiblich","4492","0.453046813352312","0.443625394608624","0.462468232095999"
"Mehrmals im Jahr","2005","maennlich","1951","","",""
"Mehrmals im Jahr","2005","weiblich","1915","","",""
"Mindestens einmal im Monat","2005","maennlich","835","0.0867434648381093","0.0811808923188501","0.0923060373573685"
"Mindestens einmal im Monat","2005","weiblich","783","0.0725128226727705","0.0676045232199284","0.0774211221256125"
"Mindestens einmal die Woche","2005","maennlich","3217","0.308627309321781","0.299498078336615","0.317756540306947"
"Mindestens einmal die Woche","2005","weiblich","3534","0.302685407499244","0.293990202864651","0.311380612133837"
"Fast nie oder nie","2006","maennlich","","","",""
"Fast nie oder nie","2006","weiblich","","","",""
"Mehrmals im Jahr","2006","maennlich","","","",""
"Mehrmals im Jahr","2006","weiblich","","","",""
"Mindestens einmal im Monat","2006","maennlich","","","",""
"Mindestens einmal im Monat","2006","weiblich","","","",""
"Mindestens einmal die Woche","2006","maennlich","","","",""
"Mindestens einmal die Woche","2006","weiblich","","","",""
"Fast nie oder nie","2007","maennlich","3807","0.398871689259605","0.389137656205028","0.408605722314181"
"Fast nie oder nie","2007","weiblich","4340","0.435799230000656","0.426390168656542","0.445208291344771"
"Mehrmals im Jahr","2007","maennlich","1856","","",""
"Mehrmals im Jahr","2007","weiblich","1773","","",""
"Mindestens einmal im Monat","2007","maennlich","782","0.0802086163938091","0.0748091878225422","0.0856080449650759"
"Mindestens einmal im Monat","2007","weiblich","716","0.0622382601261903","0.0576540848972697","0.066822435355111"
"Mindestens einmal die Woche","2007","maennlich","3276","0.329181183605203","0.319839767050201","0.338522600160204"
"Mindestens einmal die Woche","2007","weiblich","3840","0.33699180968804","0.328022575718773","0.345961043657308"
"Fast nie oder nie","2008","maennlich","2926","","",""
"Fast nie oder nie","2008","weiblich","3393","0.364172204475876","0.35476580536079","0.373578603590962"
"Mehrmals im Jahr","2008","maennlich","1868","","",""
"Mehrmals im Jahr","2008","weiblich","1777","","",""
"Mindestens einmal im Monat","2008","maennlich","758","0.0852665992500572","0.0795464386326997","0.0909867598674148"
"Mindestens einmal im Monat","2008","weiblich","721","0.0694520546308467","0.0644825605676224","0.074421548694071"
"Mindestens einmal die Woche","2008","maennlich","3605","0.386898243554951","0.376922709785666","0.396873777324236"
"Mindestens einmal die Woche","2008","weiblich","4162","0.390488553957228","0.380951915098353","0.400025192816103"
"Fast nie oder nie","2009","maennlich","3197","0.366524421628424","0.356316132201364","0.376732711055484"
"Fast nie oder nie","2009","weiblich","3668","0.410305284907997","0.400340284062094","0.4202702857539"
"Mehrmals im Jahr","2009","maennlich","1675","","",""
"Mehrmals im Jahr","2009","weiblich","1534","","",""
"Mindestens einmal im Monat","2009","maennlich","698","0.0857517698710491","0.0798199194916152","0.0916836202504829"
"Mindestens einmal im Monat","2009","weiblich","632","0.0682173446389186","0.063109768106011","0.0733249211718263"
"Mindestens einmal die Woche","2009","maennlich","2989","","",""
"Mindestens einmal die Woche","2009","weiblich","3526","0.364372228352307","0.354622685938401","0.374121770766214"
"Fast nie oder nie","2010","maennlich","","","",""
"Fast nie oder nie","2010","weiblich","","","",""
"Mehrmals im Jahr","2010","maennlich","","","",""
"Mehrmals im Jahr","2010","weiblich","","","",""
"Mindestens einmal im Monat","2010","maennlich","","","",""
"Mindestens einmal im Monat","2010","weiblich","","","",""
"Mindestens einmal die Woche","2010","maennlich","","","",""
"Mindestens einmal die Woche","2010","weiblich","","","",""
"Fast nie oder nie","2011","maennlich","5094","0.395631400041832","0.387159976526302","0.404102823557362"
"Fast nie oder nie","2011","weiblich","6428","0.418773676456767","0.410996540031545","0.426550812881988"
"Mehrmals im Jahr","2011","maennlich","2194","","",""
"Mehrmals im Jahr","2011","weiblich","2389","","",""
"Mindestens einmal im Monat","2011","maennlich","891","0.0711361971789235","0.0666829027087182","0.0755894916491288"
"Mindestens einmal im Monat","2011","weiblich","915","0.0588775836374643","0.0551668870879278","0.0625882801870007"
"Mindestens einmal die Woche","2011","maennlich","4620","0.358108715929698","0.349802594871428","0.366414836987967"
"Mindestens einmal die Woche","2011","weiblich","5727","0.373030444564708","0.36540697347418","0.380653915655236"
"Fast nie oder nie","2012","maennlich","","","",""
"Fast nie oder nie","2012","weiblich","","","",""
"Mehrmals im Jahr","2012","maennlich","","","",""
"Mehrmals im Jahr","2012","weiblich","","","",""
"Mindestens einmal im Monat","2012","maennlich","","","",""
"Mindestens einmal im Monat","2012","weiblich","","","",""
"Mindestens einmal die Woche","2012","maennlich","","","",""
"Mindestens einmal die Woche","2012","weiblich","","","",""
"Fast nie oder nie","2013","maennlich","3748","0.318197329891553","0.309678887207721","0.326715772575384"
"Fast nie oder nie","2013","weiblich","4680","0.329900095844149","0.322083506210925","0.337716685477373"
"Mehrmals im Jahr","2013","maennlich","1820","","",""
"Mehrmals im Jahr","2013","weiblich","1834","","",""
"Mindestens einmal im Monat","2013","maennlich","613","0.0570771453573755","0.0528343528369912","0.0613199378777597"
"Mindestens einmal im Monat","2013","weiblich","635","0.0466830152879047","0.0431758645791251","0.0501901659966843"
"Mindestens einmal die Woche","2013","maennlich","5304","0.465985597681718","0.456862437013127","0.475108758350309"
"Mindestens einmal die Woche","2013","weiblich","6750","0.493831410665561","0.485519645504165","0.502143175826957"
"Fast nie oder nie","2014","maennlich","","","",""
"Fast nie oder nie","2014","weiblich","","","",""
"Mehrmals im Jahr","2014","maennlich","","","",""
"Mehrmals im Jahr","2014","weiblich","","","",""
"Mindestens einmal im Monat","2014","maennlich","","","",""
"Mindestens einmal im Monat","2014","weiblich","","","",""
"Mindestens einmal die Woche","2014","maennlich","","","",""
"Mindestens einmal die Woche","2014","weiblich","","","",""
"Fast nie oder nie","2015","maennlich","4661","0.368357903027638","0.359824435094059","0.376891370961216"
"Fast nie oder nie","2015","weiblich","5685","0.385388418240046","0.377443756634165","0.393333079845928"
"Mehrmals im Jahr","2015","maennlich","1812","","",""
"Mehrmals im Jahr","2015","weiblich","1861","","",""
"Mindestens einmal im Monat","2015","maennlich","741","0.060838123405155","0.0566093621787506","0.0650668846315594"
"Mindestens einmal im Monat","2015","weiblich","698","0.0516575803083684","0.0480445190701584","0.0552706415465783"
"Mindestens einmal die Woche","2015","maennlich","5060","0.422895006712959","0.414155262421485","0.431634751004433"
"Mindestens einmal die Woche","2015","weiblich","6172","0.440449467283202","0.432345579744395","0.44855335482201"
"Fast nie oder nie","2016","maennlich","","","",""
"Fast nie oder nie","2016","weiblich","","","",""
"Mehrmals im Jahr","2016","maennlich","","","",""
"Mehrmals im Jahr","2016","weiblich","","","",""
"Mindestens einmal im Monat","2016","maennlich","","","",""
"Mindestens einmal im Monat","2016","weiblich","","","",""
"Mindestens einmal die Woche","2016","maennlich","","","",""
"Mindestens einmal die Woche","2016","weiblich","","","",""
"Fast nie oder nie","2017","maennlich","5270","0.350383735140709","0.342613766970728","0.358153703310689"
"Fast nie oder nie","2017","weiblich","6412","0.373471854201377","0.365964138377148","0.380979570025606"
"Mehrmals im Jahr","2017","maennlich","2102","","",""
"Mehrmals im Jahr","2017","weiblich","1981","","",""
"Mindestens einmal im Monat","2017","maennlich","833","0.0580696078988795","0.0542606806517209","0.0618785351460381"
"Mindestens einmal im Monat","2017","weiblich","730","0.0457240079110148","0.0424819726168288","0.0489660432052009"
"Mindestens einmal die Woche","2017","maennlich","6278","0.444154420437113","0.436062289559748","0.452246551314479"
"Mindestens einmal die Woche","2017","weiblich","6824","0.46639588407447","0.458653128779174","0.474138639369765"
"Fast nie oder nie","2018","maennlich","755","0.349960640913406","0.328394912616673","0.371526369210139"
"Fast nie oder nie","2018","weiblich","773","0.599139084816755","0.572375095849318","0.625903073784192"
"Mehrmals im Jahr","2018","maennlich","305","0.150148629186137","0.133996979879961","0.166300278492312"
"Mehrmals im Jahr","2018","weiblich","209","","",""
"Mindestens einmal im Monat","2018","maennlich","128","","",""
"Mindestens einmal im Monat","2018","weiblich","51","0.0342769133743941","0.0243407821188197","0.0442130446299686"
"Mindestens einmal die Woche","2018","maennlich","691","0.413931998025865","0.391661844749253","0.436202151302478"
"Mindestens einmal die Woche","2018","weiblich","255","","",""
"Fast nie oder nie","2019","maennlich","3944","0.274360330607103","0.267003894898972","0.281716766315233"
"Fast nie oder nie","2019","weiblich","4465","0.286078301679233","0.278775908313312","0.293380695045155"
"Mehrmals im Jahr","2019","maennlich","1947","","",""
"Mehrmals im Jahr","2019","weiblich","1828","","",""
"Mindestens einmal im Monat","2019","maennlich","752","0.0511986291692087","0.0475648118131905","0.054832446525227"
"Mindestens einmal im Monat","2019","weiblich","588","0.0430258835195413","0.0397471020809926","0.04630466495809"
"Mindestens einmal die Woche","2019","maennlich","7489","0.535104323302617","0.526881077722493","0.54332756888274"
"Mindestens einmal die Woche","2019","weiblich","7832","0.545622573407121","0.537577092434116","0.553668054380125"
