year,bula_h,plh0034,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,Hamburg,Very concerned,0.12294,88,516,0.09458,0.15130
2019,Hamburg,Somewhat concerned,0.44544,285,516,0.40252,0.48837
2019,Hamburg,Not concerned at all,0.21667,143,516,0.18109,0.25225
2019,Lower Saxony,Very concerned,0.14393,396,2448,0.13002,0.15783
2019,Lower Saxony,Somewhat concerned,0.43770,1347,2448,0.41805,0.45736
2019,Lower Saxony,Not concerned at all,0.23749,705,2448,0.22063,0.25435
2019,Bremen,Very concerned,0.19648,46,213,0.14299,0.24997
2019,Bremen,Somewhat concerned,0.41902,114,213,0.35260,0.48543
2019,Bremen,Not concerned at all,0.19636,53,213,0.14289,0.24984
2019,North Rhine-Westphalia,Very concerned,0.16411,1032,5277,0.15411,0.17410
2019,North Rhine-Westphalia,Somewhat concerned,0.45347,2907,5277,0.44004,0.46690
2019,North Rhine-Westphalia,Not concerned at all,0.19925,1338,5277,0.18848,0.21003
2019,Hesse,Very concerned,0.13614,305,1686,0.11976,0.15251
2019,Hesse,Somewhat concerned,0.45323,939,1686,0.42946,0.47700
2019,Hesse,Not concerned at all,0.23182,442,1686,0.21167,0.25197
2019,"Rhineland-Palatinate, Saarland",Very concerned,0.15491,258,1441,0.13622,0.17360
2019,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.47699,857,1441,0.45119,0.50279
2019,"Rhineland-Palatinate, Saarland",Not concerned at all,0.19330,326,1441,0.17290,0.21369
2019,Baden-Wuerttemberg,Very concerned,0.17744,568,2763,0.16319,0.19169
2019,Baden-Wuerttemberg,Somewhat concerned,0.44290,1472,2763,0.42437,0.46143
2019,Baden-Wuerttemberg,Not concerned at all,0.18878,723,2763,0.17419,0.20338
2019,Bavaria,Very concerned,0.16355,780,3871,0.15190,0.17520
2019,Bavaria,Somewhat concerned,0.42583,2071,3871,0.41025,0.44141
2019,Bavaria,Not concerned at all,0.22407,1020,3871,0.21093,0.23720
2019,Berlin,Very concerned,0.16401,211,1017,0.14124,0.18678
2019,Berlin,Somewhat concerned,0.44539,530,1017,0.41482,0.47595
2019,Berlin,Not concerned at all,0.23181,276,1017,0.20586,0.25776
2019,Brandenburg,Very concerned,0.17388,238,1094,0.15141,0.19635
2019,Brandenburg,Somewhat concerned,0.44974,593,1094,0.42024,0.47923
2019,Brandenburg,Not concerned at all,0.17740,263,1094,0.15476,0.20005
2019,Mecklenburg-Western Pomerania,Very concerned,0.20829,140,606,0.17593,0.24065
2019,Mecklenburg-Western Pomerania,Somewhat concerned,0.42905,313,606,0.38961,0.46849
2019,Mecklenburg-Western Pomerania,Not concerned at all,0.18996,153,606,0.15870,0.22122
2019,Saxony,Very concerned,0.20024,387,1610,0.18068,0.21979
2019,Saxony,Somewhat concerned,0.42139,824,1610,0.39726,0.44552
2019,Saxony,Not concerned at all,0.22230,399,1610,0.20199,0.24262
2019,Saxony-Anhalt,Very concerned,0.19094,197,879,0.16494,0.21694
2019,Saxony-Anhalt,Somewhat concerned,0.45566,461,879,0.42272,0.48861
2019,Saxony-Anhalt,Not concerned at all,0.18760,221,879,0.16178,0.21343
2019,Thuringa,Very concerned,0.20272,260,917,0.17668,0.22875
2019,Thuringa,Somewhat concerned,0.42256,432,917,0.39057,0.45455
2019,Thuringa,Not concerned at all,0.21470,225,917,0.18811,0.24129
