"plb0196_h","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1988","66 +","AkademikerIn","10","","",""
"Ja","1989","17-34","(noch) kein Abschluss","","","",""
"Ja","1989","17-34","Hauptschule","","","",""
"Ja","1989","17-34","Realschule","","","",""
"Ja","1989","17-34","(Fach-)Abitur","","","",""
"Ja","1989","17-34","AkademikerIn","","","",""
"Ja","1989","35-65","(noch) kein Abschluss","","","",""
"Ja","1989","35-65","Hauptschule","","","",""
"Ja","1989","35-65","Realschule","","","",""
"Ja","1989","35-65","(Fach-)Abitur","","","",""
"Ja","1989","35-65","AkademikerIn","","","",""
"Ja","1989","66 +","(noch) kein Abschluss","","","",""
"Ja","1989","66 +","Hauptschule","","","",""
"Ja","1989","66 +","Realschule","","","",""
"Ja","1989","66 +","(Fach-)Abitur","","","",""
"Ja","1989","66 +","AkademikerIn","","","",""
"Nein","1989","17-34","(noch) kein Abschluss","78","1","1","1"
"Nein","1989","17-34","Hauptschule","838","1","1","1"
"Nein","1989","17-34","Realschule","405","1","1","1"
"Nein","1989","17-34","(Fach-)Abitur","174","","",""
"Nein","1989","17-34","AkademikerIn","75","1","1","1"
"Nein","1989","35-65","(noch) kein Abschluss","226","","",""
"Nein","1989","35-65","Hauptschule","1373","","",""
"Nein","1989","35-65","Realschule","264","","",""
"Nein","1989","35-65","(Fach-)Abitur","83","1","1","1"
"Nein","1989","35-65","AkademikerIn","210","","",""
"Nein","1989","66 +","(noch) kein Abschluss","","","",""
"Nein","1989","66 +","Hauptschule","14","","",""
"Nein","1989","66 +","Realschule","2","","",""
"Nein","1989","66 +","(Fach-)Abitur","6","1","1","1"
"Nein","1989","66 +","AkademikerIn","10","","",""
"Ja","1990","17-34","(noch) kein Abschluss","","","",""
"Ja","1990","17-34","Hauptschule","","","",""
"Ja","1990","17-34","Realschule","","","",""
"Ja","1990","17-34","(Fach-)Abitur","","","",""
"Ja","1990","17-34","AkademikerIn","","","",""
"Ja","1990","35-65","(noch) kein Abschluss","","","",""
"Ja","1990","35-65","Hauptschule","","","",""
"Ja","1990","35-65","Realschule","","","",""
"Ja","1990","35-65","(Fach-)Abitur","","","",""
"Ja","1990","35-65","AkademikerIn","","","",""
"Ja","1990","66 +","(noch) kein Abschluss","","","",""
"Ja","1990","66 +","Hauptschule","","","",""
"Ja","1990","66 +","Realschule","","","",""
"Ja","1990","66 +","(Fach-)Abitur","","","",""
"Ja","1990","66 +","AkademikerIn","","","",""
"Nein","1990","17-34","(noch) kein Abschluss","66","1","1","1"
"Nein","1990","17-34","Hauptschule","795","1","1","1"
"Nein","1990","17-34","Realschule","402","1","1","1"
"Nein","1990","17-34","(Fach-)Abitur","167","","",""
"Nein","1990","17-34","AkademikerIn","66","1","1","1"
"Nein","1990","35-65","(noch) kein Abschluss","234","","",""
"Nein","1990","35-65","Hauptschule","1313","","",""
"Nein","1990","35-65","Realschule","257","","",""
"Nein","1990","35-65","(Fach-)Abitur","86","1","1","1"
"Nein","1990","35-65","AkademikerIn","191","","",""
"Nein","1990","66 +","(noch) kein Abschluss","","","",""
"Nein","1990","66 +","Hauptschule","9","1","1","1"
"Nein","1990","66 +","Realschule","3","","",""
"Nein","1990","66 +","(Fach-)Abitur","6","1","1","1"
"Nein","1990","66 +","AkademikerIn","9","1","1","1"
"Ja","1991","17-34","(noch) kein Abschluss","","","",""
"Ja","1991","17-34","Hauptschule","","","",""
"Ja","1991","17-34","Realschule","","","",""
"Ja","1991","17-34","(Fach-)Abitur","","","",""
"Ja","1991","17-34","AkademikerIn","","","",""
"Ja","1991","35-65","(noch) kein Abschluss","","","",""
"Ja","1991","35-65","Hauptschule","","","",""
"Ja","1991","35-65","Realschule","","","",""
"Ja","1991","35-65","(Fach-)Abitur","","","",""
"Ja","1991","35-65","AkademikerIn","","","",""
"Ja","1991","66 +","(noch) kein Abschluss","","","",""
"Ja","1991","66 +","Hauptschule","","","",""
"Ja","1991","66 +","Realschule","","","",""
"Ja","1991","66 +","(Fach-)Abitur","","","",""
"Ja","1991","66 +","AkademikerIn","","","",""
"Nein","1991","17-34","(noch) kein Abschluss","85","1","1","1"
"Nein","1991","17-34","Hauptschule","866","1","1","1"
"Nein","1991","17-34","Realschule","910","1","1","1"
"Nein","1991","17-34","(Fach-)Abitur","201","","",""
"Nein","1991","17-34","AkademikerIn","205","","",""
"Nein","1991","35-65","(noch) kein Abschluss","231","","",""
"Nein","1991","35-65","Hauptschule","1826","","",""
"Nein","1991","35-65","Realschule","553","1","1","1"
"Nein","1991","35-65","(Fach-)Abitur","114","","",""
"Nein","1991","35-65","AkademikerIn","514","1","1","1"
"Nein","1991","66 +","(noch) kein Abschluss","","","",""
"Nein","1991","66 +","Hauptschule","17","","",""
"Nein","1991","66 +","Realschule","3","","",""
"Nein","1991","66 +","(Fach-)Abitur","7","1","1","1"
"Nein","1991","66 +","AkademikerIn","9","1","1","1"
"Ja","1992","17-34","(noch) kein Abschluss","","","",""
"Ja","1992","17-34","Hauptschule","","","",""
"Ja","1992","17-34","Realschule","","","",""
"Ja","1992","17-34","(Fach-)Abitur","","","",""
"Ja","1992","17-34","AkademikerIn","","","",""
"Ja","1992","35-65","(noch) kein Abschluss","","","",""
"Ja","1992","35-65","Hauptschule","","","",""
"Ja","1992","35-65","Realschule","","","",""
"Ja","1992","35-65","(Fach-)Abitur","","","",""
"Ja","1992","35-65","AkademikerIn","","","",""
"Ja","1992","66 +","(noch) kein Abschluss","","","",""
"Ja","1992","66 +","Hauptschule","","","",""
"Ja","1992","66 +","Realschule","","","",""
"Ja","1992","66 +","(Fach-)Abitur","","","",""
"Ja","1992","66 +","AkademikerIn","","","",""
"Nein","1992","17-34","(noch) kein Abschluss","69","1","1","1"
"Nein","1992","17-34","Hauptschule","787","1","1","1"
"Nein","1992","17-34","Realschule","730","1","1","1"
"Nein","1992","17-34","(Fach-)Abitur","198","","",""
"Nein","1992","17-34","AkademikerIn","166","","",""
"Nein","1992","35-65","(noch) kein Abschluss","215","","",""
"Nein","1992","35-65","Hauptschule","1686","","",""
"Nein","1992","35-65","Realschule","498","1","1","1"
"Nein","1992","35-65","(Fach-)Abitur","110","","",""
"Nein","1992","35-65","AkademikerIn","439","1","1","1"
"Nein","1992","66 +","(noch) kein Abschluss","","","",""
"Nein","1992","66 +","Hauptschule","9","1","1","1"
"Nein","1992","66 +","Realschule","3","","",""
"Nein","1992","66 +","(Fach-)Abitur","4","1","1","1"
"Nein","1992","66 +","AkademikerIn","7","1","1","1"
"Ja","1993","17-34","(noch) kein Abschluss","","","",""
"Ja","1993","17-34","Hauptschule","","","",""
"Ja","1993","17-34","Realschule","","","",""
"Ja","1993","17-34","(Fach-)Abitur","","","",""
"Ja","1993","17-34","AkademikerIn","","","",""
"Ja","1993","35-65","(noch) kein Abschluss","","","",""
"Ja","1993","35-65","Hauptschule","","","",""
"Ja","1993","35-65","Realschule","","","",""
"Ja","1993","35-65","(Fach-)Abitur","","","",""
"Ja","1993","35-65","AkademikerIn","","","",""
"Ja","1993","66 +","(noch) kein Abschluss","","","",""
"Ja","1993","66 +","Hauptschule","","","",""
"Ja","1993","66 +","Realschule","","","",""
"Ja","1993","66 +","(Fach-)Abitur","","","",""
"Ja","1993","66 +","AkademikerIn","","","",""
"Nein","1993","17-34","(noch) kein Abschluss","67","1","1","1"
"Nein","1993","17-34","Hauptschule","783","1","1","1"
"Nein","1993","17-34","Realschule","731","1","1","1"
"Nein","1993","17-34","(Fach-)Abitur","224","","",""
"Nein","1993","17-34","AkademikerIn","161","","",""
"Nein","1993","35-65","(noch) kein Abschluss","215","","",""
"Nein","1993","35-65","Hauptschule","1577","","",""
"Nein","1993","35-65","Realschule","510","1","1","1"
"Nein","1993","35-65","(Fach-)Abitur","115","","",""
"Nein","1993","35-65","AkademikerIn","413","1","1","1"
"Nein","1993","66 +","(noch) kein Abschluss","","","",""
"Nein","1993","66 +","Hauptschule","12","","",""
"Nein","1993","66 +","Realschule","4","1","1","1"
"Nein","1993","66 +","(Fach-)Abitur","3","","",""
"Nein","1993","66 +","AkademikerIn","7","1","1","1"
"Ja","1994","17-34","(noch) kein Abschluss","","","",""
"Ja","1994","17-34","Hauptschule","","","",""
"Ja","1994","17-34","Realschule","","","",""
"Ja","1994","17-34","(Fach-)Abitur","","","",""
"Ja","1994","17-34","AkademikerIn","","","",""
"Ja","1994","35-65","(noch) kein Abschluss","","","",""
"Ja","1994","35-65","Hauptschule","","","",""
"Ja","1994","35-65","Realschule","","","",""
"Ja","1994","35-65","(Fach-)Abitur","","","",""
"Ja","1994","35-65","AkademikerIn","","","",""
"Ja","1994","66 +","(noch) kein Abschluss","","","",""
"Ja","1994","66 +","Hauptschule","","","",""
"Ja","1994","66 +","Realschule","","","",""
"Ja","1994","66 +","(Fach-)Abitur","","","",""
"Ja","1994","66 +","AkademikerIn","","","",""
"Nein","1994","17-34","(noch) kein Abschluss","58","1","1","1"
"Nein","1994","17-34","Hauptschule","641","1","1","1"
"Nein","1994","17-34","Realschule","679","1","1","1"
"Nein","1994","17-34","(Fach-)Abitur","220","","",""
"Nein","1994","17-34","AkademikerIn","159","","",""
"Nein","1994","35-65","(noch) kein Abschluss","200","","",""
"Nein","1994","35-65","Hauptschule","1428","","",""
"Nein","1994","35-65","Realschule","507","1","1","1"
"Nein","1994","35-65","(Fach-)Abitur","106","","",""
"Nein","1994","35-65","AkademikerIn","425","1","1","1"
"Nein","1994","66 +","(noch) kein Abschluss","","","",""
"Nein","1994","66 +","Hauptschule","10","","",""
"Nein","1994","66 +","Realschule","2","","",""
"Nein","1994","66 +","(Fach-)Abitur","5","1","1","1"
"Nein","1994","66 +","AkademikerIn","8","1","1","1"
"Ja","1995","17-34","(noch) kein Abschluss","","","",""
"Ja","1995","17-34","Hauptschule","","","",""
"Ja","1995","17-34","Realschule","","","",""
"Ja","1995","17-34","(Fach-)Abitur","","","",""
"Ja","1995","17-34","AkademikerIn","","","",""
"Ja","1995","35-65","(noch) kein Abschluss","","","",""
"Ja","1995","35-65","Hauptschule","","","",""
"Ja","1995","35-65","Realschule","","","",""
"Ja","1995","35-65","(Fach-)Abitur","","","",""
"Ja","1995","35-65","AkademikerIn","","","",""
"Ja","1995","66 +","(noch) kein Abschluss","","","",""
"Ja","1995","66 +","Hauptschule","","","",""
"Ja","1995","66 +","Realschule","","","",""
"Ja","1995","66 +","(Fach-)Abitur","","","",""
"Ja","1995","66 +","AkademikerIn","","","",""
"Nein","1995","17-34","(noch) kein Abschluss","49","1","1","1"
"Nein","1995","17-34","Hauptschule","637","1","1","1"
"Nein","1995","17-34","Realschule","655","1","1","1"
"Nein","1995","17-34","(Fach-)Abitur","227","","",""
"Nein","1995","17-34","AkademikerIn","148","","",""
"Nein","1995","35-65","(noch) kein Abschluss","162","","",""
"Nein","1995","35-65","Hauptschule","1373","","",""
"Nein","1995","35-65","Realschule","545","1","1","1"
"Nein","1995","35-65","(Fach-)Abitur","137","","",""
"Nein","1995","35-65","AkademikerIn","481","1","1","1"
"Nein","1995","66 +","(noch) kein Abschluss","","","",""
"Nein","1995","66 +","Hauptschule","15","","",""
"Nein","1995","66 +","Realschule","6","1","1","1"
"Nein","1995","66 +","(Fach-)Abitur","3","","",""
"Nein","1995","66 +","AkademikerIn","7","1","1","1"
"Ja","1996","17-34","(noch) kein Abschluss","","","",""
"Ja","1996","17-34","Hauptschule","","","",""
"Ja","1996","17-34","Realschule","","","",""
"Ja","1996","17-34","(Fach-)Abitur","","","",""
"Ja","1996","17-34","AkademikerIn","","","",""
"Ja","1996","35-65","(noch) kein Abschluss","","","",""
"Ja","1996","35-65","Hauptschule","","","",""
"Ja","1996","35-65","Realschule","","","",""
"Ja","1996","35-65","(Fach-)Abitur","","","",""
"Ja","1996","35-65","AkademikerIn","","","",""
"Ja","1996","66 +","(noch) kein Abschluss","","","",""
"Ja","1996","66 +","Hauptschule","","","",""
"Ja","1996","66 +","Realschule","","","",""
"Ja","1996","66 +","(Fach-)Abitur","","","",""
"Ja","1996","66 +","AkademikerIn","","","",""
"Nein","1996","17-34","(noch) kein Abschluss","44","1","1","1"
"Nein","1996","17-34","Hauptschule","631","1","1","1"
"Nein","1996","17-34","Realschule","608","1","1","1"
"Nein","1996","17-34","(Fach-)Abitur","208","","",""
"Nein","1996","17-34","AkademikerIn","146","","",""
"Nein","1996","35-65","(noch) kein Abschluss","150","","",""
"Nein","1996","35-65","Hauptschule","1312","","",""
"Nein","1996","35-65","Realschule","570","1","1","1"
"Nein","1996","35-65","(Fach-)Abitur","134","","",""
"Nein","1996","35-65","AkademikerIn","471","1","1","1"
"Nein","1996","66 +","(noch) kein Abschluss","","","",""
"Nein","1996","66 +","Hauptschule","14","","",""
"Nein","1996","66 +","Realschule","5","1","1","1"
"Nein","1996","66 +","(Fach-)Abitur","5","1","1","1"
"Nein","1996","66 +","AkademikerIn","11","","",""
"Ja","1997","17-34","(noch) kein Abschluss","","","",""
"Ja","1997","17-34","Hauptschule","","","",""
"Ja","1997","17-34","Realschule","","","",""
"Ja","1997","17-34","(Fach-)Abitur","","","",""
"Ja","1997","17-34","AkademikerIn","","","",""
"Ja","1997","35-65","(noch) kein Abschluss","","","",""
"Ja","1997","35-65","Hauptschule","","","",""
"Ja","1997","35-65","Realschule","","","",""
"Ja","1997","35-65","(Fach-)Abitur","","","",""
"Ja","1997","35-65","AkademikerIn","","","",""
"Ja","1997","66 +","(noch) kein Abschluss","","","",""
"Ja","1997","66 +","Hauptschule","","","",""
"Ja","1997","66 +","Realschule","","","",""
"Ja","1997","66 +","(Fach-)Abitur","","","",""
"Ja","1997","66 +","AkademikerIn","","","",""
"Nein","1997","17-34","(noch) kein Abschluss","14","","",""
"Nein","1997","17-34","Hauptschule","223","","",""
"Nein","1997","17-34","Realschule","239","","",""
"Nein","1997","17-34","(Fach-)Abitur","66","1","1","1"
"Nein","1997","17-34","AkademikerIn","54","1","1","1"
"Nein","1997","35-65","(noch) kein Abschluss","32","1","1","1"
"Nein","1997","35-65","Hauptschule","367","1","1","1"
"Nein","1997","35-65","Realschule","202","","",""
"Nein","1997","35-65","(Fach-)Abitur","45","1","1","1"
"Nein","1997","35-65","AkademikerIn","140","","",""
"Nein","1997","66 +","(noch) kein Abschluss","","","",""
"Nein","1997","66 +","Hauptschule","","","",""
"Nein","1997","66 +","Realschule","","","",""
"Nein","1997","66 +","(Fach-)Abitur","","","",""
"Nein","1997","66 +","AkademikerIn","","","",""
"Ja","1998","17-34","(noch) kein Abschluss","","","",""
"Ja","1998","17-34","Hauptschule","","","",""
"Ja","1998","17-34","Realschule","","","",""
"Ja","1998","17-34","(Fach-)Abitur","","","",""
"Ja","1998","17-34","AkademikerIn","","","",""
"Ja","1998","35-65","(noch) kein Abschluss","","","",""
"Ja","1998","35-65","Hauptschule","","","",""
"Ja","1998","35-65","Realschule","","","",""
"Ja","1998","35-65","(Fach-)Abitur","","","",""
"Ja","1998","35-65","AkademikerIn","","","",""
"Ja","1998","66 +","(noch) kein Abschluss","","","",""
"Ja","1998","66 +","Hauptschule","","","",""
"Ja","1998","66 +","Realschule","","","",""
"Ja","1998","66 +","(Fach-)Abitur","","","",""
"Ja","1998","66 +","AkademikerIn","","","",""
"Nein","1998","17-34","(noch) kein Abschluss","11","","",""
"Nein","1998","17-34","Hauptschule","192","","",""
"Nein","1998","17-34","Realschule","248","","",""
"Nein","1998","17-34","(Fach-)Abitur","66","1","1","1"
"Nein","1998","17-34","AkademikerIn","50","1","1","1"
"Nein","1998","35-65","(noch) kein Abschluss","26","","",""
"Nein","1998","35-65","Hauptschule","406","1","1","1"
"Nein","1998","35-65","Realschule","234","","",""
"Nein","1998","35-65","(Fach-)Abitur","38","1","1","1"
"Nein","1998","35-65","AkademikerIn","165","","",""
"Nein","1998","66 +","(noch) kein Abschluss","","","",""
"Nein","1998","66 +","Hauptschule","1","","",""
"Nein","1998","66 +","Realschule","","","",""
"Nein","1998","66 +","(Fach-)Abitur","1","","",""
"Nein","1998","66 +","AkademikerIn","","","",""
"Ja","1999","17-34","(noch) kein Abschluss","","","",""
"Ja","1999","17-34","Hauptschule","","","",""
"Ja","1999","17-34","Realschule","","","",""
"Ja","1999","17-34","(Fach-)Abitur","","","",""
"Ja","1999","17-34","AkademikerIn","","","",""
"Ja","1999","35-65","(noch) kein Abschluss","","","",""
"Ja","1999","35-65","Hauptschule","","","",""
"Ja","1999","35-65","Realschule","","","",""
"Ja","1999","35-65","(Fach-)Abitur","","","",""
"Ja","1999","35-65","AkademikerIn","","","",""
"Ja","1999","66 +","(noch) kein Abschluss","","","",""
"Ja","1999","66 +","Hauptschule","","","",""
"Ja","1999","66 +","Realschule","","","",""
"Ja","1999","66 +","(Fach-)Abitur","","","",""
"Ja","1999","66 +","AkademikerIn","","","",""
"Nein","1999","17-34","(noch) kein Abschluss","12","","",""
"Nein","1999","17-34","Hauptschule","184","","",""
"Nein","1999","17-34","Realschule","240","","",""
"Nein","1999","17-34","(Fach-)Abitur","62","1","1","1"
"Nein","1999","17-34","AkademikerIn","36","1","1","1"
"Nein","1999","35-65","(noch) kein Abschluss","23","","",""
"Nein","1999","35-65","Hauptschule","350","1","1","1"
"Nein","1999","35-65","Realschule","257","","",""
"Nein","1999","35-65","(Fach-)Abitur","32","1","1","1"
"Nein","1999","35-65","AkademikerIn","170","","",""
"Nein","1999","66 +","(noch) kein Abschluss","","","",""
"Nein","1999","66 +","Hauptschule","2","","",""
"Nein","1999","66 +","Realschule","","","",""
"Nein","1999","66 +","(Fach-)Abitur","","","",""
"Nein","1999","66 +","AkademikerIn","1","","",""
"Ja","2000","17-34","(noch) kein Abschluss","","","",""
"Ja","2000","17-34","Hauptschule","","","",""
"Ja","2000","17-34","Realschule","","","",""
"Ja","2000","17-34","(Fach-)Abitur","","","",""
"Ja","2000","17-34","AkademikerIn","","","",""
"Ja","2000","35-65","(noch) kein Abschluss","","","",""
"Ja","2000","35-65","Hauptschule","","","",""
"Ja","2000","35-65","Realschule","","","",""
"Ja","2000","35-65","(Fach-)Abitur","","","",""
"Ja","2000","35-65","AkademikerIn","","","",""
"Ja","2000","66 +","(noch) kein Abschluss","","","",""
"Ja","2000","66 +","Hauptschule","","","",""
"Ja","2000","66 +","Realschule","","","",""
"Ja","2000","66 +","(Fach-)Abitur","","","",""
"Ja","2000","66 +","AkademikerIn","","","",""
"Nein","2000","17-34","(noch) kein Abschluss","6","1","1","1"
"Nein","2000","17-34","Hauptschule","239","","",""
"Nein","2000","17-34","Realschule","381","1","1","1"
"Nein","2000","17-34","(Fach-)Abitur","124","","",""
"Nein","2000","17-34","AkademikerIn","89","1","1","1"
"Nein","2000","35-65","(noch) kein Abschluss","22","","",""
"Nein","2000","35-65","Hauptschule","680","1","1","1"
"Nein","2000","35-65","Realschule","504","1","1","1"
"Nein","2000","35-65","(Fach-)Abitur","119","","",""
"Nein","2000","35-65","AkademikerIn","342","1","1","1"
"Nein","2000","66 +","(noch) kein Abschluss","","","",""
"Nein","2000","66 +","Hauptschule","2","","",""
"Nein","2000","66 +","Realschule","","","",""
"Nein","2000","66 +","(Fach-)Abitur","","","",""
"Nein","2000","66 +","AkademikerIn","","","",""
"Ja","2001","17-34","(noch) kein Abschluss","","","",""
"Ja","2001","17-34","Hauptschule","","","",""
"Ja","2001","17-34","Realschule","","","",""
"Ja","2001","17-34","(Fach-)Abitur","","","",""
"Ja","2001","17-34","AkademikerIn","","","",""
"Ja","2001","35-65","(noch) kein Abschluss","","","",""
"Ja","2001","35-65","Hauptschule","","","",""
"Ja","2001","35-65","Realschule","","","",""
"Ja","2001","35-65","(Fach-)Abitur","","","",""
"Ja","2001","35-65","AkademikerIn","","","",""
"Ja","2001","66 +","(noch) kein Abschluss","","","",""
"Ja","2001","66 +","Hauptschule","","","",""
"Ja","2001","66 +","Realschule","","","",""
"Ja","2001","66 +","(Fach-)Abitur","","","",""
"Ja","2001","66 +","AkademikerIn","","","",""
"Nein","2001","17-34","(noch) kein Abschluss","","","",""
"Nein","2001","17-34","Hauptschule","","","",""
"Nein","2001","17-34","Realschule","","","",""
"Nein","2001","17-34","(Fach-)Abitur","","","",""
"Nein","2001","17-34","AkademikerIn","","","",""
"Nein","2001","35-65","(noch) kein Abschluss","","","",""
"Nein","2001","35-65","Hauptschule","","","",""
"Nein","2001","35-65","Realschule","","","",""
"Nein","2001","35-65","(Fach-)Abitur","","","",""
"Nein","2001","35-65","AkademikerIn","","","",""
"Nein","2001","66 +","(noch) kein Abschluss","","","",""
"Nein","2001","66 +","Hauptschule","","","",""
"Nein","2001","66 +","Realschule","","","",""
"Nein","2001","66 +","(Fach-)Abitur","","","",""
"Nein","2001","66 +","AkademikerIn","","","",""
"Ja","2002","17-34","(noch) kein Abschluss","22","","",""
"Ja","2002","17-34","Hauptschule","336","0.6323644682068","0.590681465093831","0.67404747131977"
"Ja","2002","17-34","Realschule","676","0.70194313021214","0.673320198171652","0.730566062252627"
"Ja","2002","17-34","(Fach-)Abitur","302","0.736785688400368","0.69486865844182","0.778702718358915"
"Ja","2002","17-34","AkademikerIn","299","","",""
"Ja","2002","35-65","(noch) kein Abschluss","15","","",""
"Ja","2002","35-65","Hauptschule","977","0.61219959695559","0.588082462225417","0.636316731685762"
"Ja","2002","35-65","Realschule","1157","","",""
"Ja","2002","35-65","(Fach-)Abitur","349","0.696673475458112","0.655420171760139","0.737926779156084"
"Ja","2002","35-65","AkademikerIn","1434","","",""
"Ja","2002","66 +","(noch) kein Abschluss","","","",""
"Ja","2002","66 +","Hauptschule","2","","",""
"Ja","2002","66 +","Realschule","1","","",""
"Ja","2002","66 +","(Fach-)Abitur","","","",""
"Ja","2002","66 +","AkademikerIn","3","","",""
"Nein","2002","17-34","(noch) kein Abschluss","18","","",""
"Nein","2002","17-34","Hauptschule","178","","",""
"Nein","2002","17-34","Realschule","305","0.29805686978786","0.269433937747373","0.326679801828348"
"Nein","2002","17-34","(Fach-)Abitur","122","","",""
"Nein","2002","17-34","AkademikerIn","79","0.184113912052297","0.145042396451994","0.223185427652601"
"Nein","2002","35-65","(noch) kein Abschluss","8","0.225362447171525","0.054607135782976","0.396117758560074"
"Nein","2002","35-65","Hauptschule","591","0.38780040304441","0.363683268314238","0.411917537774583"
"Nein","2002","35-65","Realschule","503","0.305163547725208","0.283012122618235","0.327314972832182"
"Nein","2002","35-65","(Fach-)Abitur","128","","",""
"Nein","2002","35-65","AkademikerIn","382","0.222933256554698","0.203790399325655","0.242076113783742"
"Nein","2002","66 +","(noch) kein Abschluss","","","",""
"Nein","2002","66 +","Hauptschule","","","",""
"Nein","2002","66 +","Realschule","","","",""
"Nein","2002","66 +","(Fach-)Abitur","","","",""
"Nein","2002","66 +","AkademikerIn","3","","",""
"Ja","2003","17-34","(noch) kein Abschluss","12","","",""
"Ja","2003","17-34","Hauptschule","312","0.637863428331649","0.595133712886882","0.680593143776415"
"Ja","2003","17-34","Realschule","608","0.676734086030866","0.646294872284413","0.70717329977732"
