year,hhtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1990,Andere Zusammenstellungen,,,,,,,,,,,,
1991,Einpersonenhaushalt,,,,,,,,,,,,
1991,Paar ohne Kinder,,,,,,,,,,,,
1991,Alleinerziehend,,,,,,,,,,,,
1991,Paar mit Kindern,,,,,,,,,,,,
1991,Mehrgenerationenhaushalt,,,,,,,,,,,,
1991,Andere Zusammenstellungen,,,,,,,,,,,,
1992,Einpersonenhaushalt,,,,,,,,,,,,
1992,Paar ohne Kinder,,,,,,,,,,,,
1992,Alleinerziehend,,,,,,,,,,,,
1992,Paar mit Kindern,,,,,,,,,,,,
1992,Mehrgenerationenhaushalt,,,,,,,,,,,,
1992,Andere Zusammenstellungen,,,,,,,,,,,,
1993,Einpersonenhaushalt,,,,,,,,,,,,
1993,Paar ohne Kinder,,,,,,,,,,,,
1993,Alleinerziehend,,,,,,,,,,,,
1993,Paar mit Kindern,,,,,,,,,,,,
1993,Mehrgenerationenhaushalt,,,,,,,,,,,,
1993,Andere Zusammenstellungen,,,,,,,,,,,,
1994,Einpersonenhaushalt,,,,,,,,,,,,
1994,Paar ohne Kinder,,,,,,,,,,,,
1994,Alleinerziehend,,,,,,,,,,,,
1994,Paar mit Kindern,,,,,,,,,,,,
1994,Mehrgenerationenhaushalt,,,,,,,,,,,,
1994,Andere Zusammenstellungen,,,,,,,,,,,,
1995,Einpersonenhaushalt,,,,,,,,,,,,
1995,Paar ohne Kinder,,,,,,,,,,,,
1995,Alleinerziehend,,,,,,,,,,,,
1995,Paar mit Kindern,,,,,,,,,,,,
1995,Mehrgenerationenhaushalt,,,,,,,,,,,,
1995,Andere Zusammenstellungen,,,,,,,,,,,,
1996,Einpersonenhaushalt,,,,,,,,,,,,
1996,Paar ohne Kinder,,,,,,,,,,,,
1996,Alleinerziehend,,,,,,,,,,,,
1996,Paar mit Kindern,,,,,,,,,,,,
1996,Mehrgenerationenhaushalt,,,,,,,,,,,,
1996,Andere Zusammenstellungen,,,,,,,,,,,,
1997,Einpersonenhaushalt,,,,,,,,,,,,
1997,Paar ohne Kinder,,,,,,,,,,,,
1997,Alleinerziehend,,,,,,,,,,,,
1997,Paar mit Kindern,,,,,,,,,,,,
1997,Mehrgenerationenhaushalt,,,,,,,,,,,,
1997,Andere Zusammenstellungen,,,,,,,,,,,,
1998,Einpersonenhaushalt,,,,,,,,,,,,
1998,Paar ohne Kinder,,,,,,,,,,,,
1998,Alleinerziehend,,,,,,,,,,,,
1998,Paar mit Kindern,,,,,,,,,,,,
1998,Mehrgenerationenhaushalt,,,,,,,,,,,,
1998,Andere Zusammenstellungen,,,,,,,,,,,,
1999,Einpersonenhaushalt,,,,,,,,,,,,
1999,Paar ohne Kinder,,,,,,,,,,,,
1999,Alleinerziehend,,,,,,,,,,,,
1999,Paar mit Kindern,,,,,,,,,,,,
1999,Mehrgenerationenhaushalt,,,,,,,,,,,,
1999,Andere Zusammenstellungen,,,,,,,,,,,,
2000,Einpersonenhaushalt,,,,,,,,,,,,
2000,Paar ohne Kinder,,,,,,,,,,,,
2000,Alleinerziehend,,,,,,,,,,,,
2000,Paar mit Kindern,,,,,,,,,,,,
2000,Mehrgenerationenhaushalt,,,,,,,,,,,,
2000,Andere Zusammenstellungen,,,,,,,,,,,,
2001,Einpersonenhaushalt,,,,,,,,,,,,
2001,Paar ohne Kinder,,,,,,,,,,,,
2001,Alleinerziehend,,,,,,,,,,,,
2001,Paar mit Kindern,,,,,,,,,,,,
2001,Mehrgenerationenhaushalt,,,,,,,,,,,,
2001,Andere Zusammenstellungen,,,,,,,,,,,,
2002,Einpersonenhaushalt,,,,,,,,,,,,
2002,Paar ohne Kinder,,,,,,,,,,,,
2002,Alleinerziehend,,,,,,,,,,,,
2002,Paar mit Kindern,,,,,,,,,,,,
2002,Mehrgenerationenhaushalt,,,,,,,,,,,,
2002,Andere Zusammenstellungen,,,,,,,,,,,,
2003,Einpersonenhaushalt,,,,,,,,,,,,
2003,Paar ohne Kinder,,,,,,,,,,,,
2003,Alleinerziehend,,,,,,,,,,,,
2003,Paar mit Kindern,,,,,,,,,,,,
2003,Mehrgenerationenhaushalt,,,,,,,,,,,,
2003,Andere Zusammenstellungen,,,,,,,,,,,,
2004,Einpersonenhaushalt,,,,,,,,,,,,
2004,Paar ohne Kinder,,,,,,,,,,,,
2004,Alleinerziehend,,,,,,,,,,,,
2004,Paar mit Kindern,,,,,,,,,,,,
2004,Mehrgenerationenhaushalt,,,,,,,,,,,,
2004,Andere Zusammenstellungen,,,,,,,,,,,,
2005,Einpersonenhaushalt,,,,,,,,,,,,
2005,Paar ohne Kinder,,,,,,,,,,,,
2005,Alleinerziehend,,,,,,,,,,,,
2005,Paar mit Kindern,,,,,,,,,,,,
2005,Mehrgenerationenhaushalt,,,,,,,,,,,,
2005,Andere Zusammenstellungen,,,,,,,,,,,,
2006,Einpersonenhaushalt,,,,,,,,,,,,
2006,Paar ohne Kinder,,,,,,,,,,,,
2006,Alleinerziehend,,,,,,,,,,,,
2006,Paar mit Kindern,,,,,,,,,,,,
2006,Mehrgenerationenhaushalt,,,,,,,,,,,,
2006,Andere Zusammenstellungen,,,,,,,,,,,,
2007,Einpersonenhaushalt,,,,,,,,,,,,
2007,Paar ohne Kinder,,,,,,,,,,,,
2007,Alleinerziehend,,,,,,,,,,,,
2007,Paar mit Kindern,,,,,,,,,,,,
2007,Mehrgenerationenhaushalt,,,,,,,,,,,,
2007,Andere Zusammenstellungen,,,,,,,,,,,,
2008,Einpersonenhaushalt,,,,,,,,,,,,
2008,Paar ohne Kinder,,,,,,,,,,,,
2008,Alleinerziehend,,,,,,,,,,,,
2008,Paar mit Kindern,,,,,,,,,,,,
2008,Mehrgenerationenhaushalt,,,,,,,,,,,,
2008,Andere Zusammenstellungen,,,,,,,,,,,,
2009,Einpersonenhaushalt,,,,,,,,,,,,
2009,Paar ohne Kinder,,,,,,,,,,,,
2009,Alleinerziehend,,,,,,,,,,,,
2009,Paar mit Kindern,,,,,,,,,,,,
2009,Mehrgenerationenhaushalt,,,,,,,,,,,,
2009,Andere Zusammenstellungen,,,,,,,,,,,,
2010,Einpersonenhaushalt,,,,,,,,,,,,
2010,Paar ohne Kinder,,,,,,,,,,,,
2010,Alleinerziehend,,,,,,,,,,,,
2010,Paar mit Kindern,,,,,,,,,,,,
2010,Mehrgenerationenhaushalt,,,,,,,,,,,,
2010,Andere Zusammenstellungen,,,,,,,,,,,,
2011,Einpersonenhaushalt,,,,,,,,,,,,
2011,Paar ohne Kinder,,,,,,,,,,,,
2011,Alleinerziehend,,,,,,,,,,,,
2011,Paar mit Kindern,,,,,,,,,,,,
2011,Mehrgenerationenhaushalt,,,,,,,,,,,,
2011,Andere Zusammenstellungen,,,,,,,,,,,,
2012,Einpersonenhaushalt,,,,,,,,,,,,
2012,Paar ohne Kinder,,,,,,,,,,,,
2012,Alleinerziehend,,,,,,,,,,,,
2012,Paar mit Kindern,,,,,,,,,,,,
2012,Mehrgenerationenhaushalt,,,,,,,,,,,,
2012,Andere Zusammenstellungen,,,,,,,,,,,,
2013,Einpersonenhaushalt,,,,,,,,,,,,
2013,Paar ohne Kinder,,,,,,,,,,,,
2013,Alleinerziehend,,,,,,,,,,,,
2013,Paar mit Kindern,,,,,,,,,,,,
2013,Mehrgenerationenhaushalt,,,,,,,,,,,,
2013,Andere Zusammenstellungen,,,,,,,,,,,,
2014,Einpersonenhaushalt,,,,,,,,,,,,
2014,Paar ohne Kinder,,,,,,,,,,,,
2014,Alleinerziehend,,,,,,,,,,,,
2014,Paar mit Kindern,,,,,,,,,,,,
2014,Mehrgenerationenhaushalt,,,,,,,,,,,,
2014,Andere Zusammenstellungen,,,,,,,,,,,,
2015,Einpersonenhaushalt,,,,,,,,,,,,
2015,Paar ohne Kinder,,,,,,,,,,,,
2015,Alleinerziehend,,,,,,,,,,,,
2015,Paar mit Kindern,,,,,,,,,,,,
2015,Mehrgenerationenhaushalt,,,,,,,,,,,,
2015,Andere Zusammenstellungen,,,,,,,,,,,,
2016,Einpersonenhaushalt,,,,,,,,,,,,
2016,Paar ohne Kinder,,,,,,,,,,,,
2016,Alleinerziehend,,,,,,,,,,,,
2016,Paar mit Kindern,,,,,,,,,,,,
2016,Mehrgenerationenhaushalt,,,,,,,,,,,,
2016,Andere Zusammenstellungen,,,,,,,,,,,,
2017,Einpersonenhaushalt,1008,2.556200365183411,2.473888169547191,2.638512560819631,0.0,2.0,5.0,0.0,10.0,2.0,2.0,3.0
2017,Paar ohne Kinder,2504,2.4976507535626578,2.4496939249040524,2.545607582221263,0.0,2.0,5.0,0.0,10.0,2.0,2.0,2.0
2017,Alleinerziehend,408,3.9045204244149163,3.763461083959025,4.045579764870808,1.0,4.0,6.0,0.0,10.0,4.0,3.0,5.0
2017,Paar mit Kindern,2934,3.3039858847165493,3.2569713778370484,3.3510003915960502,0.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0
2017,Mehrgenerationenhaushalt,56,3.8109886200780325,3.4997240169504553,4.122253223205609,2.0,3.63298646617559,5.326000620872002,0.0,9.0,4.0,3.0,6.0
2017,Andere Zusammenstellungen,92,3.1928925792238236,2.9130275485574466,3.4727576098902007,1.0,2.0,5.323443912989416,0.0,10.0,2.0,1.0,2.0
2018,Einpersonenhaushalt,1002,2.504370440315301,2.4226588644161455,2.586082016214456,0.0,2.0,5.0,0.0,10.0,2.0,2.0,3.0
2018,Paar ohne Kinder,2452,2.45763830678962,2.4102554755768826,2.5050211380023577,0.0,2.0,4.0,0.0,10.0,2.0,2.0,2.0
2018,Alleinerziehend,382,3.7767104209864226,3.6347479550830992,3.918672886889746,1.0,4.0,6.0,0.0,10.0,4.0,3.0,5.0
2018,Paar mit Kindern,2753,3.394161089393045,3.3457078922849557,3.442614286501134,1.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0
2018,Mehrgenerationenhaushalt,55,4.028789848452347,3.716075171941599,4.341504524963096,2.0,5.0,5.0,0.0,9.0,5.0,5.0,7.0
2018,Andere Zusammenstellungen,84,2.5871013619601078,2.3345893253716667,2.8396133985485488,0.0,2.0,5.0,0.0,10.0,2.0,1.0,3.0
2019,Einpersonenhaushalt,,,,,,,,,,,,
2019,Paar ohne Kinder,,,,,,,,,,,,
2019,Alleinerziehend,,,,,,,,,,,,
2019,Paar mit Kindern,,,,,,,,,,,,
2019,Mehrgenerationenhaushalt,,,,,,,,,,,,
2019,Andere Zusammenstellungen,,,,,,,,,,,,
2020,Einpersonenhaushalt,1092,2.612720659229141,2.5353309252389398,2.690110393219342,0.0,2.0,5.0,0.0,10.0,2.0,2.0,2.0249999999999995
2020,Paar ohne Kinder,2617,2.5632802274806545,2.51663809722257,2.609922357738739,0.0,2.0,5.0,0.0,10.0,2.0,2.0,2.0
2020,Alleinerziehend,364,3.875870661806423,3.739860753930001,4.0118805696828455,1.0,4.0,6.0,0.0,10.0,4.0,3.0,5.0
2020,Paar mit Kindern,2668,3.4469187079848025,3.399951779659745,3.49388563630986,1.0,3.0,5.0,0.0,10.0,3.0,2.0,3.0
2020,Mehrgenerationenhaushalt,53,3.7204133411115747,3.368585184675677,4.0722414975474726,1.0,4.463921269226469,5.927159714480844,0.0,9.0,5.0,4.0,8.0
2020,Andere Zusammenstellungen,90,2.9023487820825324,2.662870909151222,3.1418266550138427,1.0,2.8838407921554516,5.0,0.0,9.0,2.0,0.0,2.0
2021,Einpersonenhaushalt,,,,,,,,,,,,
2021,Paar ohne Kinder,,,,,,,,,,,,
2021,Alleinerziehend,,,,,,,,,,,,
2021,Paar mit Kindern,,,,,,,,,,,,
2021,Mehrgenerationenhaushalt,,,,,,,,,,,,
2021,Andere Zusammenstellungen,,,,,,,,,,,,
