"pgfamstd","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","Realschule","Laendlicher Raum","1","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","(Fach-)Abitur","Staedtischer Raum","10","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","(Fach-)Abitur","Laendlicher Raum","1","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","AkademikerIn","Staedtischer Raum","23","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1985","AkademikerIn","Laendlicher Raum","1","","",""
"Ledig","1985","(noch) kein Abschluss","Staedtischer Raum","210","0.555369797644702","0.521963431483997","0.588776163805407"
"Ledig","1985","(noch) kein Abschluss","Laendlicher Raum","55","0.700349099050456","0.624465284460747","0.776232913640165"
"Ledig","1985","Hauptschule","Staedtischer Raum","741","0.148629164351576","0.138213858648637","0.159044470054515"
"Ledig","1985","Hauptschule","Laendlicher Raum","242","0.173054690134562","0.153461431862371","0.192647948406753"
"Ledig","1985","Realschule","Staedtischer Raum","489","0.365716687580587","0.339575619577222","0.391857755583951"
"Ledig","1985","Realschule","Laendlicher Raum","146","0.373470845835635","0.324511968319065","0.422429723352205"
"Ledig","1985","(Fach-)Abitur","Staedtischer Raum","325","0.554127569058212","0.515648082795738","0.592607055320686"
"Ledig","1985","(Fach-)Abitur","Laendlicher Raum","52","0.501137359396461","0.405501157050345","0.596773561742577"
"Ledig","1985","AkademikerIn","Staedtischer Raum","124","0.231401806913037","0.197458527681862","0.265345086144211"
"Ledig","1985","AkademikerIn","Laendlicher Raum","16","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","(noch) kein Abschluss","Staedtischer Raum","16","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","Hauptschule","Staedtischer Raum","169","0.0474170858741077","0.0411943775793866","0.0536397941688289"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","Hauptschule","Laendlicher Raum","36","0.0284936386256362","0.0198762959695376","0.0371109812817347"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","Realschule","Staedtischer Raum","49","0.0462687985435634","0.0348671827581886","0.0576704143289382"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","Realschule","Laendlicher Raum","13","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","(Fach-)Abitur","Staedtischer Raum","18","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","AkademikerIn","Staedtischer Raum","22","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1985","AkademikerIn","Laendlicher Raum","2","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","(noch) kein Abschluss","Staedtischer Raum","18","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","Hauptschule","Staedtischer Raum","367","0.144518878707783","0.134223836636761","0.154813920778806"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","Hauptschule","Laendlicher Raum","138","0.137014651411158","0.119204738395797","0.15482456442652"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","Realschule","Staedtischer Raum","77","0.0951339848289399","0.0792093574849657","0.111058612172914"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","Realschule","Laendlicher Raum","16","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","(Fach-)Abitur","Staedtischer Raum","14","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","AkademikerIn","Staedtischer Raum","9","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1985","AkademikerIn","Laendlicher Raum","6","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","(noch) kein Abschluss","Staedtischer Raum","564","0.372037580585574","0.340066223891771","0.404008937279377"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","(noch) kein Abschluss","Laendlicher Raum","75","0.356366879399892","0.271383101226887","0.441350657572897"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","Hauptschule","Staedtischer Raum","3148","0.643482061318208","0.629558757787995","0.657405364848421"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","Hauptschule","Laendlicher Raum","1008","0.656405676261556","0.631978462264773","0.680832890258339"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","Realschule","Staedtischer Raum","725","0.500571330557772","0.473939042493459","0.527203618622085"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","Realschule","Laendlicher Raum","212","0.503577119653027","0.454081821208703","0.553072418097351"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","(Fach-)Abitur","Staedtischer Raum","285","0.351542876010938","0.315577588182654","0.387508163839221"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","(Fach-)Abitur","Laendlicher Raum","46","0.322205388560612","0.238938782846096","0.405471994275128"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","AkademikerIn","Staedtischer Raum","441","0.657328816642193","0.620001014541874","0.694656618742512"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1986","AkademikerIn","Laendlicher Raum","98","0.735293659714032","0.657953392730777","0.812633926697286"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","(noch) kein Abschluss","Staedtischer Raum","37","0.0377643181096967","0.0251552675705267","0.0503733686488666"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","Hauptschule","Staedtischer Raum","124","0.0263750240517198","0.0217167432902569","0.0310333048131827"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","Hauptschule","Laendlicher Raum","21","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","Realschule","Staedtischer Raum","13","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","Realschule","Laendlicher Raum","4","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","(Fach-)Abitur","Staedtischer Raum","10","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","(Fach-)Abitur","Laendlicher Raum","2","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","AkademikerIn","Staedtischer Raum","22","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1986","AkademikerIn","Laendlicher Raum","1","","",""
"Ledig","1986","(noch) kein Abschluss","Staedtischer Raum","243","0.525156412885969","0.492125509002963","0.558187316768975"
"Ledig","1986","(noch) kein Abschluss","Laendlicher Raum","39","0.590333511755127","0.503070114994212","0.677596908516042"
"Ledig","1986","Hauptschule","Staedtischer Raum","755","0.144572603910152","0.134349848866681","0.154795358953624"
"Ledig","1986","Hauptschule","Laendlicher Raum","252","0.170770129699283","0.151414459844262","0.190125799554303"
"Ledig","1986","Realschule","Staedtischer Raum","486","0.344939042994882","0.319619795525271","0.370258290464493"
"Ledig","1986","Realschule","Laendlicher Raum","145","0.354402145517155","0.307050588080517","0.401753702953792"
"Ledig","1986","(Fach-)Abitur","Staedtischer Raum","350","0.568018168861491","0.530704529396616","0.605331808326365"
"Ledig","1986","(Fach-)Abitur","Laendlicher Raum","68","0.569400650939293","0.481173740748992","0.657627561129594"
"Ledig","1986","AkademikerIn","Staedtischer Raum","123","0.226741756637417","0.193808830231195","0.259674683043639"
"Ledig","1986","AkademikerIn","Laendlicher Raum","18","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","(noch) kein Abschluss","Staedtischer Raum","16","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","Hauptschule","Staedtischer Raum","170","0.045667605889961","0.039599022410247","0.051736189369675"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","Hauptschule","Laendlicher Raum","41","0.0341083297470285","0.0247723646439079","0.0434442948501491"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","Realschule","Staedtischer Raum","53","0.0468349677155913","0.0355809415076896","0.058088993923493"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","Realschule","Laendlicher Raum","15","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","(Fach-)Abitur","Staedtischer Raum","19","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","(Fach-)Abitur","Laendlicher Raum","2","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","AkademikerIn","Staedtischer Raum","24","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1986","AkademikerIn","Laendlicher Raum","2","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","(noch) kein Abschluss","Staedtischer Raum","18","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","Hauptschule","Staedtischer Raum","349","0.139902704829958","0.129818997741251","0.149986411918666"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","Hauptschule","Laendlicher Raum","130","0.126987658904966","0.109861667065456","0.144113650744476"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","Realschule","Staedtischer Raum","77","0.0972240537305871","0.0814437408124686","0.113004366648705"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","Realschule","Laendlicher Raum","16","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","(Fach-)Abitur","Staedtischer Raum","13","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","AkademikerIn","Staedtischer Raum","11","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1986","AkademikerIn","Laendlicher Raum","6","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","(noch) kein Abschluss","Staedtischer Raum","548","0.397669612230433","0.365016747959851","0.430322476501016"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","(noch) kein Abschluss","Laendlicher Raum","78","0.479760912444659","0.390374524393656","0.569147300495663"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","Hauptschule","Staedtischer Raum","3106","0.641665848790921","0.627705325304574","0.655626372277269"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","Hauptschule","Laendlicher Raum","988","0.66353567056338","0.639131250214447","0.687940090912313"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","Realschule","Staedtischer Raum","711","0.501215745906733","0.474514408561962","0.527917083251504"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","Realschule","Laendlicher Raum","211","0.506270858699294","0.457275612886076","0.555266104512511"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","(Fach-)Abitur","Staedtischer Raum","301","0.371767713944358","0.335119246245771","0.408416181642946"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","(Fach-)Abitur","Laendlicher Raum","45","0.357679307315429","0.266859815657055","0.448498798973803"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","AkademikerIn","Staedtischer Raum","426","0.635717789916618","0.597715575959173","0.673720003874062"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1987","AkademikerIn","Laendlicher Raum","98","0.723742154577208","0.645040023342853","0.802444285811563"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","(noch) kein Abschluss","Staedtischer Raum","38","0.0444004054907167","0.0306576398711864","0.0581431711102469"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","Hauptschule","Staedtischer Raum","108","0.0196298250815166","0.0155909873901272","0.0236686627729061"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","Hauptschule","Laendlicher Raum","24","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","Realschule","Staedtischer Raum","13","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","Realschule","Laendlicher Raum","4","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","(Fach-)Abitur","Staedtischer Raum","6","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","(Fach-)Abitur","Laendlicher Raum","1","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","AkademikerIn","Staedtischer Raum","19","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1987","AkademikerIn","Laendlicher Raum","1","","",""
"Ledig","1987","(noch) kein Abschluss","Staedtischer Raum","238","0.492695253009987","0.459339838254319","0.526050667765656"
"Ledig","1987","(noch) kein Abschluss","Laendlicher Raum","36","0.490753228832815","0.401308821062002","0.580197636603627"
"Ledig","1987","Hauptschule","Staedtischer Raum","769","0.143985201400997","0.133763982111394","0.1542064206906"
"Ledig","1987","Hauptschule","Laendlicher Raum","256","0.163313227456413","0.144220895476371","0.182405559436455"
"Ledig","1987","Realschule","Staedtischer Raum","493","0.342261149871578","0.316923295071363","0.367599004671794"
"Ledig","1987","Realschule","Laendlicher Raum","153","0.352886610842099","0.306056425286424","0.399716796397774"
"Ledig","1987","(Fach-)Abitur","Staedtischer Raum","326","0.549557516751784","0.511827577320172","0.587287456183397"
"Ledig","1987","(Fach-)Abitur","Laendlicher Raum","55","0.530768695239464","0.436209810471318","0.625327580007609"
"Ledig","1987","AkademikerIn","Staedtischer Raum","128","0.237423485028107","0.203821782264275","0.271025187791938"
"Ledig","1987","AkademikerIn","Laendlicher Raum","17","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","(noch) kein Abschluss","Staedtischer Raum","21","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","Hauptschule","Staedtischer Raum","180","0.0500614669010348","0.0437125056231974","0.0564104281788722"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","Hauptschule","Laendlicher Raum","44","0.0381327627628133","0.0282410033058615","0.0480245222197651"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","Realschule","Staedtischer Raum","54","0.0484010539645654","0.0369401551377671","0.0598619527913637"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","Realschule","Laendlicher Raum","13","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","(Fach-)Abitur","Staedtischer Raum","21","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","AkademikerIn","Staedtischer Raum","31","0.0599844147375036","0.0412325494265098","0.0787362800484974"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1987","AkademikerIn","Laendlicher Raum","2","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","(noch) kein Abschluss","Staedtischer Raum","18","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","Hauptschule","Staedtischer Raum","369","0.14465765782553","0.13441662305347","0.15489869259759"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","Hauptschule","Laendlicher Raum","128","0.123062082067481","0.10609475628085","0.140029407854112"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","Realschule","Staedtischer Raum","76","0.0977868467089049","0.0819248048632263","0.113648888554584"
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","Realschule","Laendlicher Raum","19","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","(Fach-)Abitur","Staedtischer Raum","14","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","(Fach-)Abitur","Laendlicher Raum","3","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","AkademikerIn","Staedtischer Raum","12","","",""
"Verwitwet / Lebenspartner/-in aus eingetr. gleichgeschlechtlicher Partnerschaft verstorben","1987","AkademikerIn","Laendlicher Raum","6","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","(noch) kein Abschluss","Staedtischer Raum","517","0.400400638775298","0.365992805610355","0.434808471940241"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","(noch) kein Abschluss","Laendlicher Raum","76","0.411122193062264","0.324167387231026","0.498076998893501"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","Hauptschule","Staedtischer Raum","2982","0.636121517382756","0.621839061634873","0.650403973130639"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","Hauptschule","Laendlicher Raum","925","0.654839591767685","0.629460206621392","0.680218976913978"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","Realschule","Staedtischer Raum","687","0.504617500367726","0.477563427364997","0.531671573370455"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","Realschule","Laendlicher Raum","208","0.540735081899831","0.490431220274461","0.5910389435252"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","(Fach-)Abitur","Staedtischer Raum","285","0.363159122786853","0.325842554623863","0.400475690949843"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","(Fach-)Abitur","Laendlicher Raum","39","0.322860774572599","0.229812386875598","0.4159091622696"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","AkademikerIn","Staedtischer Raum","398","0.613864369533442","0.574445384745309","0.653283354321575"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, zusammenlebend","1988","AkademikerIn","Laendlicher Raum","86","0.686486540112097","0.601696804802143","0.771276275422052"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","(noch) kein Abschluss","Staedtischer Raum","32","0.0398713261949539","0.0261317156447135","0.0536109367451944"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","Hauptschule","Staedtischer Raum","123","0.0265823874342089","0.0218070809729355","0.0313576938954824"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","Hauptschule","Laendlicher Raum","30","0.0194784280119827","0.0121009372620373","0.0268559187619281"
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","Realschule","Staedtischer Raum","16","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","Realschule","Laendlicher Raum","4","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","(Fach-)Abitur","Staedtischer Raum","7","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","(Fach-)Abitur","Laendlicher Raum","2","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","AkademikerIn","Staedtischer Raum","23","","",""
"Verheiratet / in eingetr. gleichgeschlechtlicher Partnerschaft, dauernd getrennt lebend","1988","AkademikerIn","Laendlicher Raum","1","","",""
"Ledig","1988","(noch) kein Abschluss","Staedtischer Raum","190","0.495217407585093","0.46010751520859","0.530327299961597"
"Ledig","1988","(noch) kein Abschluss","Laendlicher Raum","41","0.564806942809271","0.47719031627139","0.652423569347152"
"Ledig","1988","Hauptschule","Staedtischer Raum","739","0.144980541819022","0.134528587212111","0.155432496425934"
"Ledig","1988","Hauptschule","Laendlicher Raum","234","0.163526605573856","0.143783138406133","0.18327007274158"
"Ledig","1988","Realschule","Staedtischer Raum","482","0.333667617053633","0.308153316721023","0.359181917386243"
"Ledig","1988","Realschule","Laendlicher Raum","136","0.327871242609649","0.280484667835164","0.375257817384133"
"Ledig","1988","(Fach-)Abitur","Staedtischer Raum","312","0.553619961999076","0.515045843999816","0.592194079998337"
"Ledig","1988","(Fach-)Abitur","Laendlicher Raum","52","0.574075470056051","0.475671403666452","0.672479536445651"
"Ledig","1988","AkademikerIn","Staedtischer Raum","119","0.235727748307913","0.201361772271922","0.270093724343905"
"Ledig","1988","AkademikerIn","Laendlicher Raum","22","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1988","(noch) kein Abschluss","Staedtischer Raum","21","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1988","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1988","Hauptschule","Staedtischer Raum","169","0.0506482621226771","0.0441387190432406","0.0571578052021136"
"Geschieden / eingetr. gleichgeschlechtliche Partnerschaft aufgehoben","1988","Hauptschule","Laendlicher Raum","39","0.0375208972875464","0.0273762860827874","0.0476655084923053"
