"pli0080","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Monat","1990","AkademikerIn","direkter Migrationshintergrund","32","0.474640654534751","0.370896464128795","0.578384844940708"
"Min 1x pro Monat","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","(noch) kein Abschluss","kein Migrationshintergrund","17","","",""
"Seltener","1990","(noch) kein Abschluss","direkter Migrationshintergrund","68","0.107237915701886","0.0831908780103737","0.131284953393398"
"Seltener","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","6","0.191431166271537","0.0812734630482843","0.30158886949479"
"Seltener","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","Hauptschule","kein Migrationshintergrund","993","0.257300433523235","0.243432432812985","0.271168434233485"
"Seltener","1990","Hauptschule","direkter Migrationshintergrund","167","","",""
"Seltener","1990","Hauptschule","indirekter Migrationshintergrund","15","","",""
"Seltener","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","Realschule","kein Migrationshintergrund","268","","",""
"Seltener","1990","Realschule","direkter Migrationshintergrund","30","0.285860983866722","0.212064500389952","0.359657467343493"
"Seltener","1990","Realschule","indirekter Migrationshintergrund","4","0.0352325348775606","-0.0148780750820668","0.085343144837188"
"Seltener","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","(Fach-)Abitur","kein Migrationshintergrund","77","0.133971877427888","0.104667180692392","0.163276574163384"
"Seltener","1990","(Fach-)Abitur","direkter Migrationshintergrund","20","","",""
"Seltener","1990","(Fach-)Abitur","indirekter Migrationshintergrund","3","","",""
"Seltener","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1990","AkademikerIn","kein Migrationshintergrund","102","","",""
"Seltener","1990","AkademikerIn","direkter Migrationshintergrund","18","","",""
"Seltener","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","(noch) kein Abschluss","kein Migrationshintergrund","8","0.0452245490991769","0.012720608956709","0.0777284892416449"
"Nie","1990","(noch) kein Abschluss","direkter Migrationshintergrund","16","","",""
"Nie","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Nie","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","Hauptschule","kein Migrationshintergrund","120","","",""
"Nie","1990","Hauptschule","direkter Migrationshintergrund","52","0.059227472276056","0.0467279987840381","0.0717269457680739"
"Nie","1990","Hauptschule","indirekter Migrationshintergrund","5","0.0252495979076648","-0.000463477119953398","0.050962672935283"
"Nie","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","Realschule","kein Migrationshintergrund","18","","",""
"Nie","1990","Realschule","direkter Migrationshintergrund","4","0.0402145134566741","0.00812631436812557","0.0723027125452226"
"Nie","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","(Fach-)Abitur","kein Migrationshintergrund","10","","",""
"Nie","1990","(Fach-)Abitur","direkter Migrationshintergrund","3","","",""
"Nie","1990","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Nie","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1990","AkademikerIn","kein Migrationshintergrund","7","0.0127974211375517","0.00384099445181611","0.0217538478232874"
"Nie","1990","AkademikerIn","direkter Migrationshintergrund","1","","",""
"Nie","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1991","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1991","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1991","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","Realschule","kein Migrationshintergrund","","","",""
"Nie","1991","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1991","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1991","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1991","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1991","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1991","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","Realschule","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Monat","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Min 1x pro Monat","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Seltener","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Seltener","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","Realschule","kein Migrationshintergrund","","","",""
"Seltener","1992","Realschule","direkter Migrationshintergrund","","","",""
"Seltener","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Seltener","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Seltener","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Seltener","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Seltener","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nie","1992","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","Hauptschule","kein Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","direkter Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","indirekter Migrationshintergrund","","","",""
"Nie","1992","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","Realschule","kein Migrationshintergrund","","","",""
"Nie","1992","Realschule","direkter Migrationshintergrund","","","",""
"Nie","1992","Realschule","indirekter Migrationshintergrund","","","",""
"Nie","1992","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nie","1992","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nie","1992","AkademikerIn","kein Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","direkter Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Nie","1992","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","Realschule","kein Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","direkter Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Taeglich","1993","AkademikerIn","kein Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","direkter Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Taeglich","1993","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Min 1x pro Woche","1993","Hauptschule","kein Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Hauptschule","direkter Migrationshintergrund","","","",""
"Min 1x pro Woche","1993","Hauptschule","indirekter Migrationshintergrund","","","",""
