"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2006","Westdeutschland","1459.86","1265.83","22128","713","950","1733.33","2366.67","4533.33","1446","1473.72","0","30000","1333.33337402344","1366.66662597656"
"2007","Ostdeutschland","1195.64","1108.89","6123","630","846.15","1428.57","1800","3000","1178.76","1212.52","220","11333.33","1150","1190.47619628906"
"2007","Westdeutschland","1495.35","1299.52","20492","720","970","1777.78","2400","4600","1480.26","1510.44","0","42000","1380.95239257812","1400"
"2008","Ostdeutschland","1213.26","1132.92","5821","619.05","850","1477.78","1880","2966.67","1196.21","1230.31","0","10000","1200","1200"
"2008","Westdeutschland","1528.28","1333.33","19056","733.33","1000","1800","2400","4666.67","1510.46","1546.1","100","66666","1400","1428.57153320312"
"2009","Ostdeutschland","1258.11","1173.5","5582","655","869.57","1500","2000","3000","1240.25","1275.97","0","13333.33","1200","1238.09533691406"
"2009","Westdeutschland","1569.15","1388.78","17639","777.78","1000","1900","2500","4722.22","1553.35","1584.95","124.67","22000","1444.44445800781","1476.19055175781"
"2010","Ostdeutschland","1309.73","1199.33","7930","692","900","1600","2000","3333.33","1294.87","1324.59","0","13333.33","1111.11108398438","1133.33337402344"
"2010","Westdeutschland","1625.26","1418.33","29538","800","1050","1966.67","2619.05","4761.9","1613.93","1636.59","0","25000","1292.38098144531","1319.33337402344"
"2011","Ostdeutschland","1333.65","1248.96","9146","666.67","916.67","1618.89","2000","3333.33","1319.95","1347.35","142.86","9600","1166.66662597656","1195.83325195312"
"2011","Westdeutschland","1641.86","1433.1","34855","770.83","1040","2000","2666.67","5000","1631.33","1652.39","40","36666.67","1333.33337402344","1353.33337402344"
"2012","Ostdeutschland","1384.27","1275.69","8870","700","952.38","1666.67","2133.33","3733.33","1369.36","1399.18","81.67","14000","1200","1235"
"2012","Westdeutschland","1692.71","1496.67","33535","820","1100","2000","2700","5000","1681.31","1704.11","96","31034.48","1400","1400"
"2013","Ostdeutschland","1413.48","1319.33","8836","715","952","1720","2200","3500","1398.54","1428.42","233.33","12000","1200","1250"
"2013","Westdeutschland","1708.46","1499.52","38828","800","1071.43","2000","2800","5088.89","1698.21","1718.71","0","46666.67","1347.19995117188","1380.95239257812"
"2014","Ostdeutschland","1455.62","1333.33","8022","722.22","1000","1777.78","2266.67","3571.43","1439.92","1471.32","205","12333.33","1266.66662597656","1304.34790039062"
"2014","Westdeutschland","1763.61","1539.38","33485","811.84","1103.45","2133.33","2866.67","5333.33","1751.94","1775.28","83.33","43333.33","1428.57153320312","1449.23083496094"
"2015","Ostdeutschland","1505.69","1383.97","7723","733.33","1000","1866.67","2333.33","4000","1488.59","1522.79","125","12666.67","1333.33337402344","1346.15393066406"
"2015","Westdeutschland","1809.45","1597.86","33327","833.33","1142.86","2200","3000","5555.56","1797.67","1821.23","0","60000","1456.52172851562","1470"
"2016","Ostdeutschland","1533.55","1411","8650","746","1000","1886.67","2444.44","4080","1516.53","1550.57","0","13866.67","1217.39135742188","1256"
"2016","Westdeutschland","1848.38","1659.76","36438","853.33","1200","2250","3000","5333.33","1836.89","1859.87","0","40000","1333.33337402344","1333.33337402344"
"2017","Ostdeutschland","1578.86","1466.33","9378","769.23","1075","1900","2500","4333.33","1562.14","1595.58","88","10000","1276.25","1320"
"2017","Westdeutschland","1940.71","1666.67","40775","875","1200","2333.33","3000","5333.33","1894.17","1987.25","94.87","666666","1357.14282226562","1388.88891601562"
"2018","Ostdeutschland","1636.4","1530","9170","800","1108.7","2000","2533.33","4000","1619.9","1652.9","152.38","10000","1333.33337402344","1384.61547851562"
"2018","Westdeutschland","1977","1776.89","38973","918.46","1300","2400","3194","5666.67","1965.05","1988.95","100","50000","1416.66662597656","1428.57153320312"
"2019","Ostdeutschland","1734.53","1596.3","9468","830.77","1200","2076.92","2666.67","4466.67","1699.23","1769.83","166.67","61111.11","1520","1571.42858886719"
"2019","Westdeutschland","2079.53","1808.61","39100","940","1307.69","2500","3333.33","6000","1989.38","2169.68","23.33","1700000","1600","1612.9033203125"
"2020","Ostdeutschland","1795.33","1666.67","9140","863.64","1200","2200","2666.67","4666.67","1749.66","1841","0","93333.34","1521.73913574219","1586"
"2020","Westdeutschland","2105.17","1887.94","40791","973.68","1350","2533.33","3333.33","6020","2078.93","2131.41","0","133333.33","1533.33337402344","1566.66662597656"
