"pli0096_h","year","migback","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nie","1986","kein Migrationshintergrund","maennlich","2476","0.693740949616718","0.678690166728374","0.708791732505062"
"Nie","1986","kein Migrationshintergrund","weiblich","3198","0.831652598109592","0.819900259365192","0.843404936853993"
"Nie","1986","direkter Migrationshintergrund","maennlich","1297","0.842719027279625","0.824276659270298","0.861161395288952"
"Nie","1986","direkter Migrationshintergrund","weiblich","1199","0.887725649118606","0.870570713076133","0.90488058516108"
"Nie","1986","indirekter Migrationshintergrund","maennlich","54","0.754440262158668","0.654322778435816","0.854557745881519"
"Nie","1986","indirekter Migrationshintergrund","weiblich","71","0.94351483764938","0.893547901242025","0.993481774056735"
"Nie","1986","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1986","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1987","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1987","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1987","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1987","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1987","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1987","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1987","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1987","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1987","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1987","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1987","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1987","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1987","kein Migrationshintergrund","maennlich","","","",""
"Seltener","1987","kein Migrationshintergrund","weiblich","","","",""
"Seltener","1987","direkter Migrationshintergrund","maennlich","","","",""
"Seltener","1987","direkter Migrationshintergrund","weiblich","","","",""
"Seltener","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Seltener","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1987","kein Migrationshintergrund","maennlich","","","",""
"Nie","1987","kein Migrationshintergrund","weiblich","","","",""
"Nie","1987","direkter Migrationshintergrund","maennlich","","","",""
"Nie","1987","direkter Migrationshintergrund","weiblich","","","",""
"Nie","1987","indirekter Migrationshintergrund","maennlich","","","",""
"Nie","1987","indirekter Migrationshintergrund","weiblich","","","",""
"Nie","1987","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1987","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1988","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1988","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1988","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1988","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1988","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1988","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1988","kein Migrationshintergrund","maennlich","439","0.126801331729945","0.115576875473647","0.138025787986243"
"Min 1x pro Woche","1988","kein Migrationshintergrund","weiblich","241","0.0650629081802422","0.0570263195161158","0.0730994968443685"
"Min 1x pro Woche","1988","direkter Migrationshintergrund","maennlich","80","0.0689574309247117","0.0556514211407168","0.0822634407087066"
"Min 1x pro Woche","1988","direkter Migrationshintergrund","weiblich","35","0.050870143913269","0.0386547682564126","0.0630855195701255"
"Min 1x pro Woche","1988","indirekter Migrationshintergrund","maennlich","9","","",""
"Min 1x pro Woche","1988","indirekter Migrationshintergrund","weiblich","4","","",""
"Min 1x pro Woche","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1988","kein Migrationshintergrund","maennlich","330","0.0925769272024061","0.0827999824348786","0.102353871969934"
"Min 1x pro Monat","1988","kein Migrationshintergrund","weiblich","200","0.0507017079431541","0.0435530181131261","0.0578503977731822"
"Min 1x pro Monat","1988","direkter Migrationshintergrund","maennlich","42","0.0364235756427838","0.0265855736906233","0.0462615775949443"
"Min 1x pro Monat","1988","direkter Migrationshintergrund","weiblich","19","","",""
"Min 1x pro Monat","1988","indirekter Migrationshintergrund","maennlich","3","","",""
"Min 1x pro Monat","1988","indirekter Migrationshintergrund","weiblich","5","","",""
"Min 1x pro Monat","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1988","kein Migrationshintergrund","maennlich","366","0.107048174081159","0.0966189855389644","0.117477362623354"
"Seltener","1988","kein Migrationshintergrund","weiblich","334","0.0864406644226817","0.0772839169353076","0.0955974119100557"
"Seltener","1988","direkter Migrationshintergrund","maennlich","75","0.065667081751404","0.0526594804686988","0.0786746830341092"
"Seltener","1988","direkter Migrationshintergrund","weiblich","50","0.0585918879601714","0.0455355843397782","0.0716481915805646"
"Seltener","1988","indirekter Migrationshintergrund","maennlich","8","","",""
"Seltener","1988","indirekter Migrationshintergrund","weiblich","7","","",""
"Seltener","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1988","kein Migrationshintergrund","maennlich","2241","0.67357356698649","0.657756277990999","0.689390855981981"
"Nie","1988","kein Migrationshintergrund","weiblich","2843","0.797794719453922","0.784707251390001","0.810882187517843"
"Nie","1988","direkter Migrationshintergrund","maennlich","1196","0.828951911681101","0.80917783044948","0.848725992912722"
"Nie","1988","direkter Migrationshintergrund","weiblich","1139","0.876919370561778","0.858655735832917","0.89518300529064"
"Nie","1988","indirekter Migrationshintergrund","maennlich","85","0.754949384755278","0.672679619547594","0.837219149962962"
"Nie","1988","indirekter Migrationshintergrund","weiblich","99","0.844631793992372","0.778423261933429","0.910840326051315"
"Nie","1988","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1988","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1989","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1989","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1989","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1989","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1989","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1989","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1989","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1989","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1989","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1989","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1989","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1989","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1989","kein Migrationshintergrund","maennlich","","","",""
"Seltener","1989","kein Migrationshintergrund","weiblich","","","",""
"Seltener","1989","direkter Migrationshintergrund","maennlich","","","",""
"Seltener","1989","direkter Migrationshintergrund","weiblich","","","",""
"Seltener","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Seltener","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1989","kein Migrationshintergrund","maennlich","","","",""
"Nie","1989","kein Migrationshintergrund","weiblich","","","",""
"Nie","1989","direkter Migrationshintergrund","maennlich","","","",""
"Nie","1989","direkter Migrationshintergrund","weiblich","","","",""
"Nie","1989","indirekter Migrationshintergrund","maennlich","","","",""
"Nie","1989","indirekter Migrationshintergrund","weiblich","","","",""
"Nie","1989","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1989","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1990","kein Migrationshintergrund","maennlich","57","0.0153236822996305","0.0119759775456567","0.0186713870536042"
"Taeglich","1990","kein Migrationshintergrund","weiblich","23","","",""
"Taeglich","1990","direkter Migrationshintergrund","maennlich","8","","",""
"Taeglich","1990","direkter Migrationshintergrund","weiblich","3","","",""
"Taeglich","1990","indirekter Migrationshintergrund","maennlich","4","","",""
"Taeglich","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1990","kein Migrationshintergrund","maennlich","509","0.0946695295252592","0.0866909144890613","0.102648144561457"
"Min 1x pro Woche","1990","kein Migrationshintergrund","weiblich","295","0.0542867229821376","0.0483565051723085","0.0602169407919668"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","maennlich","64","0.0580115888518065","0.0456914057857808","0.0703317719178322"
"Min 1x pro Woche","1990","direkter Migrationshintergrund","weiblich","24","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","maennlich","5","","",""
"Min 1x pro Woche","1990","indirekter Migrationshintergrund","weiblich","1","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1990","kein Migrationshintergrund","maennlich","596","0.105940001987791","0.097552509323234","0.114327494652348"
"Min 1x pro Monat","1990","kein Migrationshintergrund","weiblich","400","0.0604330785146214","0.0541965156141214","0.0666696414151214"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","maennlich","52","0.0433251078644151","0.032595372387395","0.0540548433414353"
"Min 1x pro Monat","1990","direkter Migrationshintergrund","weiblich","36","0.0489089296586653","0.0370283844955546","0.0607894748217759"
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","maennlich","1","","",""
"Min 1x pro Monat","1990","indirekter Migrationshintergrund","weiblich","2","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1990","kein Migrationshintergrund","maennlich","722","0.139050581771836","0.1296209647066","0.148480198837071"
"Seltener","1990","kein Migrationshintergrund","weiblich","589","0.100293978774187","0.0924320006271719","0.108155956921201"
"Seltener","1990","direkter Migrationshintergrund","maennlich","104","0.0937777620935601","0.0784137623645648","0.109141761822556"
"Seltener","1990","direkter Migrationshintergrund","weiblich","77","0.078980199464021","0.0641234145918494","0.0938369843361926"
"Seltener","1990","indirekter Migrationshintergrund","maennlich","11","","",""
"Seltener","1990","indirekter Migrationshintergrund","weiblich","13","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1990","kein Migrationshintergrund","maennlich","3288","0.645016204415483","0.631975279034343","0.658057129796623"
"Nie","1990","kein Migrationshintergrund","weiblich","4301","0.77930305865604","0.768448918227815","0.790157199084265"
"Nie","1990","direkter Migrationshintergrund","maennlich","1155","0.797246544646531","0.776057203364235","0.818435885928827"
"Nie","1990","direkter Migrationshintergrund","weiblich","1126","0.824856729245024","0.803919595516752","0.845793862973296"
"Nie","1990","indirekter Migrationshintergrund","maennlich","124","0.787646997632657","0.721079979422571","0.854214015842743"
"Nie","1990","indirekter Migrationshintergrund","weiblich","134","0.923004531053847","0.880342948459991","0.965666113647703"
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1991","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1991","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1991","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1991","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1991","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1991","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Woche","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1991","kein Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1991","direkter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Min 1x pro Monat","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1991","kein Migrationshintergrund","maennlich","","","",""
"Seltener","1991","kein Migrationshintergrund","weiblich","","","",""
"Seltener","1991","direkter Migrationshintergrund","maennlich","","","",""
"Seltener","1991","direkter Migrationshintergrund","weiblich","","","",""
"Seltener","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Seltener","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1991","kein Migrationshintergrund","maennlich","","","",""
"Nie","1991","kein Migrationshintergrund","weiblich","","","",""
"Nie","1991","direkter Migrationshintergrund","maennlich","","","",""
"Nie","1991","direkter Migrationshintergrund","weiblich","","","",""
"Nie","1991","indirekter Migrationshintergrund","maennlich","","","",""
"Nie","1991","indirekter Migrationshintergrund","weiblich","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1991","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1992","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1992","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1992","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1992","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1992","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Taeglich","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Woche","1992","kein Migrationshintergrund","maennlich","433","0.091487705361122","0.0834005464792994","0.0995748642429445"
"Min 1x pro Woche","1992","kein Migrationshintergrund","weiblich","238","0.0485561457790451","0.0427944901164853","0.0543178014416048"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","maennlich","62","0.0477206305213339","0.0361458928323778","0.05929536821029"
"Min 1x pro Woche","1992","direkter Migrationshintergrund","weiblich","25","","",""
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","maennlich","11","","",""
"Min 1x pro Woche","1992","indirekter Migrationshintergrund","weiblich","7","","",""
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Woche","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Min 1x pro Monat","1992","kein Migrationshintergrund","maennlich","432","0.0850210307909346","0.0771972271444376","0.0928448344374316"
"Min 1x pro Monat","1992","kein Migrationshintergrund","weiblich","256","0.0504890436658923","0.0446197995083582","0.0563582878234264"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","maennlich","51","0.0533592822450243","0.0411560897175094","0.0655624747725392"
"Min 1x pro Monat","1992","direkter Migrationshintergrund","weiblich","40","0.0448664029138354","0.0331927356386014","0.0565400701890694"
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","maennlich","1","","",""
"Min 1x pro Monat","1992","indirekter Migrationshintergrund","weiblich","5","","",""
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Min 1x pro Monat","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Seltener","1992","kein Migrationshintergrund","maennlich","599","0.121796387635117","0.112622276076141","0.130970499194093"
"Seltener","1992","kein Migrationshintergrund","weiblich","558","0.101666189677195","0.0935651499856112","0.109767229368779"
"Seltener","1992","direkter Migrationshintergrund","maennlich","111","0.107657015070802","0.0908278350058597","0.124486195135745"
"Seltener","1992","direkter Migrationshintergrund","weiblich","56","0.0601562968469459","0.0467477106324989","0.0735648830613929"
"Seltener","1992","indirekter Migrationshintergrund","maennlich","19","","",""
"Seltener","1992","indirekter Migrationshintergrund","weiblich","20","","",""
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Seltener","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Nie","1992","kein Migrationshintergrund","maennlich","3418","0.701694876212826","0.688861122146261","0.714528630279392"
"Nie","1992","kein Migrationshintergrund","weiblich","4294","0.799288620877868","0.788551905846887","0.810025335908848"
"Nie","1992","direkter Migrationshintergrund","maennlich","1079","0.79126307216284","0.769196444059217","0.813329700266462"
"Nie","1992","direkter Migrationshintergrund","weiblich","1087","0.864341583856637","0.845031653885012","0.883651513828262"
"Nie","1992","indirekter Migrationshintergrund","maennlich","173","0.849026528003035","0.799896845364296","0.898156210641774"
"Nie","1992","indirekter Migrationshintergrund","weiblich","165","0.859219589526897","0.810652936337989","0.907786242715805"
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Nie","1992","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Taeglich","1993","kein Migrationshintergrund","maennlich","","","",""
"Taeglich","1993","kein Migrationshintergrund","weiblich","","","",""
"Taeglich","1993","direkter Migrationshintergrund","maennlich","","","",""
"Taeglich","1993","direkter Migrationshintergrund","weiblich","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","maennlich","","","",""
"Taeglich","1993","indirekter Migrationshintergrund","weiblich","","","",""
"Taeglich","1993","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
