"hlf0001_h","year","hhtyp","n","percent","lower_confidence","upper_confidence"
"Altersheim/Seniorenwohnheim","1985","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1985","Sonstige","","","",""
"Mieter","1985","1-Pers.- Haushalt","","","",""
"Mieter","1985","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1985","Alleinerziehende","","","",""
"Mieter","1985","Paar mit Kind(ern)","","","",""
"Mieter","1985","Sonstige","","","",""
"Hauptmieter","1986","1-Pers.- Haushalt","804","0.736103190307051","0.709756244455708","0.762450136158393"
"Hauptmieter","1986","(Ehe-)Paar ohne Kind(er)","1456","0.559025406238576","0.539194507036556","0.578856305440595"
"Hauptmieter","1986","Alleinerziehende","469","0.622161173323168","0.586447361447153","0.657874985199183"
"Hauptmieter","1986","Paar mit Kind(ern)","4985","0.439504301174026","0.429127916448962","0.44988068589909"
"Hauptmieter","1986","Sonstige","433","0.34556625208979","0.314393306858957","0.376739197320623"
"Untermieter","1986","1-Pers.- Haushalt","51","0.0379897738270913","0.0265618573608829","0.0494176902932997"
"Untermieter","1986","(Ehe-)Paar ohne Kind(er)","44","0.0153485555719307","0.0104384043643943","0.0202587067794672"
"Untermieter","1986","Alleinerziehende","","","",""
"Untermieter","1986","Paar mit Kind(ern)","103","0.00844844837455408","0.00653496591579611","0.0103619308333121"
"Untermieter","1986","Sonstige","","","",""
"Eigentuemer","1986","1-Pers.- Haushalt","220","0.225907035865858","0.20090903391879","0.250905037812926"
"Eigentuemer","1986","(Ehe-)Paar ohne Kind(er)","908","0.425626038189494","0.405877665440845","0.445374410938142"
"Eigentuemer","1986","Alleinerziehende","219","0.351658750694425","0.31648699860161","0.38683050278724"
"Eigentuemer","1986","Paar mit Kind(ern)","3701","0.55204725045142","0.541650859856448","0.562443641046392"
"Eigentuemer","1986","Sonstige","446","0.637494051904513","0.60598212440551","0.669005979403515"
"Altersheim/Seniorenwohnheim","1986","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1986","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1986","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1986","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1986","Sonstige","","","",""
"Mieter","1986","1-Pers.- Haushalt","","","",""
"Mieter","1986","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1986","Alleinerziehende","","","",""
"Mieter","1986","Paar mit Kind(ern)","","","",""
"Mieter","1986","Sonstige","","","",""
"Hauptmieter","1987","1-Pers.- Haushalt","780","0.725205283608695","0.698531991311292","0.751878575906098"
"Hauptmieter","1987","(Ehe-)Paar ohne Kind(er)","1396","0.545058420722839","0.525060881620685","0.565055959824994"
"Hauptmieter","1987","Alleinerziehende","463","0.602656912763038","0.566534942175145","0.638778883350931"
"Hauptmieter","1987","Paar mit Kind(ern)","4810","0.44270350849478","0.432158389539899","0.45324862744966"
"Hauptmieter","1987","Sonstige","509","0.385680291171862","0.354613013991049","0.416747568352676"
"Untermieter","1987","1-Pers.- Haushalt","71","0.0513616417788045","0.0381726455275832","0.0645506380300258"
"Untermieter","1987","(Ehe-)Paar ohne Kind(er)","40","0.0161715231004842","0.011106139153213","0.0212369070477554"
"Untermieter","1987","Alleinerziehende","","","",""
"Untermieter","1987","Paar mit Kind(ern)","114","0.013355591364772","0.0109185453032905","0.0157926374262536"
"Untermieter","1987","Sonstige","","","",""
"Eigentuemer","1987","1-Pers.- Haushalt","225","0.223433074612501","0.19854420737597","0.248321941849031"
"Eigentuemer","1987","(Ehe-)Paar ohne Kind(er)","946","0.438770056176676","0.418841945782786","0.458698166570567"
"Eigentuemer","1987","Alleinerziehende","229","0.370384445952276","0.33473788583459","0.406031006069962"
"Eigentuemer","1987","Paar mit Kind(ern)","3599","0.543940900140448","0.533366925427573","0.554514874853324"
"Eigentuemer","1987","Sonstige","420","0.603649037573914","0.572429644238098","0.63486843090973"
"Altersheim/Seniorenwohnheim","1987","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1987","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1987","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1987","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1987","Sonstige","","","",""
"Mieter","1987","1-Pers.- Haushalt","","","",""
"Mieter","1987","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1987","Alleinerziehende","","","",""
"Mieter","1987","Paar mit Kind(ern)","","","",""
"Mieter","1987","Sonstige","","","",""
"Hauptmieter","1988","1-Pers.- Haushalt","751","0.713577905141244","0.686048795284989","0.741107014997499"
"Hauptmieter","1988","(Ehe-)Paar ohne Kind(er)","1388","0.537281790894359","0.517053601026378","0.55750998076234"
"Hauptmieter","1988","Alleinerziehende","444","0.587557453197565","0.551141940000607","0.623972966394522"
"Hauptmieter","1988","Paar mit Kind(ern)","4550","0.438346997840259","0.427548067878953","0.449145927801566"
"Hauptmieter","1988","Sonstige","484","0.42800267046103","0.394260088820239","0.461745252101821"
"Untermieter","1988","1-Pers.- Haushalt","59","0.0519190551431366","0.0384090873894227","0.0654290228968506"
"Untermieter","1988","(Ehe-)Paar ohne Kind(er)","50","0.0264592522623709","0.0199480150808033","0.0329704894439386"
"Untermieter","1988","Alleinerziehende","","","",""
"Untermieter","1988","Paar mit Kind(ern)","98","0.013081026580917","0.010608167733896","0.015553885427938"
"Untermieter","1988","Sonstige","","","",""
"Eigentuemer","1988","1-Pers.- Haushalt","226","0.234503039715619","0.208703367585789","0.26030271184545"
"Eigentuemer","1988","(Ehe-)Paar ohne Kind(er)","896","0.43625895684327","0.416139804885003","0.456378108801537"
"Eigentuemer","1988","Alleinerziehende","242","0.377553799735292","0.341693008493338","0.413414590977246"
"Eigentuemer","1988","Paar mit Kind(ern)","3462","0.548571975578824","0.53774146999004","0.559402481167607"
"Eigentuemer","1988","Sonstige","323","0.549850895460895","0.515922858624816","0.583778932296974"
"Altersheim/Seniorenwohnheim","1988","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1988","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1988","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1988","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1988","Sonstige","","","",""
"Mieter","1988","1-Pers.- Haushalt","","","",""
"Mieter","1988","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1988","Alleinerziehende","","","",""
"Mieter","1988","Paar mit Kind(ern)","","","",""
"Mieter","1988","Sonstige","","","",""
"Hauptmieter","1989","1-Pers.- Haushalt","745","0.704178910300717","0.676440121451451","0.731917699149983"
"Hauptmieter","1989","(Ehe-)Paar ohne Kind(er)","1388","0.540244010070788","0.519946746479076","0.560541273662501"
"Hauptmieter","1989","Alleinerziehende","401","0.557826053468157","0.519878732887103","0.595773374049211"
"Hauptmieter","1989","Paar mit Kind(ern)","4317","0.434294541238104","0.423249248502895","0.445339833973312"
"Hauptmieter","1989","Sonstige","472","0.375041935842731","0.342204426655247","0.407879445030214"
"Untermieter","1989","1-Pers.- Haushalt","63","0.055252763219752","0.0413671124728088","0.0691384139666952"
"Untermieter","1989","(Ehe-)Paar ohne Kind(er)","46","0.0188466942056086","0.0133085425878536","0.0243848458233636"
"Untermieter","1989","Alleinerziehende","","","",""
"Untermieter","1989","Paar mit Kind(ern)","79","0.0102779995663747","0.00803049403049465","0.0125255051022548"
"Untermieter","1989","Sonstige","","","",""
"Eigentuemer","1989","1-Pers.- Haushalt","223","0.231492819196416","0.205858360673897","0.257127277718935"
"Eigentuemer","1989","(Ehe-)Paar ohne Kind(er)","882","0.440909295723603","0.420688670641674","0.461129920805533"
"Eigentuemer","1989","Alleinerziehende","245","0.415431043979749","0.377777791903862","0.453084296055637"
"Eigentuemer","1989","Paar mit Kind(ern)","3334","0.554451190476648","0.543375541975772","0.565526838977524"
"Eigentuemer","1989","Sonstige","340","0.571932018077533","0.538371131047039","0.605492905108026"
"Altersheim/Seniorenwohnheim","1989","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1989","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1989","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1989","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1989","Sonstige","","","",""
"Mieter","1989","1-Pers.- Haushalt","","","",""
"Mieter","1989","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1989","Alleinerziehende","","","",""
"Mieter","1989","Paar mit Kind(ern)","","","",""
"Mieter","1989","Sonstige","","","",""
"Hauptmieter","1990","1-Pers.- Haushalt","983","0.726455819712287","0.702444145522045","0.750467493902529"
"Hauptmieter","1990","(Ehe-)Paar ohne Kind(er)","2000","0.555309433154757","0.538421229692653","0.572197636616862"
"Hauptmieter","1990","Alleinerziehende","653","0.616821101693435","0.585890000033296","0.647752203353575"
"Hauptmieter","1990","Paar mit Kind(ern)","6716","0.483446464728087","0.474359204607492","0.492533724848682"
"Hauptmieter","1990","Sonstige","654","0.379754065119997","0.353351633663039","0.406156496576955"
"Untermieter","1990","1-Pers.- Haushalt","69","0.0499358695885354","0.03820346940955","0.0616682697675208"
"Untermieter","1990","(Ehe-)Paar ohne Kind(er)","102","0.0274147119831283","0.0218653550387921","0.0329640689274644"
"Untermieter","1990","Alleinerziehende","","","",""
"Untermieter","1990","Paar mit Kind(ern)","246","0.0172878484644639","0.0149176498875594","0.0196580470413683"
"Untermieter","1990","Sonstige","30","0.026187724715281","0.0175001760455546","0.0348752733850074"
"Eigentuemer","1990","1-Pers.- Haushalt","272","0.223608310699178","0.201164918039162","0.246051703359193"
"Eigentuemer","1990","(Ehe-)Paar ohne Kind(er)","1220","0.415989942358829","0.399239026887704","0.432740857829954"
"Eigentuemer","1990","Alleinerziehende","265","0.334556807935653","0.304537172494576","0.364576443376731"
"Eigentuemer","1990","Paar mit Kind(ern)","4647","0.499047958963432","0.489955731053716","0.508140186873148"
"Eigentuemer","1990","Sonstige","614","0.594058210164722","0.567343090299611","0.620773330029834"
"Altersheim/Seniorenwohnheim","1990","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1990","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1990","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1990","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1990","Sonstige","","","",""
"Mieter","1990","1-Pers.- Haushalt","","","",""
"Mieter","1990","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1990","Alleinerziehende","","","",""
"Mieter","1990","Paar mit Kind(ern)","","","",""
"Mieter","1990","Sonstige","","","",""
"Hauptmieter","1991","1-Pers.- Haushalt","956","0.739856378752629","0.715925134916637","0.76378762258862"
"Hauptmieter","1991","(Ehe-)Paar ohne Kind(er)","1974","0.540557765698152","0.523564979829834","0.557550551566471"
"Hauptmieter","1991","Alleinerziehende","621","0.606323575903738","0.574923655437531","0.637723496369944"
"Hauptmieter","1991","Paar mit Kind(ern)","6451","0.473415167825833","0.464225563328504","0.482604772323162"
"Hauptmieter","1991","Sonstige","652","0.398895302323407","0.371868474830104","0.425922129816709"
"Untermieter","1991","1-Pers.- Haushalt","69","0.0406941161881781","0.0299163356925577","0.0514718966837986"
"Untermieter","1991","(Ehe-)Paar ohne Kind(er)","100","0.033171186986439","0.0270648134083743","0.0392775605645038"
"Untermieter","1991","Alleinerziehende","32","0.0426408635653467","0.0296554120322902","0.0556263150984031"
"Untermieter","1991","Paar mit Kind(ern)","298","0.0230303387987768","0.020269555838033","0.0257911217595207"
"Untermieter","1991","Sonstige","31","0.0296993625922486","0.0203298441500893","0.0390688810344079"
"Eigentuemer","1991","1-Pers.- Haushalt","264","0.218411403747879","0.195873592777771","0.240949214717988"
"Eigentuemer","1991","(Ehe-)Paar ohne Kind(er)","1228","0.425894513763235","0.409033839311062","0.442755188215408"
"Eigentuemer","1991","Alleinerziehende","277","0.351035560530916","0.320359991793937","0.381711129267894"
"Eigentuemer","1991","Paar mit Kind(ern)","4588","0.503380132601113","0.494177721218606","0.512582543983621"
"Eigentuemer","1991","Sonstige","578","0.571405335084345","0.54409128675109","0.598719383417599"
"Altersheim/Seniorenwohnheim","1991","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1991","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1991","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1991","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1991","Sonstige","","","",""
"Mieter","1991","1-Pers.- Haushalt","","","",""
"Mieter","1991","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1991","Alleinerziehende","","","",""
"Mieter","1991","Paar mit Kind(ern)","","","",""
"Mieter","1991","Sonstige","","","",""
"Hauptmieter","1992","1-Pers.- Haushalt","962","0.727522960565844","0.703338806162434","0.751707114969254"
"Hauptmieter","1992","(Ehe-)Paar ohne Kind(er)","2050","0.53611814004416","0.519325834176553","0.552910445911768"
"Hauptmieter","1992","Alleinerziehende","671","0.638103541106698","0.607657567518287","0.668549514695109"
"Hauptmieter","1992","Paar mit Kind(ern)","6184","0.467647175169703","0.458306421025556","0.47698792931385"
"Hauptmieter","1992","Sonstige","642","0.405207525775374","0.377794042592271","0.432621008958478"
"Untermieter","1992","1-Pers.- Haushalt","75","0.0482764611424343","0.0366334391489275","0.0599194831359411"
"Untermieter","1992","(Ehe-)Paar ohne Kind(er)","84","0.0274676981519653","0.0219641909292475","0.032971205374683"
"Untermieter","1992","Alleinerziehende","","","",""
"Untermieter","1992","Paar mit Kind(ern)","223","0.0198396555969137","0.0172290658353859","0.0224502453584416"
"Untermieter","1992","Sonstige","","","",""
"Eigentuemer","1992","1-Pers.- Haushalt","264","0.22345179305853","0.200825222642143","0.246078363474918"
"Eigentuemer","1992","(Ehe-)Paar ohne Kind(er)","1250","0.434904378170557","0.418211383630927","0.451597372710187"
"Eigentuemer","1992","Alleinerziehende","259","0.329815562420026","0.30002869286122","0.359602431978832"
"Eigentuemer","1992","Paar mit Kind(ern)","4550","0.51194107553741","0.502583375500658","0.521298775574162"
"Eigentuemer","1992","Sonstige","563","0.570971943347741","0.543334811634543","0.59860907506094"
"Altersheim/Seniorenwohnheim","1992","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1992","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1992","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1992","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1992","Sonstige","","","",""
"Mieter","1992","1-Pers.- Haushalt","","","",""
"Mieter","1992","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1992","Alleinerziehende","","","",""
"Mieter","1992","Paar mit Kind(ern)","","","",""
"Mieter","1992","Sonstige","","","",""
"Hauptmieter","1993","1-Pers.- Haushalt","1004","0.722194161920008","0.698388716735831","0.745999607104184"
"Hauptmieter","1993","(Ehe-)Paar ohne Kind(er)","2050","0.527143080185376","0.510478530141847","0.543807630228906"
"Hauptmieter","1993","Alleinerziehende","655","0.663961583492129","0.633405851565041","0.694517315419217"
"Hauptmieter","1993","Paar mit Kind(ern)","5974","0.455704836758329","0.446208143798831","0.465201529717827"
"Hauptmieter","1993","Sonstige","558","0.367220386828261","0.340335745712949","0.394105027943573"
"Untermieter","1993","1-Pers.- Haushalt","78","0.0497267877786907","0.0381736997305352","0.0612798758268462"
"Untermieter","1993","(Ehe-)Paar ohne Kind(er)","106","0.0272599386481009","0.021824616361679","0.0326952609345229"
"Untermieter","1993","Alleinerziehende","","","",""
"Untermieter","1993","Paar mit Kind(ern)","207","0.0228694111221379","0.0200189367826941","0.0257198854615816"
"Untermieter","1993","Sonstige","46","0.0459529003704795","0.0342752361387823","0.0576305646021767"
"Eigentuemer","1993","1-Pers.- Haushalt","278","0.228079050301302","0.205778902131295","0.250379198471309"
"Eigentuemer","1993","(Ehe-)Paar ohne Kind(er)","1292","0.445596981166523","0.429006905164191","0.462187057168854"
"Eigentuemer","1993","Alleinerziehende","236","0.307498977995116","0.277647983930165","0.337349972060067"
"Eigentuemer","1993","Paar mit Kind(ern)","4384","0.521425752119533","0.511900329766647","0.53095117447242"
"Eigentuemer","1993","Sonstige","631","0.58682671280126","0.559364491189666","0.614288934412853"
"Altersheim/Seniorenwohnheim","1993","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1993","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1993","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1993","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1993","Sonstige","","","",""
"Mieter","1993","1-Pers.- Haushalt","","","",""
"Mieter","1993","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1993","Alleinerziehende","","","",""
"Mieter","1993","Paar mit Kind(ern)","","","",""
"Mieter","1993","Sonstige","","","",""
"Hauptmieter","1994","1-Pers.- Haushalt","986","0.707773284624967","0.68360278219797","0.731943787051963"
"Hauptmieter","1994","(Ehe-)Paar ohne Kind(er)","2108","0.527097246791849","0.510645937330674","0.543548556253025"
"Hauptmieter","1994","Alleinerziehende","630","0.653489354207559","0.622084892919424","0.684893815495695"
"Hauptmieter","1994","Paar mit Kind(ern)","5618","0.447086843981598","0.437420515810941","0.456753172152255"
"Hauptmieter","1994","Sonstige","542","0.408152779875564","0.380227933296274","0.436077626454855"
"Untermieter","1994","1-Pers.- Haushalt","86","0.0523990908129099","0.0405563221192805","0.0642418595065393"
"Untermieter","1994","(Ehe-)Paar ohne Kind(er)","118","0.0320694948988912","0.0262640257002927","0.0378749640974896"
"Untermieter","1994","Alleinerziehende","","","",""
"Untermieter","1994","Paar mit Kind(ern)","173","0.0146156882399696","0.0122825010388857","0.0169488754410535"
"Untermieter","1994","Sonstige","41","0.0440300112697859","0.0323734315586165","0.0556865909809553"
"Eigentuemer","1994","1-Pers.- Haushalt","288","0.239827624562124","0.217135023333384","0.262520225790863"
"Eigentuemer","1994","(Ehe-)Paar ohne Kind(er)","1312","0.440833258309259","0.424473494890856","0.457193021727663"
"Eigentuemer","1994","Alleinerziehende","226","0.301126211146937","0.270850980902513","0.331401441391362"
"Eigentuemer","1994","Paar mit Kind(ern)","4372","0.538297467778432","0.528605110272061","0.547989825284803"
"Eigentuemer","1994","Sonstige","607","0.54781720885465","0.519539158670707","0.576095259038592"
"Altersheim/Seniorenwohnheim","1994","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1994","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1994","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1994","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1994","Sonstige","","","",""
"Mieter","1994","1-Pers.- Haushalt","","","",""
"Mieter","1994","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1994","Alleinerziehende","","","",""
"Mieter","1994","Paar mit Kind(ern)","","","",""
"Mieter","1994","Sonstige","","","",""
"Hauptmieter","1995","1-Pers.- Haushalt","1018","0.696523088239475","0.672474193384549","0.720571983094401"
"Hauptmieter","1995","(Ehe-)Paar ohne Kind(er)","2186","0.523602400735701","0.507408576687132","0.539796224784271"
"Hauptmieter","1995","Alleinerziehende","690","0.655626611079532","0.625283107952094","0.68597011420697"
"Hauptmieter","1995","Paar mit Kind(ern)","5893","0.441268261043056","0.431781208135122","0.450755313950989"
"Hauptmieter","1995","Sonstige","554","0.404617818318075","0.376719528452817","0.432516108183333"
"Untermieter","1995","1-Pers.- Haushalt","94","0.0537483505459785","0.0419519249615962","0.0655447761303608"
"Untermieter","1995","(Ehe-)Paar ohne Kind(er)","120","0.0358268904330375","0.029800657912579","0.0418531229534961"
"Untermieter","1995","Alleinerziehende","","","",""
"Untermieter","1995","Paar mit Kind(ern)","198","0.0179141820542185","0.0153799200208417","0.0204484440875953"
"Untermieter","1995","Sonstige","47","0.0516280259544793","0.039050672111133","0.0642053797978257"
"Eigentuemer","1995","1-Pers.- Haushalt","292","0.249728561214546","0.227086922735615","0.272370199693478"
"Eigentuemer","1995","(Ehe-)Paar ohne Kind(er)","1348","0.440570708831261","0.424473735283245","0.456667682379278"
"Eigentuemer","1995","Alleinerziehende","230","0.319177798978607","0.289409375718977","0.348946222238237"
"Eigentuemer","1995","Paar mit Kind(ern)","4432","0.540817556902726","0.531296255045014","0.550338858760438"
"Eigentuemer","1995","Sonstige","588","0.543754155727446","0.515442979107662","0.572065332347229"
"Altersheim/Seniorenwohnheim","1995","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1995","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1995","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1995","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1995","Sonstige","","","",""
"Mieter","1995","1-Pers.- Haushalt","","","",""
"Mieter","1995","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1995","Alleinerziehende","","","",""
"Mieter","1995","Paar mit Kind(ern)","","","",""
"Mieter","1995","Sonstige","","","",""
"Hauptmieter","1996","1-Pers.- Haushalt","1054","0.703549084895139","0.679903579841751","0.727194589948528"
"Hauptmieter","1996","(Ehe-)Paar ohne Kind(er)","2192","0.517748091338021","0.501608132239795","0.533888050436247"
"Hauptmieter","1996","Alleinerziehende","676","0.649015257685932","0.618808065434669","0.679222449937196"
"Hauptmieter","1996","Paar mit Kind(ern)","5456","0.432266051729547","0.422631902668535","0.44190020079056"
"Hauptmieter","1996","Sonstige","502","0.351164429700634","0.32305831621509","0.379270543186178"
"Untermieter","1996","1-Pers.- Haushalt","86","0.0550141849142146","0.0432089405294398","0.0668194292989893"
"Untermieter","1996","(Ehe-)Paar ohne Kind(er)","108","0.0225940159734756","0.0177940251017465","0.0273940068452048"
"Untermieter","1996","Alleinerziehende","32","0.0347740509052024","0.0231787793329643","0.0463693224774405"
"Untermieter","1996","Paar mit Kind(ern)","212","0.0159158815369464","0.0134820146320099","0.0183497484418828"
"Untermieter","1996","Sonstige","59","0.069412782002435","0.0544477903894643","0.0843777736154057"
"Eigentuemer","1996","1-Pers.- Haushalt","293","0.241436730190646","0.219279137679995","0.263594322701297"
"Eigentuemer","1996","(Ehe-)Paar ohne Kind(er)","1382","0.459657892688503","0.443560410031215","0.475755375345792"
"Eigentuemer","1996","Alleinerziehende","251","0.316210691408865","0.286780830105121","0.345640552712609"
"Eigentuemer","1996","Paar mit Kind(ern)","4489","0.551818066733506","0.542146641132503","0.56148949233451"
"Eigentuemer","1996","Sonstige","547","0.579422788296931","0.550355878331878","0.608489698261984"
"Altersheim/Seniorenwohnheim","1996","1-Pers.- Haushalt","","","",""
"Altersheim/Seniorenwohnheim","1996","(Ehe-)Paar ohne Kind(er)","","","",""
"Altersheim/Seniorenwohnheim","1996","Alleinerziehende","","","",""
"Altersheim/Seniorenwohnheim","1996","Paar mit Kind(ern)","","","",""
"Altersheim/Seniorenwohnheim","1996","Sonstige","","","",""
"Mieter","1996","1-Pers.- Haushalt","","","",""
"Mieter","1996","(Ehe-)Paar ohne Kind(er)","","","",""
"Mieter","1996","Alleinerziehende","","","",""
"Mieter","1996","Paar mit Kind(ern)","","","",""
"Mieter","1996","Sonstige","","","",""
"Hauptmieter","1997","1-Pers.- Haushalt","1030","0.706174006330223","0.682330229148522","0.730017783511924"
