"hlf0001_h","year","hhtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Eigentuemer","1984","Alleinerziehende","Westdeutschland","214","","",""
"Eigentuemer","1984","Alleinerziehende","Ostdeutschland","","","",""
"Eigentuemer","1984","Paar mit Kind(ern)","Westdeutschland","3984","0.536074654817941","0.526469845281322","0.545679464354559"
"Eigentuemer","1984","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Eigentuemer","1984","Sonstige","Westdeutschland","484","0.652979256678204","0.623505082836816","0.682453430519592"
"Eigentuemer","1984","Sonstige","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","1-Pers.- Haushalt","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Alleinerziehende","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Alleinerziehende","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Paar mit Kind(ern)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Sonstige","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1984","Sonstige","Ostdeutschland","","","",""
"Mieter","1984","1-Pers.- Haushalt","Westdeutschland","4","0.00166522920596042","-0.00056148904002074","0.00389194745194157"
"Mieter","1984","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Mieter","1984","(Ehe-)Paar ohne Kind(er)","Westdeutschland","8","0.0038619499541457","0.00152328232606797","0.00620061758222342"
"Mieter","1984","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Mieter","1984","Alleinerziehende","Westdeutschland","","","",""
"Mieter","1984","Alleinerziehende","Ostdeutschland","","","",""
"Mieter","1984","Paar mit Kind(ern)","Westdeutschland","32","0.00228161149122479","0.00136269317915344","0.00320052980329615"
"Mieter","1984","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Mieter","1984","Sonstige","Westdeutschland","","","",""
"Mieter","1984","Sonstige","Ostdeutschland","","","",""
"Hauptmieter","1985","1-Pers.- Haushalt","Westdeutschland","873","0.751579525524045","0.726485670029607","0.776673381018482"
"Hauptmieter","1985","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Hauptmieter","1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1498","","",""
"Hauptmieter","1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Hauptmieter","1985","Alleinerziehende","Westdeutschland","526","0.644834673783486","0.6104702215384","0.679199126028572"
"Hauptmieter","1985","Alleinerziehende","Ostdeutschland","","","",""
"Hauptmieter","1985","Paar mit Kind(ern)","Westdeutschland","5425","0.436014992807729","0.425946343164984","0.446083642450474"
"Hauptmieter","1985","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Hauptmieter","1985","Sonstige","Westdeutschland","438","0.32835657584581","0.297894819160827","0.358818332530794"
"Hauptmieter","1985","Sonstige","Ostdeutschland","","","",""
"Untermieter","1985","1-Pers.- Haushalt","Westdeutschland","50","0.0302214207134928","0.0202792787325281","0.0401635626944575"
"Untermieter","1985","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Untermieter","1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","32","0.0108690296256181","0.00675492374813674","0.0149831355030995"
"Untermieter","1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Untermieter","1985","Alleinerziehende","Westdeutschland","10","","",""
"Untermieter","1985","Alleinerziehende","Ostdeutschland","","","",""
"Untermieter","1985","Paar mit Kind(ern)","Westdeutschland","83","0.00854889076679797","0.00667959822404992","0.010418183309546"
"Untermieter","1985","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Untermieter","1985","Sonstige","Westdeutschland","11","","",""
"Untermieter","1985","Sonstige","Ostdeutschland","","","",""
"Eigentuemer","1985","1-Pers.- Haushalt","Westdeutschland","216","","",""
"Eigentuemer","1985","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Eigentuemer","1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","910","0.429838929994735","0.410196065011801","0.449481794977668"
"Eigentuemer","1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Eigentuemer","1985","Alleinerziehende","Westdeutschland","209","","",""
"Eigentuemer","1985","Alleinerziehende","Ostdeutschland","","","",""
"Eigentuemer","1985","Paar mit Kind(ern)","Westdeutschland","3810","0.555436116425473","0.545346587618444","0.565525645232502"
"Eigentuemer","1985","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Eigentuemer","1985","Sonstige","Westdeutschland","464","0.656959873433031","0.626166690201614","0.687753056664449"
"Eigentuemer","1985","Sonstige","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","1-Pers.- Haushalt","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Alleinerziehende","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Alleinerziehende","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Paar mit Kind(ern)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Sonstige","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1985","Sonstige","Ostdeutschland","","","",""
"Mieter","1985","1-Pers.- Haushalt","Westdeutschland","","","",""
"Mieter","1985","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Mieter","1985","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Mieter","1985","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Mieter","1985","Alleinerziehende","Westdeutschland","","","",""
"Mieter","1985","Alleinerziehende","Ostdeutschland","","","",""
"Mieter","1985","Paar mit Kind(ern)","Westdeutschland","","","",""
"Mieter","1985","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Mieter","1985","Sonstige","Westdeutschland","","","",""
"Mieter","1985","Sonstige","Ostdeutschland","","","",""
"Hauptmieter","1986","1-Pers.- Haushalt","Westdeutschland","804","0.736103190307051","0.709756244455708","0.762450136158393"
"Hauptmieter","1986","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Hauptmieter","1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1456","","",""
"Hauptmieter","1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Hauptmieter","1986","Alleinerziehende","Westdeutschland","469","0.622161173323168","0.586447361447153","0.657874985199183"
"Hauptmieter","1986","Alleinerziehende","Ostdeutschland","","","",""
"Hauptmieter","1986","Paar mit Kind(ern)","Westdeutschland","4985","0.439504301174026","0.429127916448962","0.44988068589909"
"Hauptmieter","1986","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Hauptmieter","1986","Sonstige","Westdeutschland","433","0.34556625208979","0.314393306858957","0.376739197320623"
"Hauptmieter","1986","Sonstige","Ostdeutschland","","","",""
"Untermieter","1986","1-Pers.- Haushalt","Westdeutschland","51","0.0379897738270913","0.0265618573608829","0.0494176902932997"
"Untermieter","1986","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Untermieter","1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","44","0.0153485555719307","0.0104384043643943","0.0202587067794672"
"Untermieter","1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Untermieter","1986","Alleinerziehende","Westdeutschland","20","","",""
"Untermieter","1986","Alleinerziehende","Ostdeutschland","","","",""
"Untermieter","1986","Paar mit Kind(ern)","Westdeutschland","103","","",""
"Untermieter","1986","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Untermieter","1986","Sonstige","Westdeutschland","15","","",""
"Untermieter","1986","Sonstige","Ostdeutschland","","","",""
"Eigentuemer","1986","1-Pers.- Haushalt","Westdeutschland","220","","",""
"Eigentuemer","1986","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Eigentuemer","1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","908","0.425626038189494","0.405877665440845","0.445374410938142"
"Eigentuemer","1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Eigentuemer","1986","Alleinerziehende","Westdeutschland","219","","",""
"Eigentuemer","1986","Alleinerziehende","Ostdeutschland","","","",""
"Eigentuemer","1986","Paar mit Kind(ern)","Westdeutschland","3701","0.55204725045142","0.541650859856448","0.562443641046392"
"Eigentuemer","1986","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Eigentuemer","1986","Sonstige","Westdeutschland","446","0.637494051904513","0.60598212440551","0.669005979403515"
"Eigentuemer","1986","Sonstige","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","1-Pers.- Haushalt","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Alleinerziehende","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Alleinerziehende","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Paar mit Kind(ern)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Sonstige","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1986","Sonstige","Ostdeutschland","","","",""
"Mieter","1986","1-Pers.- Haushalt","Westdeutschland","","","",""
"Mieter","1986","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Mieter","1986","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Mieter","1986","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Mieter","1986","Alleinerziehende","Westdeutschland","","","",""
"Mieter","1986","Alleinerziehende","Ostdeutschland","","","",""
"Mieter","1986","Paar mit Kind(ern)","Westdeutschland","","","",""
"Mieter","1986","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Mieter","1986","Sonstige","Westdeutschland","","","",""
"Mieter","1986","Sonstige","Ostdeutschland","","","",""
"Hauptmieter","1987","1-Pers.- Haushalt","Westdeutschland","780","0.725205283608695","0.698531991311292","0.751878575906098"
"Hauptmieter","1987","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Hauptmieter","1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1396","","",""
"Hauptmieter","1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Hauptmieter","1987","Alleinerziehende","Westdeutschland","463","0.602656912763038","0.566534942175145","0.638778883350931"
"Hauptmieter","1987","Alleinerziehende","Ostdeutschland","","","",""
"Hauptmieter","1987","Paar mit Kind(ern)","Westdeutschland","4810","0.44270350849478","0.432158389539899","0.45324862744966"
"Hauptmieter","1987","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Hauptmieter","1987","Sonstige","Westdeutschland","509","0.385680291171862","0.354613013991049","0.416747568352676"
"Hauptmieter","1987","Sonstige","Ostdeutschland","","","",""
"Untermieter","1987","1-Pers.- Haushalt","Westdeutschland","71","0.0513616417788045","0.0381726455275832","0.0645506380300258"
"Untermieter","1987","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Untermieter","1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","40","0.0161715231004842","0.011106139153213","0.0212369070477554"
"Untermieter","1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Untermieter","1987","Alleinerziehende","Westdeutschland","13","","",""
"Untermieter","1987","Alleinerziehende","Ostdeutschland","","","",""
"Untermieter","1987","Paar mit Kind(ern)","Westdeutschland","114","","",""
"Untermieter","1987","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Untermieter","1987","Sonstige","Westdeutschland","14","","",""
"Untermieter","1987","Sonstige","Ostdeutschland","","","",""
"Eigentuemer","1987","1-Pers.- Haushalt","Westdeutschland","225","","",""
"Eigentuemer","1987","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Eigentuemer","1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","946","0.438770056176676","0.418841945782786","0.458698166570567"
"Eigentuemer","1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Eigentuemer","1987","Alleinerziehende","Westdeutschland","229","","",""
"Eigentuemer","1987","Alleinerziehende","Ostdeutschland","","","",""
"Eigentuemer","1987","Paar mit Kind(ern)","Westdeutschland","3599","0.543940900140448","0.533366925427573","0.554514874853324"
"Eigentuemer","1987","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Eigentuemer","1987","Sonstige","Westdeutschland","420","0.603649037573914","0.572429644238098","0.63486843090973"
"Eigentuemer","1987","Sonstige","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","1-Pers.- Haushalt","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Alleinerziehende","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Alleinerziehende","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Paar mit Kind(ern)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Sonstige","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1987","Sonstige","Ostdeutschland","","","",""
"Mieter","1987","1-Pers.- Haushalt","Westdeutschland","","","",""
"Mieter","1987","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Mieter","1987","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Mieter","1987","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Mieter","1987","Alleinerziehende","Westdeutschland","","","",""
"Mieter","1987","Alleinerziehende","Ostdeutschland","","","",""
"Mieter","1987","Paar mit Kind(ern)","Westdeutschland","","","",""
"Mieter","1987","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Mieter","1987","Sonstige","Westdeutschland","","","",""
"Mieter","1987","Sonstige","Ostdeutschland","","","",""
"Hauptmieter","1988","1-Pers.- Haushalt","Westdeutschland","751","0.713577905141244","0.686048795284989","0.741107014997499"
"Hauptmieter","1988","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Hauptmieter","1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1388","","",""
"Hauptmieter","1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Hauptmieter","1988","Alleinerziehende","Westdeutschland","444","0.587557453197565","0.551141940000607","0.623972966394522"
"Hauptmieter","1988","Alleinerziehende","Ostdeutschland","","","",""
"Hauptmieter","1988","Paar mit Kind(ern)","Westdeutschland","4550","0.438346997840259","0.427548067878953","0.449145927801566"
"Hauptmieter","1988","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Hauptmieter","1988","Sonstige","Westdeutschland","484","0.42800267046103","0.394260088820239","0.461745252101821"
"Hauptmieter","1988","Sonstige","Ostdeutschland","","","",""
"Untermieter","1988","1-Pers.- Haushalt","Westdeutschland","59","0.0519190551431366","0.0384090873894227","0.0654290228968506"
"Untermieter","1988","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Untermieter","1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","50","0.0264592522623709","0.0199480150808033","0.0329704894439386"
"Untermieter","1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Untermieter","1988","Alleinerziehende","Westdeutschland","16","","",""
"Untermieter","1988","Alleinerziehende","Ostdeutschland","","","",""
"Untermieter","1988","Paar mit Kind(ern)","Westdeutschland","98","0.013081026580917","0.010608167733896","0.015553885427938"
"Untermieter","1988","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Untermieter","1988","Sonstige","Westdeutschland","19","","",""
"Untermieter","1988","Sonstige","Ostdeutschland","","","",""
"Eigentuemer","1988","1-Pers.- Haushalt","Westdeutschland","226","","",""
"Eigentuemer","1988","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Eigentuemer","1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","896","0.43625895684327","0.416139804885003","0.456378108801537"
"Eigentuemer","1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Eigentuemer","1988","Alleinerziehende","Westdeutschland","242","","",""
"Eigentuemer","1988","Alleinerziehende","Ostdeutschland","","","",""
"Eigentuemer","1988","Paar mit Kind(ern)","Westdeutschland","3462","0.548571975578824","0.53774146999004","0.559402481167607"
"Eigentuemer","1988","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Eigentuemer","1988","Sonstige","Westdeutschland","323","0.549850895460895","0.515922858624816","0.583778932296974"
"Eigentuemer","1988","Sonstige","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","1-Pers.- Haushalt","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Alleinerziehende","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Alleinerziehende","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Paar mit Kind(ern)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Sonstige","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1988","Sonstige","Ostdeutschland","","","",""
"Mieter","1988","1-Pers.- Haushalt","Westdeutschland","","","",""
"Mieter","1988","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Mieter","1988","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Mieter","1988","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Mieter","1988","Alleinerziehende","Westdeutschland","","","",""
"Mieter","1988","Alleinerziehende","Ostdeutschland","","","",""
"Mieter","1988","Paar mit Kind(ern)","Westdeutschland","","","",""
"Mieter","1988","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Mieter","1988","Sonstige","Westdeutschland","","","",""
"Mieter","1988","Sonstige","Ostdeutschland","","","",""
"Hauptmieter","1989","1-Pers.- Haushalt","Westdeutschland","745","0.704178910300717","0.676440121451451","0.731917699149983"
"Hauptmieter","1989","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Hauptmieter","1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1388","","",""
"Hauptmieter","1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Hauptmieter","1989","Alleinerziehende","Westdeutschland","401","0.557826053468157","0.519878732887103","0.595773374049211"
"Hauptmieter","1989","Alleinerziehende","Ostdeutschland","","","",""
"Hauptmieter","1989","Paar mit Kind(ern)","Westdeutschland","4317","0.434294541238104","0.423249248502895","0.445339833973312"
"Hauptmieter","1989","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Hauptmieter","1989","Sonstige","Westdeutschland","472","0.375041935842731","0.342204426655247","0.407879445030214"
"Hauptmieter","1989","Sonstige","Ostdeutschland","","","",""
"Untermieter","1989","1-Pers.- Haushalt","Westdeutschland","63","0.055252763219752","0.0413671124728088","0.0691384139666952"
"Untermieter","1989","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Untermieter","1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","46","0.0188466942056086","0.0133085425878536","0.0243848458233636"
"Untermieter","1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Untermieter","1989","Alleinerziehende","Westdeutschland","12","","",""
"Untermieter","1989","Alleinerziehende","Ostdeutschland","","","",""
"Untermieter","1989","Paar mit Kind(ern)","Westdeutschland","79","0.0102779995663747","0.00803049403049465","0.0125255051022548"
"Untermieter","1989","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Untermieter","1989","Sonstige","Westdeutschland","23","","",""
"Untermieter","1989","Sonstige","Ostdeutschland","","","",""
"Eigentuemer","1989","1-Pers.- Haushalt","Westdeutschland","223","","",""
"Eigentuemer","1989","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Eigentuemer","1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","882","0.440909295723603","0.420688670641674","0.461129920805533"
"Eigentuemer","1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Eigentuemer","1989","Alleinerziehende","Westdeutschland","245","","",""
"Eigentuemer","1989","Alleinerziehende","Ostdeutschland","","","",""
"Eigentuemer","1989","Paar mit Kind(ern)","Westdeutschland","3334","0.554451190476648","0.543375541975772","0.565526838977524"
"Eigentuemer","1989","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Eigentuemer","1989","Sonstige","Westdeutschland","340","0.571932018077533","0.538371131047039","0.605492905108026"
"Eigentuemer","1989","Sonstige","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","1-Pers.- Haushalt","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Alleinerziehende","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Alleinerziehende","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Paar mit Kind(ern)","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Sonstige","Westdeutschland","","","",""
"Altersheim/Seniorenwohnheim","1989","Sonstige","Ostdeutschland","","","",""
"Mieter","1989","1-Pers.- Haushalt","Westdeutschland","9","0.00907550728311465","0.00331199586737962","0.0148390186988497"
"Mieter","1989","1-Pers.- Haushalt","Ostdeutschland","","","",""
"Mieter","1989","(Ehe-)Paar ohne Kind(er)","Westdeutschland","","","",""
"Mieter","1989","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","","","",""
"Mieter","1989","Alleinerziehende","Westdeutschland","","","",""
"Mieter","1989","Alleinerziehende","Ostdeutschland","","","",""
"Mieter","1989","Paar mit Kind(ern)","Westdeutschland","6","0.00097626871887332","0.000280343699962653","0.00167219373778399"
"Mieter","1989","Paar mit Kind(ern)","Ostdeutschland","","","",""
"Mieter","1989","Sonstige","Westdeutschland","","","",""
"Mieter","1989","Sonstige","Ostdeutschland","","","",""
"Hauptmieter","1990","1-Pers.- Haushalt","Westdeutschland","710","0.704282061426394","0.675996797239725","0.732567325613063"
"Hauptmieter","1990","1-Pers.- Haushalt","Ostdeutschland","273","","",""
"Hauptmieter","1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","1372","","",""
"Hauptmieter","1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","628","0.656580077397351","0.626510873508744","0.686649281285958"
"Hauptmieter","1990","Alleinerziehende","Westdeutschland","405","0.57043187589543","0.532080935233684","0.608782816557175"
"Hauptmieter","1990","Alleinerziehende","Ostdeutschland","248","","",""
"Hauptmieter","1990","Paar mit Kind(ern)","Westdeutschland","4132","0.440762589214889","0.429545854334184","0.451979324095594"
"Hauptmieter","1990","Paar mit Kind(ern)","Ostdeutschland","2584","","",""
"Hauptmieter","1990","Sonstige","Westdeutschland","489","0.356668857239022","0.325338899750696","0.387998814727349"
"Hauptmieter","1990","Sonstige","Ostdeutschland","165","","",""
"Untermieter","1990","1-Pers.- Haushalt","Westdeutschland","60","0.0541252206365141","0.0401014514980506","0.0681489897749775"
"Untermieter","1990","1-Pers.- Haushalt","Ostdeutschland","9","0.0275276752418389","0.00971213570572443","0.0453432147779533"
"Untermieter","1990","(Ehe-)Paar ohne Kind(er)","Westdeutschland","62","0.0235042040143415","0.0174023023424464","0.0296061056862365"
"Untermieter","1990","(Ehe-)Paar ohne Kind(er)","Ostdeutschland","40","0.0440135904617197","0.0310243249365729","0.0570028559868665"
"Untermieter","1990","Alleinerziehende","Westdeutschland","18","","",""
"Untermieter","1990","Alleinerziehende","Ostdeutschland","11","","",""
"Untermieter","1990","Paar mit Kind(ern)","Westdeutschland","103","","",""
