year,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2016,maennlich,6.5515960103940145,6.530581894155943,6.572610126632086,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,11192.0
2016,weiblich,6.24981981043148,6.2284550710580495,6.27118454980491,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,12655.0
2017,-3,,,,,,,,,,,,
2017,-1,,,,,,,,,,,,
2017,maennlich,6.551673646442368,6.532351056070186,6.57099623681455,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13458.0
2017,weiblich,6.302150852123062,6.282481989773991,6.321819714472133,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,14471.0
2018,-3,,,,,,,,,,,,
2018,-1,,,,,,,,,,,,
2018,maennlich,6.596902025712774,6.578427315209175,6.615376736216374,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13520.0
2018,weiblich,6.21514859714052,6.19556457650531,6.23473261777573,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,14597.0
2019,-3,,,,,,,,,,,,
2019,-1,,,,,,,,,,,,
2019,maennlich,6.7853581757149595,6.767266384537002,6.803449966892917,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13972.0
2019,weiblich,6.459104675499054,6.439581899269383,6.478627451728725,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,14231.0
2020,-3,,,,,,,,,,,,
2020,-1,,,,,,,,,,,,
2020,maennlich,6.754317696907201,6.736294580633697,6.772340813180705,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,14104.0
2020,weiblich,6.416413028949709,6.396912914711773,6.435913143187644,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,14002.0
2021,-3,,,,,,,,,,,,
2021,-1,,,,,,,,,,,,
2021,maennlich,6.955976131081378,6.933858386544187,6.97809387561857,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,9317.0
2021,weiblich,6.7392108204900705,6.715978008072181,6.76244363290796,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9656.0
