"hlc0178","year","quintil","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"ja","2019","3","Westdeutschland","109","0.0245624666658264","0.0199982005707389","0.0291267327609139"
"ja","2019","3","Ostdeutschland","31","0.016663016526535","0.00985741743440296","0.0234686156186671"
"ja","2019","4","Westdeutschland","169","0.0192149980069549","0.0161332848605457","0.0222967111533641"
"ja","2019","4","Ostdeutschland","38","0.0119929526033005","0.00764882554488533","0.0163370796617157"
"ja","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"ja","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"nein","2019","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"nein","2019","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"nein","2019","2","Westdeutschland","3232","0.989926965722321","0.986502272028618","0.993351659416023"
"nein","2019","2","Ostdeutschland","977","0.992176954322736","0.986669462858195","0.997684445787276"
"nein","2019","3","Westdeutschland","4309","0.975437533334174","0.970873267239086","0.980001799429261"
"nein","2019","3","Ostdeutschland","1328","0.983336983473465","0.976531384381333","0.990142582565597"
"nein","2019","4","Westdeutschland","7454","0.980785001993045","0.977703288846636","0.983866715139454"
"nein","2019","4","Ostdeutschland","2374","0.988007047396699","0.983662920338284","0.992351174455115"
"nein","2019","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"nein","2019","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"ja","2020","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"ja","2020","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"ja","2020","2","Westdeutschland","37","0.0149347192292268","0.0107913921812895","0.0190780462771641"
"ja","2020","2","Ostdeutschland","6","","",""
"ja","2020","3","Westdeutschland","74","0.0195174504111846","0.0153476806235331","0.0236872201988362"
"ja","2020","3","Ostdeutschland","24","","",""
"ja","2020","4","Westdeutschland","216","0.0299701907536418","0.026227346637296","0.0337130348699876"
"ja","2020","4","Ostdeutschland","54","0.0215167980187356","0.015468694325143","0.0275649017123283"
"ja","2020","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"ja","2020","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
"nein","2020","1 Einkommensschwächstes Quintil","Westdeutschland","","","",""
"nein","2020","1 Einkommensschwächstes Quintil","Ostdeutschland","","","",""
"nein","2020","2","Westdeutschland","3255","0.985065280770773","0.980921953722836","0.989208607818711"
"nein","2020","2","Ostdeutschland","882","0.988127603011627","0.981003710978596","0.995251495044658"
"nein","2020","3","Westdeutschland","4154","0.980482549588815","0.976312779801164","0.984652319376467"
"nein","2020","3","Ostdeutschland","1205","0.985551731294014","0.978880288488517","0.992223174099511"
"nein","2020","4","Westdeutschland","7756","0.970029809246358","0.966286965130012","0.973772653362704"
"nein","2020","4","Ostdeutschland","2157","0.978483201981264","0.972435098287672","0.984531305674857"
"nein","2020","5 Einkommensstärkstes Quintil","Westdeutschland","","","",""
"nein","2020","5 Einkommensstärkstes Quintil","Ostdeutschland","","","",""
