"pld0043","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Oft","2004","(Fach-)Abitur","weiblich","","","",""
"Oft","2004","AkademikerIn","maennlich","","","",""
"Oft","2004","AkademikerIn","weiblich","","","",""
"Manchmal","2004","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2004","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2004","Hauptschule","maennlich","","","",""
"Manchmal","2004","Hauptschule","weiblich","","","",""
"Manchmal","2004","Realschule","maennlich","","","",""
"Manchmal","2004","Realschule","weiblich","","","",""
"Manchmal","2004","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2004","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2004","AkademikerIn","maennlich","","","",""
"Manchmal","2004","AkademikerIn","weiblich","","","",""
"Selten","2004","(noch) kein Abschluss","maennlich","","","",""
"Selten","2004","(noch) kein Abschluss","weiblich","","","",""
"Selten","2004","Hauptschule","maennlich","","","",""
"Selten","2004","Hauptschule","weiblich","","","",""
"Selten","2004","Realschule","maennlich","","","",""
"Selten","2004","Realschule","weiblich","","","",""
"Selten","2004","(Fach-)Abitur","maennlich","","","",""
"Selten","2004","(Fach-)Abitur","weiblich","","","",""
"Selten","2004","AkademikerIn","maennlich","","","",""
"Selten","2004","AkademikerIn","weiblich","","","",""
"Nie","2004","(noch) kein Abschluss","maennlich","","","",""
"Nie","2004","(noch) kein Abschluss","weiblich","","","",""
"Nie","2004","Hauptschule","maennlich","","","",""
"Nie","2004","Hauptschule","weiblich","","","",""
"Nie","2004","Realschule","maennlich","","","",""
"Nie","2004","Realschule","weiblich","","","",""
"Nie","2004","(Fach-)Abitur","maennlich","","","",""
"Nie","2004","(Fach-)Abitur","weiblich","","","",""
"Nie","2004","AkademikerIn","maennlich","","","",""
"Nie","2004","AkademikerIn","weiblich","","","",""
"Sehr oft","2005","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2005","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2005","Hauptschule","maennlich","","","",""
"Sehr oft","2005","Hauptschule","weiblich","","","",""
"Sehr oft","2005","Realschule","maennlich","","","",""
"Sehr oft","2005","Realschule","weiblich","","","",""
"Sehr oft","2005","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2005","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2005","AkademikerIn","maennlich","","","",""
"Sehr oft","2005","AkademikerIn","weiblich","","","",""
"Oft","2005","(noch) kein Abschluss","maennlich","","","",""
"Oft","2005","(noch) kein Abschluss","weiblich","","","",""
"Oft","2005","Hauptschule","maennlich","","","",""
"Oft","2005","Hauptschule","weiblich","","","",""
"Oft","2005","Realschule","maennlich","","","",""
"Oft","2005","Realschule","weiblich","","","",""
"Oft","2005","(Fach-)Abitur","maennlich","","","",""
"Oft","2005","(Fach-)Abitur","weiblich","","","",""
"Oft","2005","AkademikerIn","maennlich","","","",""
"Oft","2005","AkademikerIn","weiblich","","","",""
"Manchmal","2005","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2005","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2005","Hauptschule","maennlich","","","",""
"Manchmal","2005","Hauptschule","weiblich","","","",""
"Manchmal","2005","Realschule","maennlich","","","",""
"Manchmal","2005","Realschule","weiblich","","","",""
"Manchmal","2005","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2005","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2005","AkademikerIn","maennlich","","","",""
"Manchmal","2005","AkademikerIn","weiblich","","","",""
"Selten","2005","(noch) kein Abschluss","maennlich","","","",""
"Selten","2005","(noch) kein Abschluss","weiblich","","","",""
"Selten","2005","Hauptschule","maennlich","","","",""
"Selten","2005","Hauptschule","weiblich","","","",""
"Selten","2005","Realschule","maennlich","","","",""
"Selten","2005","Realschule","weiblich","","","",""
"Selten","2005","(Fach-)Abitur","maennlich","","","",""
"Selten","2005","(Fach-)Abitur","weiblich","","","",""
"Selten","2005","AkademikerIn","maennlich","","","",""
"Selten","2005","AkademikerIn","weiblich","","","",""
"Nie","2005","(noch) kein Abschluss","maennlich","","","",""
"Nie","2005","(noch) kein Abschluss","weiblich","","","",""
"Nie","2005","Hauptschule","maennlich","","","",""
"Nie","2005","Hauptschule","weiblich","","","",""
"Nie","2005","Realschule","maennlich","","","",""
"Nie","2005","Realschule","weiblich","","","",""
"Nie","2005","(Fach-)Abitur","maennlich","","","",""
"Nie","2005","(Fach-)Abitur","weiblich","","","",""
"Nie","2005","AkademikerIn","maennlich","","","",""
"Nie","2005","AkademikerIn","weiblich","","","",""
"Sehr oft","2006","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2006","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2006","Hauptschule","maennlich","","","",""
"Sehr oft","2006","Hauptschule","weiblich","","","",""
"Sehr oft","2006","Realschule","maennlich","","","",""
"Sehr oft","2006","Realschule","weiblich","","","",""
"Sehr oft","2006","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2006","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2006","AkademikerIn","maennlich","","","",""
"Sehr oft","2006","AkademikerIn","weiblich","","","",""
"Oft","2006","(noch) kein Abschluss","maennlich","","","",""
"Oft","2006","(noch) kein Abschluss","weiblich","","","",""
"Oft","2006","Hauptschule","maennlich","","","",""
"Oft","2006","Hauptschule","weiblich","","","",""
"Oft","2006","Realschule","maennlich","","","",""
"Oft","2006","Realschule","weiblich","","","",""
"Oft","2006","(Fach-)Abitur","maennlich","","","",""
"Oft","2006","(Fach-)Abitur","weiblich","","","",""
"Oft","2006","AkademikerIn","maennlich","","","",""
"Oft","2006","AkademikerIn","weiblich","","","",""
"Manchmal","2006","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2006","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2006","Hauptschule","maennlich","","","",""
"Manchmal","2006","Hauptschule","weiblich","","","",""
"Manchmal","2006","Realschule","maennlich","","","",""
"Manchmal","2006","Realschule","weiblich","","","",""
"Manchmal","2006","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2006","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2006","AkademikerIn","maennlich","","","",""
"Manchmal","2006","AkademikerIn","weiblich","","","",""
"Selten","2006","(noch) kein Abschluss","maennlich","","","",""
"Selten","2006","(noch) kein Abschluss","weiblich","","","",""
"Selten","2006","Hauptschule","maennlich","","","",""
"Selten","2006","Hauptschule","weiblich","","","",""
"Selten","2006","Realschule","maennlich","","","",""
"Selten","2006","Realschule","weiblich","","","",""
"Selten","2006","(Fach-)Abitur","maennlich","","","",""
"Selten","2006","(Fach-)Abitur","weiblich","","","",""
"Selten","2006","AkademikerIn","maennlich","","","",""
"Selten","2006","AkademikerIn","weiblich","","","",""
"Nie","2006","(noch) kein Abschluss","maennlich","","","",""
"Nie","2006","(noch) kein Abschluss","weiblich","","","",""
"Nie","2006","Hauptschule","maennlich","","","",""
"Nie","2006","Hauptschule","weiblich","","","",""
"Nie","2006","Realschule","maennlich","","","",""
"Nie","2006","Realschule","weiblich","","","",""
"Nie","2006","(Fach-)Abitur","maennlich","","","",""
"Nie","2006","(Fach-)Abitur","weiblich","","","",""
"Nie","2006","AkademikerIn","maennlich","","","",""
"Nie","2006","AkademikerIn","weiblich","","","",""
"Sehr oft","2007","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2007","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2007","Hauptschule","maennlich","","","",""
"Sehr oft","2007","Hauptschule","weiblich","","","",""
"Sehr oft","2007","Realschule","maennlich","","","",""
"Sehr oft","2007","Realschule","weiblich","","","",""
"Sehr oft","2007","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2007","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2007","AkademikerIn","maennlich","","","",""
"Sehr oft","2007","AkademikerIn","weiblich","","","",""
"Oft","2007","(noch) kein Abschluss","maennlich","","","",""
"Oft","2007","(noch) kein Abschluss","weiblich","","","",""
"Oft","2007","Hauptschule","maennlich","","","",""
"Oft","2007","Hauptschule","weiblich","","","",""
"Oft","2007","Realschule","maennlich","","","",""
"Oft","2007","Realschule","weiblich","","","",""
"Oft","2007","(Fach-)Abitur","maennlich","","","",""
"Oft","2007","(Fach-)Abitur","weiblich","","","",""
"Oft","2007","AkademikerIn","maennlich","","","",""
"Oft","2007","AkademikerIn","weiblich","","","",""
"Manchmal","2007","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2007","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2007","Hauptschule","maennlich","","","",""
"Manchmal","2007","Hauptschule","weiblich","","","",""
"Manchmal","2007","Realschule","maennlich","","","",""
"Manchmal","2007","Realschule","weiblich","","","",""
"Manchmal","2007","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2007","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2007","AkademikerIn","maennlich","","","",""
"Manchmal","2007","AkademikerIn","weiblich","","","",""
"Selten","2007","(noch) kein Abschluss","maennlich","","","",""
"Selten","2007","(noch) kein Abschluss","weiblich","","","",""
"Selten","2007","Hauptschule","maennlich","","","",""
"Selten","2007","Hauptschule","weiblich","","","",""
"Selten","2007","Realschule","maennlich","","","",""
"Selten","2007","Realschule","weiblich","","","",""
"Selten","2007","(Fach-)Abitur","maennlich","","","",""
"Selten","2007","(Fach-)Abitur","weiblich","","","",""
"Selten","2007","AkademikerIn","maennlich","","","",""
"Selten","2007","AkademikerIn","weiblich","","","",""
"Nie","2007","(noch) kein Abschluss","maennlich","","","",""
"Nie","2007","(noch) kein Abschluss","weiblich","","","",""
"Nie","2007","Hauptschule","maennlich","","","",""
"Nie","2007","Hauptschule","weiblich","","","",""
"Nie","2007","Realschule","maennlich","","","",""
"Nie","2007","Realschule","weiblich","","","",""
"Nie","2007","(Fach-)Abitur","maennlich","","","",""
"Nie","2007","(Fach-)Abitur","weiblich","","","",""
"Nie","2007","AkademikerIn","maennlich","","","",""
"Nie","2007","AkademikerIn","weiblich","","","",""
"Sehr oft","2008","(noch) kein Abschluss","maennlich","20","","",""
"Sehr oft","2008","(noch) kein Abschluss","weiblich","20","","",""
"Sehr oft","2008","Hauptschule","maennlich","49","0.0165278065223538","0.0121526382051322","0.0209029748395754"
"Sehr oft","2008","Hauptschule","weiblich","65","0.020909626897743","0.0161571694216351","0.0256620843738509"
"Sehr oft","2008","Realschule","maennlich","60","0.0313509446652874","0.0239848481247803","0.0387170412057946"
"Sehr oft","2008","Realschule","weiblich","100","","",""
"Sehr oft","2008","(Fach-)Abitur","maennlich","40","0.0485075306224999","0.0349387066503689","0.0620763545946309"
"Sehr oft","2008","(Fach-)Abitur","weiblich","66","0.041885059046828","0.0305507293776799","0.0532193887159762"
"Sehr oft","2008","AkademikerIn","maennlich","57","0.0261501656655348","0.019604130185317","0.0326962011457526"
"Sehr oft","2008","AkademikerIn","weiblich","102","","",""
"Oft","2008","(noch) kein Abschluss","maennlich","59","0.211892112247514","0.161134796161258","0.262649428333769"
"Oft","2008","(noch) kein Abschluss","weiblich","77","0.212082711432738","0.164871537922044","0.259293884943432"
"Oft","2008","Hauptschule","maennlich","343","0.108626078438606","0.0979477536705531","0.11930440320666"
"Oft","2008","Hauptschule","weiblich","311","0.0852735932316998","0.0759970409247425","0.0945501455386571"
"Oft","2008","Realschule","maennlich","336","0.158310521463975","0.142880742669079","0.173740300258871"
"Oft","2008","Realschule","weiblich","481","0.165555381377892","0.152113299764115","0.178997462991669"
"Oft","2008","(Fach-)Abitur","maennlich","196","","",""
"Oft","2008","(Fach-)Abitur","weiblich","277","","",""
"Oft","2008","AkademikerIn","maennlich","379","0.176216988069567","0.160588195105254","0.191845781033881"
"Oft","2008","AkademikerIn","weiblich","433","0.226162255901623","0.207296807587031","0.245027704216215"
"Manchmal","2008","(noch) kein Abschluss","maennlich","93","0.355100069328341","0.295661279155021","0.414538859501662"
"Manchmal","2008","(noch) kein Abschluss","weiblich","94","0.280977648275652","0.229066703946122","0.332888592605182"
"Manchmal","2008","Hauptschule","maennlich","918","0.289174530746372","0.273616034385136","0.304733027107608"
"Manchmal","2008","Hauptschule","weiblich","954","0.272046678976307","0.257265564253032","0.286827793699583"
"Manchmal","2008","Realschule","maennlich","790","0.377940402307812","0.357444996622132","0.398435807993492"
"Manchmal","2008","Realschule","weiblich","1102","","",""
"Manchmal","2008","(Fach-)Abitur","maennlich","357","0.358468448564382","0.328180530217406","0.388756366911358"
"Manchmal","2008","(Fach-)Abitur","weiblich","473","0.392887539282248","0.365254658148192","0.420520420416303"
"Manchmal","2008","AkademikerIn","maennlich","855","0.363358950653043","0.343629709311526","0.38308819199456"
"Manchmal","2008","AkademikerIn","weiblich","757","0.391399395739153","0.369389986935789","0.413408804542517"
"Selten","2008","(noch) kein Abschluss","maennlich","49","0.235885686851814","0.183153184633404","0.288618189070224"
"Selten","2008","(noch) kein Abschluss","weiblich","47","0.224859730232553","0.176642990689565","0.27307646977554"
"Selten","2008","Hauptschule","maennlich","1071","","",""
"Selten","2008","Hauptschule","weiblich","1061","","",""
"Selten","2008","Realschule","maennlich","702","0.31210117097901","0.292515482379806","0.331686859578213"
"Selten","2008","Realschule","weiblich","864","0.298597592392589","0.282046643610209","0.315148541174969"
"Selten","2008","(Fach-)Abitur","maennlich","283","","",""
"Selten","2008","(Fach-)Abitur","weiblich","277","","",""
"Selten","2008","AkademikerIn","maennlich","747","0.325567544046894","0.306346148413002","0.344788939680787"
"Selten","2008","AkademikerIn","weiblich","462","0.245602282188316","0.226191256066231","0.265013308310401"
"Nie","2008","(noch) kein Abschluss","maennlich","28","","",""
"Nie","2008","(noch) kein Abschluss","weiblich","50","0.218958943246263","0.171198304839379","0.266719581653147"
"Nie","2008","Hauptschule","maennlich","881","0.274425148256517","0.2591121872259","0.289738109287133"
"Nie","2008","Hauptschule","weiblich","1091","","",""
"Nie","2008","Realschule","maennlich","262","","",""
"Nie","2008","Realschule","weiblich","390","0.13187435940227","0.119637567034893","0.144111151769647"
"Nie","2008","(Fach-)Abitur","maennlich","87","0.0985299432086792","0.0797066886036542","0.117353197813704"
"Nie","2008","(Fach-)Abitur","weiblich","107","","",""
"Nie","2008","AkademikerIn","maennlich","245","","",""
"Nie","2008","AkademikerIn","weiblich","135","","",""
"Sehr oft","2009","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2009","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2009","Hauptschule","maennlich","","","",""
"Sehr oft","2009","Hauptschule","weiblich","","","",""
"Sehr oft","2009","Realschule","maennlich","","","",""
"Sehr oft","2009","Realschule","weiblich","","","",""
"Sehr oft","2009","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2009","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2009","AkademikerIn","maennlich","","","",""
"Sehr oft","2009","AkademikerIn","weiblich","","","",""
"Oft","2009","(noch) kein Abschluss","maennlich","","","",""
"Oft","2009","(noch) kein Abschluss","weiblich","","","",""
"Oft","2009","Hauptschule","maennlich","","","",""
"Oft","2009","Hauptschule","weiblich","","","",""
"Oft","2009","Realschule","maennlich","","","",""
"Oft","2009","Realschule","weiblich","","","",""
"Oft","2009","(Fach-)Abitur","maennlich","","","",""
"Oft","2009","(Fach-)Abitur","weiblich","","","",""
"Oft","2009","AkademikerIn","maennlich","","","",""
"Oft","2009","AkademikerIn","weiblich","","","",""
"Manchmal","2009","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2009","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2009","Hauptschule","maennlich","","","",""
"Manchmal","2009","Hauptschule","weiblich","","","",""
"Manchmal","2009","Realschule","maennlich","","","",""
"Manchmal","2009","Realschule","weiblich","","","",""
"Manchmal","2009","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2009","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2009","AkademikerIn","maennlich","","","",""
"Manchmal","2009","AkademikerIn","weiblich","","","",""
"Selten","2009","(noch) kein Abschluss","maennlich","","","",""
"Selten","2009","(noch) kein Abschluss","weiblich","","","",""
"Selten","2009","Hauptschule","maennlich","","","",""
"Selten","2009","Hauptschule","weiblich","","","",""
"Selten","2009","Realschule","maennlich","","","",""
"Selten","2009","Realschule","weiblich","","","",""
"Selten","2009","(Fach-)Abitur","maennlich","","","",""
"Selten","2009","(Fach-)Abitur","weiblich","","","",""
"Selten","2009","AkademikerIn","maennlich","","","",""
"Selten","2009","AkademikerIn","weiblich","","","",""
"Nie","2009","(noch) kein Abschluss","maennlich","","","",""
"Nie","2009","(noch) kein Abschluss","weiblich","","","",""
"Nie","2009","Hauptschule","maennlich","","","",""
"Nie","2009","Hauptschule","weiblich","","","",""
"Nie","2009","Realschule","maennlich","","","",""
"Nie","2009","Realschule","weiblich","","","",""
"Nie","2009","(Fach-)Abitur","maennlich","","","",""
"Nie","2009","(Fach-)Abitur","weiblich","","","",""
"Nie","2009","AkademikerIn","maennlich","","","",""
"Nie","2009","AkademikerIn","weiblich","","","",""
"Sehr oft","2010","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2010","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2010","Hauptschule","maennlich","","","",""
"Sehr oft","2010","Hauptschule","weiblich","","","",""
"Sehr oft","2010","Realschule","maennlich","","","",""
"Sehr oft","2010","Realschule","weiblich","","","",""
"Sehr oft","2010","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2010","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2010","AkademikerIn","maennlich","","","",""
"Sehr oft","2010","AkademikerIn","weiblich","","","",""
"Oft","2010","(noch) kein Abschluss","maennlich","","","",""
"Oft","2010","(noch) kein Abschluss","weiblich","","","",""
"Oft","2010","Hauptschule","maennlich","","","",""
"Oft","2010","Hauptschule","weiblich","","","",""
"Oft","2010","Realschule","maennlich","","","",""
"Oft","2010","Realschule","weiblich","","","",""
"Oft","2010","(Fach-)Abitur","maennlich","","","",""
"Oft","2010","(Fach-)Abitur","weiblich","","","",""
"Oft","2010","AkademikerIn","maennlich","","","",""
"Oft","2010","AkademikerIn","weiblich","","","",""
"Manchmal","2010","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2010","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2010","Hauptschule","maennlich","","","",""
"Manchmal","2010","Hauptschule","weiblich","","","",""
"Manchmal","2010","Realschule","maennlich","","","",""
"Manchmal","2010","Realschule","weiblich","","","",""
"Manchmal","2010","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2010","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2010","AkademikerIn","maennlich","","","",""
"Manchmal","2010","AkademikerIn","weiblich","","","",""
"Selten","2010","(noch) kein Abschluss","maennlich","","","",""
"Selten","2010","(noch) kein Abschluss","weiblich","","","",""
"Selten","2010","Hauptschule","maennlich","","","",""
"Selten","2010","Hauptschule","weiblich","","","",""
"Selten","2010","Realschule","maennlich","","","",""
"Selten","2010","Realschule","weiblich","","","",""
"Selten","2010","(Fach-)Abitur","maennlich","","","",""
"Selten","2010","(Fach-)Abitur","weiblich","","","",""
"Selten","2010","AkademikerIn","maennlich","","","",""
"Selten","2010","AkademikerIn","weiblich","","","",""
"Nie","2010","(noch) kein Abschluss","maennlich","","","",""
"Nie","2010","(noch) kein Abschluss","weiblich","","","",""
"Nie","2010","Hauptschule","maennlich","","","",""
"Nie","2010","Hauptschule","weiblich","","","",""
"Nie","2010","Realschule","maennlich","","","",""
"Nie","2010","Realschule","weiblich","","","",""
"Nie","2010","(Fach-)Abitur","maennlich","","","",""
"Nie","2010","(Fach-)Abitur","weiblich","","","",""
"Nie","2010","AkademikerIn","maennlich","","","",""
"Nie","2010","AkademikerIn","weiblich","","","",""
"Sehr oft","2011","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2011","(noch) kein Abschluss","weiblich","","","",""
"Sehr oft","2011","Hauptschule","maennlich","","","",""
"Sehr oft","2011","Hauptschule","weiblich","","","",""
"Sehr oft","2011","Realschule","maennlich","","","",""
"Sehr oft","2011","Realschule","weiblich","","","",""
"Sehr oft","2011","(Fach-)Abitur","maennlich","","","",""
"Sehr oft","2011","(Fach-)Abitur","weiblich","","","",""
"Sehr oft","2011","AkademikerIn","maennlich","","","",""
"Sehr oft","2011","AkademikerIn","weiblich","","","",""
"Oft","2011","(noch) kein Abschluss","maennlich","","","",""
"Oft","2011","(noch) kein Abschluss","weiblich","","","",""
"Oft","2011","Hauptschule","maennlich","","","",""
"Oft","2011","Hauptschule","weiblich","","","",""
"Oft","2011","Realschule","maennlich","","","",""
"Oft","2011","Realschule","weiblich","","","",""
"Oft","2011","(Fach-)Abitur","maennlich","","","",""
"Oft","2011","(Fach-)Abitur","weiblich","","","",""
"Oft","2011","AkademikerIn","maennlich","","","",""
"Oft","2011","AkademikerIn","weiblich","","","",""
"Manchmal","2011","(noch) kein Abschluss","maennlich","","","",""
"Manchmal","2011","(noch) kein Abschluss","weiblich","","","",""
"Manchmal","2011","Hauptschule","maennlich","","","",""
"Manchmal","2011","Hauptschule","weiblich","","","",""
"Manchmal","2011","Realschule","maennlich","","","",""
"Manchmal","2011","Realschule","weiblich","","","",""
"Manchmal","2011","(Fach-)Abitur","maennlich","","","",""
"Manchmal","2011","(Fach-)Abitur","weiblich","","","",""
"Manchmal","2011","AkademikerIn","maennlich","","","",""
"Manchmal","2011","AkademikerIn","weiblich","","","",""
"Selten","2011","(noch) kein Abschluss","maennlich","","","",""
"Selten","2011","(noch) kein Abschluss","weiblich","","","",""
"Selten","2011","Hauptschule","maennlich","","","",""
"Selten","2011","Hauptschule","weiblich","","","",""
"Selten","2011","Realschule","maennlich","","","",""
"Selten","2011","Realschule","weiblich","","","",""
"Selten","2011","(Fach-)Abitur","maennlich","","","",""
"Selten","2011","(Fach-)Abitur","weiblich","","","",""
"Selten","2011","AkademikerIn","maennlich","","","",""
"Selten","2011","AkademikerIn","weiblich","","","",""
"Nie","2011","(noch) kein Abschluss","maennlich","","","",""
"Nie","2011","(noch) kein Abschluss","weiblich","","","",""
"Nie","2011","Hauptschule","maennlich","","","",""
"Nie","2011","Hauptschule","weiblich","","","",""
"Nie","2011","Realschule","maennlich","","","",""
"Nie","2011","Realschule","weiblich","","","",""
"Nie","2011","(Fach-)Abitur","maennlich","","","",""
"Nie","2011","(Fach-)Abitur","weiblich","","","",""
"Nie","2011","AkademikerIn","maennlich","","","",""
"Nie","2011","AkademikerIn","weiblich","","","",""
"Sehr oft","2012","(noch) kein Abschluss","maennlich","","","",""
"Sehr oft","2012","(noch) kein Abschluss","weiblich","","","",""
