"m11126","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Zufriedenstellend","1997","Staedtischer Raum","maennlich","1194","","",""
"Zufriedenstellend","1997","Staedtischer Raum","weiblich","1407","","",""
"Zufriedenstellend","1997","Laendlicher Raum","maennlich","725","0.362317405146314","0.342056113564508","0.382578696728119"
"Zufriedenstellend","1997","Laendlicher Raum","weiblich","834","0.376450379560838","0.356645692487435","0.396255066634241"
"Weniger gut","1997","Staedtischer Raum","maennlich","452","0.118684515906734","0.10870794145494","0.128661090358527"
"Weniger gut","1997","Staedtischer Raum","weiblich","626","0.165923942787596","0.154818997160206","0.177028888414987"
"Weniger gut","1997","Laendlicher Raum","maennlich","211","","",""
"Weniger gut","1997","Laendlicher Raum","weiblich","306","0.157052725151022","0.14217962339679","0.171925826905254"
"Schlecht","1997","Staedtischer Raum","maennlich","119","","",""
"Schlecht","1997","Staedtischer Raum","weiblich","181","","",""
"Schlecht","1997","Laendlicher Raum","maennlich","72","0.0348303654763419","0.0271017609140902","0.0425589700385937"
"Schlecht","1997","Laendlicher Raum","weiblich","81","0.0464745668473478","0.0378695361997948","0.0550795974949009"
"Sehr gut","1998","Staedtischer Raum","maennlich","538","0.113093983570232","0.103789809107932","0.122398158032531"
"Sehr gut","1998","Staedtischer Raum","weiblich","468","0.0916451146719919","0.0834726423621408","0.0998175869818431"
"Sehr gut","1998","Laendlicher Raum","maennlich","259","","",""
"Sehr gut","1998","Laendlicher Raum","weiblich","209","","",""
"Gut","1998","Staedtischer Raum","maennlich","2021","","",""
"Gut","1998","Staedtischer Raum","weiblich","1951","","",""
"Gut","1998","Laendlicher Raum","maennlich","1057","","",""
"Gut","1998","Laendlicher Raum","weiblich","1068","","",""
"Zufriedenstellend","1998","Staedtischer Raum","maennlich","1270","","",""
"Zufriedenstellend","1998","Staedtischer Raum","weiblich","1499","","",""
"Zufriedenstellend","1998","Laendlicher Raum","maennlich","778","0.340376443466288","0.321521270565524","0.359231616367052"
"Zufriedenstellend","1998","Laendlicher Raum","weiblich","845","0.337257675065225","0.31887540963114","0.35563994049931"
"Weniger gut","1998","Staedtischer Raum","maennlich","486","0.121381906805119","0.111787981279638","0.130975832330599"
"Weniger gut","1998","Staedtischer Raum","weiblich","665","0.149971324719518","0.139858047260581","0.160084602178454"
"Weniger gut","1998","Laendlicher Raum","maennlich","260","","",""
"Weniger gut","1998","Laendlicher Raum","weiblich","318","0.148512535135637","0.134685901873507","0.162339168397767"
"Schlecht","1998","Staedtischer Raum","maennlich","136","","",""
"Schlecht","1998","Staedtischer Raum","weiblich","205","","",""
"Schlecht","1998","Laendlicher Raum","maennlich","72","0.031300198775016","0.0243711942355376","0.0382292033144944"
"Schlecht","1998","Laendlicher Raum","weiblich","101","","",""
"Sehr gut","1999","Staedtischer Raum","maennlich","475","0.10228134939596","0.0931873081046844","0.111375390687235"
"Sehr gut","1999","Staedtischer Raum","weiblich","437","0.0918720045781858","0.0835021546696718","0.1002418544867"
"Sehr gut","1999","Laendlicher Raum","maennlich","197","","",""
"Sehr gut","1999","Laendlicher Raum","weiblich","188","","",""
"Gut","1999","Staedtischer Raum","maennlich","1869","","",""
"Gut","1999","Staedtischer Raum","weiblich","1811","","",""
"Gut","1999","Laendlicher Raum","maennlich","1013","","",""
"Gut","1999","Laendlicher Raum","weiblich","994","0.373563100487043","0.354504932937166","0.392621268036921"
"Zufriedenstellend","1999","Staedtischer Raum","maennlich","1316","","",""
"Zufriedenstellend","1999","Staedtischer Raum","weiblich","1472","","",""
"Zufriedenstellend","1999","Laendlicher Raum","maennlich","797","0.356570558421252","0.337117559983364","0.376023556859141"
"Zufriedenstellend","1999","Laendlicher Raum","weiblich","875","0.355790772435473","0.336929486447737","0.374652058423209"
"Weniger gut","1999","Staedtischer Raum","maennlich","461","0.118220477095104","0.108530674450696","0.127910279739513"
"Weniger gut","1999","Staedtischer Raum","weiblich","676","0.171720913552457","0.160792616666435","0.18264921043848"
"Weniger gut","1999","Laendlicher Raum","maennlich","250","","",""
"Weniger gut","1999","Laendlicher Raum","weiblich","321","0.141283746341894","0.127561303446916","0.155006189236873"
"Schlecht","1999","Staedtischer Raum","maennlich","144","","",""
"Schlecht","1999","Staedtischer Raum","weiblich","179","","",""
"Schlecht","1999","Laendlicher Raum","maennlich","72","0.0343188417661132","0.0269254020380613","0.0417122814941651"
"Schlecht","1999","Laendlicher Raum","weiblich","97","0.0574350269670174","0.0482685056566952","0.0666015482773395"
"Sehr gut","2000","Staedtischer Raum","maennlich","945","0.125188412193783","0.117690341210108","0.132686483177459"
"Sehr gut","2000","Staedtischer Raum","weiblich","898","0.104640223609401","0.0980001741804228","0.111280273038379"
"Sehr gut","2000","Laendlicher Raum","maennlich","423","0.107103442986222","0.0976109556705609","0.116595930301883"
"Sehr gut","2000","Laendlicher Raum","weiblich","407","0.0914501238556229","0.082879355916133","0.100020891795113"
"Gut","2000","Staedtischer Raum","maennlich","3163","0.40957189873727","0.39843001034436","0.42071378713018"
"Gut","2000","Staedtischer Raum","weiblich","3167","0.35846019927654","0.348057274307261","0.368863124245818"
"Gut","2000","Laendlicher Raum","maennlich","1728","","",""
"Gut","2000","Laendlicher Raum","weiblich","1695","","",""
"Zufriedenstellend","2000","Staedtischer Raum","maennlich","2316","","",""
"Zufriedenstellend","2000","Staedtischer Raum","weiblich","2665","","",""
"Zufriedenstellend","2000","Laendlicher Raum","maennlich","1335","","",""
"Zufriedenstellend","2000","Laendlicher Raum","weiblich","1492","","",""
"Weniger gut","2000","Staedtischer Raum","maennlich","834","0.114020481217792","0.106819138258522","0.121221824177063"
"Weniger gut","2000","Staedtischer Raum","weiblich","1105","","",""
"Weniger gut","2000","Laendlicher Raum","maennlich","452","0.117048035690562","0.10718005391629","0.126916017464833"
"Weniger gut","2000","Laendlicher Raum","weiblich","597","0.150279835448323","0.13965452768436","0.160905143212286"
"Schlecht","2000","Staedtischer Raum","maennlich","225","","",""
"Schlecht","2000","Staedtischer Raum","weiblich","328","0.0469087147752238","0.0423218365640047","0.0514955929864428"
"Schlecht","2000","Laendlicher Raum","maennlich","139","","",""
"Schlecht","2000","Laendlicher Raum","weiblich","154","","",""
"Sehr gut","2001","Staedtischer Raum","maennlich","861","0.126122510015724","0.118227751277144","0.134017268754304"
"Sehr gut","2001","Staedtischer Raum","weiblich","792","0.0984569997725192","0.0916953383078488","0.10521866123719"
"Sehr gut","2001","Laendlicher Raum","maennlich","394","0.112889206277485","0.102708937396131","0.123069475158839"
"Sehr gut","2001","Laendlicher Raum","weiblich","372","0.0922051809748436","0.0831564192456268","0.10125394270406"
"Gut","2001","Staedtischer Raum","maennlich","2836","","",""
"Gut","2001","Staedtischer Raum","weiblich","2938","","",""
"Gut","2001","Laendlicher Raum","maennlich","1533","","",""
"Gut","2001","Laendlicher Raum","weiblich","1493","","",""
"Zufriedenstellend","2001","Staedtischer Raum","maennlich","2119","","",""
"Zufriedenstellend","2001","Staedtischer Raum","weiblich","2422","","",""
"Zufriedenstellend","2001","Laendlicher Raum","maennlich","1222","","",""
"Zufriedenstellend","2001","Laendlicher Raum","weiblich","1375","","",""
"Weniger gut","2001","Staedtischer Raum","maennlich","742","0.113701866919645","0.106152839570272","0.121250894269019"
"Weniger gut","2001","Staedtischer Raum","weiblich","1031","","",""
"Weniger gut","2001","Laendlicher Raum","maennlich","450","0.132967547705106","0.122044731816621","0.143890363593591"
"Weniger gut","2001","Laendlicher Raum","weiblich","536","0.152268844349143","0.141031796284555","0.163505892413732"
"Schlecht","2001","Staedtischer Raum","maennlich","235","","",""
"Schlecht","2001","Staedtischer Raum","weiblich","275","","",""
"Schlecht","2001","Laendlicher Raum","maennlich","113","","",""
"Schlecht","2001","Laendlicher Raum","weiblich","151","","",""
"Sehr gut","2002","Staedtischer Raum","maennlich","839","0.10478873644741","0.097774280470007","0.111803192424812"
"Sehr gut","2002","Staedtischer Raum","weiblich","790","0.0816182409662444","0.0755756256863917","0.0876608562460972"
"Sehr gut","2002","Laendlicher Raum","maennlich","369","0.0971619895161074","0.087726416795498","0.106597562236717"
"Sehr gut","2002","Laendlicher Raum","weiblich","348","0.0874884655963254","0.0787202614218692","0.0962566697707816"
"Gut","2002","Staedtischer Raum","maennlich","3166","0.409374480258865","0.398113131458186","0.420635829059543"
"Gut","2002","Staedtischer Raum","weiblich","3137","0.360306789381954","0.349710793076229","0.37090278568768"
"Gut","2002","Laendlicher Raum","maennlich","1589","","",""
"Gut","2002","Laendlicher Raum","weiblich","1570","","",""
"Zufriedenstellend","2002","Staedtischer Raum","maennlich","2295","","",""
"Zufriedenstellend","2002","Staedtischer Raum","weiblich","2577","","",""
"Zufriedenstellend","2002","Laendlicher Raum","maennlich","1264","","",""
"Zufriedenstellend","2002","Laendlicher Raum","weiblich","1391","","",""
"Weniger gut","2002","Staedtischer Raum","maennlich","802","0.120584693194526","0.113126785139665","0.128042601249387"
"Weniger gut","2002","Staedtischer Raum","weiblich","1099","","",""
"Weniger gut","2002","Laendlicher Raum","maennlich","434","0.124278155499374","0.11376832673554","0.134787984263209"
"Weniger gut","2002","Laendlicher Raum","weiblich","554","0.153001238859921","0.141829907494745","0.164172570225097"
"Schlecht","2002","Staedtischer Raum","maennlich","222","","",""
"Schlecht","2002","Staedtischer Raum","weiblich","283","","",""
"Schlecht","2002","Laendlicher Raum","maennlich","129","","",""
"Schlecht","2002","Laendlicher Raum","weiblich","126","","",""
"Sehr gut","2003","Staedtischer Raum","maennlich","855","0.111121792836339","0.103781895322045","0.118461690350633"
"Sehr gut","2003","Staedtischer Raum","weiblich","748","0.0845498784124371","0.0783073624852397","0.0907923943396345"
"Sehr gut","2003","Laendlicher Raum","maennlich","340","0.094590094207086","0.0850463306784212","0.104133857735751"
"Sehr gut","2003","Laendlicher Raum","weiblich","300","0.0690361466874825","0.0610198442902283","0.0770524490847368"
"Gut","2003","Staedtischer Raum","maennlich","3083","0.423159131023164","0.411620637347886","0.434697624698441"
"Gut","2003","Staedtischer Raum","weiblich","3081","0.368770979937297","0.357945238026474","0.37959672184812"
"Gut","2003","Laendlicher Raum","maennlich","1506","","",""
"Gut","2003","Laendlicher Raum","weiblich","1601","","",""
"Zufriedenstellend","2003","Staedtischer Raum","maennlich","2078","","",""
"Zufriedenstellend","2003","Staedtischer Raum","weiblich","2431","","",""
"Zufriedenstellend","2003","Laendlicher Raum","maennlich","1247","","",""
"Zufriedenstellend","2003","Laendlicher Raum","weiblich","1263","","",""
"Weniger gut","2003","Staedtischer Raum","maennlich","815","0.121923783055701","0.114282266317973","0.129565299793428"
"Weniger gut","2003","Staedtischer Raum","weiblich","1088","","",""
"Weniger gut","2003","Laendlicher Raum","maennlich","390","0.116020579163746","0.105576676583918","0.126464481743574"
"Weniger gut","2003","Laendlicher Raum","weiblich","538","0.153007434228382","0.141624205137011","0.164390663319752"
"Schlecht","2003","Staedtischer Raum","maennlich","212","","",""
"Schlecht","2003","Staedtischer Raum","weiblich","282","","",""
"Schlecht","2003","Laendlicher Raum","maennlich","129","","",""
"Schlecht","2003","Laendlicher Raum","weiblich","140","","",""
"Sehr gut","2004","Staedtischer Raum","maennlich","825","0.114706543132979","0.107154616480551","0.122258469785406"
"Sehr gut","2004","Staedtischer Raum","weiblich","725","0.0897061692913671","0.083218127728296","0.0961942108544381"
"Sehr gut","2004","Laendlicher Raum","maennlich","337","0.100438259546272","0.0905154739497925","0.110361045142752"
"Sehr gut","2004","Laendlicher Raum","weiblich","310","0.078011158829289","0.0694320504571642","0.0865902672014138"
"Gut","2004","Staedtischer Raum","maennlich","2934","","",""
"Gut","2004","Staedtischer Raum","weiblich","3016","0.357851686023845","0.346967877942503","0.368735494105187"
"Gut","2004","Laendlicher Raum","maennlich","1485","","",""
"Gut","2004","Laendlicher Raum","weiblich","1517","","",""
"Zufriedenstellend","2004","Staedtischer Raum","maennlich","2064","","",""
"Zufriedenstellend","2004","Staedtischer Raum","weiblich","2277","","",""
"Zufriedenstellend","2004","Laendlicher Raum","maennlich","1171","","",""
"Zufriedenstellend","2004","Laendlicher Raum","weiblich","1273","","",""
"Weniger gut","2004","Staedtischer Raum","maennlich","775","0.130074798243445","0.122102976537556","0.138046619949334"
"Weniger gut","2004","Staedtischer Raum","weiblich","1124","","",""
"Weniger gut","2004","Laendlicher Raum","maennlich","404","0.130090857178273","0.118985593730653","0.141196120625894"
"Weniger gut","2004","Laendlicher Raum","weiblich","529","0.159783957517815","0.148063001714461","0.171504913321169"
"Schlecht","2004","Staedtischer Raum","maennlich","242","","",""
"Schlecht","2004","Staedtischer Raum","weiblich","310","0.0558889966846253","0.0506736119180218","0.0611043814512287"
"Schlecht","2004","Laendlicher Raum","maennlich","128","","",""
"Schlecht","2004","Laendlicher Raum","weiblich","125","","",""
"Sehr gut","2005","Staedtischer Raum","maennlich","662","0.0956451095333683","0.0885106866448686","0.102779532421868"
"Sehr gut","2005","Staedtischer Raum","weiblich","655","0.079637076695996","0.0733653163307192","0.0859088370612729"
"Sehr gut","2005","Laendlicher Raum","maennlich","320","0.0943993363851204","0.0844790816467651","0.104319591123476"
"Sehr gut","2005","Laendlicher Raum","weiblich","308","0.0877383305593807","0.0785030551017814","0.0969736060169801"
"Gut","2005","Staedtischer Raum","maennlich","2698","","",""
"Gut","2005","Staedtischer Raum","weiblich","2851","","",""
"Gut","2005","Laendlicher Raum","maennlich","1312","","",""
"Gut","2005","Laendlicher Raum","weiblich","1444","","",""
"Zufriedenstellend","2005","Staedtischer Raum","maennlich","2126","","",""
"Zufriedenstellend","2005","Staedtischer Raum","weiblich","2289","","",""
"Zufriedenstellend","2005","Laendlicher Raum","maennlich","1153","","",""
"Zufriedenstellend","2005","Laendlicher Raum","weiblich","1196","","",""
"Weniger gut","2005","Staedtischer Raum","maennlich","810","0.139638943002533","0.131230769461696","0.14804711654337"
"Weniger gut","2005","Staedtischer Raum","weiblich","1074","","",""
"Weniger gut","2005","Laendlicher Raum","maennlich","426","0.139508997683369","0.127753412205725","0.151264583161013"
"Weniger gut","2005","Laendlicher Raum","weiblich","524","0.162052574398959","0.150023511123772","0.174081637674146"
"Schlecht","2005","Staedtischer Raum","maennlich","232","","",""
"Schlecht","2005","Staedtischer Raum","weiblich","289","","",""
"Schlecht","2005","Laendlicher Raum","maennlich","126","","",""
"Schlecht","2005","Laendlicher Raum","weiblich","133","","",""
"Sehr gut","2006","Staedtischer Raum","maennlich","741","0.107652255770736","0.100358147909513","0.114946363631959"
"Sehr gut","2006","Staedtischer Raum","weiblich","677","0.0847913182674863","0.0785435853603732","0.0910390511745995"
"Sehr gut","2006","Laendlicher Raum","maennlich","345","0.0944420371406769","0.0849870657429443","0.103897008538409"
"Sehr gut","2006","Laendlicher Raum","weiblich","351","0.0873271846841988","0.0785640949218901","0.0960902744465075"
"Gut","2006","Staedtischer Raum","maennlich","2931","","",""
"Gut","2006","Staedtischer Raum","weiblich","3005","0.356301506979725","0.345560703475822","0.367042310483628"
"Gut","2006","Laendlicher Raum","maennlich","1502","","",""
"Gut","2006","Laendlicher Raum","weiblich","1534","","",""
"Zufriedenstellend","2006","Staedtischer Raum","maennlich","2217","","",""
"Zufriedenstellend","2006","Staedtischer Raum","weiblich","2501","","",""
"Zufriedenstellend","2006","Laendlicher Raum","maennlich","1229","","",""
"Zufriedenstellend","2006","Laendlicher Raum","weiblich","1357","","",""
"Weniger gut","2006","Staedtischer Raum","maennlich","795","0.117801095614633","0.110214420778626","0.12538777045064"
"Weniger gut","2006","Staedtischer Raum","weiblich","1136","","",""
"Weniger gut","2006","Laendlicher Raum","maennlich","453","0.130463659553824","0.119574156372384","0.141353162735263"
"Weniger gut","2006","Laendlicher Raum","weiblich","567","0.157514133681455","0.146206647919516","0.168821619443394"
"Schlecht","2006","Staedtischer Raum","maennlich","252","","",""
"Schlecht","2006","Staedtischer Raum","weiblich","318","0.0512283526617016","0.0462838485771071","0.0561728567462961"
"Schlecht","2006","Laendlicher Raum","maennlich","146","","",""
"Schlecht","2006","Laendlicher Raum","weiblich","178","","",""
"Sehr gut","2007","Staedtischer Raum","maennlich","637","0.0963737130646994","0.0891691050950409","0.103578321034358"
"Sehr gut","2007","Staedtischer Raum","weiblich","612","0.081751913998474","0.0753989564256568","0.0881048715712911"
"Sehr gut","2007","Laendlicher Raum","maennlich","307","0.0865451839274635","0.0772008512944909","0.0958895165604362"
"Sehr gut","2007","Laendlicher Raum","weiblich","317","0.0839200401032069","0.0750220235815516","0.0928180566248622"
"Gut","2007","Staedtischer Raum","maennlich","2744","","",""
"Gut","2007","Staedtischer Raum","weiblich","2852","","",""
"Gut","2007","Laendlicher Raum","maennlich","1418","","",""
"Gut","2007","Laendlicher Raum","weiblich","1417","","",""
"Zufriedenstellend","2007","Staedtischer Raum","maennlich","2007","","",""
"Zufriedenstellend","2007","Staedtischer Raum","weiblich","2370","","",""
"Zufriedenstellend","2007","Laendlicher Raum","maennlich","1186","","",""
"Zufriedenstellend","2007","Laendlicher Raum","weiblich","1306","","",""
"Weniger gut","2007","Staedtischer Raum","maennlich","829","0.133677753850918","0.125369573158031","0.141985934543805"
"Weniger gut","2007","Staedtischer Raum","weiblich","1021","","",""
"Weniger gut","2007","Laendlicher Raum","maennlich","438","0.135618221836317","0.124239456879096","0.146996986793537"
"Weniger gut","2007","Laendlicher Raum","weiblich","559","0.168659551459576","0.156642757872528","0.180676345046625"
"Schlecht","2007","Staedtischer Raum","maennlich","228","","",""
"Schlecht","2007","Staedtischer Raum","weiblich","290","","",""
"Schlecht","2007","Laendlicher Raum","maennlich","129","","",""
"Schlecht","2007","Laendlicher Raum","weiblich","131","","",""
"Sehr gut","2008","Staedtischer Raum","maennlich","624","0.103515635453268","0.0958438996173348","0.111187371289201"
"Sehr gut","2008","Staedtischer Raum","weiblich","611","0.0858546808326195","0.0791610395293854","0.0925483221358535"
"Sehr gut","2008","Laendlicher Raum","maennlich","282","","",""
"Sehr gut","2008","Laendlicher Raum","weiblich","278","","",""
"Gut","2008","Staedtischer Raum","maennlich","2539","","",""
"Gut","2008","Staedtischer Raum","weiblich","2628","","",""
"Gut","2008","Laendlicher Raum","maennlich","1310","","",""
"Gut","2008","Laendlicher Raum","weiblich","1358","","",""
"Zufriedenstellend","2008","Staedtischer Raum","maennlich","1924","","",""
"Zufriedenstellend","2008","Staedtischer Raum","weiblich","2157","","",""
"Zufriedenstellend","2008","Laendlicher Raum","maennlich","1115","","",""
"Zufriedenstellend","2008","Laendlicher Raum","weiblich","1209","","",""
"Weniger gut","2008","Staedtischer Raum","maennlich","766","0.132577526033106","0.124037295491859","0.141117756574354"
"Weniger gut","2008","Staedtischer Raum","weiblich","1075","","",""
