"year","migback","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2006","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2007","direkter Migrationshintergrund","Westdeutschland","6.13","6.5","459","1","5","8","9","10","5.89","6.37","0","10","7","7"
"2007","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2007","indirekter Migrationshintergrund","Westdeutschland","6.68","6.5","184","3","5","8","10","10","6.29","7.07","0","10","7","8"
"2007","kein Migrationshintergrund","Ostdeutschland","6.39","7.5","832","0","5","9","10","10","6.2","6.58","0","10","7","8"
"2007","kein Migrationshintergrund","Westdeutschland","6.12","6.5","1932","2","5","8","9","10","6","6.24","0","10","7","7"
"2007","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2008","direkter Migrationshintergrund","Westdeutschland","6.67","6.5","383","3","5","8","10","10","6.42","6.92","0","10","7","8"
"2008","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2008","indirekter Migrationshintergrund","Westdeutschland","6.35","6.5","181","2","5","8","9","10","5.96","6.74","0","10","7","8"
"2008","kein Migrationshintergrund","Ostdeutschland","7.21","7.5","711","3","6","9","10","10","7.03","7.39","0","10","8","8"
"2008","kein Migrationshintergrund","Westdeutschland","6.49","6.5","1568","3","5","8","9","10","6.37","6.61","0","10","7","7"
"2008","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2009","direkter Migrationshintergrund","Westdeutschland","6.53","6.5","323","1","5","9","10","10","6.24","6.82","0","10","7","8"
"2009","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2009","indirekter Migrationshintergrund","Westdeutschland","6.91","7.5","163","3","6","9","10","10","6.53","7.29","0","10","7","8"
"2009","kein Migrationshintergrund","Ostdeutschland","7.09","7.5","703","3","6","9","10","10","6.9","7.28","0","10","8","8"
"2009","kein Migrationshintergrund","Westdeutschland","6.46","6.5","1469","2","5","8","9","10","6.32","6.6","0","10","7","8"
"2009","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2010","direkter Migrationshintergrund","Ostdeutschland","6.71","7","60","0","5","9","10","10","5.89","7.53","0","10","8","9"
"2010","direkter Migrationshintergrund","Westdeutschland","6.72","7.5","1227","1","5","9","10","10","6.56","6.88","0","10","8","8"
"2010","indirekter Migrationshintergrund","Ostdeutschland","7.35","6.5","31","5","6.7","9","10","10","6.54","8.16","0","10","7","9"
"2010","indirekter Migrationshintergrund","Westdeutschland","6.51","6.5","429","2","5","9","10","10","6.24","6.78","0","10","7","8"
"2010","kein Migrationshintergrund","Ostdeutschland","7.08","7.5","1436","3","6","9","10","10","6.95","7.21","0","10","8","8"
"2010","kein Migrationshintergrund","Westdeutschland","6.64","6.5","3692","2","5","9","10","10","6.56","6.72","0","10","8","8"
"2010","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2010","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2011","direkter Migrationshintergrund","Ostdeutschland","7.66","8.5","59","5","5","10","10","10","7.06","8.26","1","10","8","9"
"2011","direkter Migrationshintergrund","Westdeutschland","7.23","7.5","1163","4","6","9","10","10","7.1","7.36","0","10","8","8"
"2011","indirekter Migrationshintergrund","Ostdeutschland","7.1","7.5","42","5","5","9","9","10","6.33","7.87","0","10","7","9"
"2011","indirekter Migrationshintergrund","Westdeutschland","6.87","7.5","449","2","5","9","10","10","6.63","7.11","0","10","8","8"
"2011","kein Migrationshintergrund","Ostdeutschland","6.97","7.5","1547","0","6","9","10","10","6.85","7.09","0","10","8","8"
"2011","kein Migrationshintergrund","Westdeutschland","6.84","7.5","3995","3","5","9","10","10","6.77","6.91","0","10","8","8"
"2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2012","direkter Migrationshintergrund","Ostdeutschland","7.65","7.5","51","6","7","9","10","10","7.03","8.27","0","10","7","9"
"2012","direkter Migrationshintergrund","Westdeutschland","7.28","7.5","1100","5","6","9","10","10","7.14","7.42","0","10","8","8"
"2012","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2012","indirekter Migrationshintergrund","Westdeutschland","7.23","7.5","421","3","6","9","10","10","7.01","7.45","0","10","8","8"
"2012","kein Migrationshintergrund","Ostdeutschland","7.41","7.5","1397","4","6","9","10","10","7.3","7.52","0","10","8","8"
"2012","kein Migrationshintergrund","Westdeutschland","6.99","7.5","3724","3","5","9","10","10","6.92","7.06","0","10","8","8"
"2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2013","direkter Migrationshintergrund","Ostdeutschland","5.58","4.5","54","0","5","8","9","10","4.95","6.21","0","10","8","9"
"2013","direkter Migrationshintergrund","Westdeutschland","7.01","7.5","998","3","6","9","10","10","6.88","7.14","0","10","8","8"
"2013","indirekter Migrationshintergrund","Ostdeutschland","5.76","6.5","30","0","3","9","9","10","4.66","6.86","0","10","7","9"
"2013","indirekter Migrationshintergrund","Westdeutschland","7.37","7.5","367","5","6","9","10","10","7.13","7.61","0","10","8","8"
"2013","kein Migrationshintergrund","Ostdeutschland","7.18","7.5","1286","4","6","9","10","10","7.06","7.3","0","10","8","8"
"2013","kein Migrationshintergrund","Westdeutschland","7.1","7.5","3374","4","6","9","10","10","7.02","7.18","0","10","8","8"
"2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2014","direkter Migrationshintergrund","Ostdeutschland","6.88","7.5","90","3","5","9","10","10","6.45","7.31","0","10","8","9"
"2014","direkter Migrationshintergrund","Westdeutschland","7.21","7.5","1601","4","6","9","10","10","7.1","7.32","0","10","8","8"
"2014","indirekter Migrationshintergrund","Ostdeutschland","7.29","7.5","37","6","6","9","10","10","6.58","8","0","10","7","9"
"2014","indirekter Migrationshintergrund","Westdeutschland","7.17","7.5","500","3","6","9","10","10","6.97","7.37","0","10","8","8"
"2014","kein Migrationshintergrund","Ostdeutschland","7.12","7.5","1146","3","6","9","10","10","6.99","7.25","0","10","8","8"
"2014","kein Migrationshintergrund","Westdeutschland","7.01","7.5","2979","3","6","9","10","10","6.93","7.09","0","10","8","8"
"2014","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2015","direkter Migrationshintergrund","Ostdeutschland","7.39","7.5","81","5","7","9","10","10","6.92","7.86","0","10","8","9"
"2015","direkter Migrationshintergrund","Westdeutschland","7.38","7.5","1267","4","6","9","10","10","7.26","7.5","0","10","8","8"
"2015","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2015","indirekter Migrationshintergrund","Westdeutschland","7.12","7.5","414","4","5","9","10","10","6.9","7.34","0","10","8","8"
"2015","kein Migrationshintergrund","Ostdeutschland","7.29","7.5","974","4","7","9","10","10","7.16","7.42","0","10","8","8"
"2015","kein Migrationshintergrund","Westdeutschland","7.25","7.5","2506","4","6","9","10","10","7.16","7.34","0","10","8","8"
"2015","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2015","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2016","direkter Migrationshintergrund","Ostdeutschland","8.33","7.5","102","6","8","10","10","10","8.01","8.65","3","10","8","9"
"2016","direkter Migrationshintergrund","Westdeutschland","7.37","7.5","1335","4","6","9","10","10","7.25","7.49","0","10","8","8"
"2016","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2016","indirekter Migrationshintergrund","Westdeutschland","7.41","7.5","382","4","7","9","10","10","7.19","7.63","0","10","8","8"
"2016","kein Migrationshintergrund","Ostdeutschland","7.29","7.5","856","4","6","9","10","10","7.14","7.44","0","10","8","8"
"2016","kein Migrationshintergrund","Westdeutschland","7.28","7.5","2133","5","6","9","10","10","7.19","7.37","0","10","8","8"
"2016","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2016","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2017","direkter Migrationshintergrund","Ostdeutschland","7.57","7.5","98","5","6","9","10","10","7.17","7.97","1","10","8","9"
"2017","direkter Migrationshintergrund","Westdeutschland","7.43","7.5","1126","4","6","9","10","10","7.3","7.56","0","10","8","8"
"2017","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2017","indirekter Migrationshintergrund","Westdeutschland","6.98","6.5","332","4","5","9","10","10","6.71","7.25","0","10","7","8"
"2017","kein Migrationshintergrund","Ostdeutschland","7.4","7.5","827","5","7","9","10","10","7.25","7.55","0","10","8","8"
"2017","kein Migrationshintergrund","Westdeutschland","7.19","7.5","2045","4","6","9","10","10","7.09","7.29","0","10","8","8"
"2017","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2017","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2018","direkter Migrationshintergrund","Ostdeutschland","6.54","6.5","82","2","5","8","9","10","6.07","7.01","0","10","7","8"
"2018","direkter Migrationshintergrund","Westdeutschland","7.26","7.5","1074","4","6","9","10","10","7.12","7.4","0","10","8","8"
"2018","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"2018","indirekter Migrationshintergrund","Westdeutschland","6.9","7.5","335","3","6","9","10","10","6.62","7.18","0","10","8","8"
"2018","kein Migrationshintergrund","Ostdeutschland","7.25","7.5","796","5","6","9","10","10","7.1","7.4","0","10","8","8"
"2018","kein Migrationshintergrund","Westdeutschland","7.03","7.5","1910","3","6","9","10","10","6.93","7.13","0","10","8","8"
"2018","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2018","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2019","direkter Migrationshintergrund","Ostdeutschland","7.82","7.5","64","5","7","10","10","10","7.35","8.29","2","10","8","9"
"2019","direkter Migrationshintergrund","Westdeutschland","7.17","7.5","887","4","6","9","10","10","7.02","7.32","0","10","8","8"
"2019","indirekter Migrationshintergrund","Ostdeutschland","7.52","7.5","38","5","6","9","10","10","6.79","8.25","0","10","7","8"
"2019","indirekter Migrationshintergrund","Westdeutschland","7.47","7.5","304","4","6","9","10","10","7.21","7.73","0","10","8","8"
"2019","kein Migrationshintergrund","Ostdeutschland","7.55","7.5","785","5","7","9","10","10","7.4","7.7","0","10","8","8"
"2019","kein Migrationshintergrund","Westdeutschland","7.2","7.5","1955","4","6","9","10","10","7.1","7.3","0","10","8","8"
"2019","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2019","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"2020","direkter Migrationshintergrund","Ostdeutschland","7.06","6.5","111","5","6","8","10","10","6.6","7.52","0","10","7","8"
"2020","direkter Migrationshintergrund","Westdeutschland","6.97","7.5","1426","3","5","9","10","10","6.83","7.11","0","10","8","8"
"2020","indirekter Migrationshintergrund","Ostdeutschland","6.35","6.5","32","4","4","8","9","10","5.3","7.4","0","10","6","8"
"2020","indirekter Migrationshintergrund","Westdeutschland","6.53","6.5","313","3","5","9","10","10","6.23","6.83","0","10","7","8"
"2020","kein Migrationshintergrund","Ostdeutschland","7.34","7.5","723","5","7","9","10","10","7.17","7.51","0","10","8","8"
"2020","kein Migrationshintergrund","Westdeutschland","6.89","7.5","1830","3","6","9","10","10","6.78","7","0","10","8","8"
"2020","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"2020","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
