year,migback,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2000,indirekter Migrationshintergrund,6.166549228256872,5.972957894864548,6.360140561649196,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.024999999999999,194.0
2001,kein Migrationshintergrund,6.32183699886799,6.275511963443909,6.368162034292071,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3372.0
2001,direkter Migrationshintergrund,6.8980214048203905,6.813210332061652,6.982832477579129,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,830.0
2001,indirekter Migrationshintergrund,6.324541906901951,6.113443294794637,6.535640519009265,5.0,7.0,9.0,0.0,10.0,7.0,6.0,8.0,169.0
2002,kein Migrationshintergrund,6.3738421368501905,6.329797119224278,6.417887154476103,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3201.0
2002,direkter Migrationshintergrund,6.501787705105733,6.413922916783945,6.589652493427521,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,727.0
2002,indirekter Migrationshintergrund,6.840164831677045,6.650811793014838,7.0295178703392525,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,164.0
2003,kein Migrationshintergrund,6.233464183234146,6.206058730527823,6.260869635940469,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,7658.0
2003,direkter Migrationshintergrund,6.519442612404305,6.448484647406544,6.5904005774020655,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1137.0
2003,indirekter Migrationshintergrund,6.392396344587917,6.270452621578841,6.514340067596993,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,330.0
2004,kein Migrationshintergrund,6.275017172382105,6.229020430924432,6.321013913839778,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3052.0
2004,direkter Migrationshintergrund,6.347031211259962,6.252300403738823,6.441762018781101,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,627.0
2004,indirekter Migrationshintergrund,6.426607783184088,6.25960729282685,6.593608273541326,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,203.0
2005,kein Migrationshintergrund,6.133248653193934,6.082868823527198,6.183628482860669,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2929.0
2005,direkter Migrationshintergrund,6.284421050777233,6.173113259465311,6.395728842089155,5.0,7.0,8.0,0.5,10.0,7.0,6.974999999999994,8.0,571.0
2005,indirekter Migrationshintergrund,6.546777096120668,6.365586262820256,6.727967929421081,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,208.0
2006,kein Migrationshintergrund,6.181723442660832,6.130414272169474,6.233032613152191,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2853.0
2006,direkter Migrationshintergrund,6.158449346036792,6.045904984730756,6.270993707342829,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,539.0
2006,indirekter Migrationshintergrund,6.02092105784902,5.825399713911911,6.2164424017861295,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,200.0
2007,kein Migrationshintergrund,6.187911839933241,6.136704033563281,6.239119646303201,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2764.0
2007,direkter Migrationshintergrund,6.1545123056237845,6.031137243374765,6.277887367872804,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,471.0
2007,indirekter Migrationshintergrund,6.678375885820649,6.49534514553994,6.861406626101358,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,192.0
2008,kein Migrationshintergrund,6.654034584947061,6.601983100012589,6.7060860698815326,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,2279.0
2008,direkter Migrationshintergrund,6.660654231274947,6.539770961444985,6.781537501104909,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,394.0
2008,indirekter Migrationshintergrund,6.3974688508516655,6.207865859700463,6.587071842002868,5.0,7.0,8.0,0.5,10.0,7.0,6.0,8.0,190.0
2009,kein Migrationshintergrund,6.619934766593166,6.56450608908774,6.675363444098592,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,2172.0
2009,direkter Migrationshintergrund,6.534388466073376,6.379314904314859,6.689462027831893,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,334.0
2009,indirekter Migrationshintergrund,6.932616789717341,6.747921464040717,7.117312115393965,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,173.0
2010,kein Migrationshintergrund,6.751825135418193,6.715286704238817,6.788363566597569,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,5124.0
2010,direkter Migrationshintergrund,6.713585750309662,6.634378579614598,6.792792921004725,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,1324.0
2010,indirekter Migrationshintergrund,6.553196740327738,6.425005390799529,6.681388089855946,5.0,7.0,9.0,0.0,10.0,7.0,6.0,8.0,427.0
2011,kein Migrationshintergrund,6.873965445721405,6.838917297518746,6.909013593924064,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,5539.0
2011,direkter Migrationshintergrund,7.24339347467351,7.17988964278657,7.306897306560449,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1257.0
2011,indirekter Migrationshintergrund,6.84140594299294,6.719196646820006,6.963615239165874,5.049031413280754,8.0,9.0,0.0,10.0,8.0,8.0,9.0,459.0
2012,kein Migrationshintergrund,7.083871121874894,7.050293707934062,7.1174485358157265,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,5116.0
2012,direkter Migrationshintergrund,7.289782409156976,7.224822506129714,7.3547423121842375,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1189.0
2012,indirekter Migrationshintergrund,7.2293365965905805,7.114559904612578,7.344113288568583,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,414.0
2013,kein Migrationshintergrund,7.126323974334509,7.09162937880445,7.161018569864568,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,4652.0
2013,direkter Migrationshintergrund,7.031506076362104,6.957934907893901,7.105077244830306,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,1091.0
2013,indirekter Migrationshintergrund,7.15940613843425,7.036537514572569,7.282274762295932,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,366.0
2014,kein Migrationshintergrund,7.0339156849277815,6.996588714882903,7.07124265497266,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,4122.0
2014,direkter Migrationshintergrund,7.229669914782076,7.174790701319557,7.2845491282445956,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1731.0
2014,indirekter Migrationshintergrund,7.239170378290793,7.136308205392224,7.342032551189362,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,500.0
2015,kein Migrationshintergrund,7.258829066564126,7.220325418151967,7.297332714976285,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3477.0
2015,direkter Migrationshintergrund,7.384398629989545,7.321687794457694,7.447109465521396,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1376.0
2015,indirekter Migrationshintergrund,7.155800471743051,7.0437863694843585,7.2678145740017435,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,418.0
2016,kein Migrationshintergrund,7.27865435761066,7.240139986215417,7.317168729005902,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,2989.0
2016,direkter Migrationshintergrund,7.43773932807596,7.379347209618013,7.496131446533907,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1465.0
2016,indirekter Migrationshintergrund,7.394266015701072,7.287832126625448,7.500699904776695,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,382.0
2017,kein Migrationshintergrund,7.238818454016608,7.197311656674306,7.280325251358909,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,2872.0
2017,direkter Migrationshintergrund,7.403030958087708,7.342369568790573,7.4636923473848436,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1245.0
2017,indirekter Migrationshintergrund,6.9795256543795805,6.843564849482865,7.115486459276296,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,337.0
2018,kein Migrationshintergrund,7.080902233091608,7.03801139113503,7.123793075048186,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,2701.0
2018,direkter Migrationshintergrund,7.236621864904727,7.171106683967229,7.302137045842225,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,1179.0
2018,indirekter Migrationshintergrund,6.888645597598869,6.748481137916872,7.028810057280867,6.0,7.0,9.0,1.5,10.0,7.0,6.0,7.0,346.0
2019,kein Migrationshintergrund,7.2708124731890855,7.22758997925613,7.3140349671220415,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,2751.0
2019,direkter Migrationshintergrund,7.283893863731608,7.215274682840933,7.352513044622283,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,969.0
2019,indirekter Migrationshintergrund,7.448038128112936,7.3265623474178625,7.569513908808009,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,309.0
2020,kein Migrationshintergrund,6.976885301042641,6.930419500721638,7.023351101363644,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,2550.0
2020,direkter Migrationshintergrund,6.960496910173342,6.9000563712701,7.020937449076584,5.0,8.0,9.0,0.0,10.0,8.0,8.0,9.0,1553.0
2020,indirekter Migrationshintergrund,6.548460872114957,6.404366030195939,6.692555714033975,5.0,7.0,9.0,0.0,10.0,7.0,6.0,8.0,323.0
2021,kein Migrationshintergrund,7.178393516880854,7.12474518256677,7.232041851194939,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,1648.0
2021,direkter Migrationshintergrund,7.213520918193186,7.131536818657867,7.295505017728505,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,771.0
2021,indirekter Migrationshintergrund,6.604485981266748,6.394230435090674,6.8147415274428225,5.0,7.0,9.0,0.0,10.0,7.0,6.0,8.0,146.0
